Country Name,Country Code,Topic,% of available indicators,Year
Aruba,ABW,Assets,0.000,1960
Aruba,ABW,Assets,0.000,1961
Aruba,ABW,Assets,0.000,1962
Aruba,ABW,Assets,0.000,1963
Aruba,ABW,Assets,0.000,1964
Aruba,ABW,Assets,0.000,1965
Aruba,ABW,Assets,0.000,1966
Aruba,ABW,Assets,0.000,1967
Aruba,ABW,Assets,0.000,1968
Aruba,ABW,Assets,0.000,1969
Aruba,ABW,Assets,0.000,1970
Aruba,ABW,Assets,0.000,1971
Aruba,ABW,Assets,0.000,1972
Aruba,ABW,Assets,0.000,1973
Aruba,ABW,Assets,0.000,1974
Aruba,ABW,Assets,0.000,1975
Aruba,ABW,Assets,0.000,1976
Aruba,ABW,Assets,0.000,1977
Aruba,ABW,Assets,0.000,1978
Aruba,ABW,Assets,0.000,1979
Aruba,ABW,Assets,0.000,1980
Aruba,ABW,Assets,0.000,1981
Aruba,ABW,Assets,0.000,1982
Aruba,ABW,Assets,0.000,1983
Aruba,ABW,Assets,0.000,1984
Aruba,ABW,Assets,0.000,1985
Aruba,ABW,Assets,0.000,1986
Aruba,ABW,Assets,0.000,1987
Aruba,ABW,Assets,0.000,1988
Aruba,ABW,Assets,0.000,1989
Aruba,ABW,Assets,0.000,1990
Aruba,ABW,Assets,0.000,1991
Aruba,ABW,Assets,0.000,1992
Aruba,ABW,Assets,0.000,1993
Aruba,ABW,Assets,0.000,1994
Aruba,ABW,Assets,0.000,1995
Aruba,ABW,Assets,0.000,1996
Aruba,ABW,Assets,0.000,1997
Aruba,ABW,Assets,0.000,1998
Aruba,ABW,Assets,0.000,1999
Aruba,ABW,Assets,0.000,2000
Aruba,ABW,Assets,0.000,2001
Aruba,ABW,Assets,0.000,2002
Aruba,ABW,Assets,0.000,2003
Aruba,ABW,Assets,0.000,2004
Aruba,ABW,Assets,0.000,2005
Aruba,ABW,Assets,0.000,2006
Aruba,ABW,Assets,0.000,2007
Aruba,ABW,Assets,0.000,2008
Aruba,ABW,Assets,0.000,2009
Aruba,ABW,Assets,0.000,2010
Aruba,ABW,Assets,0.000,2011
Aruba,ABW,Assets,0.000,2012
Aruba,ABW,Assets,0.000,2013
Aruba,ABW,Assets,0.000,2014
Aruba,ABW,Assets,0.000,2015
Aruba,ABW,Assets,0.000,2016
Aruba,ABW,Assets,0.000,2017
Aruba,ABW,Assets,0.000,2018
Aruba,ABW,Assets,0.000,2019
Aruba,ABW,Assets,0.000,2020
Aruba,ABW,Assets,0.000,2021
Aruba,ABW,Assets,0.000,2022
Aruba,ABW,Assets,0.000,2023
Aruba,ABW,Children 0-14,10.769,1960
Aruba,ABW,Children 0-14,10.769,1961
Aruba,ABW,Children 0-14,10.769,1962
Aruba,ABW,Children 0-14,10.769,1963
Aruba,ABW,Children 0-14,10.769,1964
Aruba,ABW,Children 0-14,10.769,1965
Aruba,ABW,Children 0-14,10.769,1966
Aruba,ABW,Children 0-14,10.769,1967
