Country Name,Country Code,Topic,% of available indicators,Year
Afghanistan,AFG,Assets,0.000,1960
Afghanistan,AFG,Assets,0.000,1961
Afghanistan,AFG,Assets,0.000,1962
Afghanistan,AFG,Assets,0.000,1963
Afghanistan,AFG,Assets,0.000,1964
Afghanistan,AFG,Assets,0.000,1965
Afghanistan,AFG,Assets,0.000,1966
Afghanistan,AFG,Assets,0.000,1967
Afghanistan,AFG,Assets,0.000,1968
Afghanistan,AFG,Assets,0.000,1969
Afghanistan,AFG,Assets,2.208,1970
Afghanistan,AFG,Assets,2.208,1971
Afghanistan,AFG,Assets,2.208,1972
Afghanistan,AFG,Assets,2.208,1973
Afghanistan,AFG,Assets,2.208,1974
Afghanistan,AFG,Assets,2.208,1975
Afghanistan,AFG,Assets,2.208,1976
Afghanistan,AFG,Assets,2.208,1977
Afghanistan,AFG,Assets,2.208,1978
Afghanistan,AFG,Assets,2.208,1979
Afghanistan,AFG,Assets,2.208,1980
Afghanistan,AFG,Assets,2.208,1981
Afghanistan,AFG,Assets,2.208,1982
Afghanistan,AFG,Assets,2.208,1983
Afghanistan,AFG,Assets,2.208,1984
Afghanistan,AFG,Assets,2.208,1985
Afghanistan,AFG,Assets,2.208,1986
Afghanistan,AFG,Assets,2.208,1987
Afghanistan,AFG,Assets,2.208,1988
Afghanistan,AFG,Assets,2.208,1989
Afghanistan,AFG,Assets,2.208,1990
Afghanistan,AFG,Assets,2.208,1991
Afghanistan,AFG,Assets,2.208,1992
Afghanistan,AFG,Assets,2.208,1993
Afghanistan,AFG,Assets,2.208,1994
Afghanistan,AFG,Assets,2.208,1995
Afghanistan,AFG,Assets,2.208,1996
Afghanistan,AFG,Assets,2.208,1997
Afghanistan,AFG,Assets,2.208,1998
Afghanistan,AFG,Assets,2.208,1999
Afghanistan,AFG,Assets,2.208,2000
Afghanistan,AFG,Assets,2.208,2001
Afghanistan,AFG,Assets,2.208,2002
Afghanistan,AFG,Assets,2.208,2003
Afghanistan,AFG,Assets,2.208,2004
Afghanistan,AFG,Assets,2.208,2005
Afghanistan,AFG,Assets,2.208,2006
Afghanistan,AFG,Assets,2.208,2007
Afghanistan,AFG,Assets,2.208,2008
Afghanistan,AFG,Assets,2.208,2009
Afghanistan,AFG,Assets,2.208,2010
Afghanistan,AFG,Assets,11.672,2011
Afghanistan,AFG,Assets,2.208,2012
Afghanistan,AFG,Assets,2.208,2013
Afghanistan,AFG,Assets,30.599,2014
Afghanistan,AFG,Assets,32.492,2015
