Country Name,Country Code,Topic,% of available indicators,Year
Angola,AGO,Assets,0.000,1960
Angola,AGO,Assets,0.000,1961
Angola,AGO,Assets,0.000,1962
Angola,AGO,Assets,0.000,1963
Angola,AGO,Assets,0.000,1964
Angola,AGO,Assets,0.000,1965
Angola,AGO,Assets,0.000,1966
Angola,AGO,Assets,0.000,1967
Angola,AGO,Assets,0.000,1968
Angola,AGO,Assets,0.000,1969
Angola,AGO,Assets,2.208,1970
Angola,AGO,Assets,2.208,1971
Angola,AGO,Assets,2.208,1972
Angola,AGO,Assets,2.208,1973
Angola,AGO,Assets,2.208,1974
Angola,AGO,Assets,2.208,1975
Angola,AGO,Assets,2.208,1976
Angola,AGO,Assets,2.208,1977
Angola,AGO,Assets,2.208,1978
Angola,AGO,Assets,2.208,1979
Angola,AGO,Assets,2.208,1980
Angola,AGO,Assets,2.208,1981
Angola,AGO,Assets,2.208,1982
Angola,AGO,Assets,2.208,1983
Angola,AGO,Assets,2.208,1984
Angola,AGO,Assets,2.208,1985
Angola,AGO,Assets,2.208,1986
Angola,AGO,Assets,2.208,1987
Angola,AGO,Assets,2.208,1988
Angola,AGO,Assets,2.208,1989
Angola,AGO,Assets,2.208,1990
Angola,AGO,Assets,2.208,1991
Angola,AGO,Assets,2.208,1992
Angola,AGO,Assets,2.208,1993
Angola,AGO,Assets,2.208,1994
Angola,AGO,Assets,2.208,1995
Angola,AGO,Assets,2.208,1996
Angola,AGO,Assets,2.208,1997
Angola,AGO,Assets,2.208,1998
Angola,AGO,Assets,2.208,1999
Angola,AGO,Assets,2.208,2000
Angola,AGO,Assets,2.208,2001
Angola,AGO,Assets,2.208,2002
Angola,AGO,Assets,2.208,2003
Angola,AGO,Assets,2.208,2004
Angola,AGO,Assets,2.208,2005
Angola,AGO,Assets,2.208,2006
Angola,AGO,Assets,2.208,2007
Angola,AGO,Assets,2.208,2008
Angola,AGO,Assets,2.208,2009
Angola,AGO,Assets,2.208,2010
Angola,AGO,Assets,11.672,2011
Angola,AGO,Assets,2.208,2012
Angola,AGO,Assets,2.208,2013
Angola,AGO,Assets,30.599,2014
Angola,AGO,Assets,2.208,2015
Angola,AGO,Assets,13.565,2016
Angola,AGO,Assets,2.208,2017
Angola,AGO,Assets,2.208,2018
Angola,AGO,Assets,2.208,2019
Angola,AGO,Assets,2.208,2020
Angola,AGO,Assets,2.208,2021
Angola,AGO,Assets,2.208,2022
Angola,AGO,Assets,2.208,2023
Angola,AGO,Children 0-14,10.769,1960
Angola,AGO,Children 0-14,10.769,1961
Angola,AGO,Children 0-14,10.769,1962
Angola,AGO,Children 0-14,10.769,1963
Angola,AGO,Children 0-14,10.769,1964
Angola,AGO,Children 0-14,10.769,1965
Angola,AGO,Children 0-14,10.769,1966
Angola,AGO,Children 0-14,10.769,1967
Angola,AGO,Children 0-14,10.769,1968
Angola,AGO,Children 0-14,10.769,1969
Angola,AGO,Children 0-14,10.769,1970
Angola,AGO,Children 0-14,14.615,1971
Angola,AGO,Children 0-14,14.615,1972
Angola,AGO,Children 0-14,11.538,1973
Angola,AGO,Children 0-14,11.538,1974
Angola,AGO,Children 0-14,10.769,1975
Angola,AGO,Children 0-14,10.769,1976
Angola,AGO,Children 0-14,10.769,1977
Angola,AGO,Children 0-14,10.769,1978
Angola,AGO,Children 0-14,10.769,1979
Angola,AGO,Children 0-14,16.154,1980
Angola,AGO,Children 0-14,22.308,1981
Angola,AGO,Children 0-14,33.846,1982
Angola,AGO,Children 0-14,31.538,1983
Angola,AGO,Children 0-14,20.769,1984
Angola,AGO,Children 0-14,22.308,1985
Angola,AGO,Children 0-14,26.923,1986
Angola,AGO,Children 0-14,26.923,1987
Angola,AGO,Children 0-14,26.923,1988
Angola,AGO,Children 0-14,26.923,1989
Angola,AGO,Children 0-14,26.923,1990
Angola,AGO,Children 0-14,28.462,1991
Angola,AGO,Children 0-14,26.923,1992
Angola,AGO,Children 0-14,20.769,1993
Angola,AGO,Children 0-14,20.769,1994
Angola,AGO,Children 0-14,20.769,1995
Angola,AGO,Children 0-14,32.308,1996
Angola,AGO,Children 0-14,20.769,1997
Angola,AGO,Children 0-14,40.769,1998
Angola,AGO,Children 0-14,26.154,1999
Angola,AGO,Children 0-14,37.692,2000
Angola,AGO,Children 0-14,26.923,2001
Angola,AGO,Children 0-14,23.846,2002
Angola,AGO,Children 0-14,20.769,2003
Angola,AGO,Children 0-14,20.769,2004
Angola,AGO,Children 0-14,20.769,2005
Angola,AGO,Children 0-14,20.769,2006
Angola,AGO,Children 0-14,28.462,2007
Angola,AGO,Children 0-14,49.231,2008
Angola,AGO,Children 0-14,49.231,2009
Angola,AGO,Children 0-14,63.846,2010
Angola,AGO,Children 0-14,50.000,2011
Angola,AGO,Children 0-14,20.769,2012
Angola,AGO,Children 0-14,20.769,2013
Angola,AGO,Children 0-14,25.385,2014
Angola,AGO,Children 0-14,54.615,2015
Angola,AGO,Children 0-14,36.923,2016
Angola,AGO,Children 0-14,28.462,2017
Angola,AGO,Children 0-14,28.462,2018
Angola,AGO,Children 0-14,39.231,2019
