Country Name,Country Code,Topic,% of available indicators,Year
Albania,ALB,Assets,0.000,1960
Albania,ALB,Assets,0.000,1961
Albania,ALB,Assets,0.000,1962
Albania,ALB,Assets,0.000,1963
Albania,ALB,Assets,0.000,1964
Albania,ALB,Assets,0.000,1965
Albania,ALB,Assets,0.000,1966
Albania,ALB,Assets,0.000,1967
Albania,ALB,Assets,0.000,1968
Albania,ALB,Assets,0.000,1969
Albania,ALB,Assets,2.208,1970
Albania,ALB,Assets,2.208,1971
Albania,ALB,Assets,2.208,1972
Albania,ALB,Assets,2.208,1973
Albania,ALB,Assets,2.208,1974
Albania,ALB,Assets,2.208,1975
Albania,ALB,Assets,2.208,1976
Albania,ALB,Assets,2.208,1977
Albania,ALB,Assets,2.208,1978
Albania,ALB,Assets,2.208,1979
Albania,ALB,Assets,2.208,1980
Albania,ALB,Assets,2.208,1981
Albania,ALB,Assets,2.208,1982
Albania,ALB,Assets,2.208,1983
Albania,ALB,Assets,2.208,1984
Albania,ALB,Assets,2.208,1985
Albania,ALB,Assets,2.208,1986
Albania,ALB,Assets,2.208,1987
Albania,ALB,Assets,2.208,1988
Albania,ALB,Assets,2.208,1989
Albania,ALB,Assets,2.208,1990
Albania,ALB,Assets,2.208,1991
Albania,ALB,Assets,2.208,1992
Albania,ALB,Assets,2.208,1993
Albania,ALB,Assets,2.208,1994
Albania,ALB,Assets,2.208,1995
Albania,ALB,Assets,2.208,1996
Albania,ALB,Assets,2.208,1997
Albania,ALB,Assets,2.208,1998
Albania,ALB,Assets,2.208,1999
Albania,ALB,Assets,2.208,2000
Albania,ALB,Assets,2.208,2001
Albania,ALB,Assets,2.208,2002
Albania,ALB,Assets,2.208,2003
Albania,ALB,Assets,2.208,2004
Albania,ALB,Assets,2.208,2005
Albania,ALB,Assets,2.208,2006
Albania,ALB,Assets,2.208,2007
Albania,ALB,Assets,2.208,2008
Albania,ALB,Assets,2.208,2009
Albania,ALB,Assets,2.208,2010
Albania,ALB,Assets,11.672,2011
Albania,ALB,Assets,2.208,2012
Albania,ALB,Assets,2.208,2013
Albania,ALB,Assets,30.599,2014
Albania,ALB,Assets,2.208,2015
Albania,ALB,Assets,2.208,2016
Albania,ALB,Assets,34.069,2017
Albania,ALB,Assets,32.492,2018
Albania,ALB,Assets,2.208,2019
Albania,ALB,Assets,2.208,2020
Albania,ALB,Assets,61.199,2021
Albania,ALB,Assets,2.208,2022
Albania,ALB,Assets,2.208,2023
Albania,ALB,Children 0-14,10.769,1960
Albania,ALB,Children 0-14,10.769,1961
Albania,ALB,Children 0-14,10.769,1962
Albania,ALB,Children 0-14,10.769,1963
Albania,ALB,Children 0-14,10.769,1964
Albania,ALB,Children 0-14,10.769,1965
Albania,ALB,Children 0-14,10.769,1966
Albania,ALB,Children 0-14,10.769,1967
Albania,ALB,Children 0-14,10.769,1968
Albania,ALB,Children 0-14,10.769,1969
Albania,ALB,Children 0-14,10.769,1970
Albania,ALB,Children 0-14,11.538,1971
Albania,ALB,Children 0-14,11.538,1972
Albania,ALB,Children 0-14,10.769,1973
Albania,ALB,Children 0-14,10.769,1974
Albania,ALB,Children 0-14,10.769,1975
Albania,ALB,Children 0-14,14.615,1976
Albania,ALB,Children 0-14,10.769,1977
Albania,ALB,Children 0-14,19.231,1978
Albania,ALB,Children 0-14,21.538,1979
Albania,ALB,Children 0-14,23.846,1980
Albania,ALB,Children 0-14,23.846,1981
Albania,ALB,Children 0-14,23.846,1982
Albania,ALB,Children 0-14,25.385,1983
Albania,ALB,Children 0-14,25.385,1984
Albania,ALB,Children 0-14,25.385,1985
Albania,ALB,Children 0-14,25.385,1986
Albania,ALB,Children 0-14,25.385,1987
Albania,ALB,Children 0-14,25.385,1988
Albania,ALB,Children 0-14,25.385,1989
Albania,ALB,Children 0-14,25.385,1990
Albania,ALB,Children 0-14,26.923,1991
Albania,ALB,Children 0-14,26.923,1992
Albania,ALB,Children 0-14,26.923,1993
Albania,ALB,Children 0-14,26.923,1994
Albania,ALB,Children 0-14,28.462,1995
Albania,ALB,Children 0-14,32.308,1996
Albania,ALB,Children 0-14,26.923,1997
Albania,ALB,Children 0-14,25.385,1998
Albania,ALB,Children 0-14,33.077,1999
Albania,ALB,Children 0-14,44.615,2000
Albania,ALB,Children 0-14,34.615,2001
Albania,ALB,Children 0-14,25.385,2002
Albania,ALB,Children 0-14,40.000,2003
Albania,ALB,Children 0-14,37.692,2004
Albania,ALB,Children 0-14,42.308,2005
Albania,ALB,Children 0-14,27.692,2006
Albania,ALB,Children 0-14,32.308,2007
Albania,ALB,Children 0-14,46.154,2008
Albania,ALB,Children 0-14,60.769,2009
Albania,ALB,Children 0-14,71.538,2010
Albania,ALB,Children 0-14,50.769,2011
Albania,ALB,Children 0-14,50.769,2012
Albania,ALB,Children 0-14,50.769,2013
Albania,ALB,Children 0-14,46.154,2014
Albania,ALB,Children 0-14,60.000,2015
Albania,ALB,Children 0-14,43.846,2016
Albania,ALB,Children 0-14,62.308,2017
Albania,ALB,Children 0-14,56.154,2018
Albania,ALB,Children 0-14,52.308,2019
Albania,ALB,Children 0-14,40.000,2020
Albania,ALB,Children 0-14,40.769,2021
Albania,ALB,Children 0-14,36.923,2022
Albania,ALB,Children 0-14,19.231,2023
Albania,ALB,Education,0.000,1960
Albania,ALB,Education,0.000,1961
Albania,ALB,Education,0.000,1962
Albania,ALB,Education,0.000,1963
Albania,ALB,Education,0.000,1964
Albania,ALB,Education,0.000,1965
Albania,ALB,Education,0.000,1966
Albania,ALB,Education,0.000,1967
Albania,ALB,Education,0.000,1968
Albania,ALB,Education,0.000,1969
Albania,ALB,Education,0.000,1970
Albania,ALB,Education,3.681,1971
Albania,ALB,Education,3.067,1972
Albania,ALB,Education,0.000,1973
Albania,ALB,Education,0.000,1974
Albania,ALB,Education,0.000,1975
Albania,ALB,Education,9.816,1976
Albania,ALB,Education,0.000,1977
Albania,ALB,Education,14.724,1978
Albania,ALB,Education,9.816,1979
Albania,ALB,Education,10.429,1980
Albania,ALB,Education,15.337,1981
Albania,ALB,Education,10.429,1982
Albania,ALB,Education,15.337,1983
Albania,ALB,Education,15.337,1984
Albania,ALB,Education,15.337,1985
Albania,ALB,Education,15.337,1986
Albania,ALB,Education,15.337,1987
Albania,ALB,Education,15.337,1988
Albania,ALB,Education,15.337,1989
Albania,ALB,Education,14.724,1990
Albania,ALB,Education,16.564,1991
Albania,ALB,Education,13.497,1992
Albania,ALB,Education,13.497,1993
Albania,ALB,Education,17.178,1994
Albania,ALB,Education,20.245,1995
Albania,ALB,Education,18.405,1996
Albania,ALB,Education,14.724,1997
Albania,ALB,Education,11.656,1998
Albania,ALB,Education,24.540,1999
Albania,ALB,Education,28.221,2000
Albania,ALB,Education,35.583,2001
Albania,ALB,Education,12.883,2002
Albania,ALB,Education,33.129,2003
Albania,ALB,Education,27.607,2004
Albania,ALB,Education,16.564,2005
