Country Name,Country Code,Topic,% of available indicators,Year
United Arab Emirates,ARE,Assets,0.000,1960
United Arab Emirates,ARE,Assets,0.000,1961
United Arab Emirates,ARE,Assets,0.000,1962
United Arab Emirates,ARE,Assets,0.000,1963
United Arab Emirates,ARE,Assets,0.000,1964
United Arab Emirates,ARE,Assets,0.000,1965
United Arab Emirates,ARE,Assets,0.000,1966
United Arab Emirates,ARE,Assets,0.000,1967
United Arab Emirates,ARE,Assets,0.000,1968
United Arab Emirates,ARE,Assets,0.000,1969
United Arab Emirates,ARE,Assets,2.208,1970
United Arab Emirates,ARE,Assets,2.208,1971
United Arab Emirates,ARE,Assets,2.208,1972
United Arab Emirates,ARE,Assets,2.208,1973
United Arab Emirates,ARE,Assets,2.208,1974
United Arab Emirates,ARE,Assets,2.208,1975
United Arab Emirates,ARE,Assets,2.208,1976
United Arab Emirates,ARE,Assets,2.208,1977
United Arab Emirates,ARE,Assets,2.208,1978
United Arab Emirates,ARE,Assets,2.208,1979
United Arab Emirates,ARE,Assets,2.208,1980
United Arab Emirates,ARE,Assets,2.208,1981
United Arab Emirates,ARE,Assets,2.208,1982
United Arab Emirates,ARE,Assets,2.208,1983
United Arab Emirates,ARE,Assets,2.208,1984
United Arab Emirates,ARE,Assets,2.208,1985
United Arab Emirates,ARE,Assets,2.208,1986
United Arab Emirates,ARE,Assets,2.208,1987
United Arab Emirates,ARE,Assets,2.208,1988
United Arab Emirates,ARE,Assets,2.208,1989
United Arab Emirates,ARE,Assets,2.208,1990
United Arab Emirates,ARE,Assets,2.208,1991
United Arab Emirates,ARE,Assets,2.208,1992
United Arab Emirates,ARE,Assets,2.208,1993
United Arab Emirates,ARE,Assets,2.208,1994
United Arab Emirates,ARE,Assets,2.208,1995
United Arab Emirates,ARE,Assets,2.208,1996
United Arab Emirates,ARE,Assets,2.208,1997
United Arab Emirates,ARE,Assets,2.208,1998
United Arab Emirates,ARE,Assets,2.208,1999
United Arab Emirates,ARE,Assets,2.208,2000
United Arab Emirates,ARE,Assets,2.208,2001
United Arab Emirates,ARE,Assets,2.208,2002
United Arab Emirates,ARE,Assets,2.208,2003
United Arab Emirates,ARE,Assets,2.208,2004
United Arab Emirates,ARE,Assets,2.208,2005
United Arab Emirates,ARE,Assets,2.208,2006
United Arab Emirates,ARE,Assets,2.208,2007
United Arab Emirates,ARE,Assets,2.208,2008
United Arab Emirates,ARE,Assets,2.208,2009
United Arab Emirates,ARE,Assets,2.208,2010
United Arab Emirates,ARE,Assets,10.726,2011
United Arab Emirates,ARE,Assets,2.208,2012
United Arab Emirates,ARE,Assets,2.208,2013
United Arab Emirates,ARE,Assets,25.868,2014
United Arab Emirates,ARE,Assets,2.208,2015
United Arab Emirates,ARE,Assets,2.208,2016
United Arab Emirates,ARE,Assets,27.760,2017
United Arab Emirates,ARE,Assets,2.208,2018
United Arab Emirates,ARE,Assets,2.208,2019
United Arab Emirates,ARE,Assets,2.208,2020
United Arab Emirates,ARE,Assets,53.628,2021
United Arab Emirates,ARE,Assets,2.208,2022
United Arab Emirates,ARE,Assets,2.208,2023
United Arab Emirates,ARE,Children 0-14,11.538,1960
United Arab Emirates,ARE,Children 0-14,11.538,1961
United Arab Emirates,ARE,Children 0-14,11.538,1962
United Arab Emirates,ARE,Children 0-14,11.538,1963
