Country Name,Country Code,Topic,% of available indicators,Year
Argentina,ARG,Assets,0.000,1960
Argentina,ARG,Assets,0.000,1961
Argentina,ARG,Assets,0.000,1962
Argentina,ARG,Assets,0.000,1963
Argentina,ARG,Assets,0.000,1964
Argentina,ARG,Assets,0.000,1965
Argentina,ARG,Assets,0.000,1966
Argentina,ARG,Assets,0.000,1967
Argentina,ARG,Assets,0.000,1968
Argentina,ARG,Assets,0.000,1969
Argentina,ARG,Assets,2.208,1970
Argentina,ARG,Assets,2.208,1971
Argentina,ARG,Assets,2.208,1972
Argentina,ARG,Assets,2.208,1973
Argentina,ARG,Assets,2.208,1974
Argentina,ARG,Assets,2.208,1975
Argentina,ARG,Assets,2.208,1976
Argentina,ARG,Assets,2.208,1977
Argentina,ARG,Assets,2.208,1978
Argentina,ARG,Assets,2.208,1979
Argentina,ARG,Assets,2.208,1980
Argentina,ARG,Assets,2.208,1981
Argentina,ARG,Assets,2.208,1982
Argentina,ARG,Assets,2.208,1983
Argentina,ARG,Assets,2.208,1984
Argentina,ARG,Assets,2.208,1985
Argentina,ARG,Assets,2.208,1986
Argentina,ARG,Assets,2.208,1987
Argentina,ARG,Assets,2.208,1988
Argentina,ARG,Assets,2.208,1989
Argentina,ARG,Assets,2.208,1990
Argentina,ARG,Assets,2.208,1991
Argentina,ARG,Assets,2.208,1992
Argentina,ARG,Assets,2.208,1993
Argentina,ARG,Assets,2.208,1994
Argentina,ARG,Assets,2.208,1995
Argentina,ARG,Assets,2.208,1996
Argentina,ARG,Assets,2.208,1997
Argentina,ARG,Assets,2.208,1998
Argentina,ARG,Assets,2.208,1999
Argentina,ARG,Assets,2.208,2000
Argentina,ARG,Assets,2.208,2001
Argentina,ARG,Assets,2.208,2002
Argentina,ARG,Assets,2.208,2003
Argentina,ARG,Assets,2.208,2004
Argentina,ARG,Assets,2.208,2005
Argentina,ARG,Assets,2.208,2006
Argentina,ARG,Assets,2.208,2007
Argentina,ARG,Assets,2.208,2008
Argentina,ARG,Assets,2.208,2009
Argentina,ARG,Assets,2.208,2010
Argentina,ARG,Assets,11.672,2011
Argentina,ARG,Assets,2.208,2012
Argentina,ARG,Assets,2.208,2013
Argentina,ARG,Assets,31.546,2014
Argentina,ARG,Assets,2.208,2015
Argentina,ARG,Assets,2.208,2016
Argentina,ARG,Assets,34.069,2017
Argentina,ARG,Assets,2.208,2018
Argentina,ARG,Assets,2.208,2019
Argentina,ARG,Assets,2.208,2020
Argentina,ARG,Assets,63.091,2021
Argentina,ARG,Assets,2.208,2022
Argentina,ARG,Assets,2.208,2023
Argentina,ARG,Children 0-14,10.769,1960
Argentina,ARG,Children 0-14,10.769,1961
Argentina,ARG,Children 0-14,10.769,1962
Argentina,ARG,Children 0-14,10.769,1963
Argentina,ARG,Children 0-14,10.769,1964
Argentina,ARG,Children 0-14,10.769,1965
Argentina,ARG,Children 0-14,10.769,1966
Argentina,ARG,Children 0-14,10.769,1967
Argentina,ARG,Children 0-14,10.769,1968
Argentina,ARG,Children 0-14,15.385,1969
Argentina,ARG,Children 0-14,43.077,1970
Argentina,ARG,Children 0-14,29.231,1971
Argentina,ARG,Children 0-14,23.846,1972
Argentina,ARG,Children 0-14,23.846,1973
Argentina,ARG,Children 0-14,36.923,1974
Argentina,ARG,Children 0-14,38.462,1975
Argentina,ARG,Children 0-14,28.462,1976
Argentina,ARG,Children 0-14,25.385,1977
Argentina,ARG,Children 0-14,23.077,1978
Argentina,ARG,Children 0-14,23.846,1979
Argentina,ARG,Children 0-14,30.000,1980
Argentina,ARG,Children 0-14,26.923,1981
Argentina,ARG,Children 0-14,26.923,1982
Argentina,ARG,Children 0-14,23.077,1983
Argentina,ARG,Children 0-14,26.923,1984
Argentina,ARG,Children 0-14,26.923,1985
Argentina,ARG,Children 0-14,26.923,1986
Argentina,ARG,Children 0-14,30.000,1987
Argentina,ARG,Children 0-14,26.923,1988
Argentina,ARG,Children 0-14,20.769,1989
Argentina,ARG,Children 0-14,24.615,1990
Argentina,ARG,Children 0-14,38.462,1991
Argentina,ARG,Children 0-14,20.769,1992
Argentina,ARG,Children 0-14,20.769,1993
Argentina,ARG,Children 0-14,26.923,1994
Argentina,ARG,Children 0-14,20.769,1995
Argentina,ARG,Children 0-14,34.615,1996
Argentina,ARG,Children 0-14,33.077,1997
Argentina,ARG,Children 0-14,33.077,1998
Argentina,ARG,Children 0-14,39.231,1999
Argentina,ARG,Children 0-14,53.077,2000
Argentina,ARG,Children 0-14,43.846,2001
Argentina,ARG,Children 0-14,39.231,2002
Argentina,ARG,Children 0-14,43.846,2003
Argentina,ARG,Children 0-14,42.308,2004
Argentina,ARG,Children 0-14,46.154,2005
Argentina,ARG,Children 0-14,45.385,2006
Argentina,ARG,Children 0-14,40.000,2007
Argentina,ARG,Children 0-14,39.231,2008
Argentina,ARG,Children 0-14,39.231,2009
Argentina,ARG,Children 0-14,57.692,2010
Argentina,ARG,Children 0-14,39.231,2011
Argentina,ARG,Children 0-14,42.308,2012
Argentina,ARG,Children 0-14,45.385,2013
Argentina,ARG,Children 0-14,39.231,2014
Argentina,ARG,Children 0-14,53.077,2015
Argentina,ARG,Children 0-14,39.231,2016
Argentina,ARG,Children 0-14,41.538,2017
Argentina,ARG,Children 0-14,50.000,2018
Argentina,ARG,Children 0-14,48.462,2019
Argentina,ARG,Children 0-14,40.769,2020
Argentina,ARG,Children 0-14,30.769,2021
Argentina,ARG,Children 0-14,29.231,2022
Argentina,ARG,Children 0-14,9.231,2023
Argentina,ARG,Education,0.000,1960
Argentina,ARG,Education,0.000,1961
Argentina,ARG,Education,0.000,1962
Argentina,ARG,Education,0.000,1963
Argentina,ARG,Education,0.000,1964
Argentina,ARG,Education,0.000,1965
Argentina,ARG,Education,0.000,1966
Argentina,ARG,Education,0.000,1967
Argentina,ARG,Education,0.000,1968
Argentina,ARG,Education,0.000,1969
Argentina,ARG,Education,37.423,1970
