Country Name,Country Code,Topic,% of available indicators,Year
American Samoa,ASM,Assets,0.000,1960
American Samoa,ASM,Assets,0.000,1961
American Samoa,ASM,Assets,0.000,1962
American Samoa,ASM,Assets,0.000,1963
American Samoa,ASM,Assets,0.000,1964
American Samoa,ASM,Assets,0.000,1965
American Samoa,ASM,Assets,0.000,1966
American Samoa,ASM,Assets,0.000,1967
American Samoa,ASM,Assets,0.000,1968
American Samoa,ASM,Assets,0.000,1969
American Samoa,ASM,Assets,0.000,1970
American Samoa,ASM,Assets,0.000,1971
American Samoa,ASM,Assets,0.000,1972
American Samoa,ASM,Assets,0.000,1973
American Samoa,ASM,Assets,0.000,1974
American Samoa,ASM,Assets,0.000,1975
American Samoa,ASM,Assets,0.000,1976
American Samoa,ASM,Assets,0.000,1977
American Samoa,ASM,Assets,0.000,1978
American Samoa,ASM,Assets,0.000,1979
American Samoa,ASM,Assets,0.000,1980
American Samoa,ASM,Assets,0.000,1981
American Samoa,ASM,Assets,0.000,1982
American Samoa,ASM,Assets,0.000,1983
American Samoa,ASM,Assets,0.000,1984
American Samoa,ASM,Assets,0.000,1985
American Samoa,ASM,Assets,0.000,1986
American Samoa,ASM,Assets,0.000,1987
American Samoa,ASM,Assets,0.000,1988
American Samoa,ASM,Assets,0.000,1989
American Samoa,ASM,Assets,0.000,1990
American Samoa,ASM,Assets,0.000,1991
American Samoa,ASM,Assets,0.000,1992
American Samoa,ASM,Assets,0.000,1993
American Samoa,ASM,Assets,0.000,1994
American Samoa,ASM,Assets,0.000,1995
American Samoa,ASM,Assets,0.000,1996
American Samoa,ASM,Assets,0.000,1997
American Samoa,ASM,Assets,0.000,1998
American Samoa,ASM,Assets,0.000,1999
American Samoa,ASM,Assets,0.000,2000
American Samoa,ASM,Assets,0.000,2001
American Samoa,ASM,Assets,0.000,2002
American Samoa,ASM,Assets,0.000,2003
American Samoa,ASM,Assets,0.000,2004
American Samoa,ASM,Assets,0.000,2005
American Samoa,ASM,Assets,0.000,2006
American Samoa,ASM,Assets,0.000,2007
American Samoa,ASM,Assets,0.000,2008
American Samoa,ASM,Assets,0.000,2009
American Samoa,ASM,Assets,0.000,2010
American Samoa,ASM,Assets,0.000,2011
American Samoa,ASM,Assets,0.000,2012
American Samoa,ASM,Assets,0.000,2013
American Samoa,ASM,Assets,0.000,2014
American Samoa,ASM,Assets,0.000,2015
American Samoa,ASM,Assets,0.000,2016
American Samoa,ASM,Assets,0.000,2017
American Samoa,ASM,Assets,0.000,2018
American Samoa,ASM,Assets,0.000,2019
American Samoa,ASM,Assets,0.000,2020
American Samoa,ASM,Assets,0.000,2021
American Samoa,ASM,Assets,0.000,2022
American Samoa,ASM,Assets,0.000,2023
American Samoa,ASM,Children 0-14,8.462,1960
American Samoa,ASM,Children 0-14,8.462,1961
American Samoa,ASM,Children 0-14,8.462,1962
American Samoa,ASM,Children 0-14,8.462,1963
American Samoa,ASM,Children 0-14,8.462,1964
American Samoa,ASM,Children 0-14,8.462,1965
American Samoa,ASM,Children 0-14,8.462,1966
American Samoa,ASM,Children 0-14,8.462,1967
American Samoa,ASM,Children 0-14,8.462,1968
American Samoa,ASM,Children 0-14,8.462,1969
American Samoa,ASM,Children 0-14,8.462,1970
American Samoa,ASM,Children 0-14,8.462,1971
American Samoa,ASM,Children 0-14,8.462,1972
American Samoa,ASM,Children 0-14,8.462,1973
American Samoa,ASM,Children 0-14,13.077,1974
