Country Name,Country Code,Topic,% of available indicators,Year
Antigua and Barbuda,ATG,Assets,0.000,1960
Antigua and Barbuda,ATG,Assets,0.000,1961
Antigua and Barbuda,ATG,Assets,0.000,1962
Antigua and Barbuda,ATG,Assets,0.000,1963
Antigua and Barbuda,ATG,Assets,0.000,1964
Antigua and Barbuda,ATG,Assets,0.000,1965
Antigua and Barbuda,ATG,Assets,0.000,1966
Antigua and Barbuda,ATG,Assets,0.000,1967
Antigua and Barbuda,ATG,Assets,0.000,1968
Antigua and Barbuda,ATG,Assets,0.000,1969
Antigua and Barbuda,ATG,Assets,2.208,1970
Antigua and Barbuda,ATG,Assets,2.208,1971
Antigua and Barbuda,ATG,Assets,2.208,1972
Antigua and Barbuda,ATG,Assets,2.208,1973
Antigua and Barbuda,ATG,Assets,2.208,1974
Antigua and Barbuda,ATG,Assets,2.208,1975
Antigua and Barbuda,ATG,Assets,2.208,1976
Antigua and Barbuda,ATG,Assets,2.208,1977
Antigua and Barbuda,ATG,Assets,2.208,1978
Antigua and Barbuda,ATG,Assets,2.208,1979
Antigua and Barbuda,ATG,Assets,2.208,1980
Antigua and Barbuda,ATG,Assets,2.208,1981
Antigua and Barbuda,ATG,Assets,2.208,1982
Antigua and Barbuda,ATG,Assets,2.208,1983
Antigua and Barbuda,ATG,Assets,2.208,1984
Antigua and Barbuda,ATG,Assets,2.208,1985
Antigua and Barbuda,ATG,Assets,2.208,1986
Antigua and Barbuda,ATG,Assets,2.208,1987
Antigua and Barbuda,ATG,Assets,2.208,1988
Antigua and Barbuda,ATG,Assets,2.208,1989
Antigua and Barbuda,ATG,Assets,2.208,1990
Antigua and Barbuda,ATG,Assets,2.208,1991
Antigua and Barbuda,ATG,Assets,2.208,1992
Antigua and Barbuda,ATG,Assets,2.208,1993
Antigua and Barbuda,ATG,Assets,2.208,1994
Antigua and Barbuda,ATG,Assets,2.208,1995
Antigua and Barbuda,ATG,Assets,2.208,1996
Antigua and Barbuda,ATG,Assets,2.208,1997
Antigua and Barbuda,ATG,Assets,2.208,1998
Antigua and Barbuda,ATG,Assets,2.208,1999
Antigua and Barbuda,ATG,Assets,2.208,2000
Antigua and Barbuda,ATG,Assets,2.208,2001
Antigua and Barbuda,ATG,Assets,2.208,2002
Antigua and Barbuda,ATG,Assets,2.208,2003
Antigua and Barbuda,ATG,Assets,2.208,2004
Antigua and Barbuda,ATG,Assets,2.208,2005
Antigua and Barbuda,ATG,Assets,2.208,2006
Antigua and Barbuda,ATG,Assets,2.208,2007
Antigua and Barbuda,ATG,Assets,2.208,2008
