Country Name,Country Code,Topic,% of available indicators,Year
Australia,AUS,Assets,0.000,1960
Australia,AUS,Assets,0.000,1961
Australia,AUS,Assets,0.000,1962
Australia,AUS,Assets,0.000,1963
Australia,AUS,Assets,0.000,1964
Australia,AUS,Assets,0.000,1965
Australia,AUS,Assets,0.000,1966
Australia,AUS,Assets,0.000,1967
Australia,AUS,Assets,0.000,1968
Australia,AUS,Assets,0.000,1969
Australia,AUS,Assets,2.208,1970
Australia,AUS,Assets,2.208,1971
Australia,AUS,Assets,2.208,1972
Australia,AUS,Assets,2.208,1973
Australia,AUS,Assets,2.208,1974
Australia,AUS,Assets,2.208,1975
Australia,AUS,Assets,2.208,1976
Australia,AUS,Assets,2.208,1977
Australia,AUS,Assets,2.208,1978
Australia,AUS,Assets,2.208,1979
Australia,AUS,Assets,2.208,1980
Australia,AUS,Assets,2.208,1981
Australia,AUS,Assets,2.208,1982
Australia,AUS,Assets,2.208,1983
Australia,AUS,Assets,2.208,1984
Australia,AUS,Assets,2.208,1985
Australia,AUS,Assets,2.208,1986
Australia,AUS,Assets,2.208,1987
Australia,AUS,Assets,2.208,1988
Australia,AUS,Assets,2.208,1989
Australia,AUS,Assets,2.208,1990
Australia,AUS,Assets,2.208,1991
Australia,AUS,Assets,2.208,1992
Australia,AUS,Assets,2.208,1993
Australia,AUS,Assets,2.208,1994
Australia,AUS,Assets,2.208,1995
Australia,AUS,Assets,2.208,1996
Australia,AUS,Assets,2.208,1997
Australia,AUS,Assets,2.208,1998
Australia,AUS,Assets,2.208,1999
Australia,AUS,Assets,2.208,2000
Australia,AUS,Assets,2.208,2001
Australia,AUS,Assets,2.208,2002
Australia,AUS,Assets,2.208,2003
Australia,AUS,Assets,2.208,2004
Australia,AUS,Assets,2.208,2005
Australia,AUS,Assets,2.208,2006
Australia,AUS,Assets,2.208,2007
Australia,AUS,Assets,2.208,2008
Australia,AUS,Assets,2.208,2009
Australia,AUS,Assets,2.208,2010
Australia,AUS,Assets,10.726,2011
Australia,AUS,Assets,2.208,2012
Australia,AUS,Assets,2.208,2013
Australia,AUS,Assets,24.921,2014
Australia,AUS,Assets,2.208,2015
Australia,AUS,Assets,2.208,2016
Australia,AUS,Assets,26.814,2017
Australia,AUS,Assets,2.208,2018
Australia,AUS,Assets,2.208,2019
Australia,AUS,Assets,2.208,2020
Australia,AUS,Assets,51.104,2021
Australia,AUS,Assets,2.208,2022
Australia,AUS,Assets,2.208,2023
Australia,AUS,Children 0-14,19.231,1960
Australia,AUS,Children 0-14,19.231,1961
