Country Name,Country Code,Topic,% of available indicators,Year
Austria,AUT,Assets,0.000,1960
Austria,AUT,Assets,0.000,1961
Austria,AUT,Assets,0.000,1962
Austria,AUT,Assets,0.000,1963
Austria,AUT,Assets,0.000,1964
Austria,AUT,Assets,0.000,1965
Austria,AUT,Assets,0.000,1966
Austria,AUT,Assets,0.000,1967
Austria,AUT,Assets,0.000,1968
Austria,AUT,Assets,0.000,1969
Austria,AUT,Assets,2.208,1970
Austria,AUT,Assets,2.208,1971
Austria,AUT,Assets,2.208,1972
Austria,AUT,Assets,2.208,1973
Austria,AUT,Assets,2.208,1974
Austria,AUT,Assets,2.208,1975
Austria,AUT,Assets,2.208,1976
Austria,AUT,Assets,2.208,1977
Austria,AUT,Assets,2.208,1978
Austria,AUT,Assets,2.208,1979
Austria,AUT,Assets,2.208,1980
Austria,AUT,Assets,2.208,1981
Austria,AUT,Assets,2.208,1982
Austria,AUT,Assets,2.208,1983
Austria,AUT,Assets,2.208,1984
Austria,AUT,Assets,2.208,1985
Austria,AUT,Assets,2.208,1986
Austria,AUT,Assets,2.208,1987
Austria,AUT,Assets,2.208,1988
Austria,AUT,Assets,2.208,1989
Austria,AUT,Assets,2.208,1990
Austria,AUT,Assets,2.208,1991
Austria,AUT,Assets,2.208,1992
Austria,AUT,Assets,2.208,1993
Austria,AUT,Assets,2.208,1994
Austria,AUT,Assets,2.208,1995
Austria,AUT,Assets,2.208,1996
Austria,AUT,Assets,2.208,1997
Austria,AUT,Assets,2.208,1998
Austria,AUT,Assets,2.208,1999
Austria,AUT,Assets,2.208,2000
Austria,AUT,Assets,2.208,2001
Austria,AUT,Assets,2.208,2002
Austria,AUT,Assets,2.208,2003
Austria,AUT,Assets,2.208,2004
Austria,AUT,Assets,2.208,2005
Austria,AUT,Assets,2.208,2006
Austria,AUT,Assets,2.208,2007
Austria,AUT,Assets,2.208,2008
Austria,AUT,Assets,2.208,2009
Austria,AUT,Assets,2.208,2010
Austria,AUT,Assets,10.726,2011
Austria,AUT,Assets,2.208,2012
Austria,AUT,Assets,2.208,2013
Austria,AUT,Assets,24.921,2014
Austria,AUT,Assets,2.208,2015
Austria,AUT,Assets,2.208,2016
Austria,AUT,Assets,26.814,2017
Austria,AUT,Assets,2.208,2018
Austria,AUT,Assets,2.208,2019
Austria,AUT,Assets,2.208,2020
Austria,AUT,Assets,51.104,2021
Austria,AUT,Assets,2.208,2022
Austria,AUT,Assets,2.208,2023
Austria,AUT,Children 0-14,19.231,1960
Austria,AUT,Children 0-14,19.231,1961
Austria,AUT,Children 0-14,19.231,1962
Austria,AUT,Children 0-14,19.231,1963
Austria,AUT,Children 0-14,19.231,1964
Austria,AUT,Children 0-14,19.231,1965
Austria,AUT,Children 0-14,19.231,1966
Austria,AUT,Children 0-14,19.231,1967
Austria,AUT,Children 0-14,19.231,1968
Austria,AUT,Children 0-14,19.231,1969
Austria,AUT,Children 0-14,19.231,1970
Austria,AUT,Children 0-14,31.538,1971
Austria,AUT,Children 0-14,31.538,1972
Austria,AUT,Children 0-14,31.538,1973
Austria,AUT,Children 0-14,28.462,1974
Austria,AUT,Children 0-14,28.462,1975
Austria,AUT,Children 0-14,28.462,1976
Austria,AUT,Children 0-14,25.385,1977
Austria,AUT,Children 0-14,25.385,1978
Austria,AUT,Children 0-14,25.385,1979
Austria,AUT,Children 0-14,26.154,1980
Austria,AUT,Children 0-14,26.923,1981
Austria,AUT,Children 0-14,26.923,1982
Austria,AUT,Children 0-14,26.923,1983
Austria,AUT,Children 0-14,26.923,1984
Austria,AUT,Children 0-14,26.923,1985
Austria,AUT,Children 0-14,26.923,1986
Austria,AUT,Children 0-14,26.923,1987
Austria,AUT,Children 0-14,26.923,1988
Austria,AUT,Children 0-14,34.615,1989
Austria,AUT,Children 0-14,26.923,1990
Austria,AUT,Children 0-14,26.923,1991
Austria,AUT,Children 0-14,26.923,1992
Austria,AUT,Children 0-14,26.923,1993
Austria,AUT,Children 0-14,26.923,1994
Austria,AUT,Children 0-14,26.923,1995
Austria,AUT,Children 0-14,26.923,1996
Austria,AUT,Children 0-14,26.923,1997
Austria,AUT,Children 0-14,30.000,1998
Austria,AUT,Children 0-14,34.615,1999
Austria,AUT,Children 0-14,48.462,2000
Austria,AUT,Children 0-14,34.615,2001
Austria,AUT,Children 0-14,40.000,2002
Austria,AUT,Children 0-14,36.923,2003
Austria,AUT,Children 0-14,37.692,2004
Austria,AUT,Children 0-14,34.615,2005
Austria,AUT,Children 0-14,41.538,2006
Austria,AUT,Children 0-14,36.923,2007
Austria,AUT,Children 0-14,36.923,2008
Austria,AUT,Children 0-14,36.923,2009
Austria,AUT,Children 0-14,57.692,2010
Austria,AUT,Children 0-14,50.000,2011
Austria,AUT,Children 0-14,44.615,2012
Austria,AUT,Children 0-14,44.615,2013
Austria,AUT,Children 0-14,45.385,2014
Austria,AUT,Children 0-14,58.462,2015
Austria,AUT,Children 0-14,49.231,2016
Austria,AUT,Children 0-14,44.615,2017
Austria,AUT,Children 0-14,40.769,2018
Austria,AUT,Children 0-14,53.846,2019
Austria,AUT,Children 0-14,40.769,2020
Austria,AUT,Children 0-14,36.154,2021
Austria,AUT,Children 0-14,36.154,2022
Austria,AUT,Children 0-14,13.846,2023
Austria,AUT,Education,0.000,1960
Austria,AUT,Education,0.000,1961
Austria,AUT,Education,0.000,1962
Austria,AUT,Education,0.000,1963
Austria,AUT,Education,0.000,1964
Austria,AUT,Education,0.000,1965
Austria,AUT,Education,0.000,1966
Austria,AUT,Education,0.000,1967
Austria,AUT,Education,0.000,1968
Austria,AUT,Education,0.000,1969
Austria,AUT,Education,0.613,1970
Austria,AUT,Education,27.607,1971
Austria,AUT,Education,14.724,1972
Austria,AUT,Education,14.724,1973
Austria,AUT,Education,12.883,1974
Austria,AUT,Education,12.270,1975
Austria,AUT,Education,20.245,1976
Austria,AUT,Education,7.975,1977
Austria,AUT,Education,9.202,1978
Austria,AUT,Education,9.202,1979
Austria,AUT,Education,9.202,1980
Austria,AUT,Education,22.086,1981
Austria,AUT,Education,17.791,1982
Austria,AUT,Education,17.791,1983
Austria,AUT,Education,17.791,1984
Austria,AUT,Education,18.405,1985
Austria,AUT,Education,17.791,1986
Austria,AUT,Education,17.791,1987
Austria,AUT,Education,17.791,1988
Austria,AUT,Education,23.926,1989
Austria,AUT,Education,17.791,1990
Austria,AUT,Education,21.472,1991
Austria,AUT,Education,17.791,1992
Austria,AUT,Education,17.791,1993
Austria,AUT,Education,17.791,1994
Austria,AUT,Education,20.245,1995
Austria,AUT,Education,20.245,1996
Austria,AUT,Education,19.632,1997
Austria,AUT,Education,30.061,1998
Austria,AUT,Education,30.675,1999
Austria,AUT,Education,29.448,2000
Austria,AUT,Education,26.380,2001
Austria,AUT,Education,34.969,2002
Austria,AUT,Education,32.515,2003
Austria,AUT,Education,33.129,2004
Austria,AUT,Education,36.196,2005
Austria,AUT,Education,36.196,2006
Austria,AUT,Education,39.877,2007
Austria,AUT,Education,39.877,2008
Austria,AUT,Education,39.877,2009
Austria,AUT,Education,58.282,2010
Austria,AUT,Education,52.761,2011
Austria,AUT,Education,49.693,2012
Austria,AUT,Education,62.577,2013
Austria,AUT,Education,68.098,2014
Austria,AUT,Education,66.258,2015
Austria,AUT,Education,69.939,2016
Austria,AUT,Education,61.963,2017
Austria,AUT,Education,50.920,2018
Austria,AUT,Education,39.264,2019
Austria,AUT,Education,50.307,2020
Austria,AUT,Education,36.196,2021
Austria,AUT,Education,31.902,2022
Austria,AUT,Education,12.883,2023
Austria,AUT,Employment and Time Use,0.000,1960
Austria,AUT,Employment and Time Use,5.109,1961
Austria,AUT,Employment and Time Use,0.000,1962
Austria,AUT,Employment and Time Use,0.000,1963
Austria,AUT,Employment and Time Use,0.000,1964
Austria,AUT,Employment and Time Use,0.000,1965
Austria,AUT,Employment and Time Use,0.000,1966
Austria,AUT,Employment and Time Use,0.000,1967
Austria,AUT,Employment and Time Use,0.000,1968
Austria,AUT,Employment and Time Use,2.190,1969
Austria,AUT,Employment and Time Use,23.358,1970
Austria,AUT,Employment and Time Use,28.467,1971
Austria,AUT,Employment and Time Use,23.358,1972
Austria,AUT,Employment and Time Use,23.358,1973
Austria,AUT,Employment and Time Use,23.358,1974
Austria,AUT,Employment and Time Use,23.358,1975
Austria,AUT,Employment and Time Use,23.358,1976
Austria,AUT,Employment and Time Use,23.358,1977
Austria,AUT,Employment and Time Use,23.358,1978
Austria,AUT,Employment and Time Use,23.358,1979
Austria,AUT,Employment and Time Use,30.657,1980
Austria,AUT,Employment and Time Use,28.467,1981
Austria,AUT,Employment and Time Use,33.577,1982
Austria,AUT,Employment and Time Use,33.577,1983
Austria,AUT,Employment and Time Use,33.577,1984
Austria,AUT,Employment and Time Use,33.577,1985
Austria,AUT,Employment and Time Use,33.577,1986
Austria,AUT,Employment and Time Use,33.577,1987
Austria,AUT,Employment and Time Use,33.577,1988
Austria,AUT,Employment and Time Use,33.577,1989
Austria,AUT,Employment and Time Use,43.796,1990
Austria,AUT,Employment and Time Use,68.613,1991
Austria,AUT,Employment and Time Use,68.613,1992
Austria,AUT,Employment and Time Use,68.613,1993
Austria,AUT,Employment and Time Use,77.372,1994
Austria,AUT,Employment and Time Use,88.321,1995
Austria,AUT,Employment and Time Use,88.321,1996
Austria,AUT,Employment and Time Use,88.321,1997
Austria,AUT,Employment and Time Use,89.781,1998
Austria,AUT,Employment and Time Use,89.781,1999
Austria,AUT,Employment and Time Use,90.511,2000
Austria,AUT,Employment and Time Use,90.511,2001
Austria,AUT,Employment and Time Use,90.511,2002
Austria,AUT,Employment and Time Use,90.511,2003
Austria,AUT,Employment and Time Use,90.511,2004
Austria,AUT,Employment and Time Use,90.511,2005
Austria,AUT,Employment and Time Use,90.511,2006
Austria,AUT,Employment and Time Use,90.511,2007
Austria,AUT,Employment and Time Use,90.511,2008
Austria,AUT,Employment and Time Use,91.971,2009
Austria,AUT,Employment and Time Use,90.511,2010
Austria,AUT,Employment and Time Use,90.511,2011
Austria,AUT,Employment and Time Use,90.511,2012
