Country Name,Country Code,Topic,% of available indicators,Year
Azerbaijan,AZE,Assets,0.000,1960
Azerbaijan,AZE,Assets,0.000,1961
Azerbaijan,AZE,Assets,0.000,1962
Azerbaijan,AZE,Assets,0.000,1963
Azerbaijan,AZE,Assets,0.000,1964
Azerbaijan,AZE,Assets,0.000,1965
Azerbaijan,AZE,Assets,0.000,1966
Azerbaijan,AZE,Assets,0.000,1967
Azerbaijan,AZE,Assets,0.000,1968
Azerbaijan,AZE,Assets,0.000,1969
Azerbaijan,AZE,Assets,2.208,1970
Azerbaijan,AZE,Assets,2.208,1971
Azerbaijan,AZE,Assets,2.208,1972
Azerbaijan,AZE,Assets,2.208,1973
Azerbaijan,AZE,Assets,2.208,1974
Azerbaijan,AZE,Assets,2.208,1975
Azerbaijan,AZE,Assets,2.208,1976
Azerbaijan,AZE,Assets,2.208,1977
Azerbaijan,AZE,Assets,2.208,1978
Azerbaijan,AZE,Assets,2.208,1979
Azerbaijan,AZE,Assets,2.208,1980
Azerbaijan,AZE,Assets,2.208,1981
Azerbaijan,AZE,Assets,2.208,1982
Azerbaijan,AZE,Assets,2.208,1983
Azerbaijan,AZE,Assets,2.208,1984
Azerbaijan,AZE,Assets,2.208,1985
Azerbaijan,AZE,Assets,2.208,1986
Azerbaijan,AZE,Assets,2.208,1987
Azerbaijan,AZE,Assets,2.208,1988
Azerbaijan,AZE,Assets,2.208,1989
Azerbaijan,AZE,Assets,2.208,1990
Azerbaijan,AZE,Assets,2.208,1991
Azerbaijan,AZE,Assets,2.208,1992
Azerbaijan,AZE,Assets,2.208,1993
Azerbaijan,AZE,Assets,2.208,1994
Azerbaijan,AZE,Assets,2.208,1995
Azerbaijan,AZE,Assets,2.208,1996
Azerbaijan,AZE,Assets,2.208,1997
Azerbaijan,AZE,Assets,2.208,1998
Azerbaijan,AZE,Assets,2.208,1999
Azerbaijan,AZE,Assets,2.208,2000
Azerbaijan,AZE,Assets,2.208,2001
Azerbaijan,AZE,Assets,2.208,2002
Azerbaijan,AZE,Assets,2.208,2003
Azerbaijan,AZE,Assets,2.208,2004
Azerbaijan,AZE,Assets,2.208,2005
Azerbaijan,AZE,Assets,2.208,2006
Azerbaijan,AZE,Assets,2.208,2007
Azerbaijan,AZE,Assets,2.208,2008
Azerbaijan,AZE,Assets,2.208,2009
Azerbaijan,AZE,Assets,2.208,2010
Azerbaijan,AZE,Assets,11.672,2011
Azerbaijan,AZE,Assets,2.208,2012
