Country Name,Country Code,Topic,% of available indicators,Year
Burundi,BDI,Assets,0.000,1960
Burundi,BDI,Assets,0.000,1961
Burundi,BDI,Assets,0.000,1962
Burundi,BDI,Assets,0.000,1963
Burundi,BDI,Assets,0.000,1964
Burundi,BDI,Assets,0.000,1965
Burundi,BDI,Assets,0.000,1966
Burundi,BDI,Assets,0.000,1967
Burundi,BDI,Assets,0.000,1968
Burundi,BDI,Assets,0.000,1969
Burundi,BDI,Assets,2.208,1970
Burundi,BDI,Assets,2.208,1971
Burundi,BDI,Assets,2.208,1972
Burundi,BDI,Assets,2.208,1973
Burundi,BDI,Assets,2.208,1974
Burundi,BDI,Assets,2.208,1975
Burundi,BDI,Assets,2.208,1976
Burundi,BDI,Assets,2.208,1977
Burundi,BDI,Assets,2.208,1978
Burundi,BDI,Assets,2.208,1979
Burundi,BDI,Assets,2.208,1980
Burundi,BDI,Assets,2.208,1981
Burundi,BDI,Assets,2.208,1982
Burundi,BDI,Assets,2.208,1983
Burundi,BDI,Assets,2.208,1984
Burundi,BDI,Assets,2.208,1985
Burundi,BDI,Assets,2.208,1986
Burundi,BDI,Assets,2.208,1987
Burundi,BDI,Assets,2.208,1988
Burundi,BDI,Assets,2.208,1989
Burundi,BDI,Assets,2.208,1990
Burundi,BDI,Assets,2.208,1991
Burundi,BDI,Assets,2.208,1992
Burundi,BDI,Assets,2.208,1993
Burundi,BDI,Assets,2.208,1994
Burundi,BDI,Assets,2.208,1995
Burundi,BDI,Assets,2.208,1996
Burundi,BDI,Assets,2.208,1997
Burundi,BDI,Assets,2.208,1998
Burundi,BDI,Assets,2.208,1999
Burundi,BDI,Assets,2.208,2000
Burundi,BDI,Assets,2.208,2001
Burundi,BDI,Assets,2.208,2002
Burundi,BDI,Assets,2.208,2003
Burundi,BDI,Assets,2.208,2004
Burundi,BDI,Assets,2.208,2005
Burundi,BDI,Assets,2.208,2006
Burundi,BDI,Assets,2.208,2007
Burundi,BDI,Assets,2.208,2008
Burundi,BDI,Assets,2.208,2009
Burundi,BDI,Assets,32.492,2010
Burundi,BDI,Assets,11.672,2011
Burundi,BDI,Assets,2.208,2012
Burundi,BDI,Assets,2.208,2013
Burundi,BDI,Assets,30.599,2014
Burundi,BDI,Assets,2.208,2015
Burundi,BDI,Assets,2.208,2016
Burundi,BDI,Assets,32.492,2017
Burundi,BDI,Assets,2.208,2018
Burundi,BDI,Assets,2.208,2019
Burundi,BDI,Assets,2.208,2020
Burundi,BDI,Assets,2.208,2021
Burundi,BDI,Assets,2.208,2022
Burundi,BDI,Assets,2.208,2023
Burundi,BDI,Children 0-14,10.769,1960
Burundi,BDI,Children 0-14,10.769,1961
Burundi,BDI,Children 0-14,10.769,1962
Burundi,BDI,Children 0-14,10.769,1963
Burundi,BDI,Children 0-14,15.385,1964
Burundi,BDI,Children 0-14,17.692,1965
Burundi,BDI,Children 0-14,17.692,1966
Burundi,BDI,Children 0-14,17.692,1967
Burundi,BDI,Children 0-14,17.692,1968
Burundi,BDI,Children 0-14,19.231,1969
Burundi,BDI,Children 0-14,19.231,1970
Burundi,BDI,Children 0-14,30.769,1971
Burundi,BDI,Children 0-14,29.231,1972
Burundi,BDI,Children 0-14,37.692,1973
Burundi,BDI,Children 0-14,30.000,1974
Burundi,BDI,Children 0-14,27.692,1975
Burundi,BDI,Children 0-14,27.692,1976
Burundi,BDI,Children 0-14,30.000,1977
Burundi,BDI,Children 0-14,37.692,1978
Burundi,BDI,Children 0-14,30.000,1979
Burundi,BDI,Children 0-14,37.692,1980
Burundi,BDI,Children 0-14,37.692,1981
Burundi,BDI,Children 0-14,41.538,1982
Burundi,BDI,Children 0-14,41.538,1983
Burundi,BDI,Children 0-14,41.538,1984
Burundi,BDI,Children 0-14,40.000,1985
Burundi,BDI,Children 0-14,41.538,1986
Burundi,BDI,Children 0-14,48.462,1987
Burundi,BDI,Children 0-14,41.538,1988
Burundi,BDI,Children 0-14,33.846,1989
Burundi,BDI,Children 0-14,32.308,1990
Burundi,BDI,Children 0-14,29.231,1991
Burundi,BDI,Children 0-14,31.538,1992
Burundi,BDI,Children 0-14,37.692,1993
Burundi,BDI,Children 0-14,20.769,1994
Burundi,BDI,Children 0-14,24.615,1995
Burundi,BDI,Children 0-14,24.615,1996
Burundi,BDI,Children 0-14,24.615,1997
Burundi,BDI,Children 0-14,26.923,1998
Burundi,BDI,Children 0-14,26.923,1999
Burundi,BDI,Children 0-14,69.231,2000
Burundi,BDI,Children 0-14,40.000,2001
Burundi,BDI,Children 0-14,42.308,2002
Burundi,BDI,Children 0-14,46.923,2003
Burundi,BDI,Children 0-14,49.231,2004
Burundi,BDI,Children 0-14,50.769,2005
Burundi,BDI,Children 0-14,46.923,2006
Burundi,BDI,Children 0-14,44.615,2007
Burundi,BDI,Children 0-14,40.000,2008
Burundi,BDI,Children 0-14,46.923,2009
Burundi,BDI,Children 0-14,86.923,2010
Burundi,BDI,Children 0-14,44.615,2011
Burundi,BDI,Children 0-14,44.615,2012
Burundi,BDI,Children 0-14,41.538,2013
Burundi,BDI,Children 0-14,55.385,2014
Burundi,BDI,Children 0-14,58.462,2015
Burundi,BDI,Children 0-14,55.385,2016
Burundi,BDI,Children 0-14,65.385,2017
Burundi,BDI,Children 0-14,64.615,2018
Burundi,BDI,Children 0-14,63.846,2019
Burundi,BDI,Children 0-14,50.000,2020
Burundi,BDI,Children 0-14,23.077,2021
Burundi,BDI,Children 0-14,26.923,2022
Burundi,BDI,Children 0-14,9.231,2023
Burundi,BDI,Education,0.000,1960
Burundi,BDI,Education,0.000,1961
Burundi,BDI,Education,0.000,1962
Burundi,BDI,Education,0.000,1963
Burundi,BDI,Education,0.000,1964
Burundi,BDI,Education,0.000,1965
Burundi,BDI,Education,0.000,1966
Burundi,BDI,Education,0.000,1967
Burundi,BDI,Education,0.000,1968
Burundi,BDI,Education,0.000,1969
Burundi,BDI,Education,0.000,1970
Burundi,BDI,Education,21.472,1971
Burundi,BDI,Education,20.245,1972
Burundi,BDI,Education,26.994,1973
Burundi,BDI,Education,20.859,1974
Burundi,BDI,Education,18.405,1975
Burundi,BDI,Education,22.699,1976
Burundi,BDI,Education,20.245,1977
Burundi,BDI,Education,24.540,1978
Burundi,BDI,Education,29.448,1979
Burundi,BDI,Education,30.675,1980
Burundi,BDI,Education,27.607,1981
Burundi,BDI,Education,32.515,1982
Burundi,BDI,Education,28.221,1983
Burundi,BDI,Education,32.515,1984
Burundi,BDI,Education,31.288,1985
Burundi,BDI,Education,33.129,1986
Burundi,BDI,Education,32.515,1987
Burundi,BDI,Education,29.448,1988
Burundi,BDI,Education,24.540,1989
Burundi,BDI,Education,30.675,1990
Burundi,BDI,Education,22.086,1991
Burundi,BDI,Education,23.926,1992
Burundi,BDI,Education,28.221,1993
Burundi,BDI,Education,0.613,1994
Burundi,BDI,Education,3.681,1995
Burundi,BDI,Education,3.681,1996
Burundi,BDI,Education,3.067,1997
Burundi,BDI,Education,7.975,1998
Burundi,BDI,Education,9.202,1999
Burundi,BDI,Education,30.061,2000
Burundi,BDI,Education,31.902,2001
Burundi,BDI,Education,26.994,2002
Burundi,BDI,Education,35.583,2003
Burundi,BDI,Education,49.080,2004
Burundi,BDI,Education,37.423,2005
Burundi,BDI,Education,37.423,2006
Burundi,BDI,Education,32.515,2007
Burundi,BDI,Education,29.448,2008
Burundi,BDI,Education,39.264,2009
Burundi,BDI,Education,65.644,2010
Burundi,BDI,Education,37.423,2011
Burundi,BDI,Education,42.945,2012
Burundi,BDI,Education,39.264,2013
Burundi,BDI,Education,68.712,2014
Burundi,BDI,Education,38.650,2015
Burundi,BDI,Education,51.534,2016
Burundi,BDI,Education,79.755,2017
Burundi,BDI,Education,52.147,2018
Burundi,BDI,Education,23.926,2019
Burundi,BDI,Education,30.675,2020
Burundi,BDI,Education,4.908,2021
Burundi,BDI,Education,4.908,2022
Burundi,BDI,Education,3.067,2023
Burundi,BDI,Employment and Time Use,0.000,1960
Burundi,BDI,Employment and Time Use,0.000,1961
Burundi,BDI,Employment and Time Use,0.000,1962
Burundi,BDI,Employment and Time Use,0.000,1963
Burundi,BDI,Employment and Time Use,0.000,1964
Burundi,BDI,Employment and Time Use,0.000,1965
Burundi,BDI,Employment and Time Use,0.000,1966
Burundi,BDI,Employment and Time Use,0.000,1967
Burundi,BDI,Employment and Time Use,0.000,1968
Burundi,BDI,Employment and Time Use,0.000,1969
Burundi,BDI,Employment and Time Use,21.168,1970
Burundi,BDI,Employment and Time Use,21.168,1971
Burundi,BDI,Employment and Time Use,21.168,1972
Burundi,BDI,Employment and Time Use,21.168,1973
Burundi,BDI,Employment and Time Use,21.168,1974
Burundi,BDI,Employment and Time Use,21.168,1975
Burundi,BDI,Employment and Time Use,21.168,1976
Burundi,BDI,Employment and Time Use,21.168,1977
Burundi,BDI,Employment and Time Use,24.088,1978
Burundi,BDI,Employment and Time Use,26.277,1979
Burundi,BDI,Employment and Time Use,24.088,1980
Burundi,BDI,Employment and Time Use,21.168,1981
Burundi,BDI,Employment and Time Use,24.088,1982
Burundi,BDI,Employment and Time Use,21.168,1983
Burundi,BDI,Employment and Time Use,24.088,1984
Burundi,BDI,Employment and Time Use,21.168,1985
Burundi,BDI,Employment and Time Use,26.277,1986
Burundi,BDI,Employment and Time Use,21.168,1987
Burundi,BDI,Employment and Time Use,21.168,1988
Burundi,BDI,Employment and Time Use,21.168,1989
Burundi,BDI,Employment and Time Use,41.606,1990
Burundi,BDI,Employment and Time Use,56.204,1991
Burundi,BDI,Employment and Time Use,56.204,1992
Burundi,BDI,Employment and Time Use,56.204,1993
Burundi,BDI,Employment and Time Use,56.204,1994
Burundi,BDI,Employment and Time Use,56.204,1995
Burundi,BDI,Employment and Time Use,56.204,1996
Burundi,BDI,Employment and Time Use,56.204,1997
Burundi,BDI,Employment and Time Use,63.504,1998
Burundi,BDI,Employment and Time Use,58.394,1999
Burundi,BDI,Employment and Time Use,58.394,2000
Burundi,BDI,Employment and Time Use,56.204,2001
Burundi,BDI,Employment and Time Use,56.204,2002
Burundi,BDI,Employment and Time Use,56.204,2003
Burundi,BDI,Employment and Time Use,56.204,2004
Burundi,BDI,Employment and Time Use,58.394,2005
Burundi,BDI,Employment and Time Use,86.131,2006
Burundi,BDI,Employment and Time Use,56.204,2007
Burundi,BDI,Employment and Time Use,63.504,2008
Burundi,BDI,Employment and Time Use,56.204,2009
Burundi,BDI,Employment and Time Use,58.394,2010
Burundi,BDI,Employment and Time Use,56.204,2011
Burundi,BDI,Employment and Time Use,56.204,2012
Burundi,BDI,Employment and Time Use,56.204,2013
Burundi,BDI,Employment and Time Use,91.241,2014
Burundi,BDI,Employment and Time Use,56.204,2015
Burundi,BDI,Employment and Time Use,56.204,2016
Burundi,BDI,Employment and Time Use,62.774,2017
Burundi,BDI,Employment and Time Use,56.204,2018
Burundi,BDI,Employment and Time Use,56.204,2019
Burundi,BDI,Employment and Time Use,86.861,2020
Burundi,BDI,Employment and Time Use,56.204,2021
Burundi,BDI,Employment and Time Use,56.204,2022
Burundi,BDI,Employment and Time Use,59.124,2023
Burundi,BDI,Entrepreneurship,0.000,1960
Burundi,BDI,Entrepreneurship,0.000,1961
Burundi,BDI,Entrepreneurship,0.000,1962
Burundi,BDI,Entrepreneurship,0.000,1963
Burundi,BDI,Entrepreneurship,0.000,1964
Burundi,BDI,Entrepreneurship,0.000,1965
Burundi,BDI,Entrepreneurship,0.000,1966
Burundi,BDI,Entrepreneurship,0.000,1967
Burundi,BDI,Entrepreneurship,0.000,1968
Burundi,BDI,Entrepreneurship,0.000,1969
Burundi,BDI,Entrepreneurship,9.375,1970
Burundi,BDI,Entrepreneurship,9.375,1971
Burundi,BDI,Entrepreneurship,9.375,1972
Burundi,BDI,Entrepreneurship,9.375,1973
Burundi,BDI,Entrepreneurship,9.375,1974
Burundi,BDI,Entrepreneurship,9.375,1975
Burundi,BDI,Entrepreneurship,9.375,1976
Burundi,BDI,Entrepreneurship,9.375,1977
Burundi,BDI,Entrepreneurship,9.375,1978
Burundi,BDI,Entrepreneurship,9.375,1979
Burundi,BDI,Entrepreneurship,9.375,1980
Burundi,BDI,Entrepreneurship,9.375,1981
Burundi,BDI,Entrepreneurship,9.375,1982
Burundi,BDI,Entrepreneurship,9.375,1983
Burundi,BDI,Entrepreneurship,9.375,1984
Burundi,BDI,Entrepreneurship,9.375,1985
Burundi,BDI,Entrepreneurship,9.375,1986
Burundi,BDI,Entrepreneurship,9.375,1987
Burundi,BDI,Entrepreneurship,9.375,1988
Burundi,BDI,Entrepreneurship,9.375,1989
Burundi,BDI,Entrepreneurship,9.375,1990
Burundi,BDI,Entrepreneurship,9.375,1991
Burundi,BDI,Entrepreneurship,9.375,1992
Burundi,BDI,Entrepreneurship,9.375,1993
Burundi,BDI,Entrepreneurship,9.375,1994
Burundi,BDI,Entrepreneurship,9.375,1995
Burundi,BDI,Entrepreneurship,9.375,1996
Burundi,BDI,Entrepreneurship,9.375,1997
Burundi,BDI,Entrepreneurship,9.375,1998
Burundi,BDI,Entrepreneurship,9.375,1999
Burundi,BDI,Entrepreneurship,9.375,2000
Burundi,BDI,Entrepreneurship,9.375,2001
Burundi,BDI,Entrepreneurship,9.375,2002
Burundi,BDI,Entrepreneurship,37.500,2003
Burundi,BDI,Entrepreneurship,37.500,2004
Burundi,BDI,Entrepreneurship,37.500,2005
Burundi,BDI,Entrepreneurship,40.625,2006
Burundi,BDI,Entrepreneurship,37.500,2007
Burundi,BDI,Entrepreneurship,37.500,2008
Burundi,BDI,Entrepreneurship,37.500,2009
Burundi,BDI,Entrepreneurship,37.500,2010
Burundi,BDI,Entrepreneurship,37.500,2011
Burundi,BDI,Entrepreneurship,37.500,2012
Burundi,BDI,Entrepreneurship,37.500,2013
Burundi,BDI,Entrepreneurship,62.500,2014
Burundi,BDI,Entrepreneurship,37.500,2015
Burundi,BDI,Entrepreneurship,37.500,2016
Burundi,BDI,Entrepreneurship,37.500,2017
Burundi,BDI,Entrepreneurship,37.500,2018
Burundi,BDI,Entrepreneurship,37.500,2019
Burundi,BDI,Entrepreneurship,9.375,2020
Burundi,BDI,Entrepreneurship,9.375,2021
Burundi,BDI,Entrepreneurship,9.375,2022
Burundi,BDI,Entrepreneurship,9.375,2023
Burundi,BDI,Environment,0.000,1960
Burundi,BDI,Environment,0.000,1961
Burundi,BDI,Environment,0.000,1962
Burundi,BDI,Environment,0.000,1963
Burundi,BDI,Environment,0.000,1964
Burundi,BDI,Environment,0.000,1965
Burundi,BDI,Environment,0.000,1966
Burundi,BDI,Environment,0.000,1967
Burundi,BDI,Environment,0.000,1968
Burundi,BDI,Environment,0.000,1969
Burundi,BDI,Environment,0.000,1970
Burundi,BDI,Environment,0.000,1971
Burundi,BDI,Environment,0.000,1972
Burundi,BDI,Environment,0.000,1973
Burundi,BDI,Environment,0.000,1974
Burundi,BDI,Environment,0.000,1975
Burundi,BDI,Environment,0.000,1976
Burundi,BDI,Environment,0.000,1977
Burundi,BDI,Environment,0.000,1978
Burundi,BDI,Environment,0.000,1979
Burundi,BDI,Environment,0.000,1980
Burundi,BDI,Environment,0.000,1981
Burundi,BDI,Environment,0.000,1982
Burundi,BDI,Environment,0.000,1983
Burundi,BDI,Environment,0.000,1984
Burundi,BDI,Environment,0.000,1985
Burundi,BDI,Environment,0.000,1986
Burundi,BDI,Environment,0.000,1987
Burundi,BDI,Environment,0.000,1988
Burundi,BDI,Environment,0.000,1989
Burundi,BDI,Environment,0.000,1990
Burundi,BDI,Environment,0.000,1991
Burundi,BDI,Environment,0.000,1992
Burundi,BDI,Environment,0.000,1993
Burundi,BDI,Environment,0.000,1994
Burundi,BDI,Environment,0.000,1995
Burundi,BDI,Environment,0.000,1996
Burundi,BDI,Environment,0.000,1997
Burundi,BDI,Environment,0.000,1998
Burundi,BDI,Environment,0.000,1999
Burundi,BDI,Environment,10.000,2000
Burundi,BDI,Environment,10.000,2001
Burundi,BDI,Environment,10.000,2002
Burundi,BDI,Environment,10.000,2003
Burundi,BDI,Environment,13.333,2004
Burundi,BDI,Environment,10.000,2005
Burundi,BDI,Environment,10.000,2006
Burundi,BDI,Environment,10.000,2007
Burundi,BDI,Environment,10.000,2008
Burundi,BDI,Environment,10.000,2009
Burundi,BDI,Environment,60.000,2010
Burundi,BDI,Environment,13.333,2011
Burundi,BDI,Environment,40.000,2012
Burundi,BDI,Environment,10.000,2013
Burundi,BDI,Environment,20.000,2014
Burundi,BDI,Environment,10.000,2015
Burundi,BDI,Environment,13.333,2016
Burundi,BDI,Environment,60.000,2017
Burundi,BDI,Environment,10.000,2018
Burundi,BDI,Environment,30.000,2019
Burundi,BDI,Environment,10.000,2020
Burundi,BDI,Environment,10.000,2021
Burundi,BDI,Environment,10.000,2022
Burundi,BDI,Environment,0.000,2023
Burundi,BDI,Health,3.030,1960
Burundi,BDI,Health,3.030,1961
Burundi,BDI,Health,3.030,1962
Burundi,BDI,Health,3.030,1963
Burundi,BDI,Health,6.061,1964
Burundi,BDI,Health,7.576,1965
Burundi,BDI,Health,7.576,1966
Burundi,BDI,Health,7.576,1967
Burundi,BDI,Health,7.576,1968
Burundi,BDI,Health,8.586,1969
Burundi,BDI,Health,8.586,1970
Burundi,BDI,Health,8.586,1971
Burundi,BDI,Health,8.586,1972
Burundi,BDI,Health,8.586,1973
Burundi,BDI,Health,8.586,1974
Burundi,BDI,Health,11.111,1975
Burundi,BDI,Health,11.111,1976
Burundi,BDI,Health,11.111,1977
Burundi,BDI,Health,11.111,1978
Burundi,BDI,Health,11.111,1979
Burundi,BDI,Health,11.111,1980
Burundi,BDI,Health,12.121,1981
Burundi,BDI,Health,12.121,1982
Burundi,BDI,Health,12.121,1983
Burundi,BDI,Health,12.121,1984
Burundi,BDI,Health,12.121,1985
Burundi,BDI,Health,12.121,1986
Burundi,BDI,Health,22.222,1987
Burundi,BDI,Health,12.121,1988
Burundi,BDI,Health,12.121,1989
Burundi,BDI,Health,16.667,1990
Burundi,BDI,Health,16.667,1991
Burundi,BDI,Health,16.667,1992
Burundi,BDI,Health,16.667,1993
Burundi,BDI,Health,16.667,1994
Burundi,BDI,Health,16.667,1995
Burundi,BDI,Health,16.667,1996
Burundi,BDI,Health,16.667,1997
Burundi,BDI,Health,16.667,1998
Burundi,BDI,Health,16.667,1999
Burundi,BDI,Health,66.667,2000
Burundi,BDI,Health,31.818,2001
Burundi,BDI,Health,33.333,2002
Burundi,BDI,Health,31.818,2003
Burundi,BDI,Health,31.818,2004
Burundi,BDI,Health,37.879,2005
Burundi,BDI,Health,31.818,2006
Burundi,BDI,Health,31.818,2007
Burundi,BDI,Health,31.818,2008
Burundi,BDI,Health,32.828,2009
Burundi,BDI,Health,87.374,2010
Burundi,BDI,Health,32.828,2011
Burundi,BDI,Health,34.343,2012
Burundi,BDI,Health,31.313,2013
Burundi,BDI,Health,33.333,2014
Burundi,BDI,Health,55.556,2015
Burundi,BDI,Health,40.909,2016
Burundi,BDI,Health,52.525,2017
Burundi,BDI,Health,42.929,2018
Burundi,BDI,Health,64.141,2019
Burundi,BDI,Health,35.859,2020
Burundi,BDI,Health,18.687,2021
Burundi,BDI,Health,21.212,2022
Burundi,BDI,Health,1.010,2023
Burundi,BDI,Leadership,0.000,1960
Burundi,BDI,Leadership,0.000,1961
Burundi,BDI,Leadership,0.000,1962
Burundi,BDI,Leadership,0.000,1963
Burundi,BDI,Leadership,0.000,1964
Burundi,BDI,Leadership,0.000,1965
Burundi,BDI,Leadership,0.000,1966
Burundi,BDI,Leadership,0.000,1967
Burundi,BDI,Leadership,0.000,1968
Burundi,BDI,Leadership,0.000,1969
Burundi,BDI,Leadership,0.000,1970
Burundi,BDI,Leadership,0.000,1971
Burundi,BDI,Leadership,0.000,1972
Burundi,BDI,Leadership,0.000,1973
Burundi,BDI,Leadership,0.000,1974
