Country Name,Country Code,Topic,% of available indicators,Year
Belgium,BEL,Assets,0.000,1960
Belgium,BEL,Assets,0.000,1961
Belgium,BEL,Assets,0.000,1962
Belgium,BEL,Assets,0.000,1963
Belgium,BEL,Assets,0.000,1964
Belgium,BEL,Assets,0.000,1965
Belgium,BEL,Assets,0.000,1966
Belgium,BEL,Assets,0.000,1967
Belgium,BEL,Assets,0.000,1968
Belgium,BEL,Assets,0.000,1969
Belgium,BEL,Assets,2.208,1970
Belgium,BEL,Assets,2.208,1971
Belgium,BEL,Assets,2.208,1972
Belgium,BEL,Assets,2.208,1973
Belgium,BEL,Assets,2.208,1974
Belgium,BEL,Assets,2.208,1975
Belgium,BEL,Assets,2.208,1976
Belgium,BEL,Assets,2.208,1977
Belgium,BEL,Assets,2.208,1978
Belgium,BEL,Assets,2.208,1979
Belgium,BEL,Assets,2.208,1980
Belgium,BEL,Assets,2.208,1981
Belgium,BEL,Assets,2.208,1982
Belgium,BEL,Assets,2.208,1983
Belgium,BEL,Assets,2.208,1984
Belgium,BEL,Assets,2.208,1985
Belgium,BEL,Assets,2.208,1986
Belgium,BEL,Assets,2.208,1987
Belgium,BEL,Assets,2.208,1988
Belgium,BEL,Assets,2.208,1989
Belgium,BEL,Assets,2.208,1990
Belgium,BEL,Assets,2.208,1991
Belgium,BEL,Assets,2.208,1992
Belgium,BEL,Assets,2.208,1993
Belgium,BEL,Assets,2.208,1994
Belgium,BEL,Assets,2.208,1995
Belgium,BEL,Assets,2.208,1996
Belgium,BEL,Assets,2.208,1997
Belgium,BEL,Assets,2.208,1998
Belgium,BEL,Assets,2.208,1999
Belgium,BEL,Assets,2.208,2000
Belgium,BEL,Assets,2.208,2001
Belgium,BEL,Assets,2.208,2002
Belgium,BEL,Assets,2.208,2003
Belgium,BEL,Assets,2.208,2004
Belgium,BEL,Assets,2.208,2005
Belgium,BEL,Assets,2.208,2006
Belgium,BEL,Assets,2.208,2007
Belgium,BEL,Assets,2.208,2008
Belgium,BEL,Assets,2.208,2009
Belgium,BEL,Assets,2.208,2010
Belgium,BEL,Assets,10.726,2011
Belgium,BEL,Assets,2.208,2012
Belgium,BEL,Assets,2.208,2013
Belgium,BEL,Assets,24.921,2014
Belgium,BEL,Assets,2.208,2015
Belgium,BEL,Assets,2.208,2016
Belgium,BEL,Assets,26.814,2017
Belgium,BEL,Assets,2.208,2018
Belgium,BEL,Assets,2.208,2019
Belgium,BEL,Assets,2.208,2020
Belgium,BEL,Assets,51.735,2021
Belgium,BEL,Assets,2.208,2022
Belgium,BEL,Assets,2.208,2023
Belgium,BEL,Children 0-14,19.231,1960
Belgium,BEL,Children 0-14,19.231,1961
Belgium,BEL,Children 0-14,19.231,1962
Belgium,BEL,Children 0-14,19.231,1963
Belgium,BEL,Children 0-14,19.231,1964
Belgium,BEL,Children 0-14,19.231,1965
Belgium,BEL,Children 0-14,19.231,1966
Belgium,BEL,Children 0-14,19.231,1967
Belgium,BEL,Children 0-14,19.231,1968
Belgium,BEL,Children 0-14,19.231,1969
Belgium,BEL,Children 0-14,23.846,1970
Belgium,BEL,Children 0-14,25.385,1971
Belgium,BEL,Children 0-14,25.385,1972
Belgium,BEL,Children 0-14,25.385,1973
Belgium,BEL,Children 0-14,32.308,1974
Belgium,BEL,Children 0-14,32.308,1975
Belgium,BEL,Children 0-14,32.308,1976
Belgium,BEL,Children 0-14,40.000,1977
Belgium,BEL,Children 0-14,30.000,1978
Belgium,BEL,Children 0-14,37.692,1979
Belgium,BEL,Children 0-14,38.462,1980
Belgium,BEL,Children 0-14,39.231,1981
Belgium,BEL,Children 0-14,39.231,1982
Belgium,BEL,Children 0-14,39.231,1983
Belgium,BEL,Children 0-14,39.231,1984
Belgium,BEL,Children 0-14,39.231,1985
Belgium,BEL,Children 0-14,39.231,1986
Belgium,BEL,Children 0-14,39.231,1987
Belgium,BEL,Children 0-14,37.692,1988
Belgium,BEL,Children 0-14,26.923,1989
Belgium,BEL,Children 0-14,26.923,1990
Belgium,BEL,Children 0-14,37.692,1991
Belgium,BEL,Children 0-14,34.615,1992
Belgium,BEL,Children 0-14,36.923,1993
Belgium,BEL,Children 0-14,36.923,1994
Belgium,BEL,Children 0-14,34.615,1995
Belgium,BEL,Children 0-14,34.615,1996
Belgium,BEL,Children 0-14,20.769,1997
Belgium,BEL,Children 0-14,20.769,1998
Belgium,BEL,Children 0-14,34.615,1999
Belgium,BEL,Children 0-14,51.538,2000
Belgium,BEL,Children 0-14,33.077,2001
Belgium,BEL,Children 0-14,36.154,2002
Belgium,BEL,Children 0-14,36.154,2003
Belgium,BEL,Children 0-14,38.462,2004
Belgium,BEL,Children 0-14,39.231,2005
Belgium,BEL,Children 0-14,53.077,2006
Belgium,BEL,Children 0-14,42.308,2007
Belgium,BEL,Children 0-14,46.923,2008
Belgium,BEL,Children 0-14,46.923,2009
Belgium,BEL,Children 0-14,62.308,2010
Belgium,BEL,Children 0-14,51.538,2011
Belgium,BEL,Children 0-14,46.923,2012
Belgium,BEL,Children 0-14,46.923,2013
Belgium,BEL,Children 0-14,54.615,2014
Belgium,BEL,Children 0-14,60.769,2015
Belgium,BEL,Children 0-14,53.077,2016
Belgium,BEL,Children 0-14,50.000,2017
Belgium,BEL,Children 0-14,40.769,2018
Belgium,BEL,Children 0-14,53.077,2019
Belgium,BEL,Children 0-14,40.000,2020
Belgium,BEL,Children 0-14,36.923,2021
Belgium,BEL,Children 0-14,33.846,2022
Belgium,BEL,Children 0-14,9.231,2023
Belgium,BEL,Education,0.000,1960
Belgium,BEL,Education,0.000,1961
Belgium,BEL,Education,0.000,1962
Belgium,BEL,Education,0.000,1963
Belgium,BEL,Education,0.000,1964
Belgium,BEL,Education,0.000,1965
Belgium,BEL,Education,0.000,1966
Belgium,BEL,Education,0.000,1967
Belgium,BEL,Education,0.000,1968
Belgium,BEL,Education,0.000,1969
Belgium,BEL,Education,7.362,1970
Belgium,BEL,Education,16.564,1971
Belgium,BEL,Education,16.564,1972
Belgium,BEL,Education,16.564,1973
Belgium,BEL,Education,24.540,1974
Belgium,BEL,Education,23.926,1975
Belgium,BEL,Education,20.245,1976
Belgium,BEL,Education,28.221,1977
Belgium,BEL,Education,17.791,1978
Belgium,BEL,Education,23.926,1979
Belgium,BEL,Education,23.926,1980
Belgium,BEL,Education,23.926,1981
Belgium,BEL,Education,23.313,1982
Belgium,BEL,Education,25.767,1983
Belgium,BEL,Education,28.221,1984
Belgium,BEL,Education,28.221,1985
Belgium,BEL,Education,28.834,1986
Belgium,BEL,Education,29.448,1987
Belgium,BEL,Education,27.607,1988
Belgium,BEL,Education,15.951,1989
Belgium,BEL,Education,15.951,1990
Belgium,BEL,Education,27.607,1991
Belgium,BEL,Education,17.178,1992
Belgium,BEL,Education,31.288,1993
Belgium,BEL,Education,30.061,1994
Belgium,BEL,Education,26.380,1995
Belgium,BEL,Education,26.380,1996
Belgium,BEL,Education,1.840,1997
Belgium,BEL,Education,1.840,1998
Belgium,BEL,Education,31.902,1999
Belgium,BEL,Education,42.945,2000
Belgium,BEL,Education,41.104,2001
Belgium,BEL,Education,43.558,2002
Belgium,BEL,Education,32.515,2003
Belgium,BEL,Education,34.356,2004
Belgium,BEL,Education,36.196,2005
Belgium,BEL,Education,61.350,2006
Belgium,BEL,Education,37.423,2007
Belgium,BEL,Education,57.669,2008
Belgium,BEL,Education,58.896,2009
Belgium,BEL,Education,74.233,2010
Belgium,BEL,Education,68.098,2011
Belgium,BEL,Education,64.417,2012
Belgium,BEL,Education,66.258,2013
Belgium,BEL,Education,67.485,2014
Belgium,BEL,Education,63.804,2015
Belgium,BEL,Education,70.552,2016
Belgium,BEL,Education,76.074,2017
Belgium,BEL,Education,52.761,2018
Belgium,BEL,Education,38.650,2019
Belgium,BEL,Education,49.693,2020
Belgium,BEL,Education,34.969,2021
Belgium,BEL,Education,33.129,2022
Belgium,BEL,Education,1.840,2023
Belgium,BEL,Employment and Time Use,0.000,1960
Belgium,BEL,Employment and Time Use,5.109,1961
Belgium,BEL,Employment and Time Use,0.000,1962
Belgium,BEL,Employment and Time Use,0.000,1963
Belgium,BEL,Employment and Time Use,0.000,1964
Belgium,BEL,Employment and Time Use,0.000,1965
Belgium,BEL,Employment and Time Use,0.000,1966
Belgium,BEL,Employment and Time Use,0.000,1967
Belgium,BEL,Employment and Time Use,0.000,1968
Belgium,BEL,Employment and Time Use,0.000,1969
Belgium,BEL,Employment and Time Use,26.277,1970
Belgium,BEL,Employment and Time Use,23.358,1971
Belgium,BEL,Employment and Time Use,23.358,1972
Belgium,BEL,Employment and Time Use,23.358,1973
Belgium,BEL,Employment and Time Use,23.358,1974
Belgium,BEL,Employment and Time Use,23.358,1975
Belgium,BEL,Employment and Time Use,23.358,1976
Belgium,BEL,Employment and Time Use,28.467,1977
Belgium,BEL,Employment and Time Use,23.358,1978
Belgium,BEL,Employment and Time Use,28.467,1979
Belgium,BEL,Employment and Time Use,28.467,1980
Belgium,BEL,Employment and Time Use,28.467,1981
Belgium,BEL,Employment and Time Use,23.358,1982
Belgium,BEL,Employment and Time Use,40.146,1983
Belgium,BEL,Employment and Time Use,40.146,1984
Belgium,BEL,Employment and Time Use,40.146,1985
Belgium,BEL,Employment and Time Use,40.146,1986
Belgium,BEL,Employment and Time Use,40.146,1987
Belgium,BEL,Employment and Time Use,40.146,1988
Belgium,BEL,Employment and Time Use,40.146,1989
Belgium,BEL,Employment and Time Use,50.365,1990
Belgium,BEL,Employment and Time Use,75.182,1991
Belgium,BEL,Employment and Time Use,88.321,1992
Belgium,BEL,Employment and Time Use,88.321,1993
Belgium,BEL,Employment and Time Use,88.321,1994
Belgium,BEL,Employment and Time Use,88.321,1995
Belgium,BEL,Employment and Time Use,88.321,1996
Belgium,BEL,Employment and Time Use,88.321,1997
Belgium,BEL,Employment and Time Use,88.321,1998
Belgium,BEL,Employment and Time Use,89.781,1999
Belgium,BEL,Employment and Time Use,91.971,2000
Belgium,BEL,Employment and Time Use,90.511,2001
Belgium,BEL,Employment and Time Use,90.511,2002
Belgium,BEL,Employment and Time Use,90.511,2003
Belgium,BEL,Employment and Time Use,90.511,2004
Belgium,BEL,Employment and Time Use,91.971,2005
Belgium,BEL,Employment and Time Use,90.511,2006
Belgium,BEL,Employment and Time Use,90.511,2007
Belgium,BEL,Employment and Time Use,90.511,2008
Belgium,BEL,Employment and Time Use,90.511,2009
Belgium,BEL,Employment and Time Use,90.511,2010
Belgium,BEL,Employment and Time Use,90.511,2011
Belgium,BEL,Employment and Time Use,90.511,2012
Belgium,BEL,Employment and Time Use,91.971,2013
Belgium,BEL,Employment and Time Use,90.511,2014
Belgium,BEL,Employment and Time Use,90.511,2015
Belgium,BEL,Employment and Time Use,90.511,2016
Belgium,BEL,Employment and Time Use,90.511,2017
Belgium,BEL,Employment and Time Use,90.511,2018
Belgium,BEL,Employment and Time Use,90.511,2019
Belgium,BEL,Employment and Time Use,90.511,2020
Belgium,BEL,Employment and Time Use,90.511,2021
Belgium,BEL,Employment and Time Use,90.511,2022
Belgium,BEL,Employment and Time Use,91.241,2023
Belgium,BEL,Entrepreneurship,0.000,1960
Belgium,BEL,Entrepreneurship,0.000,1961
Belgium,BEL,Entrepreneurship,0.000,1962
Belgium,BEL,Entrepreneurship,0.000,1963
Belgium,BEL,Entrepreneurship,0.000,1964
Belgium,BEL,Entrepreneurship,0.000,1965
Belgium,BEL,Entrepreneurship,0.000,1966
Belgium,BEL,Entrepreneurship,0.000,1967
Belgium,BEL,Entrepreneurship,0.000,1968
Belgium,BEL,Entrepreneurship,0.000,1969
Belgium,BEL,Entrepreneurship,9.375,1970
Belgium,BEL,Entrepreneurship,9.375,1971
Belgium,BEL,Entrepreneurship,9.375,1972
Belgium,BEL,Entrepreneurship,9.375,1973
Belgium,BEL,Entrepreneurship,9.375,1974
Belgium,BEL,Entrepreneurship,9.375,1975
Belgium,BEL,Entrepreneurship,9.375,1976
Belgium,BEL,Entrepreneurship,9.375,1977
Belgium,BEL,Entrepreneurship,9.375,1978
Belgium,BEL,Entrepreneurship,9.375,1979
Belgium,BEL,Entrepreneurship,9.375,1980
Belgium,BEL,Entrepreneurship,9.375,1981
Belgium,BEL,Entrepreneurship,9.375,1982
Belgium,BEL,Entrepreneurship,9.375,1983
Belgium,BEL,Entrepreneurship,9.375,1984
Belgium,BEL,Entrepreneurship,9.375,1985
Belgium,BEL,Entrepreneurship,9.375,1986
Belgium,BEL,Entrepreneurship,9.375,1987
Belgium,BEL,Entrepreneurship,9.375,1988
Belgium,BEL,Entrepreneurship,9.375,1989
Belgium,BEL,Entrepreneurship,9.375,1990
Belgium,BEL,Entrepreneurship,9.375,1991
Belgium,BEL,Entrepreneurship,9.375,1992
Belgium,BEL,Entrepreneurship,9.375,1993
Belgium,BEL,Entrepreneurship,9.375,1994
Belgium,BEL,Entrepreneurship,9.375,1995
Belgium,BEL,Entrepreneurship,9.375,1996
Belgium,BEL,Entrepreneurship,9.375,1997
Belgium,BEL,Entrepreneurship,9.375,1998
Belgium,BEL,Entrepreneurship,9.375,1999
