Country Name,Country Code,Topic,% of available indicators,Year
Benin,BEN,Assets,0.000,1960
Benin,BEN,Assets,0.000,1961
Benin,BEN,Assets,0.000,1962
Benin,BEN,Assets,0.000,1963
Benin,BEN,Assets,0.000,1964
Benin,BEN,Assets,0.000,1965
Benin,BEN,Assets,0.000,1966
Benin,BEN,Assets,0.000,1967
Benin,BEN,Assets,0.000,1968
Benin,BEN,Assets,0.000,1969
Benin,BEN,Assets,2.208,1970
Benin,BEN,Assets,2.208,1971
Benin,BEN,Assets,2.208,1972
Benin,BEN,Assets,2.208,1973
Benin,BEN,Assets,2.208,1974
Benin,BEN,Assets,2.208,1975
Benin,BEN,Assets,2.208,1976
Benin,BEN,Assets,2.208,1977
Benin,BEN,Assets,2.208,1978
Benin,BEN,Assets,2.208,1979
Benin,BEN,Assets,2.208,1980
Benin,BEN,Assets,2.208,1981
Benin,BEN,Assets,2.208,1982
Benin,BEN,Assets,2.208,1983
Benin,BEN,Assets,2.208,1984
Benin,BEN,Assets,2.208,1985
Benin,BEN,Assets,2.208,1986
Benin,BEN,Assets,2.208,1987
Benin,BEN,Assets,2.208,1988
Benin,BEN,Assets,2.208,1989
Benin,BEN,Assets,2.208,1990
Benin,BEN,Assets,2.208,1991
Benin,BEN,Assets,2.208,1992
Benin,BEN,Assets,2.208,1993
Benin,BEN,Assets,2.208,1994
Benin,BEN,Assets,2.208,1995
Benin,BEN,Assets,2.208,1996
Benin,BEN,Assets,2.208,1997
Benin,BEN,Assets,2.208,1998
Benin,BEN,Assets,2.208,1999
Benin,BEN,Assets,2.208,2000
Benin,BEN,Assets,2.208,2001
Benin,BEN,Assets,2.208,2002
Benin,BEN,Assets,2.208,2003
Benin,BEN,Assets,2.208,2004
Benin,BEN,Assets,2.208,2005
Benin,BEN,Assets,2.208,2006
Benin,BEN,Assets,2.208,2007
Benin,BEN,Assets,2.208,2008
Benin,BEN,Assets,2.208,2009
Benin,BEN,Assets,2.208,2010
Benin,BEN,Assets,11.672,2011
Benin,BEN,Assets,32.492,2012
Benin,BEN,Assets,2.208,2013
Benin,BEN,Assets,31.546,2014
Benin,BEN,Assets,2.208,2015
Benin,BEN,Assets,2.208,2016
Benin,BEN,Assets,34.069,2017
Benin,BEN,Assets,32.492,2018
Benin,BEN,Assets,2.208,2019
Benin,BEN,Assets,2.208,2020
Benin,BEN,Assets,63.091,2021
Benin,BEN,Assets,2.208,2022
Benin,BEN,Assets,2.208,2023
Benin,BEN,Children 0-14,19.231,1960
Benin,BEN,Children 0-14,19.231,1961
Benin,BEN,Children 0-14,19.231,1962
Benin,BEN,Children 0-14,19.231,1963
Benin,BEN,Children 0-14,19.231,1964
Benin,BEN,Children 0-14,19.231,1965
Benin,BEN,Children 0-14,19.231,1966
Benin,BEN,Children 0-14,19.231,1967
Benin,BEN,Children 0-14,19.231,1968
Benin,BEN,Children 0-14,19.231,1969
Benin,BEN,Children 0-14,19.231,1970
Benin,BEN,Children 0-14,30.000,1971
Benin,BEN,Children 0-14,30.000,1972
Benin,BEN,Children 0-14,30.000,1973
Benin,BEN,Children 0-14,28.462,1974
Benin,BEN,Children 0-14,30.000,1975
Benin,BEN,Children 0-14,32.308,1976
Benin,BEN,Children 0-14,30.000,1977
Benin,BEN,Children 0-14,32.308,1978
Benin,BEN,Children 0-14,34.615,1979
Benin,BEN,Children 0-14,32.308,1980
Benin,BEN,Children 0-14,29.231,1981
Benin,BEN,Children 0-14,30.000,1982
Benin,BEN,Children 0-14,32.308,1983
Benin,BEN,Children 0-14,40.000,1984
Benin,BEN,Children 0-14,40.000,1985
Benin,BEN,Children 0-14,40.000,1986
Benin,BEN,Children 0-14,32.308,1987
Benin,BEN,Children 0-14,39.231,1988
Benin,BEN,Children 0-14,39.231,1989
Benin,BEN,Children 0-14,40.000,1990
Benin,BEN,Children 0-14,31.538,1991
Benin,BEN,Children 0-14,40.000,1992
Benin,BEN,Children 0-14,39.231,1993
Benin,BEN,Children 0-14,39.231,1994
Benin,BEN,Children 0-14,39.231,1995
Benin,BEN,Children 0-14,48.462,1996
Benin,BEN,Children 0-14,36.923,1997
Benin,BEN,Children 0-14,27.692,1998
Benin,BEN,Children 0-14,26.923,1999
Benin,BEN,Children 0-14,50.769,2000
Benin,BEN,Children 0-14,51.538,2001
Benin,BEN,Children 0-14,41.538,2002
Benin,BEN,Children 0-14,42.308,2003
Benin,BEN,Children 0-14,40.769,2004
Benin,BEN,Children 0-14,36.154,2005
Benin,BEN,Children 0-14,45.385,2006
Benin,BEN,Children 0-14,20.769,2007
Benin,BEN,Children 0-14,46.923,2008
Benin,BEN,Children 0-14,35.385,2009
Benin,BEN,Children 0-14,53.077,2010
Benin,BEN,Children 0-14,46.923,2011
Benin,BEN,Children 0-14,44.615,2012
Benin,BEN,Children 0-14,40.769,2013
Benin,BEN,Children 0-14,56.154,2014
Benin,BEN,Children 0-14,53.077,2015
Benin,BEN,Children 0-14,39.231,2016
Benin,BEN,Children 0-14,42.308,2017
Benin,BEN,Children 0-14,64.615,2018
Benin,BEN,Children 0-14,52.308,2019
Benin,BEN,Children 0-14,37.692,2020
Benin,BEN,Children 0-14,51.538,2021
Benin,BEN,Children 0-14,35.385,2022
Benin,BEN,Children 0-14,9.231,2023
Benin,BEN,Education,0.000,1960
Benin,BEN,Education,0.000,1961
Benin,BEN,Education,0.000,1962
Benin,BEN,Education,0.000,1963
Benin,BEN,Education,0.000,1964
Benin,BEN,Education,0.000,1965
Benin,BEN,Education,0.000,1966
Benin,BEN,Education,0.000,1967
Benin,BEN,Education,0.000,1968
Benin,BEN,Education,0.000,1969
Benin,BEN,Education,0.000,1970
Benin,BEN,Education,23.313,1971
Benin,BEN,Education,16.564,1972
Benin,BEN,Education,22.699,1973
Benin,BEN,Education,21.472,1974
Benin,BEN,Education,22.086,1975
Benin,BEN,Education,17.178,1976
Benin,BEN,Education,19.632,1977
Benin,BEN,Education,17.791,1978
Benin,BEN,Education,31.902,1979
Benin,BEN,Education,15.337,1980
Benin,BEN,Education,11.656,1981
Benin,BEN,Education,15.951,1982
Benin,BEN,Education,17.791,1983
Benin,BEN,Education,22.699,1984
Benin,BEN,Education,27.607,1985
Benin,BEN,Education,27.607,1986
Benin,BEN,Education,20.245,1987
Benin,BEN,Education,17.791,1988
Benin,BEN,Education,17.791,1989
Benin,BEN,Education,16.564,1990
Benin,BEN,Education,11.656,1991
Benin,BEN,Education,26.994,1992
Benin,BEN,Education,18.405,1993
Benin,BEN,Education,18.405,1994
Benin,BEN,Education,17.791,1995
Benin,BEN,Education,17.791,1996
Benin,BEN,Education,15.951,1997
Benin,BEN,Education,6.748,1998
Benin,BEN,Education,17.791,1999
Benin,BEN,Education,33.742,2000
Benin,BEN,Education,34.356,2001
Benin,BEN,Education,42.945,2002
Benin,BEN,Education,31.902,2003
Benin,BEN,Education,30.675,2004
Benin,BEN,Education,17.178,2005
Benin,BEN,Education,24.540,2006
Benin,BEN,Education,3.067,2007
Benin,BEN,Education,20.245,2008
Benin,BEN,Education,19.632,2009
Benin,BEN,Education,33.742,2010
Benin,BEN,Education,49.693,2011
Benin,BEN,Education,25.767,2012
Benin,BEN,Education,37.423,2013
Benin,BEN,Education,48.466,2014
Benin,BEN,Education,44.172,2015
Benin,BEN,Education,30.061,2016
Benin,BEN,Education,36.810,2017
Benin,BEN,Education,46.626,2018
Benin,BEN,Education,23.313,2019
Benin,BEN,Education,32.515,2020
Benin,BEN,Education,33.129,2021
Benin,BEN,Education,36.196,2022
Benin,BEN,Education,0.000,2023
Benin,BEN,Employment and Time Use,0.000,1960
Benin,BEN,Employment and Time Use,2.920,1961
Benin,BEN,Employment and Time Use,0.000,1962
Benin,BEN,Employment and Time Use,0.000,1963
Benin,BEN,Employment and Time Use,0.000,1964
Benin,BEN,Employment and Time Use,0.000,1965
Benin,BEN,Employment and Time Use,0.000,1966
Benin,BEN,Employment and Time Use,0.000,1967
Benin,BEN,Employment and Time Use,0.000,1968
Benin,BEN,Employment and Time Use,0.000,1969
Benin,BEN,Employment and Time Use,21.168,1970
Benin,BEN,Employment and Time Use,21.168,1971
Benin,BEN,Employment and Time Use,21.168,1972
Benin,BEN,Employment and Time Use,21.168,1973
Benin,BEN,Employment and Time Use,21.168,1974
Benin,BEN,Employment and Time Use,26.277,1975
Benin,BEN,Employment and Time Use,21.168,1976
Benin,BEN,Employment and Time Use,24.088,1977
Benin,BEN,Employment and Time Use,21.168,1978
Benin,BEN,Employment and Time Use,26.277,1979
Benin,BEN,Employment and Time Use,21.168,1980
Benin,BEN,Employment and Time Use,21.168,1981
Benin,BEN,Employment and Time Use,21.168,1982
Benin,BEN,Employment and Time Use,21.168,1983
Benin,BEN,Employment and Time Use,21.168,1984
Benin,BEN,Employment and Time Use,21.168,1985
Benin,BEN,Employment and Time Use,31.387,1986
Benin,BEN,Employment and Time Use,21.168,1987
Benin,BEN,Employment and Time Use,21.168,1988
Benin,BEN,Employment and Time Use,21.168,1989
Benin,BEN,Employment and Time Use,31.387,1990
Benin,BEN,Employment and Time Use,56.204,1991
Benin,BEN,Employment and Time Use,66.423,1992
Benin,BEN,Employment and Time Use,56.204,1993
Benin,BEN,Employment and Time Use,56.204,1994
Benin,BEN,Employment and Time Use,56.204,1995
Benin,BEN,Employment and Time Use,59.124,1996
Benin,BEN,Employment and Time Use,56.204,1997
Benin,BEN,Employment and Time Use,56.204,1998
Benin,BEN,Employment and Time Use,56.204,1999
Benin,BEN,Employment and Time Use,56.204,2000
Benin,BEN,Employment and Time Use,61.314,2001
Benin,BEN,Employment and Time Use,66.423,2002
Benin,BEN,Employment and Time Use,63.504,2003
Benin,BEN,Employment and Time Use,56.204,2004
Benin,BEN,Employment and Time Use,56.204,2005
Benin,BEN,Employment and Time Use,58.394,2006
Benin,BEN,Employment and Time Use,56.204,2007
Benin,BEN,Employment and Time Use,56.204,2008
Benin,BEN,Employment and Time Use,56.204,2009
Benin,BEN,Employment and Time Use,72.993,2010
Benin,BEN,Employment and Time Use,89.781,2011
Benin,BEN,Employment and Time Use,58.394,2012
Benin,BEN,Employment and Time Use,56.204,2013
Benin,BEN,Employment and Time Use,56.204,2014
Benin,BEN,Employment and Time Use,56.204,2015
Benin,BEN,Employment and Time Use,56.204,2016
Benin,BEN,Employment and Time Use,56.204,2017
Benin,BEN,Employment and Time Use,56.204,2018
Benin,BEN,Employment and Time Use,86.131,2019
Benin,BEN,Employment and Time Use,56.204,2020
Benin,BEN,Employment and Time Use,56.204,2021
Benin,BEN,Employment and Time Use,86.861,2022
Benin,BEN,Employment and Time Use,59.124,2023
