Country Name,Country Code,Topic,% of available indicators,Year
Bangladesh,BGD,Assets,0.000,1960
Bangladesh,BGD,Assets,0.000,1961
Bangladesh,BGD,Assets,0.000,1962
Bangladesh,BGD,Assets,0.000,1963
Bangladesh,BGD,Assets,0.000,1964
Bangladesh,BGD,Assets,0.000,1965
Bangladesh,BGD,Assets,0.000,1966
Bangladesh,BGD,Assets,0.000,1967
Bangladesh,BGD,Assets,0.000,1968
Bangladesh,BGD,Assets,0.000,1969
Bangladesh,BGD,Assets,2.208,1970
Bangladesh,BGD,Assets,2.208,1971
Bangladesh,BGD,Assets,2.208,1972
Bangladesh,BGD,Assets,2.208,1973
Bangladesh,BGD,Assets,2.208,1974
Bangladesh,BGD,Assets,2.208,1975
Bangladesh,BGD,Assets,2.208,1976
Bangladesh,BGD,Assets,2.208,1977
Bangladesh,BGD,Assets,2.208,1978
Bangladesh,BGD,Assets,2.208,1979
Bangladesh,BGD,Assets,2.208,1980
Bangladesh,BGD,Assets,2.208,1981
Bangladesh,BGD,Assets,2.208,1982
Bangladesh,BGD,Assets,2.208,1983
Bangladesh,BGD,Assets,2.208,1984
Bangladesh,BGD,Assets,2.208,1985
Bangladesh,BGD,Assets,2.208,1986
Bangladesh,BGD,Assets,2.208,1987
Bangladesh,BGD,Assets,2.208,1988
Bangladesh,BGD,Assets,2.208,1989
Bangladesh,BGD,Assets,2.208,1990
Bangladesh,BGD,Assets,2.208,1991
Bangladesh,BGD,Assets,2.208,1992
Bangladesh,BGD,Assets,2.208,1993
Bangladesh,BGD,Assets,2.208,1994
Bangladesh,BGD,Assets,2.208,1995
Bangladesh,BGD,Assets,2.208,1996
Bangladesh,BGD,Assets,2.208,1997
Bangladesh,BGD,Assets,2.208,1998
Bangladesh,BGD,Assets,2.208,1999
Bangladesh,BGD,Assets,2.208,2000
Bangladesh,BGD,Assets,2.208,2001
Bangladesh,BGD,Assets,2.208,2002
Bangladesh,BGD,Assets,2.208,2003
Bangladesh,BGD,Assets,2.208,2004
Bangladesh,BGD,Assets,2.208,2005
Bangladesh,BGD,Assets,2.208,2006
Bangladesh,BGD,Assets,2.208,2007
Bangladesh,BGD,Assets,2.208,2008
Bangladesh,BGD,Assets,2.208,2009
Bangladesh,BGD,Assets,2.208,2010
Bangladesh,BGD,Assets,11.672,2011
Bangladesh,BGD,Assets,2.208,2012
Bangladesh,BGD,Assets,2.208,2013
Bangladesh,BGD,Assets,31.546,2014
Bangladesh,BGD,Assets,2.208,2015
Bangladesh,BGD,Assets,2.208,2016
Bangladesh,BGD,Assets,34.069,2017
Bangladesh,BGD,Assets,2.208,2018
Bangladesh,BGD,Assets,2.208,2019
Bangladesh,BGD,Assets,2.208,2020
Bangladesh,BGD,Assets,63.091,2021
Bangladesh,BGD,Assets,2.208,2022
Bangladesh,BGD,Assets,2.208,2023
Bangladesh,BGD,Children 0-14,19.231,1960
Bangladesh,BGD,Children 0-14,19.231,1961
Bangladesh,BGD,Children 0-14,19.231,1962
Bangladesh,BGD,Children 0-14,19.231,1963
Bangladesh,BGD,Children 0-14,19.231,1964
Bangladesh,BGD,Children 0-14,19.231,1965
Bangladesh,BGD,Children 0-14,19.231,1966
Bangladesh,BGD,Children 0-14,19.231,1967
Bangladesh,BGD,Children 0-14,19.231,1968
Bangladesh,BGD,Children 0-14,19.231,1969
Bangladesh,BGD,Children 0-14,30.769,1970
Bangladesh,BGD,Children 0-14,23.077,1971
Bangladesh,BGD,Children 0-14,23.846,1972
Bangladesh,BGD,Children 0-14,33.077,1973
Bangladesh,BGD,Children 0-14,25.385,1974
Bangladesh,BGD,Children 0-14,23.077,1975
Bangladesh,BGD,Children 0-14,30.769,1976
Bangladesh,BGD,Children 0-14,32.308,1977
Bangladesh,BGD,Children 0-14,30.769,1978
Bangladesh,BGD,Children 0-14,23.077,1979
Bangladesh,BGD,Children 0-14,24.615,1980
Bangladesh,BGD,Children 0-14,36.923,1981
Bangladesh,BGD,Children 0-14,24.615,1982
Bangladesh,BGD,Children 0-14,32.308,1983
Bangladesh,BGD,Children 0-14,32.308,1984
Bangladesh,BGD,Children 0-14,32.308,1985
Bangladesh,BGD,Children 0-14,35.385,1986
Bangladesh,BGD,Children 0-14,32.308,1987
Bangladesh,BGD,Children 0-14,34.615,1988
Bangladesh,BGD,Children 0-14,33.846,1989
Bangladesh,BGD,Children 0-14,35.385,1990
Bangladesh,BGD,Children 0-14,24.615,1991
Bangladesh,BGD,Children 0-14,24.615,1992
Bangladesh,BGD,Children 0-14,24.615,1993
Bangladesh,BGD,Children 0-14,24.615,1994
Bangladesh,BGD,Children 0-14,24.615,1995
Bangladesh,BGD,Children 0-14,24.615,1996
Bangladesh,BGD,Children 0-14,32.308,1997
Bangladesh,BGD,Children 0-14,29.231,1998
Bangladesh,BGD,Children 0-14,29.231,1999
Bangladesh,BGD,Children 0-14,50.769,2000
Bangladesh,BGD,Children 0-14,33.846,2001
Bangladesh,BGD,Children 0-14,29.231,2002
Bangladesh,BGD,Children 0-14,31.538,2003
Bangladesh,BGD,Children 0-14,38.462,2004
Bangladesh,BGD,Children 0-14,46.923,2005
Bangladesh,BGD,Children 0-14,41.538,2006
Bangladesh,BGD,Children 0-14,44.615,2007
Bangladesh,BGD,Children 0-14,41.538,2008
Bangladesh,BGD,Children 0-14,43.077,2009
Bangladesh,BGD,Children 0-14,60.000,2010
Bangladesh,BGD,Children 0-14,50.000,2011
Bangladesh,BGD,Children 0-14,34.615,2012
Bangladesh,BGD,Children 0-14,45.385,2013
Bangladesh,BGD,Children 0-14,40.769,2014
Bangladesh,BGD,Children 0-14,49.231,2015
Bangladesh,BGD,Children 0-14,33.077,2016
Bangladesh,BGD,Children 0-14,42.308,2017
Bangladesh,BGD,Children 0-14,56.923,2018
Bangladesh,BGD,Children 0-14,53.077,2019
Bangladesh,BGD,Children 0-14,33.077,2020
Bangladesh,BGD,Children 0-14,35.385,2021
Bangladesh,BGD,Children 0-14,46.154,2022
Bangladesh,BGD,Children 0-14,16.154,2023
Bangladesh,BGD,Education,0.000,1960
Bangladesh,BGD,Education,0.000,1961
Bangladesh,BGD,Education,0.000,1962
Bangladesh,BGD,Education,0.000,1963
Bangladesh,BGD,Education,0.000,1964
Bangladesh,BGD,Education,0.000,1965
Bangladesh,BGD,Education,0.000,1966
Bangladesh,BGD,Education,0.000,1967
Bangladesh,BGD,Education,0.000,1968
Bangladesh,BGD,Education,0.000,1969
Bangladesh,BGD,Education,12.270,1970
Bangladesh,BGD,Education,3.681,1971
Bangladesh,BGD,Education,6.748,1972
Bangladesh,BGD,Education,20.245,1973
Bangladesh,BGD,Education,9.816,1974
Bangladesh,BGD,Education,3.681,1975
Bangladesh,BGD,Education,22.086,1976
Bangladesh,BGD,Education,24.540,1977
Bangladesh,BGD,Education,12.883,1978
