Country Name,Country Code,Topic,% of available indicators,Year
Bahrain,BHR,Assets,0.000,1960
Bahrain,BHR,Assets,0.000,1961
Bahrain,BHR,Assets,0.000,1962
Bahrain,BHR,Assets,0.000,1963
Bahrain,BHR,Assets,0.000,1964
Bahrain,BHR,Assets,0.000,1965
Bahrain,BHR,Assets,0.000,1966
Bahrain,BHR,Assets,0.000,1967
Bahrain,BHR,Assets,0.000,1968
Bahrain,BHR,Assets,0.000,1969
Bahrain,BHR,Assets,2.208,1970
Bahrain,BHR,Assets,2.208,1971
Bahrain,BHR,Assets,2.208,1972
Bahrain,BHR,Assets,2.208,1973
Bahrain,BHR,Assets,2.208,1974
Bahrain,BHR,Assets,2.208,1975
Bahrain,BHR,Assets,2.208,1976
Bahrain,BHR,Assets,2.208,1977
Bahrain,BHR,Assets,2.208,1978
Bahrain,BHR,Assets,2.208,1979
Bahrain,BHR,Assets,2.208,1980
Bahrain,BHR,Assets,2.208,1981
Bahrain,BHR,Assets,2.208,1982
Bahrain,BHR,Assets,2.208,1983
Bahrain,BHR,Assets,2.208,1984
Bahrain,BHR,Assets,2.208,1985
Bahrain,BHR,Assets,2.208,1986
Bahrain,BHR,Assets,2.208,1987
Bahrain,BHR,Assets,2.208,1988
Bahrain,BHR,Assets,2.208,1989
Bahrain,BHR,Assets,2.208,1990
Bahrain,BHR,Assets,2.208,1991
Bahrain,BHR,Assets,2.208,1992
Bahrain,BHR,Assets,2.208,1993
Bahrain,BHR,Assets,2.208,1994
Bahrain,BHR,Assets,2.208,1995
Bahrain,BHR,Assets,2.208,1996
Bahrain,BHR,Assets,2.208,1997
Bahrain,BHR,Assets,2.208,1998
Bahrain,BHR,Assets,2.208,1999
Bahrain,BHR,Assets,2.208,2000
Bahrain,BHR,Assets,2.208,2001
Bahrain,BHR,Assets,2.208,2002
Bahrain,BHR,Assets,2.208,2003
Bahrain,BHR,Assets,2.208,2004
Bahrain,BHR,Assets,2.208,2005
Bahrain,BHR,Assets,2.208,2006
Bahrain,BHR,Assets,2.208,2007
Bahrain,BHR,Assets,2.208,2008
Bahrain,BHR,Assets,2.208,2009
Bahrain,BHR,Assets,2.208,2010
Bahrain,BHR,Assets,10.726,2011
Bahrain,BHR,Assets,2.208,2012
Bahrain,BHR,Assets,2.208,2013
Bahrain,BHR,Assets,24.921,2014
Bahrain,BHR,Assets,2.208,2015
Bahrain,BHR,Assets,2.208,2016
Bahrain,BHR,Assets,26.814,2017
Bahrain,BHR,Assets,2.208,2018
Bahrain,BHR,Assets,2.208,2019
Bahrain,BHR,Assets,2.208,2020
Bahrain,BHR,Assets,2.208,2021
Bahrain,BHR,Assets,2.208,2022
Bahrain,BHR,Assets,2.208,2023
Bahrain,BHR,Children 0-14,17.692,1960
Bahrain,BHR,Children 0-14,19.231,1961
Bahrain,BHR,Children 0-14,19.231,1962
Bahrain,BHR,Children 0-14,19.231,1963
Bahrain,BHR,Children 0-14,19.231,1964
Bahrain,BHR,Children 0-14,19.231,1965
Bahrain,BHR,Children 0-14,19.231,1966
Bahrain,BHR,Children 0-14,19.231,1967
Bahrain,BHR,Children 0-14,19.231,1968
Bahrain,BHR,Children 0-14,19.231,1969
Bahrain,BHR,Children 0-14,19.231,1970
Bahrain,BHR,Children 0-14,38.462,1971
Bahrain,BHR,Children 0-14,33.077,1972
Bahrain,BHR,Children 0-14,33.846,1973
Bahrain,BHR,Children 0-14,35.385,1974
Bahrain,BHR,Children 0-14,35.385,1975
Bahrain,BHR,Children 0-14,35.385,1976
Bahrain,BHR,Children 0-14,35.385,1977
Bahrain,BHR,Children 0-14,35.385,1978
Bahrain,BHR,Children 0-14,35.385,1979
Bahrain,BHR,Children 0-14,36.923,1980
Bahrain,BHR,Children 0-14,36.923,1981
Bahrain,BHR,Children 0-14,41.538,1982
Bahrain,BHR,Children 0-14,40.000,1983
Bahrain,BHR,Children 0-14,40.000,1984
Bahrain,BHR,Children 0-14,39.231,1985
