Country Name,Country Code,Topic,% of available indicators,Year
"Bahamas, The",BHS,Assets,0.000,1960
"Bahamas, The",BHS,Assets,0.000,1961
"Bahamas, The",BHS,Assets,0.000,1962
"Bahamas, The",BHS,Assets,0.000,1963
"Bahamas, The",BHS,Assets,0.000,1964
"Bahamas, The",BHS,Assets,0.000,1965
"Bahamas, The",BHS,Assets,0.000,1966
"Bahamas, The",BHS,Assets,0.000,1967
"Bahamas, The",BHS,Assets,0.000,1968
"Bahamas, The",BHS,Assets,0.000,1969
"Bahamas, The",BHS,Assets,2.208,1970
"Bahamas, The",BHS,Assets,2.208,1971
"Bahamas, The",BHS,Assets,2.208,1972
"Bahamas, The",BHS,Assets,2.208,1973
"Bahamas, The",BHS,Assets,2.208,1974
"Bahamas, The",BHS,Assets,2.208,1975
"Bahamas, The",BHS,Assets,2.208,1976
"Bahamas, The",BHS,Assets,2.208,1977
"Bahamas, The",BHS,Assets,2.208,1978
"Bahamas, The",BHS,Assets,2.208,1979
"Bahamas, The",BHS,Assets,2.208,1980
"Bahamas, The",BHS,Assets,2.208,1981
"Bahamas, The",BHS,Assets,2.208,1982
"Bahamas, The",BHS,Assets,2.208,1983
"Bahamas, The",BHS,Assets,2.208,1984
"Bahamas, The",BHS,Assets,2.208,1985
"Bahamas, The",BHS,Assets,2.208,1986
"Bahamas, The",BHS,Assets,2.208,1987
"Bahamas, The",BHS,Assets,2.208,1988
"Bahamas, The",BHS,Assets,2.208,1989
"Bahamas, The",BHS,Assets,2.208,1990
"Bahamas, The",BHS,Assets,2.208,1991
"Bahamas, The",BHS,Assets,2.208,1992
"Bahamas, The",BHS,Assets,2.208,1993
"Bahamas, The",BHS,Assets,2.208,1994
"Bahamas, The",BHS,Assets,2.208,1995
"Bahamas, The",BHS,Assets,2.208,1996
"Bahamas, The",BHS,Assets,2.208,1997
"Bahamas, The",BHS,Assets,2.208,1998
"Bahamas, The",BHS,Assets,2.208,1999
"Bahamas, The",BHS,Assets,2.208,2000
"Bahamas, The",BHS,Assets,2.208,2001
"Bahamas, The",BHS,Assets,2.208,2002
"Bahamas, The",BHS,Assets,2.208,2003
"Bahamas, The",BHS,Assets,2.208,2004
"Bahamas, The",BHS,Assets,2.208,2005
"Bahamas, The",BHS,Assets,2.208,2006
"Bahamas, The",BHS,Assets,2.208,2007
"Bahamas, The",BHS,Assets,2.208,2008
"Bahamas, The",BHS,Assets,2.208,2009
"Bahamas, The",BHS,Assets,2.208,2010
"Bahamas, The",BHS,Assets,2.208,2011
"Bahamas, The",BHS,Assets,2.208,2012
"Bahamas, The",BHS,Assets,2.208,2013
"Bahamas, The",BHS,Assets,2.208,2014
"Bahamas, The",BHS,Assets,2.208,2015
"Bahamas, The",BHS,Assets,2.208,2016
