Country Name,Country Code,Topic,% of available indicators,Year
Bosnia and Herzegovina,BIH,Assets,0.000,1960
Bosnia and Herzegovina,BIH,Assets,0.000,1961
Bosnia and Herzegovina,BIH,Assets,0.000,1962
Bosnia and Herzegovina,BIH,Assets,0.000,1963
Bosnia and Herzegovina,BIH,Assets,0.000,1964
Bosnia and Herzegovina,BIH,Assets,0.000,1965
Bosnia and Herzegovina,BIH,Assets,0.000,1966
Bosnia and Herzegovina,BIH,Assets,0.000,1967
Bosnia and Herzegovina,BIH,Assets,0.000,1968
Bosnia and Herzegovina,BIH,Assets,0.000,1969
Bosnia and Herzegovina,BIH,Assets,2.208,1970
Bosnia and Herzegovina,BIH,Assets,2.208,1971
Bosnia and Herzegovina,BIH,Assets,2.208,1972
Bosnia and Herzegovina,BIH,Assets,2.208,1973
Bosnia and Herzegovina,BIH,Assets,2.208,1974
Bosnia and Herzegovina,BIH,Assets,2.208,1975
Bosnia and Herzegovina,BIH,Assets,2.208,1976
Bosnia and Herzegovina,BIH,Assets,2.208,1977
Bosnia and Herzegovina,BIH,Assets,2.208,1978
Bosnia and Herzegovina,BIH,Assets,2.208,1979
Bosnia and Herzegovina,BIH,Assets,2.208,1980
Bosnia and Herzegovina,BIH,Assets,2.208,1981
Bosnia and Herzegovina,BIH,Assets,2.208,1982
Bosnia and Herzegovina,BIH,Assets,2.208,1983
Bosnia and Herzegovina,BIH,Assets,2.208,1984
Bosnia and Herzegovina,BIH,Assets,2.208,1985
Bosnia and Herzegovina,BIH,Assets,2.208,1986
Bosnia and Herzegovina,BIH,Assets,2.208,1987
Bosnia and Herzegovina,BIH,Assets,2.208,1988
Bosnia and Herzegovina,BIH,Assets,2.208,1989
Bosnia and Herzegovina,BIH,Assets,2.208,1990
Bosnia and Herzegovina,BIH,Assets,2.208,1991
Bosnia and Herzegovina,BIH,Assets,2.208,1992
Bosnia and Herzegovina,BIH,Assets,2.208,1993
Bosnia and Herzegovina,BIH,Assets,2.208,1994
Bosnia and Herzegovina,BIH,Assets,2.208,1995
Bosnia and Herzegovina,BIH,Assets,2.208,1996
Bosnia and Herzegovina,BIH,Assets,2.208,1997
Bosnia and Herzegovina,BIH,Assets,2.208,1998
Bosnia and Herzegovina,BIH,Assets,2.208,1999
Bosnia and Herzegovina,BIH,Assets,2.208,2000
Bosnia and Herzegovina,BIH,Assets,2.208,2001
Bosnia and Herzegovina,BIH,Assets,2.208,2002
Bosnia and Herzegovina,BIH,Assets,2.208,2003
Bosnia and Herzegovina,BIH,Assets,2.208,2004
Bosnia and Herzegovina,BIH,Assets,2.208,2005
Bosnia and Herzegovina,BIH,Assets,2.208,2006
Bosnia and Herzegovina,BIH,Assets,2.208,2007
Bosnia and Herzegovina,BIH,Assets,2.208,2008
Bosnia and Herzegovina,BIH,Assets,2.208,2009
Bosnia and Herzegovina,BIH,Assets,2.208,2010
Bosnia and Herzegovina,BIH,Assets,11.672,2011
Bosnia and Herzegovina,BIH,Assets,2.208,2012
Bosnia and Herzegovina,BIH,Assets,2.208,2013
Bosnia and Herzegovina,BIH,Assets,30.599,2014
Bosnia and Herzegovina,BIH,Assets,2.208,2015
Bosnia and Herzegovina,BIH,Assets,2.208,2016
Bosnia and Herzegovina,BIH,Assets,33.123,2017
Bosnia and Herzegovina,BIH,Assets,2.208,2018
Bosnia and Herzegovina,BIH,Assets,2.208,2019
Bosnia and Herzegovina,BIH,Assets,2.208,2020
Bosnia and Herzegovina,BIH,Assets,61.199,2021
Bosnia and Herzegovina,BIH,Assets,2.208,2022
Bosnia and Herzegovina,BIH,Assets,2.208,2023
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1960
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1961
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1962
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1963
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1964
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1965
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1966
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1967
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1968
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1969
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1970
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1971
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1972
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1973
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1974
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1975
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1976
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1977
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1978
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1979
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1980
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1981
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1982
Bosnia and Herzegovina,BIH,Children 0-14,10.769,1983
Bosnia and Herzegovina,BIH,Children 0-14,15.385,1984
Bosnia and Herzegovina,BIH,Children 0-14,17.692,1985
Bosnia and Herzegovina,BIH,Children 0-14,17.692,1986
Bosnia and Herzegovina,BIH,Children 0-14,17.692,1987
Bosnia and Herzegovina,BIH,Children 0-14,17.692,1988
Bosnia and Herzegovina,BIH,Children 0-14,19.231,1989
Bosnia and Herzegovina,BIH,Children 0-14,19.231,1990
Bosnia and Herzegovina,BIH,Children 0-14,19.231,1991
Bosnia and Herzegovina,BIH,Children 0-14,20.769,1992
Bosnia and Herzegovina,BIH,Children 0-14,20.769,1993
Bosnia and Herzegovina,BIH,Children 0-14,20.769,1994
Bosnia and Herzegovina,BIH,Children 0-14,20.769,1995
Bosnia and Herzegovina,BIH,Children 0-14,20.769,1996
Bosnia and Herzegovina,BIH,Children 0-14,20.769,1997
Bosnia and Herzegovina,BIH,Children 0-14,20.769,1998
Bosnia and Herzegovina,BIH,Children 0-14,20.769,1999
Bosnia and Herzegovina,BIH,Children 0-14,48.462,2000
Bosnia and Herzegovina,BIH,Children 0-14,20.769,2001
Bosnia and Herzegovina,BIH,Children 0-14,20.769,2002
Bosnia and Herzegovina,BIH,Children 0-14,20.769,2003
Bosnia and Herzegovina,BIH,Children 0-14,20.769,2004
Bosnia and Herzegovina,BIH,Children 0-14,20.769,2005
Bosnia and Herzegovina,BIH,Children 0-14,36.923,2006
Bosnia and Herzegovina,BIH,Children 0-14,23.846,2007
Bosnia and Herzegovina,BIH,Children 0-14,23.846,2008
Bosnia and Herzegovina,BIH,Children 0-14,28.462,2009
Bosnia and Herzegovina,BIH,Children 0-14,56.154,2010
Bosnia and Herzegovina,BIH,Children 0-14,40.000,2011
Bosnia and Herzegovina,BIH,Children 0-14,49.231,2012
Bosnia and Herzegovina,BIH,Children 0-14,40.000,2013
Bosnia and Herzegovina,BIH,Children 0-14,37.692,2014
Bosnia and Herzegovina,BIH,Children 0-14,53.846,2015
Bosnia and Herzegovina,BIH,Children 0-14,40.000,2016
Bosnia and Herzegovina,BIH,Children 0-14,44.615,2017
Bosnia and Herzegovina,BIH,Children 0-14,44.615,2018
Bosnia and Herzegovina,BIH,Children 0-14,50.000,2019
Bosnia and Herzegovina,BIH,Children 0-14,43.846,2020
Bosnia and Herzegovina,BIH,Children 0-14,39.231,2021
Bosnia and Herzegovina,BIH,Children 0-14,36.923,2022
Bosnia and Herzegovina,BIH,Children 0-14,23.846,2023
Bosnia and Herzegovina,BIH,Education,0.000,1960
Bosnia and Herzegovina,BIH,Education,0.000,1961
Bosnia and Herzegovina,BIH,Education,0.000,1962
Bosnia and Herzegovina,BIH,Education,0.000,1963
Bosnia and Herzegovina,BIH,Education,0.000,1964
Bosnia and Herzegovina,BIH,Education,0.000,1965
Bosnia and Herzegovina,BIH,Education,0.000,1966
Bosnia and Herzegovina,BIH,Education,0.000,1967
Bosnia and Herzegovina,BIH,Education,0.000,1968
Bosnia and Herzegovina,BIH,Education,0.000,1969
Bosnia and Herzegovina,BIH,Education,0.000,1970
Bosnia and Herzegovina,BIH,Education,0.000,1971
Bosnia and Herzegovina,BIH,Education,0.000,1972
Bosnia and Herzegovina,BIH,Education,0.000,1973
Bosnia and Herzegovina,BIH,Education,0.000,1974
Bosnia and Herzegovina,BIH,Education,0.000,1975
Bosnia and Herzegovina,BIH,Education,0.000,1976
Bosnia and Herzegovina,BIH,Education,0.000,1977
Bosnia and Herzegovina,BIH,Education,0.000,1978
Bosnia and Herzegovina,BIH,Education,0.000,1979
Bosnia and Herzegovina,BIH,Education,0.000,1980
Bosnia and Herzegovina,BIH,Education,0.000,1981
Bosnia and Herzegovina,BIH,Education,0.000,1982
Bosnia and Herzegovina,BIH,Education,0.000,1983
Bosnia and Herzegovina,BIH,Education,0.000,1984
Bosnia and Herzegovina,BIH,Education,0.000,1985
Bosnia and Herzegovina,BIH,Education,0.000,1986
Bosnia and Herzegovina,BIH,Education,0.000,1987
Bosnia and Herzegovina,BIH,Education,0.000,1988
Bosnia and Herzegovina,BIH,Education,0.000,1989
Bosnia and Herzegovina,BIH,Education,0.000,1990
Bosnia and Herzegovina,BIH,Education,6.748,1991
Bosnia and Herzegovina,BIH,Education,0.000,1992
Bosnia and Herzegovina,BIH,Education,0.000,1993
Bosnia and Herzegovina,BIH,Education,0.000,1994
Bosnia and Herzegovina,BIH,Education,0.000,1995
Bosnia and Herzegovina,BIH,Education,0.000,1996
Bosnia and Herzegovina,BIH,Education,0.000,1997
Bosnia and Herzegovina,BIH,Education,0.000,1998
Bosnia and Herzegovina,BIH,Education,0.000,1999
Bosnia and Herzegovina,BIH,Education,7.362,2000
Bosnia and Herzegovina,BIH,Education,2.454,2001
Bosnia and Herzegovina,BIH,Education,0.613,2002
Bosnia and Herzegovina,BIH,Education,0.613,2003
Bosnia and Herzegovina,BIH,Education,0.613,2004
Bosnia and Herzegovina,BIH,Education,2.454,2005
Bosnia and Herzegovina,BIH,Education,4.908,2006
Bosnia and Herzegovina,BIH,Education,18.405,2007
Bosnia and Herzegovina,BIH,Education,19.018,2008
Bosnia and Herzegovina,BIH,Education,24.540,2009
Bosnia and Herzegovina,BIH,Education,37.423,2010
Bosnia and Herzegovina,BIH,Education,44.172,2011
Bosnia and Herzegovina,BIH,Education,33.742,2012
Bosnia and Herzegovina,BIH,Education,47.853,2013
Bosnia and Herzegovina,BIH,Education,49.080,2014
Bosnia and Herzegovina,BIH,Education,52.761,2015
Bosnia and Herzegovina,BIH,Education,53.374,2016
Bosnia and Herzegovina,BIH,Education,63.804,2017
Bosnia and Herzegovina,BIH,Education,63.804,2018
Bosnia and Herzegovina,BIH,Education,38.037,2019
Bosnia and Herzegovina,BIH,Education,49.693,2020
Bosnia and Herzegovina,BIH,Education,38.650,2021
Bosnia and Herzegovina,BIH,Education,40.491,2022
Bosnia and Herzegovina,BIH,Education,34.969,2023
Bosnia and Herzegovina,BIH,Employment and Time Use,0.000,1960
Bosnia and Herzegovina,BIH,Employment and Time Use,0.000,1961
Bosnia and Herzegovina,BIH,Employment and Time Use,0.000,1962
Bosnia and Herzegovina,BIH,Employment and Time Use,0.000,1963
Bosnia and Herzegovina,BIH,Employment and Time Use,0.000,1964
Bosnia and Herzegovina,BIH,Employment and Time Use,0.000,1965
Bosnia and Herzegovina,BIH,Employment and Time Use,0.000,1966
Bosnia and Herzegovina,BIH,Employment and Time Use,0.000,1967
Bosnia and Herzegovina,BIH,Employment and Time Use,0.000,1968
Bosnia and Herzegovina,BIH,Employment and Time Use,0.000,1969
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1970
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1971
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1972
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1973
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1974
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1975
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1976
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1977
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1978
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1979
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1980
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1981
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1982
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1983
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1984
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1985
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1986
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1987
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1988
Bosnia and Herzegovina,BIH,Employment and Time Use,21.168,1989
Bosnia and Herzegovina,BIH,Employment and Time Use,31.387,1990
Bosnia and Herzegovina,BIH,Employment and Time Use,58.394,1991
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,1992
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,1993
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,1994
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,1995
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,1996
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,1997
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,1998
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,1999
Bosnia and Herzegovina,BIH,Employment and Time Use,58.394,2000
Bosnia and Herzegovina,BIH,Employment and Time Use,85.401,2001
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,2002
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,2003
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,2004
Bosnia and Herzegovina,BIH,Employment and Time Use,56.204,2005
Bosnia and Herzegovina,BIH,Employment and Time Use,91.241,2006
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2007
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2008
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2009
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2010
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2011
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2012
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2013
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2014
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2015
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2016
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2017
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2018
Bosnia and Herzegovina,BIH,Employment and Time Use,91.971,2019
Bosnia and Herzegovina,BIH,Employment and Time Use,90.511,2020
Bosnia and Herzegovina,BIH,Employment and Time Use,90.511,2021
Bosnia and Herzegovina,BIH,Employment and Time Use,90.511,2022
Bosnia and Herzegovina,BIH,Employment and Time Use,94.891,2023
Bosnia and Herzegovina,BIH,Entrepreneurship,0.000,1960
Bosnia and Herzegovina,BIH,Entrepreneurship,0.000,1961
Bosnia and Herzegovina,BIH,Entrepreneurship,0.000,1962
Bosnia and Herzegovina,BIH,Entrepreneurship,0.000,1963
Bosnia and Herzegovina,BIH,Entrepreneurship,0.000,1964
Bosnia and Herzegovina,BIH,Entrepreneurship,0.000,1965
Bosnia and Herzegovina,BIH,Entrepreneurship,0.000,1966
Bosnia and Herzegovina,BIH,Entrepreneurship,0.000,1967
Bosnia and Herzegovina,BIH,Entrepreneurship,0.000,1968
Bosnia and Herzegovina,BIH,Entrepreneurship,0.000,1969
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1970
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1971
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1972
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1973
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1974
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1975
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1976
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1977
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1978
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1979
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1980
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1981
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1982
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1983
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1984
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1985
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1986
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1987
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1988
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1989
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1990
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1991
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1992
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1993
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1994
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1995
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1996
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1997
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1998
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,1999
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,2000
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,2001
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,2002
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2003
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2004
Bosnia and Herzegovina,BIH,Entrepreneurship,40.625,2005
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2006
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2007
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2008
Bosnia and Herzegovina,BIH,Entrepreneurship,43.750,2009
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2010
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2011
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2012
Bosnia and Herzegovina,BIH,Entrepreneurship,43.750,2013
Bosnia and Herzegovina,BIH,Entrepreneurship,56.250,2014
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2015
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2016
Bosnia and Herzegovina,BIH,Entrepreneurship,56.250,2017
Bosnia and Herzegovina,BIH,Entrepreneurship,37.500,2018
Bosnia and Herzegovina,BIH,Entrepreneurship,43.750,2019
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,2020
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,2021
Bosnia and Herzegovina,BIH,Entrepreneurship,9.375,2022
Bosnia and Herzegovina,BIH,Entrepreneurship,15.625,2023
Bosnia and Herzegovina,BIH,Environment,0.000,1960
Bosnia and Herzegovina,BIH,Environment,0.000,1961
Bosnia and Herzegovina,BIH,Environment,0.000,1962
Bosnia and Herzegovina,BIH,Environment,0.000,1963
Bosnia and Herzegovina,BIH,Environment,0.000,1964
Bosnia and Herzegovina,BIH,Environment,0.000,1965
Bosnia and Herzegovina,BIH,Environment,0.000,1966
Bosnia and Herzegovina,BIH,Environment,0.000,1967
Bosnia and Herzegovina,BIH,Environment,0.000,1968
Bosnia and Herzegovina,BIH,Environment,0.000,1969
Bosnia and Herzegovina,BIH,Environment,0.000,1970
Bosnia and Herzegovina,BIH,Environment,0.000,1971
Bosnia and Herzegovina,BIH,Environment,0.000,1972
Bosnia and Herzegovina,BIH,Environment,0.000,1973
Bosnia and Herzegovina,BIH,Environment,0.000,1974
Bosnia and Herzegovina,BIH,Environment,0.000,1975
Bosnia and Herzegovina,BIH,Environment,0.000,1976
Bosnia and Herzegovina,BIH,Environment,0.000,1977
Bosnia and Herzegovina,BIH,Environment,0.000,1978
Bosnia and Herzegovina,BIH,Environment,0.000,1979
Bosnia and Herzegovina,BIH,Environment,0.000,1980
Bosnia and Herzegovina,BIH,Environment,0.000,1981
Bosnia and Herzegovina,BIH,Environment,0.000,1982
