Country Name,Country Code,Topic,% of available indicators,Year
Belarus,BLR,Assets,0.000,1960
Belarus,BLR,Assets,0.000,1961
Belarus,BLR,Assets,0.000,1962
Belarus,BLR,Assets,0.000,1963
Belarus,BLR,Assets,0.000,1964
Belarus,BLR,Assets,0.000,1965
Belarus,BLR,Assets,0.000,1966
Belarus,BLR,Assets,0.000,1967
Belarus,BLR,Assets,0.000,1968
Belarus,BLR,Assets,0.000,1969
Belarus,BLR,Assets,2.208,1970
Belarus,BLR,Assets,2.208,1971
Belarus,BLR,Assets,2.208,1972
Belarus,BLR,Assets,2.208,1973
Belarus,BLR,Assets,2.208,1974
Belarus,BLR,Assets,2.208,1975
Belarus,BLR,Assets,2.208,1976
Belarus,BLR,Assets,2.208,1977
Belarus,BLR,Assets,2.208,1978
Belarus,BLR,Assets,2.208,1979
Belarus,BLR,Assets,2.208,1980
Belarus,BLR,Assets,2.208,1981
Belarus,BLR,Assets,2.208,1982
Belarus,BLR,Assets,2.208,1983
Belarus,BLR,Assets,2.208,1984
Belarus,BLR,Assets,2.208,1985
Belarus,BLR,Assets,2.208,1986
Belarus,BLR,Assets,2.208,1987
Belarus,BLR,Assets,2.208,1988
Belarus,BLR,Assets,2.208,1989
Belarus,BLR,Assets,2.208,1990
Belarus,BLR,Assets,2.208,1991
Belarus,BLR,Assets,2.208,1992
Belarus,BLR,Assets,2.208,1993
Belarus,BLR,Assets,2.208,1994
Belarus,BLR,Assets,2.208,1995
Belarus,BLR,Assets,2.208,1996
Belarus,BLR,Assets,2.208,1997
Belarus,BLR,Assets,2.208,1998
Belarus,BLR,Assets,2.208,1999
Belarus,BLR,Assets,2.208,2000
Belarus,BLR,Assets,2.208,2001
Belarus,BLR,Assets,2.208,2002
Belarus,BLR,Assets,2.208,2003
Belarus,BLR,Assets,2.208,2004
Belarus,BLR,Assets,2.208,2005
Belarus,BLR,Assets,2.208,2006
Belarus,BLR,Assets,2.208,2007
Belarus,BLR,Assets,2.208,2008
Belarus,BLR,Assets,2.208,2009
Belarus,BLR,Assets,2.208,2010
Belarus,BLR,Assets,11.672,2011
Belarus,BLR,Assets,2.208,2012
Belarus,BLR,Assets,2.208,2013
Belarus,BLR,Assets,30.599,2014
Belarus,BLR,Assets,2.208,2015
Belarus,BLR,Assets,2.208,2016
Belarus,BLR,Assets,33.123,2017
Belarus,BLR,Assets,2.208,2018
Belarus,BLR,Assets,2.208,2019
Belarus,BLR,Assets,2.208,2020
Belarus,BLR,Assets,2.208,2021
Belarus,BLR,Assets,2.208,2022
Belarus,BLR,Assets,2.208,2023
Belarus,BLR,Children 0-14,17.692,1960
Belarus,BLR,Children 0-14,17.692,1961
Belarus,BLR,Children 0-14,17.692,1962
Belarus,BLR,Children 0-14,19.231,1963
Belarus,BLR,Children 0-14,19.231,1964
Belarus,BLR,Children 0-14,19.231,1965
Belarus,BLR,Children 0-14,19.231,1966
Belarus,BLR,Children 0-14,19.231,1967
Belarus,BLR,Children 0-14,19.231,1968
Belarus,BLR,Children 0-14,19.231,1969
Belarus,BLR,Children 0-14,19.231,1970
Belarus,BLR,Children 0-14,23.077,1971
Belarus,BLR,Children 0-14,23.077,1972
Belarus,BLR,Children 0-14,23.077,1973
Belarus,BLR,Children 0-14,23.077,1974
Belarus,BLR,Children 0-14,23.077,1975
Belarus,BLR,Children 0-14,22.308,1976
Belarus,BLR,Children 0-14,23.077,1977
Belarus,BLR,Children 0-14,23.077,1978
Belarus,BLR,Children 0-14,23.077,1979
Belarus,BLR,Children 0-14,23.077,1980
Belarus,BLR,Children 0-14,23.077,1981
Belarus,BLR,Children 0-14,23.077,1982
Belarus,BLR,Children 0-14,23.077,1983
Belarus,BLR,Children 0-14,23.077,1984
Belarus,BLR,Children 0-14,23.077,1985
Belarus,BLR,Children 0-14,23.077,1986
Belarus,BLR,Children 0-14,20.769,1987
Belarus,BLR,Children 0-14,22.308,1988
Belarus,BLR,Children 0-14,24.615,1989
Belarus,BLR,Children 0-14,23.077,1990
Belarus,BLR,Children 0-14,23.077,1991
Belarus,BLR,Children 0-14,24.615,1992
Belarus,BLR,Children 0-14,30.769,1993
Belarus,BLR,Children 0-14,30.769,1994
Belarus,BLR,Children 0-14,40.000,1995
Belarus,BLR,Children 0-14,32.308,1996
Belarus,BLR,Children 0-14,30.000,1997
Belarus,BLR,Children 0-14,25.385,1998
Belarus,BLR,Children 0-14,34.615,1999
