Country Name,Country Code,Topic,% of available indicators,Year
Belize,BLZ,Assets,0.000,1960
Belize,BLZ,Assets,0.000,1961
Belize,BLZ,Assets,0.000,1962
Belize,BLZ,Assets,0.000,1963
Belize,BLZ,Assets,0.000,1964
Belize,BLZ,Assets,0.000,1965
Belize,BLZ,Assets,0.000,1966
Belize,BLZ,Assets,0.000,1967
Belize,BLZ,Assets,0.000,1968
Belize,BLZ,Assets,0.000,1969
Belize,BLZ,Assets,2.208,1970
Belize,BLZ,Assets,2.208,1971
Belize,BLZ,Assets,2.208,1972
Belize,BLZ,Assets,2.208,1973
Belize,BLZ,Assets,2.208,1974
Belize,BLZ,Assets,2.208,1975
Belize,BLZ,Assets,2.208,1976
Belize,BLZ,Assets,2.208,1977
Belize,BLZ,Assets,2.208,1978
Belize,BLZ,Assets,2.208,1979
Belize,BLZ,Assets,2.208,1980
Belize,BLZ,Assets,2.208,1981
Belize,BLZ,Assets,2.208,1982
Belize,BLZ,Assets,2.208,1983
Belize,BLZ,Assets,2.208,1984
Belize,BLZ,Assets,2.208,1985
Belize,BLZ,Assets,2.208,1986
Belize,BLZ,Assets,2.208,1987
Belize,BLZ,Assets,2.208,1988
Belize,BLZ,Assets,2.208,1989
Belize,BLZ,Assets,2.208,1990
Belize,BLZ,Assets,2.208,1991
Belize,BLZ,Assets,2.208,1992
Belize,BLZ,Assets,2.208,1993
Belize,BLZ,Assets,2.208,1994
Belize,BLZ,Assets,2.208,1995
Belize,BLZ,Assets,2.208,1996
Belize,BLZ,Assets,2.208,1997
Belize,BLZ,Assets,2.208,1998
Belize,BLZ,Assets,2.208,1999
Belize,BLZ,Assets,2.208,2000
Belize,BLZ,Assets,2.208,2001
Belize,BLZ,Assets,2.208,2002
Belize,BLZ,Assets,2.208,2003
Belize,BLZ,Assets,2.208,2004
Belize,BLZ,Assets,2.208,2005
Belize,BLZ,Assets,2.208,2006
Belize,BLZ,Assets,2.208,2007
Belize,BLZ,Assets,2.208,2008
Belize,BLZ,Assets,2.208,2009
Belize,BLZ,Assets,2.208,2010
Belize,BLZ,Assets,2.208,2011
Belize,BLZ,Assets,2.208,2012
Belize,BLZ,Assets,2.208,2013
Belize,BLZ,Assets,30.599,2014
Belize,BLZ,Assets,2.208,2015
Belize,BLZ,Assets,2.208,2016
Belize,BLZ,Assets,2.208,2017
Belize,BLZ,Assets,2.208,2018
Belize,BLZ,Assets,2.208,2019
Belize,BLZ,Assets,2.208,2020
Belize,BLZ,Assets,2.208,2021
Belize,BLZ,Assets,2.208,2022
Belize,BLZ,Assets,2.208,2023
Belize,BLZ,Children 0-14,10.769,1960
Belize,BLZ,Children 0-14,10.769,1961
Belize,BLZ,Children 0-14,10.769,1962
Belize,BLZ,Children 0-14,10.769,1963
Belize,BLZ,Children 0-14,10.769,1964
Belize,BLZ,Children 0-14,10.769,1965
Belize,BLZ,Children 0-14,10.769,1966
Belize,BLZ,Children 0-14,15.385,1967
Belize,BLZ,Children 0-14,17.692,1968
Belize,BLZ,Children 0-14,17.692,1969
Belize,BLZ,Children 0-14,20.000,1970
Belize,BLZ,Children 0-14,21.538,1971
Belize,BLZ,Children 0-14,20.000,1972
Belize,BLZ,Children 0-14,20.000,1973
Belize,BLZ,Children 0-14,23.846,1974
Belize,BLZ,Children 0-14,19.231,1975
Belize,BLZ,Children 0-14,23.846,1976
Belize,BLZ,Children 0-14,23.077,1977
Belize,BLZ,Children 0-14,20.000,1978
Belize,BLZ,Children 0-14,19.231,1979
Belize,BLZ,Children 0-14,23.846,1980
Belize,BLZ,Children 0-14,22.308,1981
Belize,BLZ,Children 0-14,21.538,1982
Belize,BLZ,Children 0-14,21.538,1983
Belize,BLZ,Children 0-14,21.538,1984
Belize,BLZ,Children 0-14,21.538,1985
Belize,BLZ,Children 0-14,26.923,1986
Belize,BLZ,Children 0-14,26.923,1987
Belize,BLZ,Children 0-14,21.538,1988
Belize,BLZ,Children 0-14,21.538,1989
Belize,BLZ,Children 0-14,23.846,1990
Belize,BLZ,Children 0-14,30.769,1991
Belize,BLZ,Children 0-14,30.769,1992
Belize,BLZ,Children 0-14,26.923,1993
Belize,BLZ,Children 0-14,30.769,1994
Belize,BLZ,Children 0-14,32.308,1995
Belize,BLZ,Children 0-14,30.000,1996
Belize,BLZ,Children 0-14,26.923,1997
Belize,BLZ,Children 0-14,20.769,1998
Belize,BLZ,Children 0-14,41.538,1999
Belize,BLZ,Children 0-14,56.154,2000
Belize,BLZ,Children 0-14,48.462,2001
Belize,BLZ,Children 0-14,24.615,2002
Belize,BLZ,Children 0-14,40.769,2003
Belize,BLZ,Children 0-14,43.077,2004
Belize,BLZ,Children 0-14,42.308,2005
Belize,BLZ,Children 0-14,56.923,2006
Belize,BLZ,Children 0-14,43.846,2007
Belize,BLZ,Children 0-14,46.154,2008
Belize,BLZ,Children 0-14,46.154,2009
Belize,BLZ,Children 0-14,64.615,2010
Belize,BLZ,Children 0-14,56.923,2011
Belize,BLZ,Children 0-14,41.538,2012
Belize,BLZ,Children 0-14,50.000,2013
Belize,BLZ,Children 0-14,46.154,2014
Belize,BLZ,Children 0-14,73.846,2015
Belize,BLZ,Children 0-14,50.769,2016
Belize,BLZ,Children 0-14,46.923,2017
Belize,BLZ,Children 0-14,43.077,2018
Belize,BLZ,Children 0-14,53.077,2019
Belize,BLZ,Children 0-14,38.462,2020
Belize,BLZ,Children 0-14,36.154,2021
Belize,BLZ,Children 0-14,32.308,2022
Belize,BLZ,Children 0-14,19.231,2023
Belize,BLZ,Education,0.000,1960
Belize,BLZ,Education,0.000,1961
