Country Name,Country Code,Topic,% of available indicators,Year
Brazil,BRA,Assets,0.000,1960
Brazil,BRA,Assets,0.000,1961
Brazil,BRA,Assets,0.000,1962
Brazil,BRA,Assets,0.000,1963
Brazil,BRA,Assets,0.000,1964
Brazil,BRA,Assets,0.000,1965
Brazil,BRA,Assets,0.000,1966
Brazil,BRA,Assets,0.000,1967
Brazil,BRA,Assets,0.000,1968
Brazil,BRA,Assets,0.000,1969
Brazil,BRA,Assets,2.208,1970
Brazil,BRA,Assets,2.208,1971
Brazil,BRA,Assets,2.208,1972
Brazil,BRA,Assets,2.208,1973
Brazil,BRA,Assets,2.208,1974
Brazil,BRA,Assets,2.208,1975
Brazil,BRA,Assets,2.208,1976
Brazil,BRA,Assets,2.208,1977
Brazil,BRA,Assets,2.208,1978
Brazil,BRA,Assets,2.208,1979
Brazil,BRA,Assets,2.208,1980
Brazil,BRA,Assets,2.208,1981
Brazil,BRA,Assets,2.208,1982
Brazil,BRA,Assets,2.208,1983
Brazil,BRA,Assets,2.208,1984
Brazil,BRA,Assets,2.208,1985
Brazil,BRA,Assets,2.208,1986
Brazil,BRA,Assets,2.208,1987
Brazil,BRA,Assets,2.208,1988
Brazil,BRA,Assets,2.208,1989
Brazil,BRA,Assets,2.208,1990
Brazil,BRA,Assets,2.208,1991
Brazil,BRA,Assets,2.208,1992
Brazil,BRA,Assets,2.208,1993
Brazil,BRA,Assets,2.208,1994
Brazil,BRA,Assets,2.208,1995
Brazil,BRA,Assets,2.208,1996
Brazil,BRA,Assets,2.208,1997
Brazil,BRA,Assets,2.208,1998
Brazil,BRA,Assets,2.208,1999
Brazil,BRA,Assets,2.208,2000
Brazil,BRA,Assets,2.208,2001
Brazil,BRA,Assets,2.208,2002
Brazil,BRA,Assets,2.208,2003
Brazil,BRA,Assets,2.208,2004
Brazil,BRA,Assets,2.208,2005
Brazil,BRA,Assets,2.208,2006
Brazil,BRA,Assets,2.208,2007
Brazil,BRA,Assets,2.208,2008
Brazil,BRA,Assets,2.208,2009
Brazil,BRA,Assets,2.208,2010
Brazil,BRA,Assets,11.672,2011
Brazil,BRA,Assets,2.208,2012
Brazil,BRA,Assets,2.208,2013
Brazil,BRA,Assets,31.546,2014
Brazil,BRA,Assets,2.208,2015
Brazil,BRA,Assets,2.208,2016
Brazil,BRA,Assets,34.069,2017
Brazil,BRA,Assets,2.208,2018
Brazil,BRA,Assets,2.208,2019
Brazil,BRA,Assets,2.208,2020
Brazil,BRA,Assets,63.091,2021
Brazil,BRA,Assets,2.208,2022
Brazil,BRA,Assets,2.208,2023
Brazil,BRA,Children 0-14,19.231,1960
Brazil,BRA,Children 0-14,19.231,1961
Brazil,BRA,Children 0-14,19.231,1962
Brazil,BRA,Children 0-14,19.231,1963
Brazil,BRA,Children 0-14,19.231,1964
Brazil,BRA,Children 0-14,19.231,1965
Brazil,BRA,Children 0-14,19.231,1966
