Country Name,Country Code,Topic,% of available indicators,Year
Barbados,BRB,Assets,0.000,1960
Barbados,BRB,Assets,0.000,1961
Barbados,BRB,Assets,0.000,1962
Barbados,BRB,Assets,0.000,1963
Barbados,BRB,Assets,0.000,1964
Barbados,BRB,Assets,0.000,1965
Barbados,BRB,Assets,0.000,1966
Barbados,BRB,Assets,0.000,1967
Barbados,BRB,Assets,0.000,1968
Barbados,BRB,Assets,0.000,1969
Barbados,BRB,Assets,2.208,1970
Barbados,BRB,Assets,2.208,1971
Barbados,BRB,Assets,2.208,1972
Barbados,BRB,Assets,2.208,1973
Barbados,BRB,Assets,2.208,1974
Barbados,BRB,Assets,2.208,1975
Barbados,BRB,Assets,2.208,1976
Barbados,BRB,Assets,2.208,1977
Barbados,BRB,Assets,2.208,1978
Barbados,BRB,Assets,2.208,1979
Barbados,BRB,Assets,2.208,1980
Barbados,BRB,Assets,2.208,1981
Barbados,BRB,Assets,2.208,1982
Barbados,BRB,Assets,2.208,1983
Barbados,BRB,Assets,2.208,1984
Barbados,BRB,Assets,2.208,1985
Barbados,BRB,Assets,2.208,1986
Barbados,BRB,Assets,2.208,1987
Barbados,BRB,Assets,2.208,1988
Barbados,BRB,Assets,2.208,1989
Barbados,BRB,Assets,2.208,1990
Barbados,BRB,Assets,2.208,1991
Barbados,BRB,Assets,2.208,1992
Barbados,BRB,Assets,2.208,1993
Barbados,BRB,Assets,2.208,1994
Barbados,BRB,Assets,2.208,1995
Barbados,BRB,Assets,2.208,1996
Barbados,BRB,Assets,2.208,1997
Barbados,BRB,Assets,2.208,1998
Barbados,BRB,Assets,2.208,1999
Barbados,BRB,Assets,2.208,2000
Barbados,BRB,Assets,2.208,2001
Barbados,BRB,Assets,2.208,2002
Barbados,BRB,Assets,2.208,2003
Barbados,BRB,Assets,2.208,2004
Barbados,BRB,Assets,2.208,2005
Barbados,BRB,Assets,2.208,2006
Barbados,BRB,Assets,2.208,2007
Barbados,BRB,Assets,2.208,2008
Barbados,BRB,Assets,2.208,2009
Barbados,BRB,Assets,2.208,2010
Barbados,BRB,Assets,2.208,2011
Barbados,BRB,Assets,2.208,2012
Barbados,BRB,Assets,2.208,2013
Barbados,BRB,Assets,2.208,2014
Barbados,BRB,Assets,2.208,2015
Barbados,BRB,Assets,2.208,2016
Barbados,BRB,Assets,2.208,2017
Barbados,BRB,Assets,2.208,2018
Barbados,BRB,Assets,2.208,2019
Barbados,BRB,Assets,2.208,2020
Barbados,BRB,Assets,2.208,2021
Barbados,BRB,Assets,2.208,2022
Barbados,BRB,Assets,2.208,2023
Barbados,BRB,Children 0-14,19.231,1960
Barbados,BRB,Children 0-14,19.231,1961
Barbados,BRB,Children 0-14,19.231,1962
Barbados,BRB,Children 0-14,19.231,1963
Barbados,BRB,Children 0-14,19.231,1964
Barbados,BRB,Children 0-14,19.231,1965
Barbados,BRB,Children 0-14,19.231,1966
Barbados,BRB,Children 0-14,19.231,1967
Barbados,BRB,Children 0-14,19.231,1968
Barbados,BRB,Children 0-14,19.231,1969
Barbados,BRB,Children 0-14,21.538,1970
Barbados,BRB,Children 0-14,30.769,1971
Barbados,BRB,Children 0-14,30.769,1972
Barbados,BRB,Children 0-14,30.769,1973
Barbados,BRB,Children 0-14,25.385,1974
Barbados,BRB,Children 0-14,23.077,1975
Barbados,BRB,Children 0-14,30.769,1976
