Country Name,Country Code,Topic,% of available indicators,Year
Brunei Darussalam,BRN,Assets,0.000,1960
Brunei Darussalam,BRN,Assets,0.000,1961
Brunei Darussalam,BRN,Assets,0.000,1962
Brunei Darussalam,BRN,Assets,0.000,1963
Brunei Darussalam,BRN,Assets,0.000,1964
Brunei Darussalam,BRN,Assets,0.000,1965
Brunei Darussalam,BRN,Assets,0.000,1966
Brunei Darussalam,BRN,Assets,0.000,1967
Brunei Darussalam,BRN,Assets,0.000,1968
Brunei Darussalam,BRN,Assets,0.000,1969
Brunei Darussalam,BRN,Assets,2.208,1970
Brunei Darussalam,BRN,Assets,2.208,1971
Brunei Darussalam,BRN,Assets,2.208,1972
Brunei Darussalam,BRN,Assets,2.208,1973
Brunei Darussalam,BRN,Assets,2.208,1974
Brunei Darussalam,BRN,Assets,2.208,1975
Brunei Darussalam,BRN,Assets,2.208,1976
Brunei Darussalam,BRN,Assets,2.208,1977
Brunei Darussalam,BRN,Assets,2.208,1978
Brunei Darussalam,BRN,Assets,2.208,1979
Brunei Darussalam,BRN,Assets,2.208,1980
Brunei Darussalam,BRN,Assets,2.208,1981
Brunei Darussalam,BRN,Assets,2.208,1982
Brunei Darussalam,BRN,Assets,2.208,1983
Brunei Darussalam,BRN,Assets,2.208,1984
Brunei Darussalam,BRN,Assets,2.208,1985
Brunei Darussalam,BRN,Assets,2.208,1986
Brunei Darussalam,BRN,Assets,2.208,1987
Brunei Darussalam,BRN,Assets,2.208,1988
Brunei Darussalam,BRN,Assets,2.208,1989
Brunei Darussalam,BRN,Assets,2.208,1990
Brunei Darussalam,BRN,Assets,2.208,1991
Brunei Darussalam,BRN,Assets,2.208,1992
Brunei Darussalam,BRN,Assets,2.208,1993
Brunei Darussalam,BRN,Assets,2.208,1994
Brunei Darussalam,BRN,Assets,2.208,1995
Brunei Darussalam,BRN,Assets,2.208,1996
Brunei Darussalam,BRN,Assets,2.208,1997
Brunei Darussalam,BRN,Assets,2.208,1998
Brunei Darussalam,BRN,Assets,2.208,1999
Brunei Darussalam,BRN,Assets,2.208,2000
Brunei Darussalam,BRN,Assets,2.208,2001
Brunei Darussalam,BRN,Assets,2.208,2002
Brunei Darussalam,BRN,Assets,2.208,2003
Brunei Darussalam,BRN,Assets,2.208,2004
Brunei Darussalam,BRN,Assets,2.208,2005
Brunei Darussalam,BRN,Assets,2.208,2006
Brunei Darussalam,BRN,Assets,2.208,2007
Brunei Darussalam,BRN,Assets,2.208,2008
Brunei Darussalam,BRN,Assets,2.208,2009
Brunei Darussalam,BRN,Assets,2.208,2010
Brunei Darussalam,BRN,Assets,2.208,2011
Brunei Darussalam,BRN,Assets,2.208,2012
Brunei Darussalam,BRN,Assets,2.208,2013
Brunei Darussalam,BRN,Assets,2.208,2014
Brunei Darussalam,BRN,Assets,2.208,2015
Brunei Darussalam,BRN,Assets,2.208,2016
Brunei Darussalam,BRN,Assets,2.208,2017
Brunei Darussalam,BRN,Assets,2.208,2018
Brunei Darussalam,BRN,Assets,2.208,2019
Brunei Darussalam,BRN,Assets,2.208,2020
Brunei Darussalam,BRN,Assets,2.208,2021
Brunei Darussalam,BRN,Assets,2.208,2022
Brunei Darussalam,BRN,Assets,2.208,2023
Brunei Darussalam,BRN,Children 0-14,11.538,1960
Brunei Darussalam,BRN,Children 0-14,11.538,1961
Brunei Darussalam,BRN,Children 0-14,11.538,1962
Brunei Darussalam,BRN,Children 0-14,15.385,1963
Brunei Darussalam,BRN,Children 0-14,17.692,1964
Brunei Darussalam,BRN,Children 0-14,17.692,1965
Brunei Darussalam,BRN,Children 0-14,17.692,1966
Brunei Darussalam,BRN,Children 0-14,17.692,1967
Brunei Darussalam,BRN,Children 0-14,19.231,1968
Brunei Darussalam,BRN,Children 0-14,19.231,1969
Brunei Darussalam,BRN,Children 0-14,23.077,1970
Brunei Darussalam,BRN,Children 0-14,25.385,1971
Brunei Darussalam,BRN,Children 0-14,26.154,1972
Brunei Darussalam,BRN,Children 0-14,28.462,1973
Brunei Darussalam,BRN,Children 0-14,26.154,1974
Brunei Darussalam,BRN,Children 0-14,30.000,1975
Brunei Darussalam,BRN,Children 0-14,28.462,1976
Brunei Darussalam,BRN,Children 0-14,36.154,1977
Brunei Darussalam,BRN,Children 0-14,38.462,1978
Brunei Darussalam,BRN,Children 0-14,38.462,1979
Brunei Darussalam,BRN,Children 0-14,40.000,1980
Brunei Darussalam,BRN,Children 0-14,42.308,1981
Brunei Darussalam,BRN,Children 0-14,40.000,1982
Brunei Darussalam,BRN,Children 0-14,40.000,1983
Brunei Darussalam,BRN,Children 0-14,40.000,1984
Brunei Darussalam,BRN,Children 0-14,22.308,1985
