Country Name,Country Code,Topic,% of available indicators,Year
Bhutan,BTN,Assets,0.000,1960
Bhutan,BTN,Assets,0.000,1961
Bhutan,BTN,Assets,0.000,1962
Bhutan,BTN,Assets,0.000,1963
Bhutan,BTN,Assets,0.000,1964
Bhutan,BTN,Assets,0.000,1965
Bhutan,BTN,Assets,0.000,1966
Bhutan,BTN,Assets,0.000,1967
Bhutan,BTN,Assets,0.000,1968
Bhutan,BTN,Assets,0.000,1969
Bhutan,BTN,Assets,2.208,1970
Bhutan,BTN,Assets,2.208,1971
Bhutan,BTN,Assets,2.208,1972
Bhutan,BTN,Assets,2.208,1973
Bhutan,BTN,Assets,2.208,1974
Bhutan,BTN,Assets,2.208,1975
Bhutan,BTN,Assets,2.208,1976
Bhutan,BTN,Assets,2.208,1977
Bhutan,BTN,Assets,2.208,1978
Bhutan,BTN,Assets,2.208,1979
Bhutan,BTN,Assets,2.208,1980
Bhutan,BTN,Assets,2.208,1981
Bhutan,BTN,Assets,2.208,1982
Bhutan,BTN,Assets,2.208,1983
Bhutan,BTN,Assets,2.208,1984
Bhutan,BTN,Assets,2.208,1985
Bhutan,BTN,Assets,2.208,1986
Bhutan,BTN,Assets,2.208,1987
Bhutan,BTN,Assets,2.208,1988
Bhutan,BTN,Assets,2.208,1989
Bhutan,BTN,Assets,2.208,1990
Bhutan,BTN,Assets,2.208,1991
Bhutan,BTN,Assets,2.208,1992
Bhutan,BTN,Assets,2.208,1993
Bhutan,BTN,Assets,2.208,1994
Bhutan,BTN,Assets,2.208,1995
Bhutan,BTN,Assets,2.208,1996
Bhutan,BTN,Assets,2.208,1997
Bhutan,BTN,Assets,2.208,1998
Bhutan,BTN,Assets,2.208,1999
Bhutan,BTN,Assets,2.208,2000
Bhutan,BTN,Assets,2.208,2001
Bhutan,BTN,Assets,2.208,2002
Bhutan,BTN,Assets,2.208,2003
Bhutan,BTN,Assets,2.208,2004
Bhutan,BTN,Assets,2.208,2005
Bhutan,BTN,Assets,2.208,2006
Bhutan,BTN,Assets,2.208,2007
Bhutan,BTN,Assets,2.208,2008
Bhutan,BTN,Assets,2.208,2009
Bhutan,BTN,Assets,2.208,2010
Bhutan,BTN,Assets,2.208,2011
Bhutan,BTN,Assets,2.208,2012
Bhutan,BTN,Assets,2.208,2013
Bhutan,BTN,Assets,30.599,2014
Bhutan,BTN,Assets,2.208,2015
Bhutan,BTN,Assets,2.208,2016
Bhutan,BTN,Assets,2.208,2017
Bhutan,BTN,Assets,2.208,2018
Bhutan,BTN,Assets,2.208,2019
Bhutan,BTN,Assets,2.208,2020
Bhutan,BTN,Assets,2.208,2021
Bhutan,BTN,Assets,2.208,2022
Bhutan,BTN,Assets,2.208,2023
Bhutan,BTN,Children 0-14,10.769,1960
Bhutan,BTN,Children 0-14,10.769,1961
Bhutan,BTN,Children 0-14,10.769,1962
Bhutan,BTN,Children 0-14,10.769,1963
Bhutan,BTN,Children 0-14,10.769,1964
Bhutan,BTN,Children 0-14,10.769,1965
Bhutan,BTN,Children 0-14,10.769,1966
Bhutan,BTN,Children 0-14,10.769,1967
Bhutan,BTN,Children 0-14,15.385,1968
Bhutan,BTN,Children 0-14,17.692,1969
Bhutan,BTN,Children 0-14,21.538,1970
Bhutan,BTN,Children 0-14,21.538,1971
Bhutan,BTN,Children 0-14,21.538,1972
Bhutan,BTN,Children 0-14,19.231,1973
Bhutan,BTN,Children 0-14,23.077,1974
Bhutan,BTN,Children 0-14,19.231,1975
Bhutan,BTN,Children 0-14,25.385,1976
Bhutan,BTN,Children 0-14,26.923,1977
Bhutan,BTN,Children 0-14,37.692,1978
Bhutan,BTN,Children 0-14,36.154,1979
Bhutan,BTN,Children 0-14,21.538,1980
Bhutan,BTN,Children 0-14,21.538,1981
Bhutan,BTN,Children 0-14,24.615,1982
Bhutan,BTN,Children 0-14,24.615,1983
Bhutan,BTN,Children 0-14,24.615,1984
Bhutan,BTN,Children 0-14,24.615,1985
Bhutan,BTN,Children 0-14,24.615,1986
Bhutan,BTN,Children 0-14,24.615,1987
Bhutan,BTN,Children 0-14,26.923,1988
Bhutan,BTN,Children 0-14,20.769,1989
Bhutan,BTN,Children 0-14,20.769,1990
Bhutan,BTN,Children 0-14,25.385,1991
Bhutan,BTN,Children 0-14,25.385,1992
Bhutan,BTN,Children 0-14,31.538,1993
Bhutan,BTN,Children 0-14,30.000,1994
Bhutan,BTN,Children 0-14,27.692,1995
Bhutan,BTN,Children 0-14,25.385,1996
Bhutan,BTN,Children 0-14,26.923,1997
Bhutan,BTN,Children 0-14,41.538,1998
Bhutan,BTN,Children 0-14,48.462,1999
Bhutan,BTN,Children 0-14,55.385,2000
Bhutan,BTN,Children 0-14,37.692,2001
Bhutan,BTN,Children 0-14,25.385,2002
Bhutan,BTN,Children 0-14,25.385,2003
Bhutan,BTN,Children 0-14,30.000,2004
Bhutan,BTN,Children 0-14,42.308,2005
Bhutan,BTN,Children 0-14,37.692,2006
Bhutan,BTN,Children 0-14,29.231,2007
Bhutan,BTN,Children 0-14,55.385,2008
Bhutan,BTN,Children 0-14,42.308,2009
Bhutan,BTN,Children 0-14,76.154,2010
Bhutan,BTN,Children 0-14,43.846,2011
Bhutan,BTN,Children 0-14,46.923,2012
Bhutan,BTN,Children 0-14,44.615,2013
Bhutan,BTN,Children 0-14,36.923,2014
Bhutan,BTN,Children 0-14,53.077,2015
Bhutan,BTN,Children 0-14,43.846,2016
Bhutan,BTN,Children 0-14,48.462,2017
Bhutan,BTN,Children 0-14,49.231,2018
Bhutan,BTN,Children 0-14,44.615,2019
Bhutan,BTN,Children 0-14,38.462,2020
Bhutan,BTN,Children 0-14,33.846,2021
Bhutan,BTN,Children 0-14,30.769,2022
Bhutan,BTN,Children 0-14,9.231,2023
Bhutan,BTN,Education,0.000,1960
Bhutan,BTN,Education,0.000,1961
Bhutan,BTN,Education,0.000,1962
Bhutan,BTN,Education,0.000,1963
Bhutan,BTN,Education,0.000,1964
Bhutan,BTN,Education,0.000,1965
Bhutan,BTN,Education,0.000,1966
Bhutan,BTN,Education,0.000,1967
Bhutan,BTN,Education,0.000,1968
Bhutan,BTN,Education,0.000,1969
Bhutan,BTN,Education,10.429,1970
Bhutan,BTN,Education,11.043,1971
Bhutan,BTN,Education,11.043,1972
Bhutan,BTN,Education,0.000,1973
Bhutan,BTN,Education,10.429,1974
Bhutan,BTN,Education,0.613,1975
Bhutan,BTN,Education,5.521,1976
Bhutan,BTN,Education,14.724,1977
Bhutan,BTN,Education,20.859,1978
Bhutan,BTN,Education,17.791,1979
Bhutan,BTN,Education,3.681,1980
Bhutan,BTN,Education,0.613,1981
Bhutan,BTN,Education,4.908,1982
Bhutan,BTN,Education,14.110,1983
Bhutan,BTN,Education,9.816,1984
Bhutan,BTN,Education,5.521,1985
Bhutan,BTN,Education,3.067,1986
Bhutan,BTN,Education,0.613,1987
Bhutan,BTN,Education,4.908,1988
Bhutan,BTN,Education,0.000,1989
Bhutan,BTN,Education,0.000,1990
Bhutan,BTN,Education,4.294,1991
Bhutan,BTN,Education,3.681,1992
Bhutan,BTN,Education,10.429,1993
Bhutan,BTN,Education,7.362,1994
Bhutan,BTN,Education,6.135,1995
Bhutan,BTN,Education,3.681,1996
Bhutan,BTN,Education,6.748,1997
Bhutan,BTN,Education,30.061,1998
Bhutan,BTN,Education,34.969,1999
Bhutan,BTN,Education,30.675,2000
Bhutan,BTN,Education,29.448,2001
Bhutan,BTN,Education,3.681,2002
Bhutan,BTN,Education,4.294,2003
Bhutan,BTN,Education,9.202,2004
Bhutan,BTN,Education,44.785,2005
Bhutan,BTN,Education,31.288,2006
Bhutan,BTN,Education,20.859,2007
Bhutan,BTN,Education,34.356,2008
Bhutan,BTN,Education,33.129,2009
Bhutan,BTN,Education,38.037,2010
Bhutan,BTN,Education,37.423,2011
Bhutan,BTN,Education,53.374,2012
Bhutan,BTN,Education,40.491,2013
Bhutan,BTN,Education,31.288,2014
Bhutan,BTN,Education,29.448,2015
Bhutan,BTN,Education,36.196,2016
Bhutan,BTN,Education,56.442,2017
Bhutan,BTN,Education,41.718,2018
Bhutan,BTN,Education,14.110,2019
Bhutan,BTN,Education,28.834,2020
Bhutan,BTN,Education,19.632,2021
Bhutan,BTN,Education,21.472,2022
Bhutan,BTN,Education,5.521,2023
Bhutan,BTN,Employment and Time Use,0.000,1960
Bhutan,BTN,Employment and Time Use,0.000,1961
Bhutan,BTN,Employment and Time Use,0.000,1962
Bhutan,BTN,Employment and Time Use,0.000,1963
Bhutan,BTN,Employment and Time Use,0.000,1964
Bhutan,BTN,Employment and Time Use,0.000,1965
Bhutan,BTN,Employment and Time Use,0.000,1966
Bhutan,BTN,Employment and Time Use,0.000,1967
Bhutan,BTN,Employment and Time Use,0.000,1968
Bhutan,BTN,Employment and Time Use,0.000,1969
Bhutan,BTN,Employment and Time Use,21.168,1970
Bhutan,BTN,Employment and Time Use,21.168,1971
Bhutan,BTN,Employment and Time Use,21.168,1972
Bhutan,BTN,Employment and Time Use,21.168,1973
Bhutan,BTN,Employment and Time Use,21.168,1974
Bhutan,BTN,Employment and Time Use,21.168,1975
Bhutan,BTN,Employment and Time Use,21.168,1976
Bhutan,BTN,Employment and Time Use,21.168,1977
Bhutan,BTN,Employment and Time Use,21.168,1978
Bhutan,BTN,Employment and Time Use,21.168,1979
Bhutan,BTN,Employment and Time Use,21.168,1980
Bhutan,BTN,Employment and Time Use,21.168,1981
Bhutan,BTN,Employment and Time Use,21.168,1982
Bhutan,BTN,Employment and Time Use,21.168,1983
Bhutan,BTN,Employment and Time Use,21.168,1984
Bhutan,BTN,Employment and Time Use,21.168,1985
Bhutan,BTN,Employment and Time Use,21.168,1986
Bhutan,BTN,Employment and Time Use,21.168,1987
Bhutan,BTN,Employment and Time Use,21.168,1988
Bhutan,BTN,Employment and Time Use,21.168,1989
Bhutan,BTN,Employment and Time Use,31.387,1990
Bhutan,BTN,Employment and Time Use,56.204,1991
Bhutan,BTN,Employment and Time Use,56.204,1992
Bhutan,BTN,Employment and Time Use,56.204,1993
Bhutan,BTN,Employment and Time Use,56.204,1994
Bhutan,BTN,Employment and Time Use,56.204,1995
Bhutan,BTN,Employment and Time Use,56.204,1996
Bhutan,BTN,Employment and Time Use,56.204,1997
Bhutan,BTN,Employment and Time Use,58.394,1998
Bhutan,BTN,Employment and Time Use,58.394,1999
Bhutan,BTN,Employment and Time Use,56.204,2000
Bhutan,BTN,Employment and Time Use,58.394,2001
Bhutan,BTN,Employment and Time Use,56.204,2002
Bhutan,BTN,Employment and Time Use,56.934,2003
Bhutan,BTN,Employment and Time Use,58.394,2004
Bhutan,BTN,Employment and Time Use,65.693,2005
Bhutan,BTN,Employment and Time Use,65.693,2006
Bhutan,BTN,Employment and Time Use,58.394,2007
Bhutan,BTN,Employment and Time Use,56.204,2008
Bhutan,BTN,Employment and Time Use,81.022,2009
Bhutan,BTN,Employment and Time Use,81.022,2010
Bhutan,BTN,Employment and Time Use,70.803,2011
Bhutan,BTN,Employment and Time Use,77.372,2012
Bhutan,BTN,Employment and Time Use,72.993,2013
Bhutan,BTN,Employment and Time Use,77.372,2014
Bhutan,BTN,Employment and Time Use,87.591,2015
Bhutan,BTN,Employment and Time Use,56.204,2016
Bhutan,BTN,Employment and Time Use,56.204,2017
Bhutan,BTN,Employment and Time Use,89.051,2018
Bhutan,BTN,Employment and Time Use,89.051,2019
Bhutan,BTN,Employment and Time Use,89.051,2020
Bhutan,BTN,Employment and Time Use,90.511,2021
Bhutan,BTN,Employment and Time Use,90.511,2022
Bhutan,BTN,Employment and Time Use,86.861,2023
Bhutan,BTN,Entrepreneurship,0.000,1960
Bhutan,BTN,Entrepreneurship,0.000,1961
Bhutan,BTN,Entrepreneurship,0.000,1962
Bhutan,BTN,Entrepreneurship,0.000,1963
Bhutan,BTN,Entrepreneurship,0.000,1964
Bhutan,BTN,Entrepreneurship,0.000,1965
Bhutan,BTN,Entrepreneurship,0.000,1966
Bhutan,BTN,Entrepreneurship,0.000,1967
Bhutan,BTN,Entrepreneurship,0.000,1968
Bhutan,BTN,Entrepreneurship,0.000,1969
Bhutan,BTN,Entrepreneurship,9.375,1970
Bhutan,BTN,Entrepreneurship,9.375,1971
Bhutan,BTN,Entrepreneurship,9.375,1972
Bhutan,BTN,Entrepreneurship,9.375,1973
Bhutan,BTN,Entrepreneurship,9.375,1974
Bhutan,BTN,Entrepreneurship,9.375,1975
Bhutan,BTN,Entrepreneurship,9.375,1976
Bhutan,BTN,Entrepreneurship,9.375,1977
Bhutan,BTN,Entrepreneurship,9.375,1978
Bhutan,BTN,Entrepreneurship,9.375,1979
Bhutan,BTN,Entrepreneurship,9.375,1980
Bhutan,BTN,Entrepreneurship,9.375,1981
Bhutan,BTN,Entrepreneurship,9.375,1982
Bhutan,BTN,Entrepreneurship,9.375,1983
Bhutan,BTN,Entrepreneurship,9.375,1984
