Country Name,Country Code,Topic,% of available indicators,Year
Botswana,BWA,Assets,0.000,1960
Botswana,BWA,Assets,0.000,1961
Botswana,BWA,Assets,0.000,1962
Botswana,BWA,Assets,0.000,1963
Botswana,BWA,Assets,0.000,1964
Botswana,BWA,Assets,0.000,1965
Botswana,BWA,Assets,0.000,1966
Botswana,BWA,Assets,0.000,1967
Botswana,BWA,Assets,0.000,1968
Botswana,BWA,Assets,0.000,1969
Botswana,BWA,Assets,2.208,1970
Botswana,BWA,Assets,2.208,1971
Botswana,BWA,Assets,2.208,1972
Botswana,BWA,Assets,2.208,1973
Botswana,BWA,Assets,2.208,1974
Botswana,BWA,Assets,2.208,1975
Botswana,BWA,Assets,2.208,1976
Botswana,BWA,Assets,2.208,1977
Botswana,BWA,Assets,2.208,1978
Botswana,BWA,Assets,2.208,1979
Botswana,BWA,Assets,2.208,1980
Botswana,BWA,Assets,2.208,1981
Botswana,BWA,Assets,2.208,1982
Botswana,BWA,Assets,2.208,1983
Botswana,BWA,Assets,2.208,1984
Botswana,BWA,Assets,2.208,1985
Botswana,BWA,Assets,2.208,1986
Botswana,BWA,Assets,2.208,1987
Botswana,BWA,Assets,2.208,1988
Botswana,BWA,Assets,2.208,1989
Botswana,BWA,Assets,2.208,1990
Botswana,BWA,Assets,2.208,1991
Botswana,BWA,Assets,2.208,1992
Botswana,BWA,Assets,2.208,1993
Botswana,BWA,Assets,2.208,1994
Botswana,BWA,Assets,2.208,1995
Botswana,BWA,Assets,2.208,1996
Botswana,BWA,Assets,2.208,1997
Botswana,BWA,Assets,2.208,1998
Botswana,BWA,Assets,2.208,1999
Botswana,BWA,Assets,2.208,2000
Botswana,BWA,Assets,2.208,2001
Botswana,BWA,Assets,2.208,2002
Botswana,BWA,Assets,2.208,2003
Botswana,BWA,Assets,2.208,2004
Botswana,BWA,Assets,2.208,2005
Botswana,BWA,Assets,2.208,2006
Botswana,BWA,Assets,2.208,2007
Botswana,BWA,Assets,2.208,2008
Botswana,BWA,Assets,2.208,2009
Botswana,BWA,Assets,2.208,2010
Botswana,BWA,Assets,11.672,2011
Botswana,BWA,Assets,2.208,2012
Botswana,BWA,Assets,2.208,2013
Botswana,BWA,Assets,31.546,2014
Botswana,BWA,Assets,2.208,2015
Botswana,BWA,Assets,2.208,2016
Botswana,BWA,Assets,34.069,2017
Botswana,BWA,Assets,2.208,2018
Botswana,BWA,Assets,2.208,2019
Botswana,BWA,Assets,2.208,2020
Botswana,BWA,Assets,2.208,2021
Botswana,BWA,Assets,62.461,2022
Botswana,BWA,Assets,2.208,2023
Botswana,BWA,Children 0-14,17.692,1960
