Country Name,Country Code,Topic,% of available indicators,Year
Central African Republic,CAF,Assets,0.000,1960
Central African Republic,CAF,Assets,0.000,1961
Central African Republic,CAF,Assets,0.000,1962
Central African Republic,CAF,Assets,0.000,1963
Central African Republic,CAF,Assets,0.000,1964
Central African Republic,CAF,Assets,0.000,1965
Central African Republic,CAF,Assets,0.000,1966
Central African Republic,CAF,Assets,0.000,1967
Central African Republic,CAF,Assets,0.000,1968
Central African Republic,CAF,Assets,0.000,1969
Central African Republic,CAF,Assets,2.208,1970
Central African Republic,CAF,Assets,2.208,1971
Central African Republic,CAF,Assets,2.208,1972
Central African Republic,CAF,Assets,2.208,1973
Central African Republic,CAF,Assets,2.208,1974
Central African Republic,CAF,Assets,2.208,1975
Central African Republic,CAF,Assets,2.208,1976
Central African Republic,CAF,Assets,2.208,1977
Central African Republic,CAF,Assets,2.208,1978
Central African Republic,CAF,Assets,2.208,1979
Central African Republic,CAF,Assets,2.208,1980
Central African Republic,CAF,Assets,2.208,1981
Central African Republic,CAF,Assets,2.208,1982
Central African Republic,CAF,Assets,2.208,1983
Central African Republic,CAF,Assets,2.208,1984
Central African Republic,CAF,Assets,2.208,1985
Central African Republic,CAF,Assets,2.208,1986
Central African Republic,CAF,Assets,2.208,1987
Central African Republic,CAF,Assets,2.208,1988
Central African Republic,CAF,Assets,2.208,1989
Central African Republic,CAF,Assets,2.208,1990
Central African Republic,CAF,Assets,2.208,1991
Central African Republic,CAF,Assets,2.208,1992
Central African Republic,CAF,Assets,2.208,1993
Central African Republic,CAF,Assets,2.208,1994
Central African Republic,CAF,Assets,2.208,1995
Central African Republic,CAF,Assets,2.208,1996
Central African Republic,CAF,Assets,2.208,1997
Central African Republic,CAF,Assets,2.208,1998
Central African Republic,CAF,Assets,2.208,1999
Central African Republic,CAF,Assets,2.208,2000
Central African Republic,CAF,Assets,2.208,2001
Central African Republic,CAF,Assets,2.208,2002
Central African Republic,CAF,Assets,2.208,2003
Central African Republic,CAF,Assets,2.208,2004
Central African Republic,CAF,Assets,2.208,2005
Central African Republic,CAF,Assets,2.208,2006
Central African Republic,CAF,Assets,2.208,2007
Central African Republic,CAF,Assets,2.208,2008
Central African Republic,CAF,Assets,2.208,2009
