Country Name,Country Code,Topic,% of available indicators,Year
Canada,CAN,Assets,0.000,1960
Canada,CAN,Assets,0.000,1961
Canada,CAN,Assets,0.000,1962
Canada,CAN,Assets,0.000,1963
Canada,CAN,Assets,0.000,1964
Canada,CAN,Assets,0.000,1965
Canada,CAN,Assets,0.000,1966
Canada,CAN,Assets,0.000,1967
Canada,CAN,Assets,0.000,1968
Canada,CAN,Assets,0.000,1969
Canada,CAN,Assets,2.208,1970
Canada,CAN,Assets,2.208,1971
Canada,CAN,Assets,2.208,1972
Canada,CAN,Assets,2.208,1973
Canada,CAN,Assets,2.208,1974
Canada,CAN,Assets,2.208,1975
Canada,CAN,Assets,2.208,1976
Canada,CAN,Assets,2.208,1977
Canada,CAN,Assets,2.208,1978
Canada,CAN,Assets,2.208,1979
Canada,CAN,Assets,2.208,1980
Canada,CAN,Assets,2.208,1981
Canada,CAN,Assets,2.208,1982
Canada,CAN,Assets,2.208,1983
Canada,CAN,Assets,2.208,1984
Canada,CAN,Assets,2.208,1985
Canada,CAN,Assets,2.208,1986
Canada,CAN,Assets,2.208,1987
Canada,CAN,Assets,2.208,1988
Canada,CAN,Assets,2.208,1989
Canada,CAN,Assets,2.208,1990
Canada,CAN,Assets,2.208,1991
Canada,CAN,Assets,2.208,1992
Canada,CAN,Assets,2.208,1993
Canada,CAN,Assets,2.208,1994
Canada,CAN,Assets,2.208,1995
Canada,CAN,Assets,2.208,1996
Canada,CAN,Assets,2.208,1997
Canada,CAN,Assets,2.208,1998
Canada,CAN,Assets,2.208,1999
Canada,CAN,Assets,2.208,2000
Canada,CAN,Assets,2.208,2001
Canada,CAN,Assets,2.208,2002
Canada,CAN,Assets,2.208,2003
Canada,CAN,Assets,2.208,2004
Canada,CAN,Assets,2.208,2005
Canada,CAN,Assets,2.208,2006
Canada,CAN,Assets,2.208,2007
Canada,CAN,Assets,2.208,2008
Canada,CAN,Assets,2.208,2009
Canada,CAN,Assets,2.208,2010
Canada,CAN,Assets,10.726,2011
Canada,CAN,Assets,2.208,2012
Canada,CAN,Assets,2.208,2013
Canada,CAN,Assets,24.921,2014
Canada,CAN,Assets,2.208,2015
Canada,CAN,Assets,2.208,2016
Canada,CAN,Assets,26.814,2017
Canada,CAN,Assets,2.208,2018
Canada,CAN,Assets,2.208,2019
Canada,CAN,Assets,2.208,2020
Canada,CAN,Assets,51.735,2021
Canada,CAN,Assets,2.208,2022
Canada,CAN,Assets,2.208,2023
Canada,CAN,Children 0-14,19.231,1960
Canada,CAN,Children 0-14,19.231,1961
Canada,CAN,Children 0-14,19.231,1962
Canada,CAN,Children 0-14,19.231,1963
Canada,CAN,Children 0-14,19.231,1964
Canada,CAN,Children 0-14,19.231,1965
Canada,CAN,Children 0-14,19.231,1966
Canada,CAN,Children 0-14,19.231,1967
Canada,CAN,Children 0-14,19.231,1968
Canada,CAN,Children 0-14,19.231,1969
Canada,CAN,Children 0-14,23.846,1970
Canada,CAN,Children 0-14,25.385,1971
Canada,CAN,Children 0-14,27.692,1972
Canada,CAN,Children 0-14,25.385,1973
Canada,CAN,Children 0-14,25.385,1974
Canada,CAN,Children 0-14,25.385,1975
Canada,CAN,Children 0-14,30.000,1976
Canada,CAN,Children 0-14,25.385,1977
Canada,CAN,Children 0-14,25.385,1978
Canada,CAN,Children 0-14,23.846,1979
Canada,CAN,Children 0-14,25.385,1980
Canada,CAN,Children 0-14,30.000,1981
Canada,CAN,Children 0-14,33.077,1982
Canada,CAN,Children 0-14,33.077,1983
Canada,CAN,Children 0-14,33.077,1984
Canada,CAN,Children 0-14,33.077,1985
Canada,CAN,Children 0-14,37.692,1986
Canada,CAN,Children 0-14,34.615,1987
Canada,CAN,Children 0-14,34.615,1988
Canada,CAN,Children 0-14,34.615,1989
Canada,CAN,Children 0-14,34.615,1990
Canada,CAN,Children 0-14,39.231,1991
Canada,CAN,Children 0-14,34.615,1992
Canada,CAN,Children 0-14,34.615,1993
Canada,CAN,Children 0-14,34.615,1994
Canada,CAN,Children 0-14,34.615,1995
Canada,CAN,Children 0-14,34.615,1996
Canada,CAN,Children 0-14,20.769,1997
Canada,CAN,Children 0-14,36.923,1998
Canada,CAN,Children 0-14,33.846,1999
Canada,CAN,Children 0-14,46.154,2000
Canada,CAN,Children 0-14,26.923,2001
Canada,CAN,Children 0-14,20.769,2002
Canada,CAN,Children 0-14,20.769,2003
Canada,CAN,Children 0-14,25.385,2004
Canada,CAN,Children 0-14,24.615,2005
Canada,CAN,Children 0-14,25.385,2006
Canada,CAN,Children 0-14,25.385,2007
Canada,CAN,Children 0-14,25.385,2008
Canada,CAN,Children 0-14,25.385,2009
Canada,CAN,Children 0-14,46.154,2010
Canada,CAN,Children 0-14,36.923,2011
Canada,CAN,Children 0-14,36.923,2012
Canada,CAN,Children 0-14,36.154,2013
Canada,CAN,Children 0-14,36.154,2014
Canada,CAN,Children 0-14,48.462,2015
Canada,CAN,Children 0-14,42.308,2016
Canada,CAN,Children 0-14,36.154,2017
Canada,CAN,Children 0-14,36.154,2018
Canada,CAN,Children 0-14,46.923,2019
Canada,CAN,Children 0-14,36.154,2020
Canada,CAN,Children 0-14,30.769,2021
Canada,CAN,Children 0-14,31.538,2022
Canada,CAN,Children 0-14,13.846,2023
Canada,CAN,Education,0.000,1960
Canada,CAN,Education,0.000,1961
Canada,CAN,Education,0.000,1962
Canada,CAN,Education,0.000,1963
Canada,CAN,Education,0.000,1964
Canada,CAN,Education,0.000,1965
Canada,CAN,Education,0.000,1966
Canada,CAN,Education,0.000,1967
Canada,CAN,Education,0.000,1968
Canada,CAN,Education,0.000,1969
Canada,CAN,Education,6.135,1970
Canada,CAN,Education,11.656,1971
Canada,CAN,Education,13.497,1972
Canada,CAN,Education,11.656,1973
Canada,CAN,Education,11.656,1974
Canada,CAN,Education,11.656,1975
Canada,CAN,Education,23.926,1976
Canada,CAN,Education,13.497,1977
Canada,CAN,Education,13.497,1978
Canada,CAN,Education,12.270,1979
Canada,CAN,Education,13.497,1980
Canada,CAN,Education,19.018,1981
Canada,CAN,Education,19.632,1982
Canada,CAN,Education,20.859,1983
Canada,CAN,Education,20.859,1984
Canada,CAN,Education,19.632,1985
Canada,CAN,Education,28.221,1986
Canada,CAN,Education,19.632,1987
Canada,CAN,Education,19.632,1988
Canada,CAN,Education,23.926,1989
Canada,CAN,Education,25.153,1990
Canada,CAN,Education,32.515,1991
Canada,CAN,Education,25.153,1992
Canada,CAN,Education,25.767,1993
Canada,CAN,Education,27.607,1994
Canada,CAN,Education,25.767,1995
Canada,CAN,Education,24.540,1996
Canada,CAN,Education,4.294,1997
Canada,CAN,Education,35.583,1998
Canada,CAN,Education,25.767,1999
Canada,CAN,Education,22.699,2000
Canada,CAN,Education,11.043,2001
Canada,CAN,Education,4.908,2002
Canada,CAN,Education,1.840,2003
Canada,CAN,Education,6.748,2004
Canada,CAN,Education,11.043,2005
Canada,CAN,Education,14.724,2006
Canada,CAN,Education,17.791,2007
Canada,CAN,Education,18.405,2008
Canada,CAN,Education,18.405,2009
Canada,CAN,Education,44.172,2010
Canada,CAN,Education,38.650,2011
Canada,CAN,Education,45.399,2012
Canada,CAN,Education,52.761,2013
Canada,CAN,Education,54.601,2014
Canada,CAN,Education,50.307,2015
Canada,CAN,Education,57.669,2016
Canada,CAN,Education,50.920,2017
Canada,CAN,Education,47.239,2018
Canada,CAN,Education,31.902,2019
Canada,CAN,Education,44.785,2020
Canada,CAN,Education,30.061,2021
Canada,CAN,Education,30.675,2022
Canada,CAN,Education,14.724,2023
Canada,CAN,Employment and Time Use,0.000,1960
Canada,CAN,Employment and Time Use,5.109,1961
Canada,CAN,Employment and Time Use,0.000,1962
Canada,CAN,Employment and Time Use,0.000,1963
Canada,CAN,Employment and Time Use,0.000,1964
Canada,CAN,Employment and Time Use,0.000,1965
Canada,CAN,Employment and Time Use,0.000,1966
Canada,CAN,Employment and Time Use,0.000,1967
Canada,CAN,Employment and Time Use,0.000,1968
Canada,CAN,Employment and Time Use,0.730,1969
Canada,CAN,Employment and Time Use,23.358,1970
Canada,CAN,Employment and Time Use,28.467,1971
Canada,CAN,Employment and Time Use,23.358,1972
Canada,CAN,Employment and Time Use,23.358,1973
Canada,CAN,Employment and Time Use,23.358,1974
Canada,CAN,Employment and Time Use,21.168,1975
Canada,CAN,Employment and Time Use,40.146,1976
Canada,CAN,Employment and Time Use,40.146,1977
Canada,CAN,Employment and Time Use,40.146,1978
Canada,CAN,Employment and Time Use,40.146,1979
Canada,CAN,Employment and Time Use,40.146,1980
Canada,CAN,Employment and Time Use,40.146,1981
Canada,CAN,Employment and Time Use,40.146,1982
Canada,CAN,Employment and Time Use,40.146,1983
Canada,CAN,Employment and Time Use,40.146,1984
Canada,CAN,Employment and Time Use,40.146,1985
Canada,CAN,Employment and Time Use,40.146,1986
Canada,CAN,Employment and Time Use,40.146,1987
Canada,CAN,Employment and Time Use,40.146,1988
Canada,CAN,Employment and Time Use,40.146,1989
Canada,CAN,Employment and Time Use,63.504,1990
Canada,CAN,Employment and Time Use,88.321,1991
Canada,CAN,Employment and Time Use,88.321,1992
Canada,CAN,Employment and Time Use,88.321,1993
Canada,CAN,Employment and Time Use,88.321,1994
Canada,CAN,Employment and Time Use,88.321,1995
Canada,CAN,Employment and Time Use,88.321,1996
Canada,CAN,Employment and Time Use,89.781,1997
Canada,CAN,Employment and Time Use,89.781,1998
Canada,CAN,Employment and Time Use,89.781,1999
Canada,CAN,Employment and Time Use,89.781,2000
Canada,CAN,Employment and Time Use,89.781,2001
Canada,CAN,Employment and Time Use,89.781,2002
Canada,CAN,Employment and Time Use,89.781,2003
Canada,CAN,Employment and Time Use,89.781,2004
Canada,CAN,Employment and Time Use,91.241,2005
Canada,CAN,Employment and Time Use,89.781,2006
Canada,CAN,Employment and Time Use,89.781,2007
Canada,CAN,Employment and Time Use,89.781,2008
Canada,CAN,Employment and Time Use,89.781,2009
Canada,CAN,Employment and Time Use,91.241,2010
Canada,CAN,Employment and Time Use,89.781,2011
Canada,CAN,Employment and Time Use,89.781,2012
Canada,CAN,Employment and Time Use,89.781,2013
Canada,CAN,Employment and Time Use,89.781,2014
Canada,CAN,Employment and Time Use,91.241,2015
Canada,CAN,Employment and Time Use,89.781,2016
Canada,CAN,Employment and Time Use,89.781,2017
Canada,CAN,Employment and Time Use,89.781,2018
Canada,CAN,Employment and Time Use,89.781,2019
Canada,CAN,Employment and Time Use,89.781,2020
Canada,CAN,Employment and Time Use,89.781,2021
Canada,CAN,Employment and Time Use,89.781,2022
Canada,CAN,Employment and Time Use,92.701,2023
Canada,CAN,Entrepreneurship,0.000,1960
Canada,CAN,Entrepreneurship,0.000,1961
Canada,CAN,Entrepreneurship,0.000,1962
Canada,CAN,Entrepreneurship,0.000,1963
Canada,CAN,Entrepreneurship,0.000,1964
Canada,CAN,Entrepreneurship,0.000,1965
Canada,CAN,Entrepreneurship,0.000,1966
Canada,CAN,Entrepreneurship,0.000,1967
Canada,CAN,Entrepreneurship,0.000,1968
Canada,CAN,Entrepreneurship,0.000,1969
Canada,CAN,Entrepreneurship,9.375,1970
Canada,CAN,Entrepreneurship,9.375,1971
Canada,CAN,Entrepreneurship,9.375,1972
Canada,CAN,Entrepreneurship,9.375,1973
Canada,CAN,Entrepreneurship,9.375,1974
Canada,CAN,Entrepreneurship,9.375,1975
Canada,CAN,Entrepreneurship,9.375,1976
Canada,CAN,Entrepreneurship,9.375,1977
Canada,CAN,Entrepreneurship,9.375,1978
Canada,CAN,Entrepreneurship,9.375,1979
Canada,CAN,Entrepreneurship,9.375,1980
Canada,CAN,Entrepreneurship,9.375,1981
Canada,CAN,Entrepreneurship,9.375,1982
Canada,CAN,Entrepreneurship,9.375,1983
Canada,CAN,Entrepreneurship,9.375,1984
Canada,CAN,Entrepreneurship,9.375,1985
Canada,CAN,Entrepreneurship,9.375,1986
Canada,CAN,Entrepreneurship,9.375,1987
Canada,CAN,Entrepreneurship,9.375,1988
Canada,CAN,Entrepreneurship,9.375,1989
Canada,CAN,Entrepreneurship,9.375,1990
Canada,CAN,Entrepreneurship,9.375,1991
Canada,CAN,Entrepreneurship,9.375,1992
Canada,CAN,Entrepreneurship,9.375,1993
Canada,CAN,Entrepreneurship,9.375,1994
Canada,CAN,Entrepreneurship,9.375,1995
Canada,CAN,Entrepreneurship,9.375,1996
Canada,CAN,Entrepreneurship,9.375,1997
Canada,CAN,Entrepreneurship,9.375,1998
Canada,CAN,Entrepreneurship,9.375,1999
Canada,CAN,Entrepreneurship,9.375,2000
Canada,CAN,Entrepreneurship,9.375,2001
Canada,CAN,Entrepreneurship,9.375,2002
Canada,CAN,Entrepreneurship,37.500,2003
Canada,CAN,Entrepreneurship,37.500,2004
Canada,CAN,Entrepreneurship,37.500,2005
Canada,CAN,Entrepreneurship,37.500,2006
Canada,CAN,Entrepreneurship,37.500,2007
Canada,CAN,Entrepreneurship,37.500,2008
Canada,CAN,Entrepreneurship,37.500,2009
Canada,CAN,Entrepreneurship,37.500,2010
Canada,CAN,Entrepreneurship,37.500,2011
Canada,CAN,Entrepreneurship,37.500,2012
Canada,CAN,Entrepreneurship,37.500,2013
Canada,CAN,Entrepreneurship,56.250,2014
Canada,CAN,Entrepreneurship,37.500,2015
Canada,CAN,Entrepreneurship,37.500,2016
Canada,CAN,Entrepreneurship,56.250,2017
Canada,CAN,Entrepreneurship,37.500,2018
Canada,CAN,Entrepreneurship,37.500,2019
Canada,CAN,Entrepreneurship,9.375,2020
Canada,CAN,Entrepreneurship,9.375,2021
Canada,CAN,Entrepreneurship,9.375,2022
Canada,CAN,Entrepreneurship,9.375,2023
Canada,CAN,Environment,0.000,1960
Canada,CAN,Environment,0.000,1961
Canada,CAN,Environment,0.000,1962
Canada,CAN,Environment,0.000,1963
Canada,CAN,Environment,0.000,1964
Canada,CAN,Environment,0.000,1965
Canada,CAN,Environment,0.000,1966
Canada,CAN,Environment,0.000,1967
Canada,CAN,Environment,0.000,1968
Canada,CAN,Environment,0.000,1969
Canada,CAN,Environment,0.000,1970
Canada,CAN,Environment,0.000,1971
