Country Name,Country Code,Topic,% of available indicators,Year
Switzerland,CHE,Assets,0.000,1960
Switzerland,CHE,Assets,0.000,1961
Switzerland,CHE,Assets,0.000,1962
Switzerland,CHE,Assets,0.000,1963
Switzerland,CHE,Assets,0.000,1964
Switzerland,CHE,Assets,0.000,1965
Switzerland,CHE,Assets,0.000,1966
Switzerland,CHE,Assets,0.000,1967
Switzerland,CHE,Assets,0.000,1968
Switzerland,CHE,Assets,0.000,1969
Switzerland,CHE,Assets,2.208,1970
Switzerland,CHE,Assets,2.208,1971
Switzerland,CHE,Assets,2.208,1972
Switzerland,CHE,Assets,2.208,1973
Switzerland,CHE,Assets,2.208,1974
Switzerland,CHE,Assets,2.208,1975
Switzerland,CHE,Assets,2.208,1976
Switzerland,CHE,Assets,2.208,1977
Switzerland,CHE,Assets,2.208,1978
Switzerland,CHE,Assets,2.208,1979
Switzerland,CHE,Assets,2.208,1980
Switzerland,CHE,Assets,2.208,1981
Switzerland,CHE,Assets,2.208,1982
Switzerland,CHE,Assets,2.208,1983
Switzerland,CHE,Assets,2.208,1984
Switzerland,CHE,Assets,2.208,1985
Switzerland,CHE,Assets,2.208,1986
Switzerland,CHE,Assets,2.208,1987
Switzerland,CHE,Assets,2.208,1988
Switzerland,CHE,Assets,2.208,1989
Switzerland,CHE,Assets,2.208,1990
Switzerland,CHE,Assets,2.208,1991
Switzerland,CHE,Assets,2.208,1992
Switzerland,CHE,Assets,2.208,1993
Switzerland,CHE,Assets,2.208,1994
Switzerland,CHE,Assets,2.208,1995
Switzerland,CHE,Assets,2.208,1996
Switzerland,CHE,Assets,2.208,1997
Switzerland,CHE,Assets,2.208,1998
Switzerland,CHE,Assets,2.208,1999
Switzerland,CHE,Assets,2.208,2000
Switzerland,CHE,Assets,2.208,2001
Switzerland,CHE,Assets,2.208,2002
Switzerland,CHE,Assets,2.208,2003
Switzerland,CHE,Assets,2.208,2004
Switzerland,CHE,Assets,2.208,2005
Switzerland,CHE,Assets,2.208,2006
Switzerland,CHE,Assets,2.208,2007
Switzerland,CHE,Assets,2.208,2008
Switzerland,CHE,Assets,2.208,2009
Switzerland,CHE,Assets,2.208,2010
Switzerland,CHE,Assets,2.208,2011
Switzerland,CHE,Assets,2.208,2012
Switzerland,CHE,Assets,2.208,2013
Switzerland,CHE,Assets,24.921,2014
Switzerland,CHE,Assets,2.208,2015
Switzerland,CHE,Assets,2.208,2016
Switzerland,CHE,Assets,26.814,2017
Switzerland,CHE,Assets,2.208,2018
Switzerland,CHE,Assets,2.208,2019
Switzerland,CHE,Assets,2.208,2020
Switzerland,CHE,Assets,51.735,2021
Switzerland,CHE,Assets,2.208,2022
Switzerland,CHE,Assets,2.208,2023
Switzerland,CHE,Children 0-14,19.231,1960
Switzerland,CHE,Children 0-14,19.231,1961
Switzerland,CHE,Children 0-14,19.231,1962
Switzerland,CHE,Children 0-14,19.231,1963
Switzerland,CHE,Children 0-14,19.231,1964
Switzerland,CHE,Children 0-14,19.231,1965
Switzerland,CHE,Children 0-14,19.231,1966
