Country Name,Country Code,Topic,% of available indicators,Year
Chile,CHL,Assets,0.000,1960
Chile,CHL,Assets,0.000,1961
Chile,CHL,Assets,0.000,1962
Chile,CHL,Assets,0.000,1963
Chile,CHL,Assets,0.000,1964
Chile,CHL,Assets,0.000,1965
Chile,CHL,Assets,0.000,1966
Chile,CHL,Assets,0.000,1967
Chile,CHL,Assets,0.000,1968
Chile,CHL,Assets,0.000,1969
Chile,CHL,Assets,2.208,1970
Chile,CHL,Assets,2.208,1971
Chile,CHL,Assets,2.208,1972
Chile,CHL,Assets,2.208,1973
Chile,CHL,Assets,2.208,1974
Chile,CHL,Assets,2.208,1975
Chile,CHL,Assets,2.208,1976
Chile,CHL,Assets,2.208,1977
Chile,CHL,Assets,2.208,1978
Chile,CHL,Assets,2.208,1979
Chile,CHL,Assets,2.208,1980
Chile,CHL,Assets,2.208,1981
Chile,CHL,Assets,2.208,1982
Chile,CHL,Assets,2.208,1983
Chile,CHL,Assets,2.208,1984
Chile,CHL,Assets,2.208,1985
Chile,CHL,Assets,2.208,1986
Chile,CHL,Assets,2.208,1987
Chile,CHL,Assets,2.208,1988
Chile,CHL,Assets,2.208,1989
Chile,CHL,Assets,2.208,1990
Chile,CHL,Assets,2.208,1991
Chile,CHL,Assets,2.208,1992
Chile,CHL,Assets,2.208,1993
Chile,CHL,Assets,2.208,1994
Chile,CHL,Assets,2.208,1995
Chile,CHL,Assets,2.208,1996
Chile,CHL,Assets,2.208,1997
Chile,CHL,Assets,2.208,1998
Chile,CHL,Assets,2.208,1999
Chile,CHL,Assets,2.208,2000
Chile,CHL,Assets,2.208,2001
Chile,CHL,Assets,2.208,2002
Chile,CHL,Assets,2.208,2003
Chile,CHL,Assets,2.208,2004
Chile,CHL,Assets,2.208,2005
Chile,CHL,Assets,2.208,2006
Chile,CHL,Assets,2.208,2007
Chile,CHL,Assets,2.208,2008
Chile,CHL,Assets,2.208,2009
Chile,CHL,Assets,2.208,2010
Chile,CHL,Assets,11.672,2011
Chile,CHL,Assets,2.208,2012
Chile,CHL,Assets,2.208,2013
Chile,CHL,Assets,31.546,2014
Chile,CHL,Assets,2.208,2015
Chile,CHL,Assets,2.208,2016
Chile,CHL,Assets,34.069,2017
Chile,CHL,Assets,2.208,2018
Chile,CHL,Assets,2.208,2019
Chile,CHL,Assets,2.208,2020
Chile,CHL,Assets,58.360,2021
Chile,CHL,Assets,2.208,2022
Chile,CHL,Assets,2.208,2023
Chile,CHL,Children 0-14,19.231,1960
Chile,CHL,Children 0-14,19.231,1961
Chile,CHL,Children 0-14,19.231,1962
Chile,CHL,Children 0-14,19.231,1963
Chile,CHL,Children 0-14,19.231,1964
Chile,CHL,Children 0-14,19.231,1965
Chile,CHL,Children 0-14,19.231,1966
Chile,CHL,Children 0-14,19.231,1967
Chile,CHL,Children 0-14,19.231,1968
Chile,CHL,Children 0-14,19.231,1969
Chile,CHL,Children 0-14,34.615,1970
Chile,CHL,Children 0-14,32.308,1971
Chile,CHL,Children 0-14,32.308,1972
Chile,CHL,Children 0-14,32.308,1973
Chile,CHL,Children 0-14,30.769,1974
Chile,CHL,Children 0-14,30.769,1975
Chile,CHL,Children 0-14,32.308,1976
Chile,CHL,Children 0-14,30.769,1977
Chile,CHL,Children 0-14,25.385,1978
Chile,CHL,Children 0-14,25.385,1979
Chile,CHL,Children 0-14,25.385,1980
Chile,CHL,Children 0-14,25.385,1981
Chile,CHL,Children 0-14,29.231,1982
Chile,CHL,Children 0-14,30.000,1983
Chile,CHL,Children 0-14,26.923,1984
Chile,CHL,Children 0-14,26.923,1985
Chile,CHL,Children 0-14,30.000,1986
Chile,CHL,Children 0-14,20.769,1987
Chile,CHL,Children 0-14,23.846,1988
Chile,CHL,Children 0-14,26.923,1989
Chile,CHL,Children 0-14,26.923,1990
Chile,CHL,Children 0-14,26.923,1991
Chile,CHL,Children 0-14,26.923,1992
Chile,CHL,Children 0-14,26.923,1993
Chile,CHL,Children 0-14,26.154,1994
Chile,CHL,Children 0-14,26.154,1995
Chile,CHL,Children 0-14,31.538,1996
Chile,CHL,Children 0-14,27.692,1997
Chile,CHL,Children 0-14,30.769,1998
Chile,CHL,Children 0-14,30.769,1999
Chile,CHL,Children 0-14,46.154,2000
Chile,CHL,Children 0-14,23.846,2001
Chile,CHL,Children 0-14,30.769,2002
Chile,CHL,Children 0-14,37.692,2003
Chile,CHL,Children 0-14,36.154,2004
Chile,CHL,Children 0-14,27.692,2005
Chile,CHL,Children 0-14,39.231,2006
Chile,CHL,Children 0-14,43.846,2007
Chile,CHL,Children 0-14,50.000,2008
Chile,CHL,Children 0-14,40.000,2009
Chile,CHL,Children 0-14,58.462,2010
Chile,CHL,Children 0-14,49.231,2011
Chile,CHL,Children 0-14,46.923,2012
Chile,CHL,Children 0-14,66.923,2013
Chile,CHL,Children 0-14,63.077,2014
Chile,CHL,Children 0-14,70.000,2015
Chile,CHL,Children 0-14,50.769,2016
Chile,CHL,Children 0-14,58.462,2017
Chile,CHL,Children 0-14,43.077,2018
Chile,CHL,Children 0-14,56.154,2019
Chile,CHL,Children 0-14,42.308,2020
Chile,CHL,Children 0-14,35.385,2021
Chile,CHL,Children 0-14,35.385,2022
Chile,CHL,Children 0-14,13.846,2023
Chile,CHL,Education,0.000,1960
Chile,CHL,Education,0.000,1961
Chile,CHL,Education,0.000,1962
Chile,CHL,Education,0.000,1963
Chile,CHL,Education,0.000,1964
Chile,CHL,Education,0.000,1965
Chile,CHL,Education,0.000,1966
Chile,CHL,Education,0.000,1967
Chile,CHL,Education,0.000,1968
Chile,CHL,Education,0.000,1969
Chile,CHL,Education,26.994,1970
Chile,CHL,Education,23.313,1971
Chile,CHL,Education,23.313,1972
Chile,CHL,Education,20.245,1973
Chile,CHL,Education,19.632,1974
Chile,CHL,Education,22.699,1975
Chile,CHL,Education,23.313,1976
Chile,CHL,Education,20.245,1977
Chile,CHL,Education,16.564,1978
Chile,CHL,Education,16.564,1979
Chile,CHL,Education,15.337,1980
Chile,CHL,Education,11.043,1981
Chile,CHL,Education,25.153,1982
Chile,CHL,Education,19.018,1983
Chile,CHL,Education,16.564,1984
Chile,CHL,Education,15.951,1985
Chile,CHL,Education,15.951,1986
Chile,CHL,Education,3.681,1987
Chile,CHL,Education,6.135,1988
Chile,CHL,Education,11.656,1989
Chile,CHL,Education,14.110,1990
Chile,CHL,Education,12.883,1991
Chile,CHL,Education,21.472,1992
Chile,CHL,Education,16.564,1993
Chile,CHL,Education,7.975,1994
Chile,CHL,Education,4.908,1995
Chile,CHL,Education,12.883,1996
Chile,CHL,Education,9.202,1997
Chile,CHL,Education,25.153,1998
Chile,CHL,Education,22.699,1999
Chile,CHL,Education,33.742,2000
Chile,CHL,Education,0.000,2001
Chile,CHL,Education,28.834,2002
Chile,CHL,Education,36.196,2003
Chile,CHL,Education,36.810,2004
Chile,CHL,Education,22.086,2005
Chile,CHL,Education,44.172,2006
Chile,CHL,Education,48.466,2007
Chile,CHL,Education,50.920,2008
Chile,CHL,Education,53.374,2009
Chile,CHL,Education,72.393,2010
Chile,CHL,Education,61.350,2011
Chile,CHL,Education,61.963,2012
Chile,CHL,Education,76.074,2013
Chile,CHL,Education,71.779,2014
Chile,CHL,Education,74.847,2015
Chile,CHL,Education,66.258,2016
Chile,CHL,Education,82.822,2017
Chile,CHL,Education,51.534,2018
Chile,CHL,Education,39.877,2019
Chile,CHL,Education,50.920,2020
Chile,CHL,Education,34.969,2021
Chile,CHL,Education,38.650,2022
Chile,CHL,Education,14.724,2023
Chile,CHL,Employment and Time Use,5.109,1960
Chile,CHL,Employment and Time Use,0.000,1961
Chile,CHL,Employment and Time Use,0.000,1962
Chile,CHL,Employment and Time Use,0.000,1963
Chile,CHL,Employment and Time Use,0.000,1964
Chile,CHL,Employment and Time Use,0.000,1965
Chile,CHL,Employment and Time Use,0.000,1966
Chile,CHL,Employment and Time Use,0.000,1967
Chile,CHL,Employment and Time Use,0.000,1968
Chile,CHL,Employment and Time Use,0.000,1969
Chile,CHL,Employment and Time Use,26.277,1970
Chile,CHL,Employment and Time Use,21.168,1971
Chile,CHL,Employment and Time Use,21.168,1972
Chile,CHL,Employment and Time Use,21.168,1973
Chile,CHL,Employment and Time Use,21.168,1974
Chile,CHL,Employment and Time Use,21.898,1975
Chile,CHL,Employment and Time Use,23.358,1976
Chile,CHL,Employment and Time Use,23.358,1977
Chile,CHL,Employment and Time Use,23.358,1978
Chile,CHL,Employment and Time Use,23.358,1979
Chile,CHL,Employment and Time Use,30.657,1980
Chile,CHL,Employment and Time Use,30.657,1981
Chile,CHL,Employment and Time Use,30.657,1982
Chile,CHL,Employment and Time Use,33.577,1983
Chile,CHL,Employment and Time Use,28.467,1984
Chile,CHL,Employment and Time Use,26.277,1985
Chile,CHL,Employment and Time Use,31.387,1986
Chile,CHL,Employment and Time Use,21.168,1987
Chile,CHL,Employment and Time Use,31.387,1988
Chile,CHL,Employment and Time Use,31.387,1989
Chile,CHL,Employment and Time Use,50.365,1990
Chile,CHL,Employment and Time Use,66.423,1991
Chile,CHL,Employment and Time Use,75.182,1992
Chile,CHL,Employment and Time Use,66.423,1993
Chile,CHL,Employment and Time Use,75.182,1994
Chile,CHL,Employment and Time Use,63.504,1995
Chile,CHL,Employment and Time Use,75.182,1996
Chile,CHL,Employment and Time Use,70.803,1997
Chile,CHL,Employment and Time Use,88.321,1998
Chile,CHL,Employment and Time Use,70.803,1999
Chile,CHL,Employment and Time Use,89.051,2000
Chile,CHL,Employment and Time Use,70.803,2001
Chile,CHL,Employment and Time Use,70.803,2002
Chile,CHL,Employment and Time Use,89.051,2003
Chile,CHL,Employment and Time Use,70.803,2004
Chile,CHL,Employment and Time Use,70.803,2005
Chile,CHL,Employment and Time Use,89.051,2006
Chile,CHL,Employment and Time Use,77.372,2007
Chile,CHL,Employment and Time Use,72.263,2008
Chile,CHL,Employment and Time Use,90.511,2009
Chile,CHL,Employment and Time Use,89.781,2010
Chile,CHL,Employment and Time Use,90.511,2011
Chile,CHL,Employment and Time Use,91.971,2012
