Country Name,Country Code,Topic,% of available indicators,Year
China,CHN,Assets,0.000,1960
China,CHN,Assets,0.000,1961
China,CHN,Assets,0.000,1962
China,CHN,Assets,0.000,1963
China,CHN,Assets,0.000,1964
China,CHN,Assets,0.000,1965
China,CHN,Assets,0.000,1966
China,CHN,Assets,0.000,1967
China,CHN,Assets,0.000,1968
China,CHN,Assets,0.000,1969
China,CHN,Assets,2.208,1970
China,CHN,Assets,2.208,1971
China,CHN,Assets,2.208,1972
China,CHN,Assets,2.208,1973
China,CHN,Assets,2.208,1974
China,CHN,Assets,2.208,1975
China,CHN,Assets,2.208,1976
China,CHN,Assets,2.208,1977
China,CHN,Assets,2.208,1978
China,CHN,Assets,2.208,1979
China,CHN,Assets,2.208,1980
China,CHN,Assets,2.208,1981
China,CHN,Assets,2.208,1982
China,CHN,Assets,2.208,1983
China,CHN,Assets,2.208,1984
China,CHN,Assets,2.208,1985
China,CHN,Assets,2.208,1986
China,CHN,Assets,2.208,1987
China,CHN,Assets,2.208,1988
China,CHN,Assets,2.208,1989
China,CHN,Assets,2.208,1990
China,CHN,Assets,2.208,1991
China,CHN,Assets,2.208,1992
China,CHN,Assets,2.208,1993
China,CHN,Assets,2.208,1994
China,CHN,Assets,2.208,1995
China,CHN,Assets,2.208,1996
China,CHN,Assets,2.208,1997
China,CHN,Assets,2.208,1998
China,CHN,Assets,2.208,1999
China,CHN,Assets,2.208,2000
China,CHN,Assets,2.208,2001
China,CHN,Assets,2.208,2002
China,CHN,Assets,2.208,2003
China,CHN,Assets,2.208,2004
China,CHN,Assets,2.208,2005
China,CHN,Assets,2.208,2006
China,CHN,Assets,2.208,2007
China,CHN,Assets,2.208,2008
China,CHN,Assets,2.208,2009
China,CHN,Assets,2.208,2010
China,CHN,Assets,11.672,2011
China,CHN,Assets,2.208,2012
China,CHN,Assets,2.208,2013
China,CHN,Assets,30.599,2014
China,CHN,Assets,2.208,2015
China,CHN,Assets,2.208,2016
China,CHN,Assets,33.123,2017
China,CHN,Assets,2.208,2018
China,CHN,Assets,2.208,2019
China,CHN,Assets,2.208,2020
China,CHN,Assets,61.199,2021
China,CHN,Assets,2.208,2022
China,CHN,Assets,2.208,2023
China,CHN,Children 0-14,10.769,1960
China,CHN,Children 0-14,10.769,1961
China,CHN,Children 0-14,10.769,1962
China,CHN,Children 0-14,10.769,1963
China,CHN,Children 0-14,10.769,1964
China,CHN,Children 0-14,10.769,1965
China,CHN,Children 0-14,10.769,1966
China,CHN,Children 0-14,10.769,1967
China,CHN,Children 0-14,10.769,1968
China,CHN,Children 0-14,15.385,1969
China,CHN,Children 0-14,18.462,1970
China,CHN,Children 0-14,18.462,1971
China,CHN,Children 0-14,18.462,1972
China,CHN,Children 0-14,18.462,1973
China,CHN,Children 0-14,23.846,1974
China,CHN,Children 0-14,23.846,1975
China,CHN,Children 0-14,23.846,1976
China,CHN,Children 0-14,23.846,1977
China,CHN,Children 0-14,23.846,1978
China,CHN,Children 0-14,23.846,1979
China,CHN,Children 0-14,23.846,1980
China,CHN,Children 0-14,23.846,1981
