Country Name,Country Code,Topic,% of available indicators,Year
Cameroon,CMR,Assets,0.000,1960
Cameroon,CMR,Assets,0.000,1961
Cameroon,CMR,Assets,0.000,1962
Cameroon,CMR,Assets,0.000,1963
Cameroon,CMR,Assets,0.000,1964
Cameroon,CMR,Assets,0.000,1965
Cameroon,CMR,Assets,0.000,1966
Cameroon,CMR,Assets,0.000,1967
Cameroon,CMR,Assets,0.000,1968
Cameroon,CMR,Assets,0.000,1969
Cameroon,CMR,Assets,2.208,1970
Cameroon,CMR,Assets,2.208,1971
Cameroon,CMR,Assets,2.208,1972
Cameroon,CMR,Assets,2.208,1973
Cameroon,CMR,Assets,2.208,1974
Cameroon,CMR,Assets,2.208,1975
Cameroon,CMR,Assets,2.208,1976
Cameroon,CMR,Assets,2.208,1977
Cameroon,CMR,Assets,2.208,1978
Cameroon,CMR,Assets,2.208,1979
Cameroon,CMR,Assets,2.208,1980
Cameroon,CMR,Assets,2.208,1981
Cameroon,CMR,Assets,2.208,1982
Cameroon,CMR,Assets,2.208,1983
Cameroon,CMR,Assets,2.208,1984
Cameroon,CMR,Assets,2.208,1985
Cameroon,CMR,Assets,2.208,1986
Cameroon,CMR,Assets,2.208,1987
Cameroon,CMR,Assets,2.208,1988
Cameroon,CMR,Assets,2.208,1989
Cameroon,CMR,Assets,2.208,1990
Cameroon,CMR,Assets,2.208,1991
Cameroon,CMR,Assets,2.208,1992
Cameroon,CMR,Assets,2.208,1993
Cameroon,CMR,Assets,2.208,1994
Cameroon,CMR,Assets,2.208,1995
Cameroon,CMR,Assets,2.208,1996
Cameroon,CMR,Assets,2.208,1997
Cameroon,CMR,Assets,2.208,1998
Cameroon,CMR,Assets,2.208,1999
Cameroon,CMR,Assets,2.208,2000
Cameroon,CMR,Assets,2.208,2001
Cameroon,CMR,Assets,2.208,2002
Cameroon,CMR,Assets,2.208,2003
Cameroon,CMR,Assets,2.208,2004
Cameroon,CMR,Assets,2.208,2005
Cameroon,CMR,Assets,2.208,2006
Cameroon,CMR,Assets,2.208,2007
Cameroon,CMR,Assets,2.208,2008
Cameroon,CMR,Assets,2.208,2009
Cameroon,CMR,Assets,2.208,2010
Cameroon,CMR,Assets,19.243,2011
Cameroon,CMR,Assets,2.208,2012
Cameroon,CMR,Assets,2.208,2013
Cameroon,CMR,Assets,31.546,2014
Cameroon,CMR,Assets,2.208,2015
Cameroon,CMR,Assets,2.208,2016
Cameroon,CMR,Assets,34.069,2017
Cameroon,CMR,Assets,32.492,2018
Cameroon,CMR,Assets,2.208,2019
Cameroon,CMR,Assets,2.208,2020
Cameroon,CMR,Assets,63.091,2021
Cameroon,CMR,Assets,2.208,2022
Cameroon,CMR,Assets,2.208,2023
Cameroon,CMR,Children 0-14,19.231,1960
Cameroon,CMR,Children 0-14,19.231,1961
Cameroon,CMR,Children 0-14,19.231,1962
Cameroon,CMR,Children 0-14,19.231,1963
Cameroon,CMR,Children 0-14,19.231,1964
Cameroon,CMR,Children 0-14,19.231,1965
Cameroon,CMR,Children 0-14,19.231,1966
Cameroon,CMR,Children 0-14,19.231,1967
Cameroon,CMR,Children 0-14,19.231,1968
Cameroon,CMR,Children 0-14,19.231,1969
Cameroon,CMR,Children 0-14,19.231,1970
Cameroon,CMR,Children 0-14,35.385,1971
Cameroon,CMR,Children 0-14,35.385,1972
Cameroon,CMR,Children 0-14,38.462,1973
Cameroon,CMR,Children 0-14,38.462,1974
Cameroon,CMR,Children 0-14,38.462,1975
Cameroon,CMR,Children 0-14,42.308,1976
Cameroon,CMR,Children 0-14,40.000,1977
Cameroon,CMR,Children 0-14,40.000,1978
Cameroon,CMR,Children 0-14,40.000,1979
Cameroon,CMR,Children 0-14,40.000,1980
Cameroon,CMR,Children 0-14,33.846,1981
Cameroon,CMR,Children 0-14,32.308,1982
Cameroon,CMR,Children 0-14,33.846,1983
Cameroon,CMR,Children 0-14,33.846,1984
Cameroon,CMR,Children 0-14,33.846,1985
Cameroon,CMR,Children 0-14,33.846,1986
Cameroon,CMR,Children 0-14,32.308,1987
Cameroon,CMR,Children 0-14,40.000,1988
Cameroon,CMR,Children 0-14,26.923,1989
Cameroon,CMR,Children 0-14,41.538,1990
Cameroon,CMR,Children 0-14,53.077,1991
Cameroon,CMR,Children 0-14,26.923,1992
Cameroon,CMR,Children 0-14,21.538,1993
Cameroon,CMR,Children 0-14,26.923,1994
Cameroon,CMR,Children 0-14,26.923,1995
Cameroon,CMR,Children 0-14,24.615,1996
Cameroon,CMR,Children 0-14,26.923,1997
Cameroon,CMR,Children 0-14,36.923,1998
Cameroon,CMR,Children 0-14,30.000,1999
Cameroon,CMR,Children 0-14,43.846,2000
Cameroon,CMR,Children 0-14,30.000,2001
Cameroon,CMR,Children 0-14,28.462,2002
Cameroon,CMR,Children 0-14,37.692,2003
Cameroon,CMR,Children 0-14,50.000,2004
Cameroon,CMR,Children 0-14,33.077,2005
Cameroon,CMR,Children 0-14,51.538,2006
Cameroon,CMR,Children 0-14,46.154,2007
Cameroon,CMR,Children 0-14,42.308,2008
Cameroon,CMR,Children 0-14,44.615,2009
Cameroon,CMR,Children 0-14,59.231,2010
Cameroon,CMR,Children 0-14,70.769,2011
Cameroon,CMR,Children 0-14,38.462,2012
Cameroon,CMR,Children 0-14,26.923,2013
Cameroon,CMR,Children 0-14,67.692,2014
Cameroon,CMR,Children 0-14,58.462,2015
Cameroon,CMR,Children 0-14,49.231,2016
Cameroon,CMR,Children 0-14,50.769,2017
Cameroon,CMR,Children 0-14,69.231,2018
Cameroon,CMR,Children 0-14,50.000,2019
Cameroon,CMR,Children 0-14,33.846,2020
Cameroon,CMR,Children 0-14,30.769,2021
Cameroon,CMR,Children 0-14,30.769,2022
Cameroon,CMR,Children 0-14,17.692,2023
Cameroon,CMR,Education,0.000,1960
Cameroon,CMR,Education,0.000,1961
Cameroon,CMR,Education,0.000,1962
Cameroon,CMR,Education,0.000,1963
Cameroon,CMR,Education,0.000,1964
Cameroon,CMR,Education,0.000,1965
Cameroon,CMR,Education,0.000,1966
Cameroon,CMR,Education,0.000,1967
Cameroon,CMR,Education,0.000,1968
Cameroon,CMR,Education,0.000,1969
Cameroon,CMR,Education,0.000,1970
Cameroon,CMR,Education,28.221,1971
Cameroon,CMR,Education,31.288,1972
Cameroon,CMR,Education,31.902,1973
Cameroon,CMR,Education,31.288,1974
Cameroon,CMR,Education,31.288,1975
Cameroon,CMR,Education,38.650,1976
Cameroon,CMR,Education,28.221,1977
Cameroon,CMR,Education,28.221,1978
Cameroon,CMR,Education,29.448,1979
Cameroon,CMR,Education,29.448,1980
Cameroon,CMR,Education,22.699,1981
Cameroon,CMR,Education,20.859,1982
Cameroon,CMR,Education,22.086,1983
Cameroon,CMR,Education,22.086,1984
Cameroon,CMR,Education,21.472,1985
Cameroon,CMR,Education,20.859,1986
Cameroon,CMR,Education,20.859,1987
Cameroon,CMR,Education,25.153,1988
Cameroon,CMR,Education,14.724,1989
Cameroon,CMR,Education,28.221,1990
Cameroon,CMR,Education,25.153,1991
Cameroon,CMR,Education,12.883,1992
Cameroon,CMR,Education,0.613,1993
Cameroon,CMR,Education,6.748,1994
Cameroon,CMR,Education,12.270,1995
Cameroon,CMR,Education,3.067,1996
Cameroon,CMR,Education,11.656,1997
Cameroon,CMR,Education,12.883,1998
Cameroon,CMR,Education,18.405,1999
Cameroon,CMR,Education,17.791,2000
Cameroon,CMR,Education,16.564,2001
Cameroon,CMR,Education,14.724,2002
Cameroon,CMR,Education,28.221,2003
Cameroon,CMR,Education,30.061,2004
Cameroon,CMR,Education,28.834,2005
Cameroon,CMR,Education,36.196,2006
Cameroon,CMR,Education,49.080,2007
Cameroon,CMR,Education,36.196,2008
Cameroon,CMR,Education,34.969,2009
Cameroon,CMR,Education,50.920,2010
Cameroon,CMR,Education,44.172,2011
Cameroon,CMR,Education,36.810,2012
Cameroon,CMR,Education,22.086,2013
Cameroon,CMR,Education,68.098,2014
Cameroon,CMR,Education,41.718,2015
Cameroon,CMR,Education,48.466,2016
Cameroon,CMR,Education,44.785,2017
Cameroon,CMR,Education,49.080,2018
Cameroon,CMR,Education,19.632,2019
Cameroon,CMR,Education,29.448,2020
Cameroon,CMR,Education,19.632,2021
Cameroon,CMR,Education,17.178,2022
Cameroon,CMR,Education,14.724,2023
Cameroon,CMR,Employment and Time Use,0.000,1960
Cameroon,CMR,Employment and Time Use,0.000,1961
Cameroon,CMR,Employment and Time Use,0.000,1962
Cameroon,CMR,Employment and Time Use,0.000,1963
Cameroon,CMR,Employment and Time Use,0.000,1964
Cameroon,CMR,Employment and Time Use,0.000,1965
Cameroon,CMR,Employment and Time Use,0.000,1966
Cameroon,CMR,Employment and Time Use,0.000,1967
Cameroon,CMR,Employment and Time Use,0.000,1968
Cameroon,CMR,Employment and Time Use,0.000,1969
Cameroon,CMR,Employment and Time Use,21.168,1970
Cameroon,CMR,Employment and Time Use,21.168,1971
Cameroon,CMR,Employment and Time Use,21.168,1972
Cameroon,CMR,Employment and Time Use,21.168,1973
Cameroon,CMR,Employment and Time Use,21.168,1974
Cameroon,CMR,Employment and Time Use,21.168,1975
Cameroon,CMR,Employment and Time Use,26.277,1976
Cameroon,CMR,Employment and Time Use,21.168,1977
Cameroon,CMR,Employment and Time Use,21.168,1978
Cameroon,CMR,Employment and Time Use,21.168,1979
Cameroon,CMR,Employment and Time Use,26.277,1980
Cameroon,CMR,Employment and Time Use,21.168,1981
Cameroon,CMR,Employment and Time Use,26.277,1982
Cameroon,CMR,Employment and Time Use,21.168,1983
Cameroon,CMR,Employment and Time Use,21.168,1984
Cameroon,CMR,Employment and Time Use,28.467,1985
Cameroon,CMR,Employment and Time Use,21.168,1986
Cameroon,CMR,Employment and Time Use,24.088,1987
Cameroon,CMR,Employment and Time Use,21.168,1988
Cameroon,CMR,Employment and Time Use,21.168,1989
Cameroon,CMR,Employment and Time Use,31.387,1990
Cameroon,CMR,Employment and Time Use,56.204,1991
Cameroon,CMR,Employment and Time Use,56.204,1992
Cameroon,CMR,Employment and Time Use,56.204,1993
Cameroon,CMR,Employment and Time Use,56.204,1994
Cameroon,CMR,Employment and Time Use,56.204,1995
Cameroon,CMR,Employment and Time Use,65.693,1996
Cameroon,CMR,Employment and Time Use,56.204,1997
Cameroon,CMR,Employment and Time Use,56.204,1998
Cameroon,CMR,Employment and Time Use,56.204,1999
Cameroon,CMR,Employment and Time Use,56.934,2000
Cameroon,CMR,Employment and Time Use,67.883,2001
Cameroon,CMR,Employment and Time Use,56.204,2002
Cameroon,CMR,Employment and Time Use,56.204,2003
Cameroon,CMR,Employment and Time Use,56.204,2004
Cameroon,CMR,Employment and Time Use,61.314,2005
Cameroon,CMR,Employment and Time Use,56.204,2006
Cameroon,CMR,Employment and Time Use,89.781,2007
Cameroon,CMR,Employment and Time Use,56.204,2008
Cameroon,CMR,Employment and Time Use,56.204,2009
Cameroon,CMR,Employment and Time Use,75.182,2010
Cameroon,CMR,Employment and Time Use,58.394,2011
Cameroon,CMR,Employment and Time Use,56.204,2012
Cameroon,CMR,Employment and Time Use,56.204,2013
Cameroon,CMR,Employment and Time Use,90.511,2014
Cameroon,CMR,Employment and Time Use,56.204,2015
Cameroon,CMR,Employment and Time Use,56.204,2016
Cameroon,CMR,Employment and Time Use,56.204,2017
Cameroon,CMR,Employment and Time Use,56.204,2018
Cameroon,CMR,Employment and Time Use,56.204,2019
Cameroon,CMR,Employment and Time Use,56.204,2020
Cameroon,CMR,Employment and Time Use,87.591,2021
Cameroon,CMR,Employment and Time Use,56.204,2022
Cameroon,CMR,Employment and Time Use,57.664,2023
Cameroon,CMR,Entrepreneurship,0.000,1960
Cameroon,CMR,Entrepreneurship,0.000,1961
Cameroon,CMR,Entrepreneurship,0.000,1962
Cameroon,CMR,Entrepreneurship,0.000,1963
Cameroon,CMR,Entrepreneurship,0.000,1964
Cameroon,CMR,Entrepreneurship,0.000,1965
Cameroon,CMR,Entrepreneurship,0.000,1966
Cameroon,CMR,Entrepreneurship,0.000,1967
Cameroon,CMR,Entrepreneurship,0.000,1968
Cameroon,CMR,Entrepreneurship,0.000,1969
Cameroon,CMR,Entrepreneurship,9.375,1970
Cameroon,CMR,Entrepreneurship,9.375,1971
Cameroon,CMR,Entrepreneurship,9.375,1972
Cameroon,CMR,Entrepreneurship,9.375,1973
Cameroon,CMR,Entrepreneurship,9.375,1974
Cameroon,CMR,Entrepreneurship,9.375,1975
Cameroon,CMR,Entrepreneurship,9.375,1976
Cameroon,CMR,Entrepreneurship,9.375,1977
Cameroon,CMR,Entrepreneurship,9.375,1978
Cameroon,CMR,Entrepreneurship,9.375,1979
Cameroon,CMR,Entrepreneurship,9.375,1980
Cameroon,CMR,Entrepreneurship,9.375,1981
Cameroon,CMR,Entrepreneurship,9.375,1982
