Country Name,Country Code,Topic,% of available indicators,Year
"Congo, Dem. Rep.",COD,Assets,0.000,1960
"Congo, Dem. Rep.",COD,Assets,0.000,1961
"Congo, Dem. Rep.",COD,Assets,0.000,1962
"Congo, Dem. Rep.",COD,Assets,0.000,1963
"Congo, Dem. Rep.",COD,Assets,0.000,1964
"Congo, Dem. Rep.",COD,Assets,0.000,1965
"Congo, Dem. Rep.",COD,Assets,0.000,1966
"Congo, Dem. Rep.",COD,Assets,0.000,1967
"Congo, Dem. Rep.",COD,Assets,0.000,1968
"Congo, Dem. Rep.",COD,Assets,0.000,1969
"Congo, Dem. Rep.",COD,Assets,2.208,1970
"Congo, Dem. Rep.",COD,Assets,2.208,1971
"Congo, Dem. Rep.",COD,Assets,2.208,1972
"Congo, Dem. Rep.",COD,Assets,2.208,1973
"Congo, Dem. Rep.",COD,Assets,2.208,1974
"Congo, Dem. Rep.",COD,Assets,2.208,1975
"Congo, Dem. Rep.",COD,Assets,2.208,1976
"Congo, Dem. Rep.",COD,Assets,2.208,1977
"Congo, Dem. Rep.",COD,Assets,2.208,1978
"Congo, Dem. Rep.",COD,Assets,2.208,1979
"Congo, Dem. Rep.",COD,Assets,2.208,1980
"Congo, Dem. Rep.",COD,Assets,2.208,1981
"Congo, Dem. Rep.",COD,Assets,2.208,1982
"Congo, Dem. Rep.",COD,Assets,2.208,1983
"Congo, Dem. Rep.",COD,Assets,2.208,1984
"Congo, Dem. Rep.",COD,Assets,2.208,1985
"Congo, Dem. Rep.",COD,Assets,2.208,1986
"Congo, Dem. Rep.",COD,Assets,2.208,1987
"Congo, Dem. Rep.",COD,Assets,2.208,1988
"Congo, Dem. Rep.",COD,Assets,2.208,1989
"Congo, Dem. Rep.",COD,Assets,2.208,1990
"Congo, Dem. Rep.",COD,Assets,2.208,1991
"Congo, Dem. Rep.",COD,Assets,2.208,1992
"Congo, Dem. Rep.",COD,Assets,2.208,1993
"Congo, Dem. Rep.",COD,Assets,2.208,1994
"Congo, Dem. Rep.",COD,Assets,2.208,1995
"Congo, Dem. Rep.",COD,Assets,2.208,1996
"Congo, Dem. Rep.",COD,Assets,2.208,1997
"Congo, Dem. Rep.",COD,Assets,2.208,1998
"Congo, Dem. Rep.",COD,Assets,2.208,1999
"Congo, Dem. Rep.",COD,Assets,2.208,2000
"Congo, Dem. Rep.",COD,Assets,2.208,2001
"Congo, Dem. Rep.",COD,Assets,2.208,2002
"Congo, Dem. Rep.",COD,Assets,2.208,2003
"Congo, Dem. Rep.",COD,Assets,2.208,2004
"Congo, Dem. Rep.",COD,Assets,2.208,2005
"Congo, Dem. Rep.",COD,Assets,2.208,2006
"Congo, Dem. Rep.",COD,Assets,2.208,2007
"Congo, Dem. Rep.",COD,Assets,2.208,2008
"Congo, Dem. Rep.",COD,Assets,2.208,2009
"Congo, Dem. Rep.",COD,Assets,2.208,2010
"Congo, Dem. Rep.",COD,Assets,11.672,2011
"Congo, Dem. Rep.",COD,Assets,2.208,2012
"Congo, Dem. Rep.",COD,Assets,2.208,2013
"Congo, Dem. Rep.",COD,Assets,61.830,2014
"Congo, Dem. Rep.",COD,Assets,2.208,2015
"Congo, Dem. Rep.",COD,Assets,2.208,2016
"Congo, Dem. Rep.",COD,Assets,33.438,2017
"Congo, Dem. Rep.",COD,Assets,2.208,2018
"Congo, Dem. Rep.",COD,Assets,2.208,2019
"Congo, Dem. Rep.",COD,Assets,2.208,2020
"Congo, Dem. Rep.",COD,Assets,2.208,2021
"Congo, Dem. Rep.",COD,Assets,61.514,2022
"Congo, Dem. Rep.",COD,Assets,2.208,2023
"Congo, Dem. Rep.",COD,Children 0-14,10.769,1960
"Congo, Dem. Rep.",COD,Children 0-14,10.769,1961
"Congo, Dem. Rep.",COD,Children 0-14,10.769,1962
"Congo, Dem. Rep.",COD,Children 0-14,10.769,1963
"Congo, Dem. Rep.",COD,Children 0-14,10.769,1964
"Congo, Dem. Rep.",COD,Children 0-14,10.769,1965
"Congo, Dem. Rep.",COD,Children 0-14,10.769,1966
"Congo, Dem. Rep.",COD,Children 0-14,10.769,1967
"Congo, Dem. Rep.",COD,Children 0-14,10.769,1968
"Congo, Dem. Rep.",COD,Children 0-14,15.385,1969
"Congo, Dem. Rep.",COD,Children 0-14,17.692,1970
"Congo, Dem. Rep.",COD,Children 0-14,36.923,1971
"Congo, Dem. Rep.",COD,Children 0-14,34.615,1972
"Congo, Dem. Rep.",COD,Children 0-14,23.846,1973
"Congo, Dem. Rep.",COD,Children 0-14,25.385,1974
"Congo, Dem. Rep.",COD,Children 0-14,32.308,1975
"Congo, Dem. Rep.",COD,Children 0-14,27.692,1976
"Congo, Dem. Rep.",COD,Children 0-14,27.692,1977
"Congo, Dem. Rep.",COD,Children 0-14,26.154,1978
"Congo, Dem. Rep.",COD,Children 0-14,30.769,1979
"Congo, Dem. Rep.",COD,Children 0-14,26.923,1980
"Congo, Dem. Rep.",COD,Children 0-14,27.692,1981
"Congo, Dem. Rep.",COD,Children 0-14,27.692,1982
"Congo, Dem. Rep.",COD,Children 0-14,35.385,1983
"Congo, Dem. Rep.",COD,Children 0-14,37.692,1984
"Congo, Dem. Rep.",COD,Children 0-14,24.615,1985
"Congo, Dem. Rep.",COD,Children 0-14,24.615,1986
"Congo, Dem. Rep.",COD,Children 0-14,26.154,1987
"Congo, Dem. Rep.",COD,Children 0-14,35.385,1988
"Congo, Dem. Rep.",COD,Children 0-14,20.769,1989
"Congo, Dem. Rep.",COD,Children 0-14,24.615,1990
"Congo, Dem. Rep.",COD,Children 0-14,36.923,1991
"Congo, Dem. Rep.",COD,Children 0-14,39.231,1992
"Congo, Dem. Rep.",COD,Children 0-14,41.538,1993
"Congo, Dem. Rep.",COD,Children 0-14,37.692,1994
"Congo, Dem. Rep.",COD,Children 0-14,34.615,1995
"Congo, Dem. Rep.",COD,Children 0-14,20.769,1996
"Congo, Dem. Rep.",COD,Children 0-14,20.769,1997
"Congo, Dem. Rep.",COD,Children 0-14,24.615,1998
"Congo, Dem. Rep.",COD,Children 0-14,37.692,1999
"Congo, Dem. Rep.",COD,Children 0-14,36.923,2000
"Congo, Dem. Rep.",COD,Children 0-14,34.615,2001
"Congo, Dem. Rep.",COD,Children 0-14,30.000,2002
"Congo, Dem. Rep.",COD,Children 0-14,20.769,2003
"Congo, Dem. Rep.",COD,Children 0-14,23.077,2004
"Congo, Dem. Rep.",COD,Children 0-14,20.769,2005
"Congo, Dem. Rep.",COD,Children 0-14,20.769,2006
"Congo, Dem. Rep.",COD,Children 0-14,55.385,2007
"Congo, Dem. Rep.",COD,Children 0-14,35.385,2008
"Congo, Dem. Rep.",COD,Children 0-14,36.923,2009
"Congo, Dem. Rep.",COD,Children 0-14,70.000,2010
"Congo, Dem. Rep.",COD,Children 0-14,34.615,2011
"Congo, Dem. Rep.",COD,Children 0-14,41.538,2012
"Congo, Dem. Rep.",COD,Children 0-14,53.846,2013
"Congo, Dem. Rep.",COD,Children 0-14,49.231,2014
"Congo, Dem. Rep.",COD,Children 0-14,49.231,2015
"Congo, Dem. Rep.",COD,Children 0-14,25.385,2016
"Congo, Dem. Rep.",COD,Children 0-14,36.923,2017
"Congo, Dem. Rep.",COD,Children 0-14,37.692,2018
"Congo, Dem. Rep.",COD,Children 0-14,36.923,2019
"Congo, Dem. Rep.",COD,Children 0-14,39.231,2020
"Congo, Dem. Rep.",COD,Children 0-14,25.385,2021
"Congo, Dem. Rep.",COD,Children 0-14,20.769,2022
