Country Name,Country Code,Topic,% of available indicators,Year
"Congo, Rep.",COG,Assets,0.000,1960
"Congo, Rep.",COG,Assets,0.000,1961
"Congo, Rep.",COG,Assets,0.000,1962
"Congo, Rep.",COG,Assets,0.000,1963
"Congo, Rep.",COG,Assets,0.000,1964
"Congo, Rep.",COG,Assets,0.000,1965
"Congo, Rep.",COG,Assets,0.000,1966
"Congo, Rep.",COG,Assets,0.000,1967
"Congo, Rep.",COG,Assets,0.000,1968
"Congo, Rep.",COG,Assets,0.000,1969
"Congo, Rep.",COG,Assets,2.208,1970
"Congo, Rep.",COG,Assets,2.208,1971
"Congo, Rep.",COG,Assets,2.208,1972
"Congo, Rep.",COG,Assets,2.208,1973
"Congo, Rep.",COG,Assets,2.208,1974
"Congo, Rep.",COG,Assets,2.208,1975
"Congo, Rep.",COG,Assets,2.208,1976
"Congo, Rep.",COG,Assets,2.208,1977
"Congo, Rep.",COG,Assets,2.208,1978
"Congo, Rep.",COG,Assets,2.208,1979
"Congo, Rep.",COG,Assets,2.208,1980
"Congo, Rep.",COG,Assets,2.208,1981
"Congo, Rep.",COG,Assets,2.208,1982
"Congo, Rep.",COG,Assets,2.208,1983
"Congo, Rep.",COG,Assets,2.208,1984
"Congo, Rep.",COG,Assets,2.208,1985
"Congo, Rep.",COG,Assets,2.208,1986
"Congo, Rep.",COG,Assets,2.208,1987
"Congo, Rep.",COG,Assets,2.208,1988
"Congo, Rep.",COG,Assets,2.208,1989
"Congo, Rep.",COG,Assets,2.208,1990
"Congo, Rep.",COG,Assets,2.208,1991
"Congo, Rep.",COG,Assets,2.208,1992
"Congo, Rep.",COG,Assets,2.208,1993
"Congo, Rep.",COG,Assets,2.208,1994
"Congo, Rep.",COG,Assets,2.208,1995
"Congo, Rep.",COG,Assets,2.208,1996
"Congo, Rep.",COG,Assets,2.208,1997
"Congo, Rep.",COG,Assets,2.208,1998
"Congo, Rep.",COG,Assets,2.208,1999
"Congo, Rep.",COG,Assets,2.208,2000
"Congo, Rep.",COG,Assets,2.208,2001
"Congo, Rep.",COG,Assets,2.208,2002
"Congo, Rep.",COG,Assets,2.208,2003
"Congo, Rep.",COG,Assets,2.208,2004
"Congo, Rep.",COG,Assets,2.208,2005
"Congo, Rep.",COG,Assets,2.208,2006
"Congo, Rep.",COG,Assets,2.208,2007
"Congo, Rep.",COG,Assets,2.208,2008
"Congo, Rep.",COG,Assets,2.208,2009
"Congo, Rep.",COG,Assets,2.208,2010
"Congo, Rep.",COG,Assets,11.672,2011
"Congo, Rep.",COG,Assets,17.350,2012
"Congo, Rep.",COG,Assets,2.208,2013
"Congo, Rep.",COG,Assets,31.546,2014
"Congo, Rep.",COG,Assets,2.208,2015
"Congo, Rep.",COG,Assets,2.208,2016
"Congo, Rep.",COG,Assets,34.069,2017
"Congo, Rep.",COG,Assets,2.208,2018
"Congo, Rep.",COG,Assets,2.208,2019
"Congo, Rep.",COG,Assets,2.208,2020
"Congo, Rep.",COG,Assets,63.091,2021
"Congo, Rep.",COG,Assets,2.208,2022
"Congo, Rep.",COG,Assets,2.208,2023
"Congo, Rep.",COG,Children 0-14,19.231,1960
"Congo, Rep.",COG,Children 0-14,19.231,1961
"Congo, Rep.",COG,Children 0-14,19.231,1962
"Congo, Rep.",COG,Children 0-14,19.231,1963
"Congo, Rep.",COG,Children 0-14,19.231,1964
"Congo, Rep.",COG,Children 0-14,19.231,1965
