Country Name,Country Code,Topic,% of available indicators,Year
Colombia,COL,Assets,0.000,1960
Colombia,COL,Assets,0.000,1961
Colombia,COL,Assets,0.000,1962
Colombia,COL,Assets,0.000,1963
Colombia,COL,Assets,0.000,1964
Colombia,COL,Assets,0.000,1965
Colombia,COL,Assets,0.000,1966
Colombia,COL,Assets,0.000,1967
Colombia,COL,Assets,0.000,1968
Colombia,COL,Assets,0.000,1969
Colombia,COL,Assets,2.208,1970
Colombia,COL,Assets,2.208,1971
Colombia,COL,Assets,2.208,1972
Colombia,COL,Assets,2.208,1973
Colombia,COL,Assets,2.208,1974
Colombia,COL,Assets,2.208,1975
Colombia,COL,Assets,2.208,1976
Colombia,COL,Assets,2.208,1977
Colombia,COL,Assets,2.208,1978
Colombia,COL,Assets,2.208,1979
Colombia,COL,Assets,2.208,1980
Colombia,COL,Assets,2.208,1981
Colombia,COL,Assets,2.208,1982
Colombia,COL,Assets,2.208,1983
Colombia,COL,Assets,2.208,1984
Colombia,COL,Assets,2.208,1985
Colombia,COL,Assets,2.208,1986
Colombia,COL,Assets,2.208,1987
Colombia,COL,Assets,2.208,1988
Colombia,COL,Assets,2.208,1989
Colombia,COL,Assets,2.208,1990
Colombia,COL,Assets,2.208,1991
Colombia,COL,Assets,2.208,1992
Colombia,COL,Assets,2.208,1993
Colombia,COL,Assets,2.208,1994
Colombia,COL,Assets,2.208,1995
Colombia,COL,Assets,2.208,1996
Colombia,COL,Assets,2.208,1997
Colombia,COL,Assets,2.208,1998
Colombia,COL,Assets,2.208,1999
Colombia,COL,Assets,2.208,2000
Colombia,COL,Assets,2.208,2001
Colombia,COL,Assets,2.208,2002
Colombia,COL,Assets,2.208,2003
Colombia,COL,Assets,2.208,2004
Colombia,COL,Assets,2.208,2005
Colombia,COL,Assets,2.208,2006
Colombia,COL,Assets,2.208,2007
Colombia,COL,Assets,2.208,2008
Colombia,COL,Assets,2.208,2009
Colombia,COL,Assets,2.208,2010
Colombia,COL,Assets,11.672,2011
Colombia,COL,Assets,2.208,2012
Colombia,COL,Assets,2.208,2013
Colombia,COL,Assets,31.546,2014
Colombia,COL,Assets,32.492,2015
Colombia,COL,Assets,2.208,2016
Colombia,COL,Assets,34.069,2017
Colombia,COL,Assets,2.208,2018
Colombia,COL,Assets,2.208,2019
Colombia,COL,Assets,2.208,2020
Colombia,COL,Assets,63.091,2021
Colombia,COL,Assets,2.208,2022
Colombia,COL,Assets,2.208,2023
Colombia,COL,Children 0-14,19.231,1960
Colombia,COL,Children 0-14,19.231,1961
Colombia,COL,Children 0-14,19.231,1962
Colombia,COL,Children 0-14,19.231,1963
Colombia,COL,Children 0-14,19.231,1964
Colombia,COL,Children 0-14,19.231,1965
Colombia,COL,Children 0-14,19.231,1966
Colombia,COL,Children 0-14,19.231,1967
Colombia,COL,Children 0-14,19.231,1968
Colombia,COL,Children 0-14,19.231,1969
Colombia,COL,Children 0-14,27.692,1970
Colombia,COL,Children 0-14,27.692,1971
Colombia,COL,Children 0-14,28.462,1972
Colombia,COL,Children 0-14,28.462,1973
Colombia,COL,Children 0-14,26.923,1974
Colombia,COL,Children 0-14,23.846,1975
Colombia,COL,Children 0-14,23.846,1976
Colombia,COL,Children 0-14,23.846,1977
Colombia,COL,Children 0-14,23.846,1978
Colombia,COL,Children 0-14,23.846,1979
Colombia,COL,Children 0-14,25.385,1980
Colombia,COL,Children 0-14,26.923,1981
Colombia,COL,Children 0-14,33.077,1982
Colombia,COL,Children 0-14,32.308,1983
Colombia,COL,Children 0-14,36.923,1984
Colombia,COL,Children 0-14,36.923,1985
Colombia,COL,Children 0-14,48.462,1986
Colombia,COL,Children 0-14,36.923,1987
Colombia,COL,Children 0-14,39.231,1988
Colombia,COL,Children 0-14,35.385,1989
Colombia,COL,Children 0-14,29.231,1990
Colombia,COL,Children 0-14,36.154,1991
Colombia,COL,Children 0-14,34.615,1992
Colombia,COL,Children 0-14,36.923,1993
Colombia,COL,Children 0-14,33.077,1994
Colombia,COL,Children 0-14,44.615,1995
Colombia,COL,Children 0-14,33.077,1996
Colombia,COL,Children 0-14,20.769,1997
Colombia,COL,Children 0-14,36.923,1998
Colombia,COL,Children 0-14,39.231,1999
Colombia,COL,Children 0-14,62.308,2000
Colombia,COL,Children 0-14,36.154,2001
Colombia,COL,Children 0-14,42.308,2002
Colombia,COL,Children 0-14,25.385,2003
Colombia,COL,Children 0-14,46.154,2004
Colombia,COL,Children 0-14,55.385,2005
Colombia,COL,Children 0-14,45.385,2006
Colombia,COL,Children 0-14,44.615,2007
Colombia,COL,Children 0-14,41.538,2008
Colombia,COL,Children 0-14,46.923,2009
Colombia,COL,Children 0-14,79.231,2010
Colombia,COL,Children 0-14,44.615,2011
Colombia,COL,Children 0-14,50.769,2012
Colombia,COL,Children 0-14,51.538,2013
Colombia,COL,Children 0-14,47.692,2014
Colombia,COL,Children 0-14,70.000,2015
Colombia,COL,Children 0-14,60.000,2016
Colombia,COL,Children 0-14,53.077,2017
Colombia,COL,Children 0-14,53.077,2018
Colombia,COL,Children 0-14,52.308,2019
Colombia,COL,Children 0-14,44.615,2020
Colombia,COL,Children 0-14,36.923,2021
Colombia,COL,Children 0-14,35.385,2022
Colombia,COL,Children 0-14,13.846,2023
Colombia,COL,Education,0.000,1960
Colombia,COL,Education,0.000,1961
Colombia,COL,Education,0.000,1962
Colombia,COL,Education,0.000,1963
Colombia,COL,Education,0.000,1964
Colombia,COL,Education,0.000,1965
Colombia,COL,Education,0.000,1966
Colombia,COL,Education,0.000,1967
Colombia,COL,Education,0.000,1968
Colombia,COL,Education,0.000,1969
Colombia,COL,Education,18.405,1970
Colombia,COL,Education,15.951,1971
Colombia,COL,Education,15.951,1972
Colombia,COL,Education,13.497,1973
Colombia,COL,Education,15.337,1974
Colombia,COL,Education,15.951,1975
Colombia,COL,Education,9.816,1976
Colombia,COL,Education,15.951,1977
Colombia,COL,Education,15.951,1978
Colombia,COL,Education,16.564,1979
Colombia,COL,Education,17.178,1980
Colombia,COL,Education,18.405,1981
Colombia,COL,Education,22.699,1982
Colombia,COL,Education,19.632,1983
