Country Name,Country Code,Topic,% of available indicators,Year
Costa Rica,CRI,Assets,0.000,1960
Costa Rica,CRI,Assets,0.000,1961
Costa Rica,CRI,Assets,0.000,1962
Costa Rica,CRI,Assets,0.000,1963
Costa Rica,CRI,Assets,0.000,1964
Costa Rica,CRI,Assets,0.000,1965
Costa Rica,CRI,Assets,0.000,1966
Costa Rica,CRI,Assets,0.000,1967
Costa Rica,CRI,Assets,0.000,1968
Costa Rica,CRI,Assets,0.000,1969
Costa Rica,CRI,Assets,2.208,1970
Costa Rica,CRI,Assets,2.208,1971
Costa Rica,CRI,Assets,2.208,1972
Costa Rica,CRI,Assets,2.208,1973
Costa Rica,CRI,Assets,2.208,1974
Costa Rica,CRI,Assets,2.208,1975
Costa Rica,CRI,Assets,2.208,1976
Costa Rica,CRI,Assets,2.208,1977
Costa Rica,CRI,Assets,2.208,1978
Costa Rica,CRI,Assets,2.208,1979
Costa Rica,CRI,Assets,2.208,1980
Costa Rica,CRI,Assets,2.208,1981
Costa Rica,CRI,Assets,2.208,1982
Costa Rica,CRI,Assets,2.208,1983
Costa Rica,CRI,Assets,2.208,1984
Costa Rica,CRI,Assets,2.208,1985
Costa Rica,CRI,Assets,2.208,1986
Costa Rica,CRI,Assets,2.208,1987
Costa Rica,CRI,Assets,2.208,1988
Costa Rica,CRI,Assets,2.208,1989
Costa Rica,CRI,Assets,2.208,1990
Costa Rica,CRI,Assets,2.208,1991
Costa Rica,CRI,Assets,2.208,1992
Costa Rica,CRI,Assets,2.208,1993
Costa Rica,CRI,Assets,2.208,1994
Costa Rica,CRI,Assets,2.208,1995
Costa Rica,CRI,Assets,2.208,1996
Costa Rica,CRI,Assets,2.208,1997
Costa Rica,CRI,Assets,2.208,1998
Costa Rica,CRI,Assets,2.208,1999
Costa Rica,CRI,Assets,2.208,2000
Costa Rica,CRI,Assets,2.208,2001
Costa Rica,CRI,Assets,2.208,2002
Costa Rica,CRI,Assets,2.208,2003
Costa Rica,CRI,Assets,2.208,2004
Costa Rica,CRI,Assets,2.208,2005
Costa Rica,CRI,Assets,2.208,2006
Costa Rica,CRI,Assets,2.208,2007
Costa Rica,CRI,Assets,2.208,2008
Costa Rica,CRI,Assets,2.208,2009
Costa Rica,CRI,Assets,2.208,2010
Costa Rica,CRI,Assets,11.672,2011
Costa Rica,CRI,Assets,2.208,2012
Costa Rica,CRI,Assets,2.208,2013
Costa Rica,CRI,Assets,30.599,2014
Costa Rica,CRI,Assets,2.208,2015
Costa Rica,CRI,Assets,2.208,2016
Costa Rica,CRI,Assets,33.123,2017
Costa Rica,CRI,Assets,2.208,2018
Costa Rica,CRI,Assets,2.208,2019
Costa Rica,CRI,Assets,2.208,2020
Costa Rica,CRI,Assets,61.199,2021
Costa Rica,CRI,Assets,2.208,2022
Costa Rica,CRI,Assets,2.208,2023
Costa Rica,CRI,Children 0-14,19.231,1960
Costa Rica,CRI,Children 0-14,19.231,1961
Costa Rica,CRI,Children 0-14,19.231,1962
Costa Rica,CRI,Children 0-14,19.231,1963
Costa Rica,CRI,Children 0-14,19.231,1964
Costa Rica,CRI,Children 0-14,19.231,1965
Costa Rica,CRI,Children 0-14,19.231,1966
Costa Rica,CRI,Children 0-14,19.231,1967
Costa Rica,CRI,Children 0-14,19.231,1968
Costa Rica,CRI,Children 0-14,19.231,1969
Costa Rica,CRI,Children 0-14,40.000,1970
Costa Rica,CRI,Children 0-14,32.308,1971
Costa Rica,CRI,Children 0-14,40.000,1972
Costa Rica,CRI,Children 0-14,42.308,1973
Costa Rica,CRI,Children 0-14,28.462,1974
Costa Rica,CRI,Children 0-14,37.692,1975
Costa Rica,CRI,Children 0-14,37.692,1976
Costa Rica,CRI,Children 0-14,30.000,1977
Costa Rica,CRI,Children 0-14,36.154,1978
Costa Rica,CRI,Children 0-14,36.154,1979
Costa Rica,CRI,Children 0-14,40.000,1980
Costa Rica,CRI,Children 0-14,41.538,1981
Costa Rica,CRI,Children 0-14,40.000,1982
Costa Rica,CRI,Children 0-14,29.231,1983
Costa Rica,CRI,Children 0-14,30.769,1984
Costa Rica,CRI,Children 0-14,41.538,1985
Costa Rica,CRI,Children 0-14,41.538,1986
Costa Rica,CRI,Children 0-14,41.538,1987
Costa Rica,CRI,Children 0-14,33.846,1988
Costa Rica,CRI,Children 0-14,40.769,1989
Costa Rica,CRI,Children 0-14,39.231,1990
Costa Rica,CRI,Children 0-14,42.308,1991
Costa Rica,CRI,Children 0-14,37.692,1992
Costa Rica,CRI,Children 0-14,37.692,1993
Costa Rica,CRI,Children 0-14,37.692,1994
Costa Rica,CRI,Children 0-14,36.923,1995
