Country Name,Country Code,Topic,% of available indicators,Year
Cuba,CUB,Assets,0.000,1960
Cuba,CUB,Assets,0.000,1961
Cuba,CUB,Assets,0.000,1962
Cuba,CUB,Assets,0.000,1963
Cuba,CUB,Assets,0.000,1964
Cuba,CUB,Assets,0.000,1965
Cuba,CUB,Assets,0.000,1966
Cuba,CUB,Assets,0.000,1967
Cuba,CUB,Assets,0.000,1968
Cuba,CUB,Assets,0.000,1969
Cuba,CUB,Assets,0.000,1970
Cuba,CUB,Assets,0.000,1971
Cuba,CUB,Assets,0.000,1972
Cuba,CUB,Assets,0.000,1973
Cuba,CUB,Assets,0.000,1974
Cuba,CUB,Assets,0.000,1975
Cuba,CUB,Assets,0.000,1976
Cuba,CUB,Assets,0.000,1977
Cuba,CUB,Assets,0.000,1978
Cuba,CUB,Assets,0.000,1979
Cuba,CUB,Assets,0.000,1980
Cuba,CUB,Assets,0.000,1981
Cuba,CUB,Assets,0.000,1982
Cuba,CUB,Assets,0.000,1983
Cuba,CUB,Assets,0.000,1984
Cuba,CUB,Assets,0.000,1985
Cuba,CUB,Assets,0.000,1986
Cuba,CUB,Assets,0.000,1987
Cuba,CUB,Assets,0.000,1988
Cuba,CUB,Assets,0.000,1989
Cuba,CUB,Assets,0.000,1990
Cuba,CUB,Assets,0.000,1991
Cuba,CUB,Assets,0.000,1992
Cuba,CUB,Assets,0.000,1993
Cuba,CUB,Assets,0.000,1994
Cuba,CUB,Assets,0.000,1995
Cuba,CUB,Assets,0.000,1996
Cuba,CUB,Assets,0.000,1997
Cuba,CUB,Assets,0.000,1998
Cuba,CUB,Assets,0.000,1999
Cuba,CUB,Assets,0.000,2000
Cuba,CUB,Assets,0.000,2001
Cuba,CUB,Assets,0.000,2002
Cuba,CUB,Assets,0.000,2003
Cuba,CUB,Assets,0.000,2004
Cuba,CUB,Assets,0.000,2005
Cuba,CUB,Assets,0.000,2006
Cuba,CUB,Assets,0.000,2007
Cuba,CUB,Assets,0.000,2008
Cuba,CUB,Assets,0.000,2009
Cuba,CUB,Assets,0.000,2010
Cuba,CUB,Assets,0.000,2011
Cuba,CUB,Assets,0.000,2012
Cuba,CUB,Assets,0.000,2013
Cuba,CUB,Assets,0.000,2014
Cuba,CUB,Assets,0.000,2015
Cuba,CUB,Assets,0.000,2016
Cuba,CUB,Assets,0.000,2017
Cuba,CUB,Assets,0.000,2018
Cuba,CUB,Assets,0.000,2019
Cuba,CUB,Assets,0.000,2020
Cuba,CUB,Assets,0.000,2021
Cuba,CUB,Assets,0.000,2022
Cuba,CUB,Assets,0.000,2023
Cuba,CUB,Children 0-14,17.692,1960
