Country Name,Country Code,Topic,% of available indicators,Year
Curacao,CUW,Assets,0.000,1960
Curacao,CUW,Assets,0.000,1961
Curacao,CUW,Assets,0.000,1962
Curacao,CUW,Assets,0.000,1963
Curacao,CUW,Assets,0.000,1964
Curacao,CUW,Assets,0.000,1965
Curacao,CUW,Assets,0.000,1966
Curacao,CUW,Assets,0.000,1967
Curacao,CUW,Assets,0.000,1968
Curacao,CUW,Assets,0.000,1969
Curacao,CUW,Assets,0.000,1970
Curacao,CUW,Assets,0.000,1971
Curacao,CUW,Assets,0.000,1972
Curacao,CUW,Assets,0.000,1973
Curacao,CUW,Assets,0.000,1974
Curacao,CUW,Assets,0.000,1975
Curacao,CUW,Assets,0.000,1976
Curacao,CUW,Assets,0.000,1977
Curacao,CUW,Assets,0.000,1978
Curacao,CUW,Assets,0.000,1979
Curacao,CUW,Assets,0.000,1980
Curacao,CUW,Assets,0.000,1981
Curacao,CUW,Assets,0.000,1982
Curacao,CUW,Assets,0.000,1983
Curacao,CUW,Assets,0.000,1984
Curacao,CUW,Assets,0.000,1985
Curacao,CUW,Assets,0.000,1986
Curacao,CUW,Assets,0.000,1987
Curacao,CUW,Assets,0.000,1988
Curacao,CUW,Assets,0.000,1989
Curacao,CUW,Assets,0.000,1990
Curacao,CUW,Assets,0.000,1991
Curacao,CUW,Assets,0.000,1992
Curacao,CUW,Assets,0.000,1993
Curacao,CUW,Assets,0.000,1994
Curacao,CUW,Assets,0.000,1995
Curacao,CUW,Assets,0.000,1996
Curacao,CUW,Assets,0.000,1997
Curacao,CUW,Assets,0.000,1998
Curacao,CUW,Assets,0.000,1999
Curacao,CUW,Assets,0.000,2000
Curacao,CUW,Assets,0.000,2001
Curacao,CUW,Assets,0.000,2002
Curacao,CUW,Assets,0.000,2003
Curacao,CUW,Assets,0.000,2004
Curacao,CUW,Assets,0.000,2005
Curacao,CUW,Assets,0.000,2006
Curacao,CUW,Assets,0.000,2007
Curacao,CUW,Assets,0.000,2008
Curacao,CUW,Assets,0.000,2009
Curacao,CUW,Assets,0.000,2010
Curacao,CUW,Assets,0.000,2011
Curacao,CUW,Assets,0.000,2012
Curacao,CUW,Assets,0.000,2013
Curacao,CUW,Assets,0.000,2014
Curacao,CUW,Assets,0.000,2015
Curacao,CUW,Assets,0.000,2016
Curacao,CUW,Assets,0.000,2017
Curacao,CUW,Assets,0.000,2018
Curacao,CUW,Assets,0.000,2019
Curacao,CUW,Assets,0.000,2020
Curacao,CUW,Assets,0.000,2021
Curacao,CUW,Assets,0.000,2022
Curacao,CUW,Assets,0.000,2023
Curacao,CUW,Children 0-14,10.769,1960
Curacao,CUW,Children 0-14,10.769,1961
Curacao,CUW,Children 0-14,10.769,1962
Curacao,CUW,Children 0-14,10.769,1963
Curacao,CUW,Children 0-14,10.769,1964
Curacao,CUW,Children 0-14,10.769,1965
Curacao,CUW,Children 0-14,10.769,1966
Curacao,CUW,Children 0-14,10.769,1967
Curacao,CUW,Children 0-14,10.769,1968
Curacao,CUW,Children 0-14,10.769,1969
Curacao,CUW,Children 0-14,10.769,1970
Curacao,CUW,Children 0-14,10.769,1971
Curacao,CUW,Children 0-14,10.769,1972
Curacao,CUW,Children 0-14,10.769,1973
Curacao,CUW,Children 0-14,10.769,1974
Curacao,CUW,Children 0-14,10.769,1975
Curacao,CUW,Children 0-14,10.769,1976
Curacao,CUW,Children 0-14,10.769,1977
Curacao,CUW,Children 0-14,10.769,1978
Curacao,CUW,Children 0-14,10.769,1979
Curacao,CUW,Children 0-14,10.769,1980
Curacao,CUW,Children 0-14,10.769,1981
Curacao,CUW,Children 0-14,10.769,1982
Curacao,CUW,Children 0-14,10.769,1983
Curacao,CUW,Children 0-14,10.769,1984
Curacao,CUW,Children 0-14,10.769,1985
Curacao,CUW,Children 0-14,10.769,1986
Curacao,CUW,Children 0-14,10.769,1987
Curacao,CUW,Children 0-14,10.769,1988
Curacao,CUW,Children 0-14,10.769,1989
Curacao,CUW,Children 0-14,10.769,1990
Curacao,CUW,Children 0-14,10.769,1991
Curacao,CUW,Children 0-14,10.769,1992
Curacao,CUW,Children 0-14,10.769,1993
Curacao,CUW,Children 0-14,10.769,1994
Curacao,CUW,Children 0-14,10.769,1995
Curacao,CUW,Children 0-14,10.769,1996
Curacao,CUW,Children 0-14,10.769,1997
Curacao,CUW,Children 0-14,10.769,1998
Curacao,CUW,Children 0-14,10.769,1999
Curacao,CUW,Children 0-14,10.769,2000
Curacao,CUW,Children 0-14,10.769,2001
Curacao,CUW,Children 0-14,10.769,2002
Curacao,CUW,Children 0-14,10.769,2003
Curacao,CUW,Children 0-14,10.769,2004
Curacao,CUW,Children 0-14,10.769,2005
Curacao,CUW,Children 0-14,10.769,2006
Curacao,CUW,Children 0-14,10.769,2007
Curacao,CUW,Children 0-14,10.769,2008
Curacao,CUW,Children 0-14,10.769,2009
Curacao,CUW,Children 0-14,8.462,2010
Curacao,CUW,Children 0-14,10.769,2011
Curacao,CUW,Children 0-14,10.769,2012
Curacao,CUW,Children 0-14,20.000,2013
Curacao,CUW,Children 0-14,10.769,2014
Curacao,CUW,Children 0-14,10.769,2015
Curacao,CUW,Children 0-14,10.769,2016
Curacao,CUW,Children 0-14,10.769,2017
Curacao,CUW,Children 0-14,13.077,2018
Curacao,CUW,Children 0-14,8.462,2019
Curacao,CUW,Children 0-14,20.000,2020
Curacao,CUW,Children 0-14,8.462,2021
Curacao,CUW,Children 0-14,8.462,2022
Curacao,CUW,Children 0-14,13.077,2023
Curacao,CUW,Education,0.000,1960
Curacao,CUW,Education,0.000,1961
Curacao,CUW,Education,0.000,1962
Curacao,CUW,Education,0.000,1963
Curacao,CUW,Education,0.000,1964
Curacao,CUW,Education,0.000,1965
Curacao,CUW,Education,0.000,1966
Curacao,CUW,Education,0.000,1967
Curacao,CUW,Education,0.000,1968
Curacao,CUW,Education,0.000,1969
Curacao,CUW,Education,0.000,1970
Curacao,CUW,Education,0.000,1971
Curacao,CUW,Education,0.000,1972
Curacao,CUW,Education,0.000,1973
Curacao,CUW,Education,0.000,1974
Curacao,CUW,Education,0.000,1975
Curacao,CUW,Education,0.000,1976
Curacao,CUW,Education,0.000,1977
Curacao,CUW,Education,0.000,1978
Curacao,CUW,Education,0.000,1979
Curacao,CUW,Education,0.000,1980
Curacao,CUW,Education,0.000,1981
Curacao,CUW,Education,0.000,1982
Curacao,CUW,Education,0.000,1983
Curacao,CUW,Education,0.000,1984
Curacao,CUW,Education,0.000,1985
Curacao,CUW,Education,0.000,1986
Curacao,CUW,Education,0.000,1987
Curacao,CUW,Education,0.000,1988
Curacao,CUW,Education,0.000,1989
Curacao,CUW,Education,0.000,1990
Curacao,CUW,Education,0.000,1991
Curacao,CUW,Education,0.000,1992
Curacao,CUW,Education,0.000,1993
Curacao,CUW,Education,0.000,1994
Curacao,CUW,Education,0.000,1995
Curacao,CUW,Education,0.000,1996
Curacao,CUW,Education,0.000,1997
Curacao,CUW,Education,0.000,1998
Curacao,CUW,Education,0.000,1999
Curacao,CUW,Education,0.000,2000
Curacao,CUW,Education,0.000,2001
Curacao,CUW,Education,0.000,2002
Curacao,CUW,Education,0.000,2003
Curacao,CUW,Education,0.000,2004
Curacao,CUW,Education,0.000,2005
