Country Name,Country Code,Topic,% of available indicators,Year
Cayman Islands,CYM,Assets,0.000,1960
Cayman Islands,CYM,Assets,0.000,1961
Cayman Islands,CYM,Assets,0.000,1962
Cayman Islands,CYM,Assets,0.000,1963
Cayman Islands,CYM,Assets,0.000,1964
Cayman Islands,CYM,Assets,0.000,1965
Cayman Islands,CYM,Assets,0.000,1966
Cayman Islands,CYM,Assets,0.000,1967
Cayman Islands,CYM,Assets,0.000,1968
Cayman Islands,CYM,Assets,0.000,1969
Cayman Islands,CYM,Assets,0.000,1970
Cayman Islands,CYM,Assets,0.000,1971
Cayman Islands,CYM,Assets,0.000,1972
Cayman Islands,CYM,Assets,0.000,1973
Cayman Islands,CYM,Assets,0.000,1974
Cayman Islands,CYM,Assets,0.000,1975
Cayman Islands,CYM,Assets,0.000,1976
Cayman Islands,CYM,Assets,0.000,1977
Cayman Islands,CYM,Assets,0.000,1978
Cayman Islands,CYM,Assets,0.000,1979
Cayman Islands,CYM,Assets,0.000,1980
Cayman Islands,CYM,Assets,0.000,1981
Cayman Islands,CYM,Assets,0.000,1982
Cayman Islands,CYM,Assets,0.000,1983
Cayman Islands,CYM,Assets,0.000,1984
Cayman Islands,CYM,Assets,0.000,1985
Cayman Islands,CYM,Assets,0.000,1986
Cayman Islands,CYM,Assets,0.000,1987
Cayman Islands,CYM,Assets,0.000,1988
Cayman Islands,CYM,Assets,0.000,1989
Cayman Islands,CYM,Assets,0.000,1990
Cayman Islands,CYM,Assets,0.000,1991
Cayman Islands,CYM,Assets,0.000,1992
Cayman Islands,CYM,Assets,0.000,1993
Cayman Islands,CYM,Assets,0.000,1994
Cayman Islands,CYM,Assets,0.000,1995
Cayman Islands,CYM,Assets,0.000,1996
Cayman Islands,CYM,Assets,0.000,1997
Cayman Islands,CYM,Assets,0.000,1998
Cayman Islands,CYM,Assets,0.000,1999
Cayman Islands,CYM,Assets,0.000,2000
Cayman Islands,CYM,Assets,0.000,2001
Cayman Islands,CYM,Assets,0.000,2002
Cayman Islands,CYM,Assets,0.000,2003
Cayman Islands,CYM,Assets,0.000,2004
Cayman Islands,CYM,Assets,0.000,2005
Cayman Islands,CYM,Assets,0.000,2006
Cayman Islands,CYM,Assets,0.000,2007
Cayman Islands,CYM,Assets,0.000,2008
Cayman Islands,CYM,Assets,0.000,2009
Cayman Islands,CYM,Assets,0.000,2010
Cayman Islands,CYM,Assets,0.000,2011
Cayman Islands,CYM,Assets,0.000,2012
Cayman Islands,CYM,Assets,0.000,2013
Cayman Islands,CYM,Assets,0.000,2014
Cayman Islands,CYM,Assets,0.000,2015
Cayman Islands,CYM,Assets,0.000,2016
Cayman Islands,CYM,Assets,0.000,2017
Cayman Islands,CYM,Assets,0.000,2018
Cayman Islands,CYM,Assets,0.000,2019
Cayman Islands,CYM,Assets,0.000,2020
Cayman Islands,CYM,Assets,0.000,2021
Cayman Islands,CYM,Assets,0.000,2022
Cayman Islands,CYM,Assets,0.000,2023
Cayman Islands,CYM,Children 0-14,8.462,1960
Cayman Islands,CYM,Children 0-14,8.462,1961
Cayman Islands,CYM,Children 0-14,8.462,1962
Cayman Islands,CYM,Children 0-14,8.462,1963
Cayman Islands,CYM,Children 0-14,8.462,1964
Cayman Islands,CYM,Children 0-14,8.462,1965
Cayman Islands,CYM,Children 0-14,8.462,1966
Cayman Islands,CYM,Children 0-14,8.462,1967
Cayman Islands,CYM,Children 0-14,8.462,1968
Cayman Islands,CYM,Children 0-14,8.462,1969
Cayman Islands,CYM,Children 0-14,10.769,1970
Cayman Islands,CYM,Children 0-14,8.462,1971
Cayman Islands,CYM,Children 0-14,12.308,1972
Cayman Islands,CYM,Children 0-14,12.308,1973
Cayman Islands,CYM,Children 0-14,12.308,1974
Cayman Islands,CYM,Children 0-14,12.308,1975
Cayman Islands,CYM,Children 0-14,12.308,1976
Cayman Islands,CYM,Children 0-14,12.308,1977
Cayman Islands,CYM,Children 0-14,12.308,1978
Cayman Islands,CYM,Children 0-14,12.308,1979
Cayman Islands,CYM,Children 0-14,14.615,1980
Cayman Islands,CYM,Children 0-14,12.308,1981
Cayman Islands,CYM,Children 0-14,8.462,1982
Cayman Islands,CYM,Children 0-14,8.462,1983
Cayman Islands,CYM,Children 0-14,8.462,1984
Cayman Islands,CYM,Children 0-14,8.462,1985
Cayman Islands,CYM,Children 0-14,8.462,1986
Cayman Islands,CYM,Children 0-14,8.462,1987
Cayman Islands,CYM,Children 0-14,8.462,1988
Cayman Islands,CYM,Children 0-14,10.769,1989
Cayman Islands,CYM,Children 0-14,8.462,1990
Cayman Islands,CYM,Children 0-14,8.462,1991
Cayman Islands,CYM,Children 0-14,8.462,1992
Cayman Islands,CYM,Children 0-14,8.462,1993
Cayman Islands,CYM,Children 0-14,8.462,1994
Cayman Islands,CYM,Children 0-14,8.462,1995
Cayman Islands,CYM,Children 0-14,8.462,1996
Cayman Islands,CYM,Children 0-14,8.462,1997
Cayman Islands,CYM,Children 0-14,8.462,1998
Cayman Islands,CYM,Children 0-14,18.462,1999
Cayman Islands,CYM,Children 0-14,20.000,2000
Cayman Islands,CYM,Children 0-14,20.769,2001
Cayman Islands,CYM,Children 0-14,22.308,2002
Cayman Islands,CYM,Children 0-14,8.462,2003
Cayman Islands,CYM,Children 0-14,28.462,2004
Cayman Islands,CYM,Children 0-14,26.923,2005
Cayman Islands,CYM,Children 0-14,26.923,2006
Cayman Islands,CYM,Children 0-14,26.923,2007
Cayman Islands,CYM,Children 0-14,24.615,2008
Cayman Islands,CYM,Children 0-14,8.462,2009
Cayman Islands,CYM,Children 0-14,13.077,2010
Cayman Islands,CYM,Children 0-14,20.000,2011
Cayman Islands,CYM,Children 0-14,20.769,2012
Cayman Islands,CYM,Children 0-14,20.769,2013
Cayman Islands,CYM,Children 0-14,20.000,2014
Cayman Islands,CYM,Children 0-14,20.000,2015
Cayman Islands,CYM,Children 0-14,13.077,2016
Cayman Islands,CYM,Children 0-14,15.385,2017
Cayman Islands,CYM,Children 0-14,20.769,2018
Cayman Islands,CYM,Children 0-14,18.462,2019
Cayman Islands,CYM,Children 0-14,16.154,2020
Cayman Islands,CYM,Children 0-14,20.769,2021
Cayman Islands,CYM,Children 0-14,18.462,2022
Cayman Islands,CYM,Children 0-14,16.154,2023
Cayman Islands,CYM,Education,0.000,1960
Cayman Islands,CYM,Education,0.000,1961
Cayman Islands,CYM,Education,0.000,1962
Cayman Islands,CYM,Education,0.000,1963
Cayman Islands,CYM,Education,0.000,1964
Cayman Islands,CYM,Education,0.000,1965
Cayman Islands,CYM,Education,0.000,1966
Cayman Islands,CYM,Education,0.000,1967
Cayman Islands,CYM,Education,0.000,1968
Cayman Islands,CYM,Education,0.000,1969
Cayman Islands,CYM,Education,3.681,1970
Cayman Islands,CYM,Education,2.454,1971
Cayman Islands,CYM,Education,9.202,1972
Cayman Islands,CYM,Education,9.202,1973
Cayman Islands,CYM,Education,9.816,1974
Cayman Islands,CYM,Education,9.202,1975
Cayman Islands,CYM,Education,9.816,1976
Cayman Islands,CYM,Education,10.429,1977
Cayman Islands,CYM,Education,5.521,1978
Cayman Islands,CYM,Education,5.521,1979
Cayman Islands,CYM,Education,12.270,1980
Cayman Islands,CYM,Education,9.816,1981
Cayman Islands,CYM,Education,2.454,1982
Cayman Islands,CYM,Education,2.454,1983
Cayman Islands,CYM,Education,2.454,1984
Cayman Islands,CYM,Education,2.454,1985
Cayman Islands,CYM,Education,2.454,1986
Cayman Islands,CYM,Education,2.454,1987
Cayman Islands,CYM,Education,2.454,1988
Cayman Islands,CYM,Education,7.975,1989
Cayman Islands,CYM,Education,2.454,1990
Cayman Islands,CYM,Education,2.454,1991
Cayman Islands,CYM,Education,2.454,1992
Cayman Islands,CYM,Education,2.454,1993
Cayman Islands,CYM,Education,2.454,1994
Cayman Islands,CYM,Education,2.454,1995
Cayman Islands,CYM,Education,0.000,1996
Cayman Islands,CYM,Education,0.000,1997
Cayman Islands,CYM,Education,0.000,1998
Cayman Islands,CYM,Education,16.564,1999
Cayman Islands,CYM,Education,19.018,2000
Cayman Islands,CYM,Education,19.632,2001
Cayman Islands,CYM,Education,18.405,2002
Cayman Islands,CYM,Education,0.613,2003
Cayman Islands,CYM,Education,27.607,2004
Cayman Islands,CYM,Education,27.607,2005
Cayman Islands,CYM,Education,38.650,2006
Cayman Islands,CYM,Education,46.012,2007
Cayman Islands,CYM,Education,36.196,2008
Cayman Islands,CYM,Education,0.000,2009
Cayman Islands,CYM,Education,2.454,2010
Cayman Islands,CYM,Education,17.791,2011
Cayman Islands,CYM,Education,18.405,2012
Cayman Islands,CYM,Education,15.951,2013
Cayman Islands,CYM,Education,19.018,2014
Cayman Islands,CYM,Education,22.699,2015
Cayman Islands,CYM,Education,6.135,2016
Cayman Islands,CYM,Education,12.270,2017
Cayman Islands,CYM,Education,17.178,2018
Cayman Islands,CYM,Education,12.270,2019
Cayman Islands,CYM,Education,10.429,2020
Cayman Islands,CYM,Education,12.270,2021
Cayman Islands,CYM,Education,12.270,2022
Cayman Islands,CYM,Education,9.816,2023
Cayman Islands,CYM,Employment and Time Use,5.109,1960
Cayman Islands,CYM,Employment and Time Use,0.000,1961
Cayman Islands,CYM,Employment and Time Use,0.000,1962
Cayman Islands,CYM,Employment and Time Use,0.000,1963
Cayman Islands,CYM,Employment and Time Use,0.000,1964
Cayman Islands,CYM,Employment and Time Use,0.000,1965
Cayman Islands,CYM,Employment and Time Use,0.000,1966
Cayman Islands,CYM,Employment and Time Use,0.000,1967
Cayman Islands,CYM,Employment and Time Use,0.000,1968
Cayman Islands,CYM,Employment and Time Use,0.000,1969
Cayman Islands,CYM,Employment and Time Use,2.920,1970
Cayman Islands,CYM,Employment and Time Use,0.000,1971
Cayman Islands,CYM,Employment and Time Use,0.000,1972
Cayman Islands,CYM,Employment and Time Use,0.000,1973
Cayman Islands,CYM,Employment and Time Use,0.000,1974
Cayman Islands,CYM,Employment and Time Use,0.000,1975
Cayman Islands,CYM,Employment and Time Use,0.000,1976
Cayman Islands,CYM,Employment and Time Use,0.000,1977
Cayman Islands,CYM,Employment and Time Use,0.000,1978
Cayman Islands,CYM,Employment and Time Use,2.920,1979
Cayman Islands,CYM,Employment and Time Use,0.000,1980
Cayman Islands,CYM,Employment and Time Use,0.000,1981
Cayman Islands,CYM,Employment and Time Use,0.000,1982
Cayman Islands,CYM,Employment and Time Use,0.000,1983
Cayman Islands,CYM,Employment and Time Use,0.000,1984
Cayman Islands,CYM,Employment and Time Use,0.000,1985
