Country Name,Country Code,Topic,% of available indicators,Year
Czechia,CZE,Assets,0.000,1960
Czechia,CZE,Assets,0.000,1961
Czechia,CZE,Assets,0.000,1962
Czechia,CZE,Assets,0.000,1963
Czechia,CZE,Assets,0.000,1964
Czechia,CZE,Assets,0.000,1965
Czechia,CZE,Assets,0.000,1966
Czechia,CZE,Assets,0.000,1967
Czechia,CZE,Assets,0.000,1968
Czechia,CZE,Assets,0.000,1969
Czechia,CZE,Assets,2.208,1970
Czechia,CZE,Assets,2.208,1971
Czechia,CZE,Assets,2.208,1972
Czechia,CZE,Assets,2.208,1973
Czechia,CZE,Assets,2.208,1974
Czechia,CZE,Assets,2.208,1975
Czechia,CZE,Assets,2.208,1976
Czechia,CZE,Assets,2.208,1977
Czechia,CZE,Assets,2.208,1978
Czechia,CZE,Assets,2.208,1979
Czechia,CZE,Assets,2.208,1980
Czechia,CZE,Assets,2.208,1981
Czechia,CZE,Assets,2.208,1982
Czechia,CZE,Assets,2.208,1983
Czechia,CZE,Assets,2.208,1984
Czechia,CZE,Assets,2.208,1985
Czechia,CZE,Assets,2.208,1986
Czechia,CZE,Assets,2.208,1987
Czechia,CZE,Assets,2.208,1988
Czechia,CZE,Assets,2.208,1989
Czechia,CZE,Assets,2.208,1990
Czechia,CZE,Assets,2.208,1991
Czechia,CZE,Assets,2.208,1992
Czechia,CZE,Assets,2.208,1993
Czechia,CZE,Assets,2.208,1994
Czechia,CZE,Assets,2.208,1995
Czechia,CZE,Assets,2.208,1996
Czechia,CZE,Assets,2.208,1997
Czechia,CZE,Assets,2.208,1998
Czechia,CZE,Assets,2.208,1999
Czechia,CZE,Assets,2.208,2000
Czechia,CZE,Assets,2.208,2001
Czechia,CZE,Assets,2.208,2002
Czechia,CZE,Assets,2.208,2003
Czechia,CZE,Assets,2.208,2004
Czechia,CZE,Assets,2.208,2005
Czechia,CZE,Assets,2.208,2006
Czechia,CZE,Assets,2.208,2007
Czechia,CZE,Assets,2.208,2008
Czechia,CZE,Assets,2.208,2009
Czechia,CZE,Assets,2.208,2010
Czechia,CZE,Assets,11.672,2011
Czechia,CZE,Assets,2.208,2012
Czechia,CZE,Assets,2.208,2013
Czechia,CZE,Assets,30.599,2014
Czechia,CZE,Assets,2.208,2015
Czechia,CZE,Assets,2.208,2016
Czechia,CZE,Assets,33.123,2017
Czechia,CZE,Assets,2.208,2018
Czechia,CZE,Assets,2.208,2019
Czechia,CZE,Assets,2.208,2020
Czechia,CZE,Assets,58.360,2021
Czechia,CZE,Assets,2.208,2022
Czechia,CZE,Assets,2.208,2023
Czechia,CZE,Children 0-14,19.231,1960
Czechia,CZE,Children 0-14,19.231,1961
Czechia,CZE,Children 0-14,19.231,1962
Czechia,CZE,Children 0-14,19.231,1963
Czechia,CZE,Children 0-14,19.231,1964
Czechia,CZE,Children 0-14,19.231,1965
Czechia,CZE,Children 0-14,19.231,1966
Czechia,CZE,Children 0-14,19.231,1967
Czechia,CZE,Children 0-14,19.231,1968
Czechia,CZE,Children 0-14,19.231,1969
Czechia,CZE,Children 0-14,19.231,1970
Czechia,CZE,Children 0-14,25.385,1971
Czechia,CZE,Children 0-14,25.385,1972
Czechia,CZE,Children 0-14,25.385,1973
Czechia,CZE,Children 0-14,25.385,1974
Czechia,CZE,Children 0-14,25.385,1975
Czechia,CZE,Children 0-14,25.385,1976
Czechia,CZE,Children 0-14,25.385,1977
Czechia,CZE,Children 0-14,25.385,1978
Czechia,CZE,Children 0-14,25.385,1979
Czechia,CZE,Children 0-14,21.538,1980
Czechia,CZE,Children 0-14,25.385,1981
Czechia,CZE,Children 0-14,25.385,1982
Czechia,CZE,Children 0-14,25.385,1983
Czechia,CZE,Children 0-14,25.385,1984
Czechia,CZE,Children 0-14,25.385,1985
Czechia,CZE,Children 0-14,25.385,1986
Czechia,CZE,Children 0-14,25.385,1987
Czechia,CZE,Children 0-14,25.385,1988
Czechia,CZE,Children 0-14,25.385,1989
Czechia,CZE,Children 0-14,25.385,1990
Czechia,CZE,Children 0-14,30.769,1991
Czechia,CZE,Children 0-14,25.385,1992
Czechia,CZE,Children 0-14,30.000,1993
Czechia,CZE,Children 0-14,30.769,1994
Czechia,CZE,Children 0-14,29.231,1995
Czechia,CZE,Children 0-14,32.308,1996
Czechia,CZE,Children 0-14,26.923,1997
Czechia,CZE,Children 0-14,30.000,1998
Czechia,CZE,Children 0-14,37.692,1999
Czechia,CZE,Children 0-14,48.462,2000
Czechia,CZE,Children 0-14,50.769,2001
Czechia,CZE,Children 0-14,36.923,2002
Czechia,CZE,Children 0-14,36.923,2003
Czechia,CZE,Children 0-14,36.923,2004
Czechia,CZE,Children 0-14,36.923,2005
Czechia,CZE,Children 0-14,41.538,2006
Czechia,CZE,Children 0-14,44.615,2007
Czechia,CZE,Children 0-14,44.615,2008
Czechia,CZE,Children 0-14,46.154,2009
Czechia,CZE,Children 0-14,62.308,2010
Czechia,CZE,Children 0-14,53.846,2011
Czechia,CZE,Children 0-14,50.000,2012
Czechia,CZE,Children 0-14,53.846,2013
Czechia,CZE,Children 0-14,52.308,2014
Czechia,CZE,Children 0-14,62.308,2015
Czechia,CZE,Children 0-14,53.077,2016
Czechia,CZE,Children 0-14,53.846,2017
Czechia,CZE,Children 0-14,43.077,2018
Czechia,CZE,Children 0-14,53.846,2019
Czechia,CZE,Children 0-14,43.846,2020
Czechia,CZE,Children 0-14,36.154,2021
Czechia,CZE,Children 0-14,34.615,2022
Czechia,CZE,Children 0-14,9.231,2023
Czechia,CZE,Education,0.000,1960
Czechia,CZE,Education,0.000,1961
Czechia,CZE,Education,0.000,1962
Czechia,CZE,Education,0.000,1963
Czechia,CZE,Education,0.000,1964
Czechia,CZE,Education,0.000,1965
Czechia,CZE,Education,0.000,1966
Czechia,CZE,Education,0.000,1967
Czechia,CZE,Education,0.000,1968
Czechia,CZE,Education,0.000,1969
Czechia,CZE,Education,0.000,1970
Czechia,CZE,Education,15.951,1971
Czechia,CZE,Education,15.951,1972
Czechia,CZE,Education,15.951,1973
Czechia,CZE,Education,15.951,1974
Czechia,CZE,Education,15.951,1975
Czechia,CZE,Education,15.951,1976
Czechia,CZE,Education,15.951,1977
Czechia,CZE,Education,15.951,1978
Czechia,CZE,Education,15.951,1979
Czechia,CZE,Education,10.429,1980
Czechia,CZE,Education,7.362,1981
Czechia,CZE,Education,15.951,1982
Czechia,CZE,Education,15.951,1983
Czechia,CZE,Education,15.951,1984
Czechia,CZE,Education,15.951,1985
Czechia,CZE,Education,15.951,1986
Czechia,CZE,Education,15.951,1987
Czechia,CZE,Education,15.951,1988
Czechia,CZE,Education,15.951,1989
Czechia,CZE,Education,15.951,1990
Czechia,CZE,Education,19.632,1991
Czechia,CZE,Education,16.564,1992
Czechia,CZE,Education,21.472,1993
Czechia,CZE,Education,22.086,1994
Czechia,CZE,Education,21.472,1995
Czechia,CZE,Education,22.699,1996
Czechia,CZE,Education,15.951,1997
Czechia,CZE,Education,25.767,1998
Czechia,CZE,Education,43.558,1999
Czechia,CZE,Education,41.104,2000
Czechia,CZE,Education,50.920,2001
Czechia,CZE,Education,48.466,2002
Czechia,CZE,Education,46.012,2003
Czechia,CZE,Education,48.466,2004
Czechia,CZE,Education,46.012,2005
Czechia,CZE,Education,51.534,2006
