Country Name,Country Code,Topic,% of available indicators,Year
Germany,DEU,Assets,0.000,1960
Germany,DEU,Assets,0.000,1961
Germany,DEU,Assets,0.000,1962
Germany,DEU,Assets,0.000,1963
Germany,DEU,Assets,0.000,1964
Germany,DEU,Assets,0.000,1965
Germany,DEU,Assets,0.000,1966
Germany,DEU,Assets,0.000,1967
Germany,DEU,Assets,0.000,1968
Germany,DEU,Assets,0.000,1969
Germany,DEU,Assets,2.208,1970
Germany,DEU,Assets,2.208,1971
Germany,DEU,Assets,2.208,1972
Germany,DEU,Assets,2.208,1973
Germany,DEU,Assets,2.208,1974
Germany,DEU,Assets,2.208,1975
Germany,DEU,Assets,2.208,1976
Germany,DEU,Assets,2.208,1977
Germany,DEU,Assets,2.208,1978
Germany,DEU,Assets,2.208,1979
Germany,DEU,Assets,2.208,1980
Germany,DEU,Assets,2.208,1981
Germany,DEU,Assets,2.208,1982
Germany,DEU,Assets,2.208,1983
Germany,DEU,Assets,2.208,1984
Germany,DEU,Assets,2.208,1985
Germany,DEU,Assets,2.208,1986
Germany,DEU,Assets,2.208,1987
Germany,DEU,Assets,2.208,1988
Germany,DEU,Assets,2.208,1989
Germany,DEU,Assets,2.208,1990
Germany,DEU,Assets,2.208,1991
Germany,DEU,Assets,2.208,1992
Germany,DEU,Assets,2.208,1993
Germany,DEU,Assets,2.208,1994
Germany,DEU,Assets,2.208,1995
Germany,DEU,Assets,2.208,1996
Germany,DEU,Assets,2.208,1997
Germany,DEU,Assets,2.208,1998
Germany,DEU,Assets,2.208,1999
Germany,DEU,Assets,2.208,2000
Germany,DEU,Assets,2.208,2001
Germany,DEU,Assets,2.208,2002
Germany,DEU,Assets,2.208,2003
Germany,DEU,Assets,2.208,2004
Germany,DEU,Assets,2.208,2005
Germany,DEU,Assets,2.208,2006
Germany,DEU,Assets,2.208,2007
Germany,DEU,Assets,2.208,2008
Germany,DEU,Assets,2.208,2009
Germany,DEU,Assets,2.208,2010
