Country Name,Country Code,Topic,% of available indicators,Year
Djibouti,DJI,Assets,0.000,1960
Djibouti,DJI,Assets,0.000,1961
Djibouti,DJI,Assets,0.000,1962
Djibouti,DJI,Assets,0.000,1963
Djibouti,DJI,Assets,0.000,1964
Djibouti,DJI,Assets,0.000,1965
Djibouti,DJI,Assets,0.000,1966
Djibouti,DJI,Assets,0.000,1967
Djibouti,DJI,Assets,0.000,1968
Djibouti,DJI,Assets,0.000,1969
Djibouti,DJI,Assets,2.208,1970
Djibouti,DJI,Assets,2.208,1971
Djibouti,DJI,Assets,2.208,1972
Djibouti,DJI,Assets,2.208,1973
Djibouti,DJI,Assets,2.208,1974
Djibouti,DJI,Assets,2.208,1975
Djibouti,DJI,Assets,2.208,1976
Djibouti,DJI,Assets,2.208,1977
Djibouti,DJI,Assets,2.208,1978
Djibouti,DJI,Assets,2.208,1979
Djibouti,DJI,Assets,2.208,1980
Djibouti,DJI,Assets,2.208,1981
Djibouti,DJI,Assets,2.208,1982
Djibouti,DJI,Assets,2.208,1983
Djibouti,DJI,Assets,2.208,1984
Djibouti,DJI,Assets,2.208,1985
Djibouti,DJI,Assets,2.208,1986
Djibouti,DJI,Assets,2.208,1987
Djibouti,DJI,Assets,2.208,1988
Djibouti,DJI,Assets,2.208,1989
Djibouti,DJI,Assets,2.208,1990
Djibouti,DJI,Assets,2.208,1991
Djibouti,DJI,Assets,2.208,1992
Djibouti,DJI,Assets,2.208,1993
Djibouti,DJI,Assets,2.208,1994
Djibouti,DJI,Assets,2.208,1995
Djibouti,DJI,Assets,2.208,1996
Djibouti,DJI,Assets,2.208,1997
Djibouti,DJI,Assets,2.208,1998
Djibouti,DJI,Assets,2.208,1999
Djibouti,DJI,Assets,2.208,2000
Djibouti,DJI,Assets,2.208,2001
Djibouti,DJI,Assets,2.208,2002
Djibouti,DJI,Assets,2.208,2003
Djibouti,DJI,Assets,2.208,2004
Djibouti,DJI,Assets,2.208,2005
Djibouti,DJI,Assets,2.208,2006
Djibouti,DJI,Assets,2.208,2007
Djibouti,DJI,Assets,2.208,2008
Djibouti,DJI,Assets,2.208,2009
Djibouti,DJI,Assets,2.208,2010
Djibouti,DJI,Assets,10.726,2011
Djibouti,DJI,Assets,2.208,2012
Djibouti,DJI,Assets,2.208,2013
Djibouti,DJI,Assets,2.208,2014
Djibouti,DJI,Assets,2.208,2015
Djibouti,DJI,Assets,2.208,2016
Djibouti,DJI,Assets,2.208,2017
Djibouti,DJI,Assets,2.208,2018
Djibouti,DJI,Assets,2.208,2019
Djibouti,DJI,Assets,2.208,2020
Djibouti,DJI,Assets,2.208,2021
Djibouti,DJI,Assets,2.208,2022
Djibouti,DJI,Assets,2.208,2023
Djibouti,DJI,Children 0-14,10.769,1960
Djibouti,DJI,Children 0-14,10.769,1961
Djibouti,DJI,Children 0-14,10.769,1962
Djibouti,DJI,Children 0-14,10.769,1963
Djibouti,DJI,Children 0-14,10.769,1964
Djibouti,DJI,Children 0-14,10.769,1965
Djibouti,DJI,Children 0-14,10.769,1966
Djibouti,DJI,Children 0-14,10.769,1967
Djibouti,DJI,Children 0-14,10.769,1968
Djibouti,DJI,Children 0-14,10.769,1969
Djibouti,DJI,Children 0-14,10.769,1970
Djibouti,DJI,Children 0-14,13.077,1971
Djibouti,DJI,Children 0-14,15.385,1972
Djibouti,DJI,Children 0-14,15.385,1973
Djibouti,DJI,Children 0-14,15.385,1974
Djibouti,DJI,Children 0-14,15.385,1975
Djibouti,DJI,Children 0-14,20.000,1976
Djibouti,DJI,Children 0-14,17.692,1977
Djibouti,DJI,Children 0-14,17.692,1978
Djibouti,DJI,Children 0-14,18.462,1979
Djibouti,DJI,Children 0-14,17.692,1980
Djibouti,DJI,Children 0-14,19.231,1981
Djibouti,DJI,Children 0-14,22.308,1982
Djibouti,DJI,Children 0-14,22.308,1983
Djibouti,DJI,Children 0-14,22.308,1984
Djibouti,DJI,Children 0-14,29.231,1985
Djibouti,DJI,Children 0-14,30.000,1986
Djibouti,DJI,Children 0-14,30.000,1987
Djibouti,DJI,Children 0-14,30.000,1988
Djibouti,DJI,Children 0-14,32.308,1989
Djibouti,DJI,Children 0-14,30.000,1990
Djibouti,DJI,Children 0-14,26.923,1991
Djibouti,DJI,Children 0-14,30.000,1992
Djibouti,DJI,Children 0-14,30.000,1993
Djibouti,DJI,Children 0-14,30.000,1994
Djibouti,DJI,Children 0-14,30.000,1995
Djibouti,DJI,Children 0-14,41.538,1996
Djibouti,DJI,Children 0-14,30.000,1997
Djibouti,DJI,Children 0-14,25.385,1998
Djibouti,DJI,Children 0-14,36.923,1999
Djibouti,DJI,Children 0-14,49.231,2000
Djibouti,DJI,Children 0-14,33.077,2001
Djibouti,DJI,Children 0-14,33.077,2002
Djibouti,DJI,Children 0-14,20.769,2003
Djibouti,DJI,Children 0-14,34.615,2004
Djibouti,DJI,Children 0-14,34.615,2005
Djibouti,DJI,Children 0-14,37.692,2006
Djibouti,DJI,Children 0-14,35.385,2007
Djibouti,DJI,Children 0-14,33.077,2008
Djibouti,DJI,Children 0-14,35.385,2009
Djibouti,DJI,Children 0-14,34.615,2010
Djibouti,DJI,Children 0-14,39.231,2011
Djibouti,DJI,Children 0-14,31.538,2012
Djibouti,DJI,Children 0-14,41.538,2013
Djibouti,DJI,Children 0-14,30.000,2014
Djibouti,DJI,Children 0-14,46.154,2015
Djibouti,DJI,Children 0-14,32.308,2016
Djibouti,DJI,Children 0-14,39.231,2017
Djibouti,DJI,Children 0-14,34.615,2018
Djibouti,DJI,Children 0-14,54.615,2019
Djibouti,DJI,Children 0-14,25.385,2020
Djibouti,DJI,Children 0-14,25.385,2021
Djibouti,DJI,Children 0-14,22.308,2022
Djibouti,DJI,Children 0-14,9.231,2023
Djibouti,DJI,Education,0.000,1960
Djibouti,DJI,Education,0.000,1961
Djibouti,DJI,Education,0.000,1962
Djibouti,DJI,Education,0.000,1963
Djibouti,DJI,Education,0.000,1964
Djibouti,DJI,Education,0.000,1965
Djibouti,DJI,Education,0.000,1966
Djibouti,DJI,Education,0.000,1967
Djibouti,DJI,Education,0.000,1968
Djibouti,DJI,Education,0.000,1969
Djibouti,DJI,Education,0.000,1970
Djibouti,DJI,Education,7.362,1971
Djibouti,DJI,Education,7.975,1972
Djibouti,DJI,Education,11.656,1973
Djibouti,DJI,Education,11.656,1974
Djibouti,DJI,Education,11.656,1975
Djibouti,DJI,Education,11.656,1976
Djibouti,DJI,Education,1.227,1977
Djibouti,DJI,Education,1.227,1978
Djibouti,DJI,Education,1.840,1979
Djibouti,DJI,Education,1.840,1980
Djibouti,DJI,Education,3.681,1981
Djibouti,DJI,Education,6.135,1982
Djibouti,DJI,Education,6.135,1983
Djibouti,DJI,Education,6.135,1984
Djibouti,DJI,Education,14.110,1985
Djibouti,DJI,Education,18.405,1986
Djibouti,DJI,Education,14.724,1987
Djibouti,DJI,Education,14.724,1988
Djibouti,DJI,Education,12.270,1989
Djibouti,DJI,Education,9.202,1990
Djibouti,DJI,Education,9.202,1991
Djibouti,DJI,Education,15.337,1992
Djibouti,DJI,Education,14.724,1993
Djibouti,DJI,Education,15.951,1994
Djibouti,DJI,Education,12.883,1995
Djibouti,DJI,Education,16.564,1996
Djibouti,DJI,Education,19.018,1997
