Country Name,Country Code,Topic,% of available indicators,Year
Dominica,DMA,Assets,0.000,1960
Dominica,DMA,Assets,0.000,1961
Dominica,DMA,Assets,0.000,1962
Dominica,DMA,Assets,0.000,1963
Dominica,DMA,Assets,0.000,1964
Dominica,DMA,Assets,0.000,1965
Dominica,DMA,Assets,0.000,1966
Dominica,DMA,Assets,0.000,1967
Dominica,DMA,Assets,0.000,1968
Dominica,DMA,Assets,0.000,1969
Dominica,DMA,Assets,2.208,1970
Dominica,DMA,Assets,2.208,1971
Dominica,DMA,Assets,2.208,1972
Dominica,DMA,Assets,2.208,1973
Dominica,DMA,Assets,2.208,1974
Dominica,DMA,Assets,2.208,1975
Dominica,DMA,Assets,2.208,1976
Dominica,DMA,Assets,2.208,1977
Dominica,DMA,Assets,2.208,1978
Dominica,DMA,Assets,2.208,1979
Dominica,DMA,Assets,2.208,1980
Dominica,DMA,Assets,2.208,1981
Dominica,DMA,Assets,2.208,1982
Dominica,DMA,Assets,2.208,1983
Dominica,DMA,Assets,2.208,1984
Dominica,DMA,Assets,2.208,1985
Dominica,DMA,Assets,2.208,1986
Dominica,DMA,Assets,2.208,1987
Dominica,DMA,Assets,2.208,1988
Dominica,DMA,Assets,2.208,1989
Dominica,DMA,Assets,2.208,1990
Dominica,DMA,Assets,2.208,1991
Dominica,DMA,Assets,2.208,1992
Dominica,DMA,Assets,2.208,1993
Dominica,DMA,Assets,2.208,1994
Dominica,DMA,Assets,2.208,1995
Dominica,DMA,Assets,2.208,1996
Dominica,DMA,Assets,2.208,1997
Dominica,DMA,Assets,2.208,1998
Dominica,DMA,Assets,2.208,1999
Dominica,DMA,Assets,2.208,2000
Dominica,DMA,Assets,2.208,2001
Dominica,DMA,Assets,2.208,2002
Dominica,DMA,Assets,2.208,2003
Dominica,DMA,Assets,2.208,2004
Dominica,DMA,Assets,2.208,2005
Dominica,DMA,Assets,2.208,2006
Dominica,DMA,Assets,2.208,2007
Dominica,DMA,Assets,2.208,2008
Dominica,DMA,Assets,2.208,2009
Dominica,DMA,Assets,2.208,2010
Dominica,DMA,Assets,2.208,2011
Dominica,DMA,Assets,2.208,2012
Dominica,DMA,Assets,2.208,2013
Dominica,DMA,Assets,2.208,2014
Dominica,DMA,Assets,2.208,2015
Dominica,DMA,Assets,2.208,2016
Dominica,DMA,Assets,2.208,2017
Dominica,DMA,Assets,2.208,2018
Dominica,DMA,Assets,2.208,2019
Dominica,DMA,Assets,2.208,2020
Dominica,DMA,Assets,2.208,2021
Dominica,DMA,Assets,2.208,2022
Dominica,DMA,Assets,2.208,2023
Dominica,DMA,Children 0-14,15.385,1960
Dominica,DMA,Children 0-14,17.692,1961
Dominica,DMA,Children 0-14,17.692,1962
Dominica,DMA,Children 0-14,17.692,1963
Dominica,DMA,Children 0-14,17.692,1964
Dominica,DMA,Children 0-14,19.231,1965
Dominica,DMA,Children 0-14,19.231,1966
Dominica,DMA,Children 0-14,19.231,1967
Dominica,DMA,Children 0-14,19.231,1968
Dominica,DMA,Children 0-14,19.231,1969
Dominica,DMA,Children 0-14,21.538,1970
Dominica,DMA,Children 0-14,23.077,1971
Dominica,DMA,Children 0-14,23.077,1972
Dominica,DMA,Children 0-14,23.077,1973
Dominica,DMA,Children 0-14,25.385,1974
Dominica,DMA,Children 0-14,30.000,1975
Dominica,DMA,Children 0-14,33.077,1976
Dominica,DMA,Children 0-14,33.077,1977
Dominica,DMA,Children 0-14,23.077,1978
Dominica,DMA,Children 0-14,33.077,1979
Dominica,DMA,Children 0-14,31.538,1980
Dominica,DMA,Children 0-14,33.846,1981
Dominica,DMA,Children 0-14,32.308,1982
Dominica,DMA,Children 0-14,20.769,1983
Dominica,DMA,Children 0-14,24.615,1984
Dominica,DMA,Children 0-14,20.769,1985
Dominica,DMA,Children 0-14,25.385,1986
Dominica,DMA,Children 0-14,25.385,1987
Dominica,DMA,Children 0-14,30.769,1988
Dominica,DMA,Children 0-14,20.769,1989
Dominica,DMA,Children 0-14,26.923,1990
Dominica,DMA,Children 0-14,26.923,1991
Dominica,DMA,Children 0-14,26.923,1992
Dominica,DMA,Children 0-14,25.385,1993
Dominica,DMA,Children 0-14,24.615,1994
Dominica,DMA,Children 0-14,24.615,1995
Dominica,DMA,Children 0-14,20.769,1996
Dominica,DMA,Children 0-14,20.769,1997
Dominica,DMA,Children 0-14,20.769,1998
Dominica,DMA,Children 0-14,37.692,1999
Dominica,DMA,Children 0-14,40.000,2000
Dominica,DMA,Children 0-14,50.000,2001
Dominica,DMA,Children 0-14,38.462,2002
Dominica,DMA,Children 0-14,47.692,2003
Dominica,DMA,Children 0-14,47.692,2004
Dominica,DMA,Children 0-14,43.846,2005
Dominica,DMA,Children 0-14,46.923,2006
Dominica,DMA,Children 0-14,49.231,2007
Dominica,DMA,Children 0-14,47.692,2008
Dominica,DMA,Children 0-14,49.231,2009
Dominica,DMA,Children 0-14,41.538,2010
Dominica,DMA,Children 0-14,44.615,2011
Dominica,DMA,Children 0-14,36.154,2012
Dominica,DMA,Children 0-14,36.154,2013
Dominica,DMA,Children 0-14,37.692,2014
Dominica,DMA,Children 0-14,40.000,2015
Dominica,DMA,Children 0-14,36.923,2016
