Country Name,Country Code,Topic,% of available indicators,Year
Denmark,DNK,Assets,0.000,1960
Denmark,DNK,Assets,0.000,1961
Denmark,DNK,Assets,0.000,1962
Denmark,DNK,Assets,0.000,1963
Denmark,DNK,Assets,0.000,1964
Denmark,DNK,Assets,0.000,1965
Denmark,DNK,Assets,0.000,1966
Denmark,DNK,Assets,0.000,1967
Denmark,DNK,Assets,0.000,1968
Denmark,DNK,Assets,0.000,1969
Denmark,DNK,Assets,2.208,1970
Denmark,DNK,Assets,2.208,1971
Denmark,DNK,Assets,2.208,1972
Denmark,DNK,Assets,2.208,1973
Denmark,DNK,Assets,2.208,1974
Denmark,DNK,Assets,2.208,1975
Denmark,DNK,Assets,2.208,1976
Denmark,DNK,Assets,2.208,1977
Denmark,DNK,Assets,2.208,1978
Denmark,DNK,Assets,2.208,1979
Denmark,DNK,Assets,2.208,1980
Denmark,DNK,Assets,2.208,1981
Denmark,DNK,Assets,2.208,1982
Denmark,DNK,Assets,2.208,1983
Denmark,DNK,Assets,2.208,1984
Denmark,DNK,Assets,2.208,1985
Denmark,DNK,Assets,2.208,1986
Denmark,DNK,Assets,2.208,1987
Denmark,DNK,Assets,2.208,1988
Denmark,DNK,Assets,2.208,1989
Denmark,DNK,Assets,2.208,1990
Denmark,DNK,Assets,2.208,1991
Denmark,DNK,Assets,2.208,1992
Denmark,DNK,Assets,2.208,1993
Denmark,DNK,Assets,2.208,1994
Denmark,DNK,Assets,2.208,1995
Denmark,DNK,Assets,2.208,1996
Denmark,DNK,Assets,2.208,1997
Denmark,DNK,Assets,2.208,1998
Denmark,DNK,Assets,2.208,1999
Denmark,DNK,Assets,2.208,2000
Denmark,DNK,Assets,2.208,2001
Denmark,DNK,Assets,2.208,2002
Denmark,DNK,Assets,2.208,2003
Denmark,DNK,Assets,2.208,2004
Denmark,DNK,Assets,2.208,2005
Denmark,DNK,Assets,2.208,2006
Denmark,DNK,Assets,2.208,2007
Denmark,DNK,Assets,2.208,2008
Denmark,DNK,Assets,2.208,2009
Denmark,DNK,Assets,2.208,2010
Denmark,DNK,Assets,10.726,2011
Denmark,DNK,Assets,2.208,2012
Denmark,DNK,Assets,2.208,2013
Denmark,DNK,Assets,24.921,2014
Denmark,DNK,Assets,2.208,2015
Denmark,DNK,Assets,2.208,2016
Denmark,DNK,Assets,26.814,2017
Denmark,DNK,Assets,2.208,2018
Denmark,DNK,Assets,2.208,2019
Denmark,DNK,Assets,2.208,2020
Denmark,DNK,Assets,51.735,2021
Denmark,DNK,Assets,2.208,2022
Denmark,DNK,Assets,2.208,2023
Denmark,DNK,Children 0-14,19.231,1960
Denmark,DNK,Children 0-14,19.231,1961
Denmark,DNK,Children 0-14,19.231,1962
Denmark,DNK,Children 0-14,19.231,1963
Denmark,DNK,Children 0-14,19.231,1964
Denmark,DNK,Children 0-14,19.231,1965
Denmark,DNK,Children 0-14,19.231,1966
Denmark,DNK,Children 0-14,19.231,1967
Denmark,DNK,Children 0-14,19.231,1968
Denmark,DNK,Children 0-14,19.231,1969
Denmark,DNK,Children 0-14,19.231,1970
Denmark,DNK,Children 0-14,30.000,1971
Denmark,DNK,Children 0-14,30.000,1972
Denmark,DNK,Children 0-14,30.000,1973
Denmark,DNK,Children 0-14,28.462,1974
Denmark,DNK,Children 0-14,26.923,1975
Denmark,DNK,Children 0-14,26.923,1976
Denmark,DNK,Children 0-14,26.923,1977
Denmark,DNK,Children 0-14,26.923,1978
Denmark,DNK,Children 0-14,26.923,1979
Denmark,DNK,Children 0-14,27.692,1980
Denmark,DNK,Children 0-14,38.462,1981
Denmark,DNK,Children 0-14,38.462,1982
Denmark,DNK,Children 0-14,38.462,1983
Denmark,DNK,Children 0-14,38.462,1984
Denmark,DNK,Children 0-14,38.462,1985
Denmark,DNK,Children 0-14,38.462,1986
Denmark,DNK,Children 0-14,39.231,1987
Denmark,DNK,Children 0-14,37.692,1988
Denmark,DNK,Children 0-14,37.692,1989
Denmark,DNK,Children 0-14,37.692,1990
Denmark,DNK,Children 0-14,40.000,1991
Denmark,DNK,Children 0-14,39.231,1992
Denmark,DNK,Children 0-14,37.692,1993
Denmark,DNK,Children 0-14,37.692,1994
Denmark,DNK,Children 0-14,34.615,1995
Denmark,DNK,Children 0-14,34.615,1996
Denmark,DNK,Children 0-14,20.769,1997
Denmark,DNK,Children 0-14,36.154,1998
Denmark,DNK,Children 0-14,36.154,1999
Denmark,DNK,Children 0-14,52.308,2000
Denmark,DNK,Children 0-14,34.615,2001
Denmark,DNK,Children 0-14,33.077,2002
Denmark,DNK,Children 0-14,27.692,2003
Denmark,DNK,Children 0-14,39.231,2004
Denmark,DNK,Children 0-14,41.538,2005
Denmark,DNK,Children 0-14,43.846,2006
Denmark,DNK,Children 0-14,41.538,2007
Denmark,DNK,Children 0-14,44.615,2008
Denmark,DNK,Children 0-14,49.231,2009
Denmark,DNK,Children 0-14,63.077,2010
Denmark,DNK,Children 0-14,54.615,2011
Denmark,DNK,Children 0-14,49.231,2012
Denmark,DNK,Children 0-14,48.462,2013
Denmark,DNK,Children 0-14,49.231,2014
Denmark,DNK,Children 0-14,60.000,2015
Denmark,DNK,Children 0-14,51.538,2016
Denmark,DNK,Children 0-14,48.462,2017
Denmark,DNK,Children 0-14,42.308,2018
Denmark,DNK,Children 0-14,55.385,2019
Denmark,DNK,Children 0-14,42.308,2020
Denmark,DNK,Children 0-14,39.231,2021
Denmark,DNK,Children 0-14,35.385,2022
Denmark,DNK,Children 0-14,9.231,2023
Denmark,DNK,Education,0.000,1960
Denmark,DNK,Education,0.000,1961
Denmark,DNK,Education,0.000,1962
Denmark,DNK,Education,0.000,1963
Denmark,DNK,Education,0.000,1964
Denmark,DNK,Education,0.000,1965
Denmark,DNK,Education,0.000,1966
Denmark,DNK,Education,0.000,1967
Denmark,DNK,Education,0.000,1968
Denmark,DNK,Education,0.000,1969
Denmark,DNK,Education,0.613,1970
Denmark,DNK,Education,14.110,1971
Denmark,DNK,Education,11.656,1972
Denmark,DNK,Education,11.656,1973
Denmark,DNK,Education,10.429,1974
Denmark,DNK,Education,7.362,1975
Denmark,DNK,Education,8.589,1976
Denmark,DNK,Education,9.202,1977
Denmark,DNK,Education,17.791,1978
Denmark,DNK,Education,17.791,1979
Denmark,DNK,Education,17.791,1980
Denmark,DNK,Education,27.607,1981
Denmark,DNK,Education,27.607,1982
Denmark,DNK,Education,29.448,1983
Denmark,DNK,Education,29.448,1984
Denmark,DNK,Education,30.061,1985
Denmark,DNK,Education,30.675,1986
Denmark,DNK,Education,30.675,1987
Denmark,DNK,Education,28.834,1988
Denmark,DNK,Education,28.834,1989
Denmark,DNK,Education,28.221,1990
Denmark,DNK,Education,34.356,1991
Denmark,DNK,Education,29.448,1992
Denmark,DNK,Education,30.675,1993
Denmark,DNK,Education,34.356,1994
Denmark,DNK,Education,31.902,1995
Denmark,DNK,Education,26.380,1996
Denmark,DNK,Education,1.840,1997
Denmark,DNK,Education,38.037,1998
Denmark,DNK,Education,42.331,1999
Denmark,DNK,Education,46.012,2000
Denmark,DNK,Education,46.012,2001
Denmark,DNK,Education,41.718,2002
Denmark,DNK,Education,36.196,2003
Denmark,DNK,Education,49.693,2004
Denmark,DNK,Education,47.853,2005
Denmark,DNK,Education,49.693,2006
Denmark,DNK,Education,51.534,2007
Denmark,DNK,Education,53.988,2008
Denmark,DNK,Education,59.509,2009
Denmark,DNK,Education,73.006,2010
Denmark,DNK,Education,68.712,2011
Denmark,DNK,Education,65.031,2012
Denmark,DNK,Education,64.417,2013
