Country Name,Country Code,Topic,% of available indicators,Year
Dominican Republic,DOM,Assets,0.000,1960
Dominican Republic,DOM,Assets,0.000,1961
Dominican Republic,DOM,Assets,0.000,1962
Dominican Republic,DOM,Assets,0.000,1963
Dominican Republic,DOM,Assets,0.000,1964
Dominican Republic,DOM,Assets,0.000,1965
Dominican Republic,DOM,Assets,0.000,1966
Dominican Republic,DOM,Assets,0.000,1967
Dominican Republic,DOM,Assets,0.000,1968
Dominican Republic,DOM,Assets,0.000,1969
Dominican Republic,DOM,Assets,2.208,1970
Dominican Republic,DOM,Assets,2.208,1971
Dominican Republic,DOM,Assets,2.208,1972
Dominican Republic,DOM,Assets,2.208,1973
Dominican Republic,DOM,Assets,2.208,1974
Dominican Republic,DOM,Assets,2.208,1975
Dominican Republic,DOM,Assets,2.208,1976
Dominican Republic,DOM,Assets,2.208,1977
Dominican Republic,DOM,Assets,2.208,1978
Dominican Republic,DOM,Assets,2.208,1979
Dominican Republic,DOM,Assets,2.208,1980
Dominican Republic,DOM,Assets,2.208,1981
Dominican Republic,DOM,Assets,2.208,1982
Dominican Republic,DOM,Assets,2.208,1983
Dominican Republic,DOM,Assets,2.208,1984
Dominican Republic,DOM,Assets,2.208,1985
Dominican Republic,DOM,Assets,2.208,1986
Dominican Republic,DOM,Assets,2.208,1987
Dominican Republic,DOM,Assets,2.208,1988
Dominican Republic,DOM,Assets,2.208,1989
Dominican Republic,DOM,Assets,2.208,1990
Dominican Republic,DOM,Assets,2.208,1991
Dominican Republic,DOM,Assets,2.208,1992
Dominican Republic,DOM,Assets,2.208,1993
Dominican Republic,DOM,Assets,2.208,1994
Dominican Republic,DOM,Assets,2.208,1995
Dominican Republic,DOM,Assets,2.208,1996
Dominican Republic,DOM,Assets,2.208,1997
Dominican Republic,DOM,Assets,2.208,1998
Dominican Republic,DOM,Assets,2.208,1999
Dominican Republic,DOM,Assets,2.208,2000
Dominican Republic,DOM,Assets,2.208,2001
Dominican Republic,DOM,Assets,2.208,2002
Dominican Republic,DOM,Assets,2.208,2003
Dominican Republic,DOM,Assets,2.208,2004
Dominican Republic,DOM,Assets,2.208,2005
Dominican Republic,DOM,Assets,2.208,2006
Dominican Republic,DOM,Assets,2.208,2007
Dominican Republic,DOM,Assets,2.208,2008
Dominican Republic,DOM,Assets,2.208,2009
Dominican Republic,DOM,Assets,2.208,2010
Dominican Republic,DOM,Assets,11.672,2011
Dominican Republic,DOM,Assets,2.208,2012
Dominican Republic,DOM,Assets,17.350,2013
Dominican Republic,DOM,Assets,31.546,2014
Dominican Republic,DOM,Assets,2.208,2015
Dominican Republic,DOM,Assets,2.208,2016
Dominican Republic,DOM,Assets,34.069,2017
Dominican Republic,DOM,Assets,2.208,2018
Dominican Republic,DOM,Assets,2.208,2019
Dominican Republic,DOM,Assets,2.208,2020
Dominican Republic,DOM,Assets,63.091,2021
Dominican Republic,DOM,Assets,2.208,2022
Dominican Republic,DOM,Assets,2.208,2023
Dominican Republic,DOM,Children 0-14,19.231,1960
Dominican Republic,DOM,Children 0-14,19.231,1961
Dominican Republic,DOM,Children 0-14,19.231,1962
Dominican Republic,DOM,Children 0-14,19.231,1963
Dominican Republic,DOM,Children 0-14,19.231,1964
Dominican Republic,DOM,Children 0-14,19.231,1965
