Country Name,Country Code,Topic,% of available indicators,Year
Algeria,DZA,Assets,0.000,1960
Algeria,DZA,Assets,0.000,1961
Algeria,DZA,Assets,0.000,1962
Algeria,DZA,Assets,0.000,1963
Algeria,DZA,Assets,0.000,1964
Algeria,DZA,Assets,0.000,1965
Algeria,DZA,Assets,0.000,1966
Algeria,DZA,Assets,0.000,1967
Algeria,DZA,Assets,0.000,1968
Algeria,DZA,Assets,0.000,1969
Algeria,DZA,Assets,2.208,1970
Algeria,DZA,Assets,2.208,1971
Algeria,DZA,Assets,2.208,1972
Algeria,DZA,Assets,2.208,1973
Algeria,DZA,Assets,2.208,1974
Algeria,DZA,Assets,2.208,1975
Algeria,DZA,Assets,2.208,1976
Algeria,DZA,Assets,2.208,1977
Algeria,DZA,Assets,2.208,1978
Algeria,DZA,Assets,2.208,1979
Algeria,DZA,Assets,2.208,1980
Algeria,DZA,Assets,2.208,1981
Algeria,DZA,Assets,2.208,1982
Algeria,DZA,Assets,2.208,1983
Algeria,DZA,Assets,2.208,1984
Algeria,DZA,Assets,2.208,1985
Algeria,DZA,Assets,2.208,1986
Algeria,DZA,Assets,2.208,1987
Algeria,DZA,Assets,2.208,1988
Algeria,DZA,Assets,2.208,1989
Algeria,DZA,Assets,2.208,1990
Algeria,DZA,Assets,2.208,1991
Algeria,DZA,Assets,2.208,1992
Algeria,DZA,Assets,2.208,1993
Algeria,DZA,Assets,2.208,1994
Algeria,DZA,Assets,2.208,1995
Algeria,DZA,Assets,2.208,1996
Algeria,DZA,Assets,2.208,1997
Algeria,DZA,Assets,2.208,1998
Algeria,DZA,Assets,2.208,1999
Algeria,DZA,Assets,2.208,2000
Algeria,DZA,Assets,2.208,2001
Algeria,DZA,Assets,2.208,2002
Algeria,DZA,Assets,2.208,2003
Algeria,DZA,Assets,2.208,2004
Algeria,DZA,Assets,2.208,2005
Algeria,DZA,Assets,2.208,2006
Algeria,DZA,Assets,2.208,2007
Algeria,DZA,Assets,2.208,2008
Algeria,DZA,Assets,2.208,2009
Algeria,DZA,Assets,2.208,2010
Algeria,DZA,Assets,11.672,2011
Algeria,DZA,Assets,2.208,2012
Algeria,DZA,Assets,2.208,2013
Algeria,DZA,Assets,30.599,2014
Algeria,DZA,Assets,2.208,2015
Algeria,DZA,Assets,2.208,2016
Algeria,DZA,Assets,33.123,2017
Algeria,DZA,Assets,2.208,2018
Algeria,DZA,Assets,2.208,2019
Algeria,DZA,Assets,2.208,2020
Algeria,DZA,Assets,61.199,2021
Algeria,DZA,Assets,2.208,2022
Algeria,DZA,Assets,2.208,2023
Algeria,DZA,Children 0-14,19.231,1960
Algeria,DZA,Children 0-14,19.231,1961
Algeria,DZA,Children 0-14,19.231,1962
Algeria,DZA,Children 0-14,19.231,1963
Algeria,DZA,Children 0-14,19.231,1964
Algeria,DZA,Children 0-14,19.231,1965
Algeria,DZA,Children 0-14,19.231,1966
Algeria,DZA,Children 0-14,19.231,1967
Algeria,DZA,Children 0-14,19.231,1968
Algeria,DZA,Children 0-14,19.231,1969
Algeria,DZA,Children 0-14,19.231,1970
Algeria,DZA,Children 0-14,30.000,1971
Algeria,DZA,Children 0-14,30.000,1972
Algeria,DZA,Children 0-14,37.692,1973
Algeria,DZA,Children 0-14,37.692,1974
Algeria,DZA,Children 0-14,37.692,1975
Algeria,DZA,Children 0-14,37.692,1976
Algeria,DZA,Children 0-14,37.692,1977
Algeria,DZA,Children 0-14,37.692,1978
Algeria,DZA,Children 0-14,37.692,1979
Algeria,DZA,Children 0-14,37.692,1980
Algeria,DZA,Children 0-14,35.385,1981
Algeria,DZA,Children 0-14,37.692,1982
Algeria,DZA,Children 0-14,35.385,1983
Algeria,DZA,Children 0-14,37.692,1984
Algeria,DZA,Children 0-14,39.231,1985
Algeria,DZA,Children 0-14,36.923,1986
Algeria,DZA,Children 0-14,39.231,1987
Algeria,DZA,Children 0-14,36.923,1988
Algeria,DZA,Children 0-14,39.231,1989
Algeria,DZA,Children 0-14,39.231,1990
Algeria,DZA,Children 0-14,39.231,1991
Algeria,DZA,Children 0-14,50.769,1992
Algeria,DZA,Children 0-14,41.538,1993
Algeria,DZA,Children 0-14,41.538,1994
Algeria,DZA,Children 0-14,53.077,1995
Algeria,DZA,Children 0-14,41.538,1996
Algeria,DZA,Children 0-14,40.000,1997
Algeria,DZA,Children 0-14,26.154,1998
Algeria,DZA,Children 0-14,46.923,1999
Algeria,DZA,Children 0-14,72.308,2000
Algeria,DZA,Children 0-14,46.923,2001
Algeria,DZA,Children 0-14,56.154,2002
Algeria,DZA,Children 0-14,49.231,2003
Algeria,DZA,Children 0-14,49.231,2004
Algeria,DZA,Children 0-14,46.923,2005
Algeria,DZA,Children 0-14,63.846,2006
Algeria,DZA,Children 0-14,53.077,2007
Algeria,DZA,Children 0-14,47.692,2008
Algeria,DZA,Children 0-14,42.308,2009
Algeria,DZA,Children 0-14,60.769,2010
Algeria,DZA,Children 0-14,46.923,2011
Algeria,DZA,Children 0-14,45.385,2012
Algeria,DZA,Children 0-14,38.462,2013
Algeria,DZA,Children 0-14,37.692,2014
Algeria,DZA,Children 0-14,52.308,2015
Algeria,DZA,Children 0-14,38.462,2016
Algeria,DZA,Children 0-14,41.538,2017
Algeria,DZA,Children 0-14,43.846,2018
Algeria,DZA,Children 0-14,62.308,2019
Algeria,DZA,Children 0-14,33.846,2020
Algeria,DZA,Children 0-14,30.769,2021
Algeria,DZA,Children 0-14,29.231,2022
Algeria,DZA,Children 0-14,19.231,2023
Algeria,DZA,Education,0.000,1960
Algeria,DZA,Education,0.000,1961
Algeria,DZA,Education,0.000,1962
Algeria,DZA,Education,0.000,1963
Algeria,DZA,Education,0.000,1964
Algeria,DZA,Education,0.000,1965
Algeria,DZA,Education,0.000,1966
Algeria,DZA,Education,0.000,1967
Algeria,DZA,Education,0.000,1968
Algeria,DZA,Education,0.000,1969
Algeria,DZA,Education,0.000,1970
Algeria,DZA,Education,21.472,1971
Algeria,DZA,Education,17.178,1972
Algeria,DZA,Education,23.313,1973
Algeria,DZA,Education,23.313,1974
Algeria,DZA,Education,23.313,1975
Algeria,DZA,Education,23.313,1976
Algeria,DZA,Education,23.313,1977
Algeria,DZA,Education,23.313,1978
Algeria,DZA,Education,23.926,1979
Algeria,DZA,Education,22.086,1980
Algeria,DZA,Education,22.086,1981
Algeria,DZA,Education,22.086,1982
Algeria,DZA,Education,17.178,1983
Algeria,DZA,Education,26.994,1984
Algeria,DZA,Education,22.699,1985
Algeria,DZA,Education,20.859,1986
Algeria,DZA,Education,28.834,1987
Algeria,DZA,Education,23.926,1988
Algeria,DZA,Education,24.540,1989
Algeria,DZA,Education,25.767,1990
Algeria,DZA,Education,25.767,1991
Algeria,DZA,Education,25.767,1992
Algeria,DZA,Education,27.607,1993
Algeria,DZA,Education,27.607,1994
Algeria,DZA,Education,29.448,1995
Algeria,DZA,Education,29.448,1996
Algeria,DZA,Education,25.153,1997
Algeria,DZA,Education,6.135,1998
Algeria,DZA,Education,34.969,1999
Algeria,DZA,Education,33.742,2000
Algeria,DZA,Education,34.356,2001
Algeria,DZA,Education,40.491,2002
Algeria,DZA,Education,37.423,2003
Algeria,DZA,Education,39.264,2004
Algeria,DZA,Education,37.423,2005
Algeria,DZA,Education,51.534,2006
Algeria,DZA,Education,50.307,2007
Algeria,DZA,Education,42.331,2008
Algeria,DZA,Education,43.558,2009
Algeria,DZA,Education,53.988,2010
Algeria,DZA,Education,58.282,2011
Algeria,DZA,Education,20.245,2012
Algeria,DZA,Education,25.767,2013
Algeria,DZA,Education,31.288,2014
Algeria,DZA,Education,30.061,2015
Algeria,DZA,Education,26.380,2016
Algeria,DZA,Education,33.742,2017
Algeria,DZA,Education,46.626,2018
Algeria,DZA,Education,23.926,2019
Algeria,DZA,Education,23.926,2020
Algeria,DZA,Education,14.110,2021
Algeria,DZA,Education,17.178,2022
Algeria,DZA,Education,18.405,2023
Algeria,DZA,Employment and Time Use,0.000,1960
Algeria,DZA,Employment and Time Use,0.000,1961
Algeria,DZA,Employment and Time Use,0.000,1962
Algeria,DZA,Employment and Time Use,0.000,1963
Algeria,DZA,Employment and Time Use,0.000,1964
Algeria,DZA,Employment and Time Use,0.000,1965
Algeria,DZA,Employment and Time Use,5.109,1966
Algeria,DZA,Employment and Time Use,0.000,1967
Algeria,DZA,Employment and Time Use,0.000,1968
Algeria,DZA,Employment and Time Use,0.000,1969
Algeria,DZA,Employment and Time Use,21.168,1970
Algeria,DZA,Employment and Time Use,21.168,1971
Algeria,DZA,Employment and Time Use,21.168,1972
Algeria,DZA,Employment and Time Use,21.168,1973
Algeria,DZA,Employment and Time Use,21.168,1974
Algeria,DZA,Employment and Time Use,28.467,1975
Algeria,DZA,Employment and Time Use,21.168,1976
Algeria,DZA,Employment and Time Use,26.277,1977
Algeria,DZA,Employment and Time Use,21.168,1978
Algeria,DZA,Employment and Time Use,21.168,1979
Algeria,DZA,Employment and Time Use,22.628,1980
Algeria,DZA,Employment and Time Use,21.168,1981
Algeria,DZA,Employment and Time Use,21.168,1982
Algeria,DZA,Employment and Time Use,24.088,1983
Algeria,DZA,Employment and Time Use,26.277,1984
Algeria,DZA,Employment and Time Use,26.277,1985
Algeria,DZA,Employment and Time Use,21.168,1986
Algeria,DZA,Employment and Time Use,26.277,1987
Algeria,DZA,Employment and Time Use,21.168,1988
Algeria,DZA,Employment and Time Use,23.358,1989
Algeria,DZA,Employment and Time Use,33.577,1990
Algeria,DZA,Employment and Time Use,58.394,1991
Algeria,DZA,Employment and Time Use,56.934,1992
Algeria,DZA,Employment and Time Use,56.934,1993
Algeria,DZA,Employment and Time Use,56.934,1994
Algeria,DZA,Employment and Time Use,56.934,1995
Algeria,DZA,Employment and Time Use,61.314,1996
Algeria,DZA,Employment and Time Use,61.314,1997
Algeria,DZA,Employment and Time Use,56.204,1998
Algeria,DZA,Employment and Time Use,56.204,1999
Algeria,DZA,Employment and Time Use,61.314,2000
Algeria,DZA,Employment and Time Use,59.124,2001
Algeria,DZA,Employment and Time Use,56.934,2002
Algeria,DZA,Employment and Time Use,58.394,2003
Algeria,DZA,Employment and Time Use,64.964,2004
Algeria,DZA,Employment and Time Use,57.664,2005
Algeria,DZA,Employment and Time Use,57.664,2006
Algeria,DZA,Employment and Time Use,57.664,2007
Algeria,DZA,Employment and Time Use,58.394,2008
Algeria,DZA,Employment and Time Use,72.993,2009
Algeria,DZA,Employment and Time Use,72.993,2010
Algeria,DZA,Employment and Time Use,62.774,2011
Algeria,DZA,Employment and Time Use,67.883,2012
Algeria,DZA,Employment and Time Use,68.613,2013
Algeria,DZA,Employment and Time Use,76.642,2014
Algeria,DZA,Employment and Time Use,72.993,2015
Algeria,DZA,Employment and Time Use,70.803,2016
Algeria,DZA,Employment and Time Use,79.562,2017
Algeria,DZA,Employment and Time Use,56.204,2018
Algeria,DZA,Employment and Time Use,56.204,2019
Algeria,DZA,Employment and Time Use,56.204,2020
Algeria,DZA,Employment and Time Use,56.204,2021
Algeria,DZA,Employment and Time Use,56.204,2022
Algeria,DZA,Employment and Time Use,60.584,2023
Algeria,DZA,Entrepreneurship,0.000,1960
Algeria,DZA,Entrepreneurship,0.000,1961
Algeria,DZA,Entrepreneurship,0.000,1962
Algeria,DZA,Entrepreneurship,0.000,1963
Algeria,DZA,Entrepreneurship,0.000,1964
Algeria,DZA,Entrepreneurship,0.000,1965
Algeria,DZA,Entrepreneurship,0.000,1966
Algeria,DZA,Entrepreneurship,0.000,1967
Algeria,DZA,Entrepreneurship,0.000,1968
Algeria,DZA,Entrepreneurship,0.000,1969
Algeria,DZA,Entrepreneurship,9.375,1970
Algeria,DZA,Entrepreneurship,9.375,1971
Algeria,DZA,Entrepreneurship,9.375,1972
Algeria,DZA,Entrepreneurship,9.375,1973
Algeria,DZA,Entrepreneurship,9.375,1974
Algeria,DZA,Entrepreneurship,9.375,1975
Algeria,DZA,Entrepreneurship,9.375,1976
Algeria,DZA,Entrepreneurship,9.375,1977
Algeria,DZA,Entrepreneurship,9.375,1978
Algeria,DZA,Entrepreneurship,9.375,1979
Algeria,DZA,Entrepreneurship,9.375,1980
Algeria,DZA,Entrepreneurship,9.375,1981
Algeria,DZA,Entrepreneurship,9.375,1982
Algeria,DZA,Entrepreneurship,9.375,1983
Algeria,DZA,Entrepreneurship,9.375,1984
Algeria,DZA,Entrepreneurship,9.375,1985
Algeria,DZA,Entrepreneurship,9.375,1986
Algeria,DZA,Entrepreneurship,9.375,1987
Algeria,DZA,Entrepreneurship,9.375,1988
Algeria,DZA,Entrepreneurship,9.375,1989
Algeria,DZA,Entrepreneurship,9.375,1990
Algeria,DZA,Entrepreneurship,9.375,1991
Algeria,DZA,Entrepreneurship,9.375,1992
Algeria,DZA,Entrepreneurship,9.375,1993
Algeria,DZA,Entrepreneurship,9.375,1994
Algeria,DZA,Entrepreneurship,9.375,1995
Algeria,DZA,Entrepreneurship,9.375,1996
Algeria,DZA,Entrepreneurship,9.375,1997
Algeria,DZA,Entrepreneurship,9.375,1998
Algeria,DZA,Entrepreneurship,9.375,1999
Algeria,DZA,Entrepreneurship,9.375,2000
Algeria,DZA,Entrepreneurship,9.375,2001
Algeria,DZA,Entrepreneurship,9.375,2002
Algeria,DZA,Entrepreneurship,37.500,2003
Algeria,DZA,Entrepreneurship,37.500,2004
Algeria,DZA,Entrepreneurship,37.500,2005
Algeria,DZA,Entrepreneurship,37.500,2006
Algeria,DZA,Entrepreneurship,40.625,2007
Algeria,DZA,Entrepreneurship,37.500,2008
Algeria,DZA,Entrepreneurship,37.500,2009
Algeria,DZA,Entrepreneurship,37.500,2010
Algeria,DZA,Entrepreneurship,37.500,2011
Algeria,DZA,Entrepreneurship,37.500,2012
Algeria,DZA,Entrepreneurship,37.500,2013
Algeria,DZA,Entrepreneurship,93.750,2014
Algeria,DZA,Entrepreneurship,75.000,2015
Algeria,DZA,Entrepreneurship,75.000,2016
Algeria,DZA,Entrepreneurship,93.750,2017
Algeria,DZA,Entrepreneurship,75.000,2018
Algeria,DZA,Entrepreneurship,62.500,2019
Algeria,DZA,Entrepreneurship,34.375,2020
Algeria,DZA,Entrepreneurship,34.375,2021
Algeria,DZA,Entrepreneurship,34.375,2022
Algeria,DZA,Entrepreneurship,9.375,2023
Algeria,DZA,Environment,0.000,1960
Algeria,DZA,Environment,0.000,1961
Algeria,DZA,Environment,0.000,1962
Algeria,DZA,Environment,0.000,1963
Algeria,DZA,Environment,0.000,1964
Algeria,DZA,Environment,0.000,1965
Algeria,DZA,Environment,0.000,1966
Algeria,DZA,Environment,0.000,1967
Algeria,DZA,Environment,0.000,1968
Algeria,DZA,Environment,0.000,1969
Algeria,DZA,Environment,0.000,1970
Algeria,DZA,Environment,0.000,1971
Algeria,DZA,Environment,0.000,1972
Algeria,DZA,Environment,0.000,1973
Algeria,DZA,Environment,0.000,1974
Algeria,DZA,Environment,0.000,1975
Algeria,DZA,Environment,0.000,1976
Algeria,DZA,Environment,0.000,1977
Algeria,DZA,Environment,0.000,1978
Algeria,DZA,Environment,0.000,1979
Algeria,DZA,Environment,0.000,1980
Algeria,DZA,Environment,0.000,1981
Algeria,DZA,Environment,0.000,1982
Algeria,DZA,Environment,0.000,1983
Algeria,DZA,Environment,0.000,1984
Algeria,DZA,Environment,0.000,1985
Algeria,DZA,Environment,0.000,1986
Algeria,DZA,Environment,0.000,1987
Algeria,DZA,Environment,0.000,1988
Algeria,DZA,Environment,0.000,1989
Algeria,DZA,Environment,0.000,1990
Algeria,DZA,Environment,0.000,1991
Algeria,DZA,Environment,0.000,1992
Algeria,DZA,Environment,0.000,1993
Algeria,DZA,Environment,0.000,1994
