Country Name,Country Code,Topic,% of available indicators,Year
Ecuador,ECU,Assets,0.000,1960
Ecuador,ECU,Assets,0.000,1961
Ecuador,ECU,Assets,0.000,1962
Ecuador,ECU,Assets,0.000,1963
Ecuador,ECU,Assets,0.000,1964
Ecuador,ECU,Assets,0.000,1965
Ecuador,ECU,Assets,0.000,1966
Ecuador,ECU,Assets,0.000,1967
Ecuador,ECU,Assets,0.000,1968
Ecuador,ECU,Assets,0.000,1969
Ecuador,ECU,Assets,2.208,1970
Ecuador,ECU,Assets,2.208,1971
Ecuador,ECU,Assets,2.208,1972
Ecuador,ECU,Assets,2.208,1973
Ecuador,ECU,Assets,2.208,1974
Ecuador,ECU,Assets,2.208,1975
Ecuador,ECU,Assets,2.208,1976
Ecuador,ECU,Assets,2.208,1977
Ecuador,ECU,Assets,2.208,1978
Ecuador,ECU,Assets,2.208,1979
Ecuador,ECU,Assets,2.208,1980
Ecuador,ECU,Assets,2.208,1981
Ecuador,ECU,Assets,2.208,1982
Ecuador,ECU,Assets,2.208,1983
Ecuador,ECU,Assets,2.208,1984
Ecuador,ECU,Assets,2.208,1985
Ecuador,ECU,Assets,2.208,1986
Ecuador,ECU,Assets,2.208,1987
Ecuador,ECU,Assets,2.208,1988
Ecuador,ECU,Assets,2.208,1989
Ecuador,ECU,Assets,2.208,1990
Ecuador,ECU,Assets,2.208,1991
Ecuador,ECU,Assets,2.208,1992
Ecuador,ECU,Assets,2.208,1993
Ecuador,ECU,Assets,2.208,1994
Ecuador,ECU,Assets,2.208,1995
Ecuador,ECU,Assets,2.208,1996
Ecuador,ECU,Assets,2.208,1997
Ecuador,ECU,Assets,2.208,1998
Ecuador,ECU,Assets,2.208,1999
Ecuador,ECU,Assets,2.208,2000
Ecuador,ECU,Assets,2.208,2001
Ecuador,ECU,Assets,2.208,2002
Ecuador,ECU,Assets,2.208,2003
Ecuador,ECU,Assets,2.208,2004
Ecuador,ECU,Assets,2.208,2005
Ecuador,ECU,Assets,2.208,2006
Ecuador,ECU,Assets,2.208,2007
Ecuador,ECU,Assets,2.208,2008
Ecuador,ECU,Assets,2.208,2009
Ecuador,ECU,Assets,2.208,2010
Ecuador,ECU,Assets,11.672,2011
Ecuador,ECU,Assets,2.208,2012
Ecuador,ECU,Assets,2.208,2013
Ecuador,ECU,Assets,30.599,2014
