Country Name,Country Code,Topic,% of available indicators,Year
"Egypt, Arab Rep.",EGY,Assets,0.000,1960
"Egypt, Arab Rep.",EGY,Assets,0.000,1961
"Egypt, Arab Rep.",EGY,Assets,0.000,1962
"Egypt, Arab Rep.",EGY,Assets,0.000,1963
"Egypt, Arab Rep.",EGY,Assets,0.000,1964
"Egypt, Arab Rep.",EGY,Assets,0.000,1965
"Egypt, Arab Rep.",EGY,Assets,0.000,1966
"Egypt, Arab Rep.",EGY,Assets,0.000,1967
"Egypt, Arab Rep.",EGY,Assets,0.000,1968
"Egypt, Arab Rep.",EGY,Assets,0.000,1969
"Egypt, Arab Rep.",EGY,Assets,2.208,1970
"Egypt, Arab Rep.",EGY,Assets,2.208,1971
"Egypt, Arab Rep.",EGY,Assets,2.208,1972
"Egypt, Arab Rep.",EGY,Assets,2.208,1973
"Egypt, Arab Rep.",EGY,Assets,2.208,1974
"Egypt, Arab Rep.",EGY,Assets,2.208,1975
"Egypt, Arab Rep.",EGY,Assets,2.208,1976
"Egypt, Arab Rep.",EGY,Assets,2.208,1977
"Egypt, Arab Rep.",EGY,Assets,2.208,1978
"Egypt, Arab Rep.",EGY,Assets,2.208,1979
"Egypt, Arab Rep.",EGY,Assets,2.208,1980
"Egypt, Arab Rep.",EGY,Assets,2.208,1981
"Egypt, Arab Rep.",EGY,Assets,2.208,1982
"Egypt, Arab Rep.",EGY,Assets,2.208,1983
"Egypt, Arab Rep.",EGY,Assets,2.208,1984
"Egypt, Arab Rep.",EGY,Assets,2.208,1985
"Egypt, Arab Rep.",EGY,Assets,2.208,1986
"Egypt, Arab Rep.",EGY,Assets,2.208,1987
"Egypt, Arab Rep.",EGY,Assets,2.208,1988
"Egypt, Arab Rep.",EGY,Assets,2.208,1989
"Egypt, Arab Rep.",EGY,Assets,2.208,1990
"Egypt, Arab Rep.",EGY,Assets,2.208,1991
"Egypt, Arab Rep.",EGY,Assets,2.208,1992
"Egypt, Arab Rep.",EGY,Assets,2.208,1993
"Egypt, Arab Rep.",EGY,Assets,2.208,1994
"Egypt, Arab Rep.",EGY,Assets,2.208,1995
"Egypt, Arab Rep.",EGY,Assets,2.208,1996
"Egypt, Arab Rep.",EGY,Assets,2.208,1997
"Egypt, Arab Rep.",EGY,Assets,2.208,1998
"Egypt, Arab Rep.",EGY,Assets,2.208,1999
"Egypt, Arab Rep.",EGY,Assets,2.208,2000
"Egypt, Arab Rep.",EGY,Assets,2.208,2001
"Egypt, Arab Rep.",EGY,Assets,2.208,2002
"Egypt, Arab Rep.",EGY,Assets,2.208,2003
"Egypt, Arab Rep.",EGY,Assets,2.208,2004
"Egypt, Arab Rep.",EGY,Assets,2.208,2005
"Egypt, Arab Rep.",EGY,Assets,2.208,2006
"Egypt, Arab Rep.",EGY,Assets,2.208,2007
"Egypt, Arab Rep.",EGY,Assets,2.208,2008
"Egypt, Arab Rep.",EGY,Assets,2.208,2009
"Egypt, Arab Rep.",EGY,Assets,2.208,2010
"Egypt, Arab Rep.",EGY,Assets,11.672,2011
"Egypt, Arab Rep.",EGY,Assets,2.208,2012
"Egypt, Arab Rep.",EGY,Assets,2.208,2013
"Egypt, Arab Rep.",EGY,Assets,46.688,2014
"Egypt, Arab Rep.",EGY,Assets,2.208,2015
"Egypt, Arab Rep.",EGY,Assets,2.208,2016
"Egypt, Arab Rep.",EGY,Assets,34.069,2017
"Egypt, Arab Rep.",EGY,Assets,2.208,2018
"Egypt, Arab Rep.",EGY,Assets,2.208,2019
"Egypt, Arab Rep.",EGY,Assets,2.208,2020
"Egypt, Arab Rep.",EGY,Assets,63.091,2021
"Egypt, Arab Rep.",EGY,Assets,2.208,2022
"Egypt, Arab Rep.",EGY,Assets,2.208,2023
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1960
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1961
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1962
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1963
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1964
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1965
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1966
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1967
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1968
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1969
"Egypt, Arab Rep.",EGY,Children 0-14,19.231,1970
"Egypt, Arab Rep.",EGY,Children 0-14,35.385,1971
"Egypt, Arab Rep.",EGY,Children 0-14,35.385,1972
"Egypt, Arab Rep.",EGY,Children 0-14,35.385,1973
"Egypt, Arab Rep.",EGY,Children 0-14,27.692,1974
"Egypt, Arab Rep.",EGY,Children 0-14,30.000,1975
"Egypt, Arab Rep.",EGY,Children 0-14,30.000,1976
"Egypt, Arab Rep.",EGY,Children 0-14,30.000,1977
"Egypt, Arab Rep.",EGY,Children 0-14,35.385,1978
"Egypt, Arab Rep.",EGY,Children 0-14,30.000,1979
"Egypt, Arab Rep.",EGY,Children 0-14,31.538,1980
"Egypt, Arab Rep.",EGY,Children 0-14,29.231,1981
"Egypt, Arab Rep.",EGY,Children 0-14,26.923,1982
"Egypt, Arab Rep.",EGY,Children 0-14,27.692,1983
"Egypt, Arab Rep.",EGY,Children 0-14,24.615,1984
"Egypt, Arab Rep.",EGY,Children 0-14,24.615,1985
"Egypt, Arab Rep.",EGY,Children 0-14,32.308,1986
"Egypt, Arab Rep.",EGY,Children 0-14,28.462,1987
"Egypt, Arab Rep.",EGY,Children 0-14,33.846,1988
"Egypt, Arab Rep.",EGY,Children 0-14,26.923,1989
"Egypt, Arab Rep.",EGY,Children 0-14,26.923,1990
"Egypt, Arab Rep.",EGY,Children 0-14,38.462,1991
"Egypt, Arab Rep.",EGY,Children 0-14,38.462,1992
"Egypt, Arab Rep.",EGY,Children 0-14,26.923,1993
"Egypt, Arab Rep.",EGY,Children 0-14,36.923,1994
"Egypt, Arab Rep.",EGY,Children 0-14,38.462,1995
"Egypt, Arab Rep.",EGY,Children 0-14,29.231,1996
"Egypt, Arab Rep.",EGY,Children 0-14,40.000,1997
"Egypt, Arab Rep.",EGY,Children 0-14,25.385,1998
"Egypt, Arab Rep.",EGY,Children 0-14,39.231,1999
"Egypt, Arab Rep.",EGY,Children 0-14,55.385,2000
"Egypt, Arab Rep.",EGY,Children 0-14,42.308,2001
"Egypt, Arab Rep.",EGY,Children 0-14,43.077,2002
"Egypt, Arab Rep.",EGY,Children 0-14,53.077,2003
"Egypt, Arab Rep.",EGY,Children 0-14,40.769,2004
"Egypt, Arab Rep.",EGY,Children 0-14,49.231,2005
"Egypt, Arab Rep.",EGY,Children 0-14,37.692,2006
"Egypt, Arab Rep.",EGY,Children 0-14,33.077,2007
"Egypt, Arab Rep.",EGY,Children 0-14,34.615,2008
"Egypt, Arab Rep.",EGY,Children 0-14,44.615,2009
"Egypt, Arab Rep.",EGY,Children 0-14,58.462,2010
"Egypt, Arab Rep.",EGY,Children 0-14,37.692,2011
"Egypt, Arab Rep.",EGY,Children 0-14,43.077,2012
"Egypt, Arab Rep.",EGY,Children 0-14,42.308,2013
"Egypt, Arab Rep.",EGY,Children 0-14,59.231,2014
"Egypt, Arab Rep.",EGY,Children 0-14,39.231,2015
"Egypt, Arab Rep.",EGY,Children 0-14,55.385,2016
"Egypt, Arab Rep.",EGY,Children 0-14,51.538,2017
"Egypt, Arab Rep.",EGY,Children 0-14,55.385,2018
"Egypt, Arab Rep.",EGY,Children 0-14,54.615,2019
"Egypt, Arab Rep.",EGY,Children 0-14,41.538,2020
"Egypt, Arab Rep.",EGY,Children 0-14,36.154,2021
"Egypt, Arab Rep.",EGY,Children 0-14,25.385,2022
"Egypt, Arab Rep.",EGY,Children 0-14,11.538,2023
"Egypt, Arab Rep.",EGY,Education,0.000,1960
"Egypt, Arab Rep.",EGY,Education,0.000,1961
"Egypt, Arab Rep.",EGY,Education,0.000,1962
"Egypt, Arab Rep.",EGY,Education,0.000,1963
"Egypt, Arab Rep.",EGY,Education,0.000,1964
"Egypt, Arab Rep.",EGY,Education,0.000,1965
"Egypt, Arab Rep.",EGY,Education,0.000,1966
"Egypt, Arab Rep.",EGY,Education,0.000,1967
"Egypt, Arab Rep.",EGY,Education,0.000,1968
"Egypt, Arab Rep.",EGY,Education,0.000,1969
"Egypt, Arab Rep.",EGY,Education,0.000,1970
"Egypt, Arab Rep.",EGY,Education,27.607,1971
"Egypt, Arab Rep.",EGY,Education,26.994,1972
"Egypt, Arab Rep.",EGY,Education,25.767,1973
"Egypt, Arab Rep.",EGY,Education,20.859,1974
"Egypt, Arab Rep.",EGY,Education,21.472,1975
"Egypt, Arab Rep.",EGY,Education,30.061,1976
"Egypt, Arab Rep.",EGY,Education,23.313,1977
"Egypt, Arab Rep.",EGY,Education,25.767,1978
"Egypt, Arab Rep.",EGY,Education,20.859,1979
"Egypt, Arab Rep.",EGY,Education,20.245,1980
"Egypt, Arab Rep.",EGY,Education,18.405,1981
"Egypt, Arab Rep.",EGY,Education,17.791,1982
"Egypt, Arab Rep.",EGY,Education,18.405,1983
"Egypt, Arab Rep.",EGY,Education,15.337,1984
"Egypt, Arab Rep.",EGY,Education,14.110,1985
"Egypt, Arab Rep.",EGY,Education,30.061,1986
"Egypt, Arab Rep.",EGY,Education,18.405,1987
"Egypt, Arab Rep.",EGY,Education,17.791,1988
"Egypt, Arab Rep.",EGY,Education,17.178,1989
"Egypt, Arab Rep.",EGY,Education,17.178,1990
"Egypt, Arab Rep.",EGY,Education,16.564,1991
"Egypt, Arab Rep.",EGY,Education,13.497,1992
"Egypt, Arab Rep.",EGY,Education,13.497,1993
"Egypt, Arab Rep.",EGY,Education,23.313,1994
"Egypt, Arab Rep.",EGY,Education,10.429,1995
"Egypt, Arab Rep.",EGY,Education,20.859,1996
"Egypt, Arab Rep.",EGY,Education,19.632,1997
"Egypt, Arab Rep.",EGY,Education,1.840,1998
"Egypt, Arab Rep.",EGY,Education,22.699,1999
"Egypt, Arab Rep.",EGY,Education,22.086,2000
"Egypt, Arab Rep.",EGY,Education,36.810,2001
"Egypt, Arab Rep.",EGY,Education,32.515,2002
"Egypt, Arab Rep.",EGY,Education,38.037,2003
"Egypt, Arab Rep.",EGY,Education,35.583,2004
"Egypt, Arab Rep.",EGY,Education,25.767,2005
"Egypt, Arab Rep.",EGY,Education,33.742,2006
"Egypt, Arab Rep.",EGY,Education,18.405,2007
"Egypt, Arab Rep.",EGY,Education,11.043,2008
"Egypt, Arab Rep.",EGY,Education,38.650,2009
"Egypt, Arab Rep.",EGY,Education,58.282,2010
"Egypt, Arab Rep.",EGY,Education,39.264,2011
"Egypt, Arab Rep.",EGY,Education,51.534,2012
"Egypt, Arab Rep.",EGY,Education,56.442,2013
"Egypt, Arab Rep.",EGY,Education,52.147,2014
"Egypt, Arab Rep.",EGY,Education,15.951,2015
"Egypt, Arab Rep.",EGY,Education,65.644,2016
"Egypt, Arab Rep.",EGY,Education,72.393,2017
"Egypt, Arab Rep.",EGY,Education,62.577,2018
"Egypt, Arab Rep.",EGY,Education,28.221,2019
"Egypt, Arab Rep.",EGY,Education,45.399,2020
"Egypt, Arab Rep.",EGY,Education,28.834,2021
"Egypt, Arab Rep.",EGY,Education,21.472,2022
"Egypt, Arab Rep.",EGY,Education,9.816,2023
"Egypt, Arab Rep.",EGY,Employment and Time Use,5.109,1960
"Egypt, Arab Rep.",EGY,Employment and Time Use,0.000,1961
"Egypt, Arab Rep.",EGY,Employment and Time Use,0.000,1962
"Egypt, Arab Rep.",EGY,Employment and Time Use,0.000,1963
"Egypt, Arab Rep.",EGY,Employment and Time Use,0.000,1964
"Egypt, Arab Rep.",EGY,Employment and Time Use,0.000,1965
"Egypt, Arab Rep.",EGY,Employment and Time Use,2.920,1966
"Egypt, Arab Rep.",EGY,Employment and Time Use,0.000,1967
"Egypt, Arab Rep.",EGY,Employment and Time Use,0.000,1968
"Egypt, Arab Rep.",EGY,Employment and Time Use,0.000,1969
"Egypt, Arab Rep.",EGY,Employment and Time Use,21.898,1970
"Egypt, Arab Rep.",EGY,Employment and Time Use,21.898,1971
"Egypt, Arab Rep.",EGY,Employment and Time Use,21.898,1972
"Egypt, Arab Rep.",EGY,Employment and Time Use,29.197,1973
"Egypt, Arab Rep.",EGY,Employment and Time Use,21.898,1974
"Egypt, Arab Rep.",EGY,Employment and Time Use,29.197,1975
"Egypt, Arab Rep.",EGY,Employment and Time Use,26.277,1976
"Egypt, Arab Rep.",EGY,Employment and Time Use,30.657,1977
"Egypt, Arab Rep.",EGY,Employment and Time Use,30.657,1978
"Egypt, Arab Rep.",EGY,Employment and Time Use,30.657,1979
"Egypt, Arab Rep.",EGY,Employment and Time Use,30.657,1980
"Egypt, Arab Rep.",EGY,Employment and Time Use,28.467,1981
"Egypt, Arab Rep.",EGY,Employment and Time Use,28.467,1982
"Egypt, Arab Rep.",EGY,Employment and Time Use,30.657,1983
"Egypt, Arab Rep.",EGY,Employment and Time Use,30.657,1984
"Egypt, Arab Rep.",EGY,Employment and Time Use,21.168,1985
"Egypt, Arab Rep.",EGY,Employment and Time Use,26.277,1986
"Egypt, Arab Rep.",EGY,Employment and Time Use,21.168,1987
"Egypt, Arab Rep.",EGY,Employment and Time Use,21.168,1988
"Egypt, Arab Rep.",EGY,Employment and Time Use,30.657,1989
"Egypt, Arab Rep.",EGY,Employment and Time Use,40.876,1990
"Egypt, Arab Rep.",EGY,Employment and Time Use,65.693,1991
"Egypt, Arab Rep.",EGY,Employment and Time Use,65.693,1992
"Egypt, Arab Rep.",EGY,Employment and Time Use,65.693,1993
"Egypt, Arab Rep.",EGY,Employment and Time Use,65.693,1994
"Egypt, Arab Rep.",EGY,Employment and Time Use,65.693,1995
"Egypt, Arab Rep.",EGY,Employment and Time Use,63.504,1996
"Egypt, Arab Rep.",EGY,Employment and Time Use,58.394,1997
"Egypt, Arab Rep.",EGY,Employment and Time Use,68.613,1998
"Egypt, Arab Rep.",EGY,Employment and Time Use,68.613,1999
"Egypt, Arab Rep.",EGY,Employment and Time Use,63.504,2000
"Egypt, Arab Rep.",EGY,Employment and Time Use,68.613,2001
"Egypt, Arab Rep.",EGY,Employment and Time Use,68.613,2002
"Egypt, Arab Rep.",EGY,Employment and Time Use,58.394,2003
"Egypt, Arab Rep.",EGY,Employment and Time Use,58.394,2004
"Egypt, Arab Rep.",EGY,Employment and Time Use,65.693,2005
"Egypt, Arab Rep.",EGY,Employment and Time Use,66.423,2006
"Egypt, Arab Rep.",EGY,Employment and Time Use,66.423,2007
"Egypt, Arab Rep.",EGY,Employment and Time Use,89.781,2008
"Egypt, Arab Rep.",EGY,Employment and Time Use,92.701,2009
"Egypt, Arab Rep.",EGY,Employment and Time Use,90.511,2010
"Egypt, Arab Rep.",EGY,Employment and Time Use,91.971,2011
"Egypt, Arab Rep.",EGY,Employment and Time Use,91.971,2012
"Egypt, Arab Rep.",EGY,Employment and Time Use,91.971,2013
"Egypt, Arab Rep.",EGY,Employment and Time Use,86.131,2014
"Egypt, Arab Rep.",EGY,Employment and Time Use,91.971,2015
"Egypt, Arab Rep.",EGY,Employment and Time Use,91.971,2016
"Egypt, Arab Rep.",EGY,Employment and Time Use,91.971,2017
"Egypt, Arab Rep.",EGY,Employment and Time Use,91.971,2018
"Egypt, Arab Rep.",EGY,Employment and Time Use,86.131,2019
"Egypt, Arab Rep.",EGY,Employment and Time Use,89.051,2020
"Egypt, Arab Rep.",EGY,Employment and Time Use,89.051,2021
"Egypt, Arab Rep.",EGY,Employment and Time Use,89.051,2022
"Egypt, Arab Rep.",EGY,Employment and Time Use,91.971,2023
"Egypt, Arab Rep.",EGY,Entrepreneurship,0.000,1960
"Egypt, Arab Rep.",EGY,Entrepreneurship,0.000,1961
"Egypt, Arab Rep.",EGY,Entrepreneurship,0.000,1962
"Egypt, Arab Rep.",EGY,Entrepreneurship,0.000,1963
"Egypt, Arab Rep.",EGY,Entrepreneurship,0.000,1964
"Egypt, Arab Rep.",EGY,Entrepreneurship,0.000,1965
"Egypt, Arab Rep.",EGY,Entrepreneurship,0.000,1966
"Egypt, Arab Rep.",EGY,Entrepreneurship,0.000,1967
"Egypt, Arab Rep.",EGY,Entrepreneurship,0.000,1968
"Egypt, Arab Rep.",EGY,Entrepreneurship,0.000,1969
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1970
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1971
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1972
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1973
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1974
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1975
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1976
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1977
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1978
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1979
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1980
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1981
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1982
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1983
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1984
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1985
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1986
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1987
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1988
"Egypt, Arab Rep.",EGY,Entrepreneurship,9.375,1989
