Country Name,Country Code,Topic,% of available indicators,Year
Eritrea,ERI,Assets,0.000,1960
Eritrea,ERI,Assets,0.000,1961
Eritrea,ERI,Assets,0.000,1962
Eritrea,ERI,Assets,0.000,1963
Eritrea,ERI,Assets,0.000,1964
Eritrea,ERI,Assets,0.000,1965
Eritrea,ERI,Assets,0.000,1966
Eritrea,ERI,Assets,0.000,1967
Eritrea,ERI,Assets,0.000,1968
Eritrea,ERI,Assets,0.000,1969
Eritrea,ERI,Assets,2.208,1970
Eritrea,ERI,Assets,2.208,1971
Eritrea,ERI,Assets,2.208,1972
Eritrea,ERI,Assets,2.208,1973
Eritrea,ERI,Assets,2.208,1974
Eritrea,ERI,Assets,2.208,1975
Eritrea,ERI,Assets,2.208,1976
Eritrea,ERI,Assets,2.208,1977
Eritrea,ERI,Assets,2.208,1978
Eritrea,ERI,Assets,2.208,1979
Eritrea,ERI,Assets,2.208,1980
Eritrea,ERI,Assets,2.208,1981
Eritrea,ERI,Assets,2.208,1982
Eritrea,ERI,Assets,2.208,1983
Eritrea,ERI,Assets,2.208,1984
Eritrea,ERI,Assets,2.208,1985
Eritrea,ERI,Assets,2.208,1986
Eritrea,ERI,Assets,2.208,1987
Eritrea,ERI,Assets,2.208,1988
Eritrea,ERI,Assets,2.208,1989
Eritrea,ERI,Assets,2.208,1990
Eritrea,ERI,Assets,2.208,1991
Eritrea,ERI,Assets,2.208,1992
Eritrea,ERI,Assets,2.208,1993
Eritrea,ERI,Assets,2.208,1994
Eritrea,ERI,Assets,2.208,1995
Eritrea,ERI,Assets,2.208,1996
Eritrea,ERI,Assets,2.208,1997
Eritrea,ERI,Assets,2.208,1998
Eritrea,ERI,Assets,2.208,1999
Eritrea,ERI,Assets,2.208,2000
Eritrea,ERI,Assets,2.208,2001
Eritrea,ERI,Assets,2.208,2002
Eritrea,ERI,Assets,2.208,2003
Eritrea,ERI,Assets,2.208,2004
Eritrea,ERI,Assets,2.208,2005
Eritrea,ERI,Assets,2.208,2006
Eritrea,ERI,Assets,2.208,2007
Eritrea,ERI,Assets,2.208,2008
Eritrea,ERI,Assets,2.208,2009
Eritrea,ERI,Assets,2.208,2010
Eritrea,ERI,Assets,2.208,2011
Eritrea,ERI,Assets,2.208,2012
Eritrea,ERI,Assets,2.208,2013
Eritrea,ERI,Assets,2.208,2014
Eritrea,ERI,Assets,2.208,2015
Eritrea,ERI,Assets,2.208,2016
Eritrea,ERI,Assets,2.208,2017
Eritrea,ERI,Assets,2.208,2018
Eritrea,ERI,Assets,2.208,2019
Eritrea,ERI,Assets,2.208,2020
Eritrea,ERI,Assets,2.208,2021
Eritrea,ERI,Assets,2.208,2022
Eritrea,ERI,Assets,2.208,2023
Eritrea,ERI,Children 0-14,10.769,1960
Eritrea,ERI,Children 0-14,10.769,1961
Eritrea,ERI,Children 0-14,10.769,1962
Eritrea,ERI,Children 0-14,10.769,1963
Eritrea,ERI,Children 0-14,10.769,1964
Eritrea,ERI,Children 0-14,10.769,1965
Eritrea,ERI,Children 0-14,10.769,1966
Eritrea,ERI,Children 0-14,10.769,1967
Eritrea,ERI,Children 0-14,10.769,1968
Eritrea,ERI,Children 0-14,10.769,1969
Eritrea,ERI,Children 0-14,10.769,1970
Eritrea,ERI,Children 0-14,10.769,1971
Eritrea,ERI,Children 0-14,10.769,1972
Eritrea,ERI,Children 0-14,10.769,1973
Eritrea,ERI,Children 0-14,15.385,1974
Eritrea,ERI,Children 0-14,17.692,1975
Eritrea,ERI,Children 0-14,17.692,1976
Eritrea,ERI,Children 0-14,17.692,1977
Eritrea,ERI,Children 0-14,17.692,1978
Eritrea,ERI,Children 0-14,19.231,1979
Eritrea,ERI,Children 0-14,19.231,1980
Eritrea,ERI,Children 0-14,19.231,1981
Eritrea,ERI,Children 0-14,19.231,1982
Eritrea,ERI,Children 0-14,19.231,1983
Eritrea,ERI,Children 0-14,19.231,1984
Eritrea,ERI,Children 0-14,19.231,1985
Eritrea,ERI,Children 0-14,19.231,1986
Eritrea,ERI,Children 0-14,19.231,1987
Eritrea,ERI,Children 0-14,19.231,1988
Eritrea,ERI,Children 0-14,23.077,1989
Eritrea,ERI,Children 0-14,23.077,1990
Eritrea,ERI,Children 0-14,23.077,1991
Eritrea,ERI,Children 0-14,33.077,1992
Eritrea,ERI,Children 0-14,30.769,1993
Eritrea,ERI,Children 0-14,41.538,1994
Eritrea,ERI,Children 0-14,51.538,1995
Eritrea,ERI,Children 0-14,41.538,1996
Eritrea,ERI,Children 0-14,40.000,1997
Eritrea,ERI,Children 0-14,20.769,1998
Eritrea,ERI,Children 0-14,43.846,1999
Eritrea,ERI,Children 0-14,57.692,2000
Eritrea,ERI,Children 0-14,42.308,2001
Eritrea,ERI,Children 0-14,56.923,2002
Eritrea,ERI,Children 0-14,43.846,2003
Eritrea,ERI,Children 0-14,43.846,2004
Eritrea,ERI,Children 0-14,41.538,2005
Eritrea,ERI,Children 0-14,46.154,2006
Eritrea,ERI,Children 0-14,43.846,2007
Eritrea,ERI,Children 0-14,43.846,2008
Eritrea,ERI,Children 0-14,46.154,2009
