Country Name,Country Code,Topic,% of available indicators,Year
Spain,ESP,Assets,0.000,1960
Spain,ESP,Assets,0.000,1961
Spain,ESP,Assets,0.000,1962
Spain,ESP,Assets,0.000,1963
Spain,ESP,Assets,0.000,1964
Spain,ESP,Assets,0.000,1965
Spain,ESP,Assets,0.000,1966
Spain,ESP,Assets,0.000,1967
Spain,ESP,Assets,0.000,1968
Spain,ESP,Assets,0.000,1969
Spain,ESP,Assets,2.208,1970
Spain,ESP,Assets,2.208,1971
Spain,ESP,Assets,2.208,1972
Spain,ESP,Assets,2.208,1973
Spain,ESP,Assets,2.208,1974
Spain,ESP,Assets,2.208,1975
Spain,ESP,Assets,2.208,1976
Spain,ESP,Assets,2.208,1977
Spain,ESP,Assets,2.208,1978
Spain,ESP,Assets,2.208,1979
Spain,ESP,Assets,2.208,1980
Spain,ESP,Assets,2.208,1981
Spain,ESP,Assets,2.208,1982
Spain,ESP,Assets,2.208,1983
Spain,ESP,Assets,2.208,1984
Spain,ESP,Assets,2.208,1985
Spain,ESP,Assets,2.208,1986
Spain,ESP,Assets,2.208,1987
Spain,ESP,Assets,2.208,1988
Spain,ESP,Assets,2.208,1989
Spain,ESP,Assets,2.208,1990
Spain,ESP,Assets,2.208,1991
Spain,ESP,Assets,2.208,1992
Spain,ESP,Assets,2.208,1993
Spain,ESP,Assets,2.208,1994
Spain,ESP,Assets,2.208,1995
Spain,ESP,Assets,2.208,1996
Spain,ESP,Assets,2.208,1997
Spain,ESP,Assets,2.208,1998
Spain,ESP,Assets,2.208,1999
Spain,ESP,Assets,2.208,2000
Spain,ESP,Assets,2.208,2001
Spain,ESP,Assets,2.208,2002
Spain,ESP,Assets,2.208,2003
Spain,ESP,Assets,2.208,2004
Spain,ESP,Assets,2.208,2005
Spain,ESP,Assets,2.208,2006
Spain,ESP,Assets,2.208,2007
Spain,ESP,Assets,2.208,2008
Spain,ESP,Assets,2.208,2009
Spain,ESP,Assets,2.208,2010
Spain,ESP,Assets,10.726,2011
Spain,ESP,Assets,2.208,2012
Spain,ESP,Assets,2.208,2013
Spain,ESP,Assets,24.921,2014
Spain,ESP,Assets,2.208,2015
Spain,ESP,Assets,2.208,2016
Spain,ESP,Assets,26.814,2017
Spain,ESP,Assets,2.208,2018
Spain,ESP,Assets,2.208,2019
Spain,ESP,Assets,2.208,2020
Spain,ESP,Assets,51.735,2021
Spain,ESP,Assets,2.208,2022
Spain,ESP,Assets,2.208,2023
Spain,ESP,Children 0-14,19.231,1960
Spain,ESP,Children 0-14,19.231,1961
Spain,ESP,Children 0-14,19.231,1962
Spain,ESP,Children 0-14,19.231,1963
Spain,ESP,Children 0-14,19.231,1964
Spain,ESP,Children 0-14,19.231,1965
Spain,ESP,Children 0-14,19.231,1966
Spain,ESP,Children 0-14,19.231,1967
Spain,ESP,Children 0-14,19.231,1968
Spain,ESP,Children 0-14,19.231,1969
Spain,ESP,Children 0-14,23.846,1970
Spain,ESP,Children 0-14,33.077,1971
Spain,ESP,Children 0-14,33.077,1972
Spain,ESP,Children 0-14,33.077,1973
Spain,ESP,Children 0-14,25.385,1974
Spain,ESP,Children 0-14,28.462,1975
Spain,ESP,Children 0-14,28.462,1976
Spain,ESP,Children 0-14,28.462,1977
Spain,ESP,Children 0-14,33.077,1978
Spain,ESP,Children 0-14,33.077,1979
Spain,ESP,Children 0-14,30.769,1980
Spain,ESP,Children 0-14,40.769,1981
Spain,ESP,Children 0-14,33.077,1982
Spain,ESP,Children 0-14,36.154,1983
Spain,ESP,Children 0-14,36.923,1984
Spain,ESP,Children 0-14,36.923,1985
Spain,ESP,Children 0-14,41.538,1986
Spain,ESP,Children 0-14,35.385,1987
Spain,ESP,Children 0-14,38.462,1988
Spain,ESP,Children 0-14,40.000,1989
Spain,ESP,Children 0-14,38.462,1990
Spain,ESP,Children 0-14,32.308,1991
Spain,ESP,Children 0-14,33.077,1992
Spain,ESP,Children 0-14,35.385,1993
Spain,ESP,Children 0-14,35.385,1994
Spain,ESP,Children 0-14,30.000,1995
Spain,ESP,Children 0-14,30.000,1996
Spain,ESP,Children 0-14,30.000,1997
Spain,ESP,Children 0-14,30.000,1998
Spain,ESP,Children 0-14,30.769,1999
Spain,ESP,Children 0-14,44.615,2000
Spain,ESP,Children 0-14,30.769,2001
Spain,ESP,Children 0-14,33.077,2002
Spain,ESP,Children 0-14,33.077,2003
Spain,ESP,Children 0-14,40.000,2004
Spain,ESP,Children 0-14,39.231,2005
Spain,ESP,Children 0-14,49.231,2006
Spain,ESP,Children 0-14,42.308,2007
Spain,ESP,Children 0-14,45.385,2008
Spain,ESP,Children 0-14,45.385,2009
Spain,ESP,Children 0-14,59.231,2010
Spain,ESP,Children 0-14,50.000,2011
Spain,ESP,Children 0-14,43.077,2012
Spain,ESP,Children 0-14,43.077,2013
Spain,ESP,Children 0-14,46.154,2014
Spain,ESP,Children 0-14,62.308,2015
Spain,ESP,Children 0-14,57.692,2016
Spain,ESP,Children 0-14,54.615,2017
Spain,ESP,Children 0-14,43.077,2018
Spain,ESP,Children 0-14,53.846,2019
Spain,ESP,Children 0-14,43.846,2020
Spain,ESP,Children 0-14,39.231,2021
Spain,ESP,Children 0-14,36.154,2022
Spain,ESP,Children 0-14,11.538,2023
Spain,ESP,Education,0.000,1960
Spain,ESP,Education,0.000,1961
Spain,ESP,Education,0.000,1962
Spain,ESP,Education,0.000,1963
Spain,ESP,Education,0.000,1964
Spain,ESP,Education,0.000,1965
Spain,ESP,Education,0.000,1966
Spain,ESP,Education,0.000,1967
Spain,ESP,Education,0.000,1968
Spain,ESP,Education,0.000,1969
Spain,ESP,Education,7.975,1970
Spain,ESP,Education,25.153,1971
Spain,ESP,Education,24.540,1972
Spain,ESP,Education,25.767,1973
Spain,ESP,Education,17.178,1974
Spain,ESP,Education,20.859,1975
Spain,ESP,Education,21.472,1976
Spain,ESP,Education,21.472,1977
Spain,ESP,Education,25.153,1978
Spain,ESP,Education,25.153,1979
Spain,ESP,Education,24.540,1980
Spain,ESP,Education,43.558,1981
Spain,ESP,Education,25.153,1982
Spain,ESP,Education,27.607,1983
Spain,ESP,Education,27.607,1984
Spain,ESP,Education,26.994,1985
Spain,ESP,Education,36.810,1986
Spain,ESP,Education,28.834,1987
Spain,ESP,Education,31.288,1988
Spain,ESP,Education,31.902,1989
Spain,ESP,Education,29.448,1990
Spain,ESP,Education,33.129,1991
Spain,ESP,Education,26.994,1992
Spain,ESP,Education,28.834,1993
Spain,ESP,Education,26.994,1994
Spain,ESP,Education,22.699,1995
Spain,ESP,Education,22.086,1996
Spain,ESP,Education,20.245,1997
Spain,ESP,Education,27.607,1998
Spain,ESP,Education,42.331,1999
Spain,ESP,Education,42.331,2000
Spain,ESP,Education,42.331,2001
Spain,ESP,Education,44.172,2002
Spain,ESP,Education,41.718,2003
Spain,ESP,Education,59.509,2004
Spain,ESP,Education,58.896,2005
Spain,ESP,Education,66.871,2006
Spain,ESP,Education,61.350,2007
Spain,ESP,Education,65.644,2008
Spain,ESP,Education,65.644,2009
Spain,ESP,Education,77.914,2010
Spain,ESP,Education,72.393,2011
Spain,ESP,Education,67.485,2012
Spain,ESP,Education,68.712,2013
Spain,ESP,Education,72.393,2014
Spain,ESP,Education,76.074,2015
Spain,ESP,Education,83.436,2016
Spain,ESP,Education,79.755,2017
Spain,ESP,Education,61.350,2018
Spain,ESP,Education,38.650,2019
Spain,ESP,Education,55.828,2020
Spain,ESP,Education,38.650,2021
Spain,ESP,Education,35.583,2022
Spain,ESP,Education,7.362,2023
Spain,ESP,Employment and Time Use,5.109,1960
Spain,ESP,Employment and Time Use,0.000,1961
Spain,ESP,Employment and Time Use,0.000,1962
Spain,ESP,Employment and Time Use,0.000,1963
Spain,ESP,Employment and Time Use,0.000,1964
Spain,ESP,Employment and Time Use,0.000,1965
Spain,ESP,Employment and Time Use,0.000,1966
Spain,ESP,Employment and Time Use,0.000,1967
Spain,ESP,Employment and Time Use,0.000,1968
Spain,ESP,Employment and Time Use,0.730,1969
Spain,ESP,Employment and Time Use,27.007,1970
Spain,ESP,Employment and Time Use,21.898,1971
Spain,ESP,Employment and Time Use,21.898,1972
Spain,ESP,Employment and Time Use,23.358,1973
Spain,ESP,Employment and Time Use,23.358,1974
Spain,ESP,Employment and Time Use,23.358,1975
Spain,ESP,Employment and Time Use,23.358,1976
Spain,ESP,Employment and Time Use,33.577,1977
Spain,ESP,Employment and Time Use,33.577,1978
Spain,ESP,Employment and Time Use,33.577,1979
Spain,ESP,Employment and Time Use,33.577,1980
Spain,ESP,Employment and Time Use,33.577,1981
Spain,ESP,Employment and Time Use,33.577,1982
Spain,ESP,Employment and Time Use,33.577,1983
Spain,ESP,Employment and Time Use,33.577,1984
Spain,ESP,Employment and Time Use,33.577,1985
Spain,ESP,Employment and Time Use,40.146,1986
Spain,ESP,Employment and Time Use,40.146,1987
Spain,ESP,Employment and Time Use,40.146,1988
Spain,ESP,Employment and Time Use,40.146,1989
Spain,ESP,Employment and Time Use,50.365,1990
Spain,ESP,Employment and Time Use,75.182,1991
Spain,ESP,Employment and Time Use,88.321,1992
Spain,ESP,Employment and Time Use,88.321,1993
Spain,ESP,Employment and Time Use,88.321,1994
Spain,ESP,Employment and Time Use,88.321,1995
Spain,ESP,Employment and Time Use,88.321,1996
Spain,ESP,Employment and Time Use,88.321,1997
Spain,ESP,Employment and Time Use,88.321,1998
Spain,ESP,Employment and Time Use,89.781,1999
Spain,ESP,Employment and Time Use,90.511,2000
Spain,ESP,Employment and Time Use,90.511,2001
Spain,ESP,Employment and Time Use,90.511,2002
Spain,ESP,Employment and Time Use,91.971,2003
Spain,ESP,Employment and Time Use,90.511,2004
Spain,ESP,Employment and Time Use,90.511,2005
Spain,ESP,Employment and Time Use,90.511,2006
Spain,ESP,Employment and Time Use,90.511,2007
Spain,ESP,Employment and Time Use,90.511,2008
Spain,ESP,Employment and Time Use,90.511,2009
Spain,ESP,Employment and Time Use,91.971,2010
Spain,ESP,Employment and Time Use,90.511,2011
Spain,ESP,Employment and Time Use,90.511,2012
Spain,ESP,Employment and Time Use,90.511,2013
Spain,ESP,Employment and Time Use,90.511,2014
Spain,ESP,Employment and Time Use,90.511,2015
Spain,ESP,Employment and Time Use,90.511,2016
Spain,ESP,Employment and Time Use,90.511,2017
Spain,ESP,Employment and Time Use,90.511,2018
Spain,ESP,Employment and Time Use,90.511,2019
Spain,ESP,Employment and Time Use,90.511,2020
Spain,ESP,Employment and Time Use,90.511,2021
Spain,ESP,Employment and Time Use,90.511,2022
Spain,ESP,Employment and Time Use,92.701,2023
Spain,ESP,Entrepreneurship,0.000,1960
Spain,ESP,Entrepreneurship,0.000,1961
Spain,ESP,Entrepreneurship,0.000,1962
Spain,ESP,Entrepreneurship,0.000,1963
Spain,ESP,Entrepreneurship,0.000,1964
Spain,ESP,Entrepreneurship,0.000,1965
Spain,ESP,Entrepreneurship,0.000,1966
Spain,ESP,Entrepreneurship,0.000,1967
Spain,ESP,Entrepreneurship,0.000,1968
Spain,ESP,Entrepreneurship,0.000,1969
Spain,ESP,Entrepreneurship,9.375,1970
Spain,ESP,Entrepreneurship,9.375,1971
Spain,ESP,Entrepreneurship,9.375,1972
Spain,ESP,Entrepreneurship,9.375,1973
Spain,ESP,Entrepreneurship,9.375,1974
Spain,ESP,Entrepreneurship,9.375,1975
Spain,ESP,Entrepreneurship,9.375,1976
Spain,ESP,Entrepreneurship,9.375,1977
Spain,ESP,Entrepreneurship,9.375,1978
Spain,ESP,Entrepreneurship,9.375,1979
Spain,ESP,Entrepreneurship,9.375,1980
Spain,ESP,Entrepreneurship,9.375,1981
Spain,ESP,Entrepreneurship,9.375,1982
Spain,ESP,Entrepreneurship,9.375,1983
Spain,ESP,Entrepreneurship,9.375,1984
Spain,ESP,Entrepreneurship,9.375,1985
Spain,ESP,Entrepreneurship,9.375,1986
Spain,ESP,Entrepreneurship,9.375,1987
Spain,ESP,Entrepreneurship,9.375,1988
Spain,ESP,Entrepreneurship,9.375,1989
Spain,ESP,Entrepreneurship,9.375,1990
Spain,ESP,Entrepreneurship,9.375,1991
Spain,ESP,Entrepreneurship,9.375,1992
Spain,ESP,Entrepreneurship,9.375,1993
Spain,ESP,Entrepreneurship,9.375,1994
Spain,ESP,Entrepreneurship,9.375,1995
Spain,ESP,Entrepreneurship,9.375,1996
Spain,ESP,Entrepreneurship,9.375,1997
Spain,ESP,Entrepreneurship,9.375,1998
Spain,ESP,Entrepreneurship,9.375,1999
Spain,ESP,Entrepreneurship,9.375,2000
Spain,ESP,Entrepreneurship,9.375,2001
Spain,ESP,Entrepreneurship,9.375,2002
Spain,ESP,Entrepreneurship,37.500,2003
Spain,ESP,Entrepreneurship,37.500,2004
Spain,ESP,Entrepreneurship,40.625,2005
Spain,ESP,Entrepreneurship,37.500,2006
Spain,ESP,Entrepreneurship,37.500,2007
