Country Name,Country Code,Topic,% of available indicators,Year
Estonia,EST,Assets,0.000,1960
Estonia,EST,Assets,0.000,1961
Estonia,EST,Assets,0.000,1962
Estonia,EST,Assets,0.000,1963
Estonia,EST,Assets,0.000,1964
Estonia,EST,Assets,0.000,1965
Estonia,EST,Assets,0.000,1966
Estonia,EST,Assets,0.000,1967
Estonia,EST,Assets,0.000,1968
Estonia,EST,Assets,0.000,1969
Estonia,EST,Assets,2.208,1970
Estonia,EST,Assets,2.208,1971
Estonia,EST,Assets,2.208,1972
Estonia,EST,Assets,2.208,1973
Estonia,EST,Assets,2.208,1974
Estonia,EST,Assets,2.208,1975
Estonia,EST,Assets,2.208,1976
Estonia,EST,Assets,2.208,1977
Estonia,EST,Assets,2.208,1978
Estonia,EST,Assets,2.208,1979
Estonia,EST,Assets,2.208,1980
Estonia,EST,Assets,2.208,1981
Estonia,EST,Assets,2.208,1982
Estonia,EST,Assets,2.208,1983
Estonia,EST,Assets,2.208,1984
Estonia,EST,Assets,2.208,1985
Estonia,EST,Assets,2.208,1986
Estonia,EST,Assets,2.208,1987
Estonia,EST,Assets,2.208,1988
Estonia,EST,Assets,2.208,1989
Estonia,EST,Assets,2.208,1990
Estonia,EST,Assets,2.208,1991
Estonia,EST,Assets,2.208,1992
Estonia,EST,Assets,2.208,1993
Estonia,EST,Assets,2.208,1994
Estonia,EST,Assets,2.208,1995
Estonia,EST,Assets,2.208,1996
Estonia,EST,Assets,2.208,1997
Estonia,EST,Assets,2.208,1998
Estonia,EST,Assets,2.208,1999
Estonia,EST,Assets,2.208,2000
Estonia,EST,Assets,2.208,2001
Estonia,EST,Assets,2.208,2002
Estonia,EST,Assets,2.208,2003
Estonia,EST,Assets,2.208,2004
Estonia,EST,Assets,2.208,2005
Estonia,EST,Assets,2.208,2006
Estonia,EST,Assets,2.208,2007
Estonia,EST,Assets,2.208,2008
Estonia,EST,Assets,2.208,2009
Estonia,EST,Assets,2.208,2010
Estonia,EST,Assets,11.672,2011
Estonia,EST,Assets,2.208,2012
Estonia,EST,Assets,2.208,2013
Estonia,EST,Assets,30.599,2014
Estonia,EST,Assets,2.208,2015
Estonia,EST,Assets,2.208,2016
Estonia,EST,Assets,33.123,2017
Estonia,EST,Assets,2.208,2018
Estonia,EST,Assets,2.208,2019
Estonia,EST,Assets,2.208,2020
Estonia,EST,Assets,58.360,2021
Estonia,EST,Assets,2.208,2022
Estonia,EST,Assets,2.208,2023
Estonia,EST,Children 0-14,10.769,1960
Estonia,EST,Children 0-14,10.769,1961
Estonia,EST,Children 0-14,10.769,1962
Estonia,EST,Children 0-14,10.769,1963
Estonia,EST,Children 0-14,10.769,1964
Estonia,EST,Children 0-14,10.769,1965
Estonia,EST,Children 0-14,10.769,1966
Estonia,EST,Children 0-14,10.769,1967
Estonia,EST,Children 0-14,10.769,1968
Estonia,EST,Children 0-14,10.769,1969
Estonia,EST,Children 0-14,10.769,1970
Estonia,EST,Children 0-14,10.769,1971
Estonia,EST,Children 0-14,10.769,1972
Estonia,EST,Children 0-14,10.769,1973
Estonia,EST,Children 0-14,10.769,1974
Estonia,EST,Children 0-14,10.769,1975
Estonia,EST,Children 0-14,10.769,1976
Estonia,EST,Children 0-14,10.769,1977
Estonia,EST,Children 0-14,10.769,1978
