Country Name,Country Code,Topic,% of available indicators,Year
Ethiopia,ETH,Assets,0.000,1960
Ethiopia,ETH,Assets,0.000,1961
Ethiopia,ETH,Assets,0.000,1962
Ethiopia,ETH,Assets,0.000,1963
Ethiopia,ETH,Assets,0.000,1964
Ethiopia,ETH,Assets,0.000,1965
Ethiopia,ETH,Assets,0.000,1966
Ethiopia,ETH,Assets,0.000,1967
Ethiopia,ETH,Assets,0.000,1968
Ethiopia,ETH,Assets,0.000,1969
Ethiopia,ETH,Assets,2.208,1970
Ethiopia,ETH,Assets,2.208,1971
Ethiopia,ETH,Assets,2.208,1972
Ethiopia,ETH,Assets,2.208,1973
Ethiopia,ETH,Assets,2.208,1974
Ethiopia,ETH,Assets,2.208,1975
Ethiopia,ETH,Assets,2.208,1976
Ethiopia,ETH,Assets,2.208,1977
Ethiopia,ETH,Assets,2.208,1978
Ethiopia,ETH,Assets,2.208,1979
Ethiopia,ETH,Assets,2.208,1980
Ethiopia,ETH,Assets,2.208,1981
Ethiopia,ETH,Assets,2.208,1982
Ethiopia,ETH,Assets,2.208,1983
Ethiopia,ETH,Assets,2.208,1984
Ethiopia,ETH,Assets,2.208,1985
Ethiopia,ETH,Assets,2.208,1986
Ethiopia,ETH,Assets,2.208,1987
Ethiopia,ETH,Assets,2.208,1988
Ethiopia,ETH,Assets,2.208,1989
Ethiopia,ETH,Assets,2.208,1990
Ethiopia,ETH,Assets,2.208,1991
Ethiopia,ETH,Assets,2.208,1992
Ethiopia,ETH,Assets,2.208,1993
Ethiopia,ETH,Assets,2.208,1994
Ethiopia,ETH,Assets,2.208,1995
Ethiopia,ETH,Assets,2.208,1996
Ethiopia,ETH,Assets,2.208,1997
Ethiopia,ETH,Assets,2.208,1998
Ethiopia,ETH,Assets,2.208,1999
Ethiopia,ETH,Assets,2.208,2000
Ethiopia,ETH,Assets,2.208,2001
Ethiopia,ETH,Assets,2.208,2002
Ethiopia,ETH,Assets,2.208,2003
Ethiopia,ETH,Assets,2.208,2004
Ethiopia,ETH,Assets,2.208,2005
Ethiopia,ETH,Assets,2.208,2006
Ethiopia,ETH,Assets,2.208,2007
Ethiopia,ETH,Assets,2.208,2008
Ethiopia,ETH,Assets,2.208,2009
Ethiopia,ETH,Assets,2.208,2010
Ethiopia,ETH,Assets,32.492,2011
Ethiopia,ETH,Assets,2.208,2012
Ethiopia,ETH,Assets,2.208,2013
Ethiopia,ETH,Assets,31.546,2014
Ethiopia,ETH,Assets,2.208,2015
Ethiopia,ETH,Assets,32.492,2016
Ethiopia,ETH,Assets,34.069,2017
Ethiopia,ETH,Assets,2.208,2018
Ethiopia,ETH,Assets,2.208,2019
Ethiopia,ETH,Assets,2.208,2020
Ethiopia,ETH,Assets,2.208,2021
Ethiopia,ETH,Assets,62.461,2022
Ethiopia,ETH,Assets,2.208,2023
Ethiopia,ETH,Children 0-14,10.769,1960
Ethiopia,ETH,Children 0-14,10.769,1961
Ethiopia,ETH,Children 0-14,10.769,1962
Ethiopia,ETH,Children 0-14,10.769,1963
Ethiopia,ETH,Children 0-14,10.769,1964
Ethiopia,ETH,Children 0-14,10.769,1965
Ethiopia,ETH,Children 0-14,15.385,1966
Ethiopia,ETH,Children 0-14,17.692,1967
Ethiopia,ETH,Children 0-14,17.692,1968
Ethiopia,ETH,Children 0-14,17.692,1969
Ethiopia,ETH,Children 0-14,17.692,1970
Ethiopia,ETH,Children 0-14,23.077,1971
Ethiopia,ETH,Children 0-14,23.077,1972
Ethiopia,ETH,Children 0-14,23.077,1973
Ethiopia,ETH,Children 0-14,23.846,1974
Ethiopia,ETH,Children 0-14,23.077,1975
Ethiopia,ETH,Children 0-14,23.077,1976
Ethiopia,ETH,Children 0-14,23.077,1977
Ethiopia,ETH,Children 0-14,23.077,1978
