Country Name,Country Code,Topic,% of available indicators,Year
Finland,FIN,Assets,0.000,1960
Finland,FIN,Assets,0.000,1961
Finland,FIN,Assets,0.000,1962
Finland,FIN,Assets,0.000,1963
Finland,FIN,Assets,0.000,1964
Finland,FIN,Assets,0.000,1965
Finland,FIN,Assets,0.000,1966
Finland,FIN,Assets,0.000,1967
Finland,FIN,Assets,0.000,1968
Finland,FIN,Assets,0.000,1969
Finland,FIN,Assets,2.208,1970
Finland,FIN,Assets,2.208,1971
Finland,FIN,Assets,2.208,1972
Finland,FIN,Assets,2.208,1973
Finland,FIN,Assets,2.208,1974
Finland,FIN,Assets,2.208,1975
Finland,FIN,Assets,2.208,1976
Finland,FIN,Assets,2.208,1977
Finland,FIN,Assets,2.208,1978
Finland,FIN,Assets,2.208,1979
Finland,FIN,Assets,2.208,1980
Finland,FIN,Assets,2.208,1981
Finland,FIN,Assets,2.208,1982
Finland,FIN,Assets,2.208,1983
Finland,FIN,Assets,2.208,1984
Finland,FIN,Assets,2.208,1985
Finland,FIN,Assets,2.208,1986
Finland,FIN,Assets,2.208,1987
Finland,FIN,Assets,2.208,1988
Finland,FIN,Assets,2.208,1989
Finland,FIN,Assets,2.208,1990
Finland,FIN,Assets,2.208,1991
Finland,FIN,Assets,2.208,1992
Finland,FIN,Assets,2.208,1993
Finland,FIN,Assets,2.208,1994
Finland,FIN,Assets,2.208,1995
Finland,FIN,Assets,2.208,1996
Finland,FIN,Assets,2.208,1997
Finland,FIN,Assets,2.208,1998
Finland,FIN,Assets,2.208,1999
Finland,FIN,Assets,2.208,2000
Finland,FIN,Assets,2.208,2001
Finland,FIN,Assets,2.208,2002
Finland,FIN,Assets,2.208,2003
Finland,FIN,Assets,2.208,2004
Finland,FIN,Assets,2.208,2005
Finland,FIN,Assets,2.208,2006
Finland,FIN,Assets,2.208,2007
Finland,FIN,Assets,2.208,2008
Finland,FIN,Assets,2.208,2009
Finland,FIN,Assets,2.208,2010
Finland,FIN,Assets,10.726,2011
Finland,FIN,Assets,2.208,2012
Finland,FIN,Assets,2.208,2013
Finland,FIN,Assets,24.921,2014
Finland,FIN,Assets,2.208,2015
Finland,FIN,Assets,2.208,2016
Finland,FIN,Assets,26.814,2017
Finland,FIN,Assets,2.208,2018
Finland,FIN,Assets,2.208,2019
Finland,FIN,Assets,2.208,2020
Finland,FIN,Assets,51.104,2021
Finland,FIN,Assets,2.208,2022
Finland,FIN,Assets,2.208,2023
Finland,FIN,Children 0-14,19.231,1960
Finland,FIN,Children 0-14,19.231,1961
Finland,FIN,Children 0-14,19.231,1962
Finland,FIN,Children 0-14,19.231,1963
Finland,FIN,Children 0-14,19.231,1964
Finland,FIN,Children 0-14,19.231,1965
Finland,FIN,Children 0-14,19.231,1966
Finland,FIN,Children 0-14,19.231,1967
Finland,FIN,Children 0-14,19.231,1968
Finland,FIN,Children 0-14,19.231,1969
Finland,FIN,Children 0-14,19.231,1970
Finland,FIN,Children 0-14,22.308,1971
Finland,FIN,Children 0-14,26.154,1972
Finland,FIN,Children 0-14,25.385,1973
Finland,FIN,Children 0-14,25.385,1974
Finland,FIN,Children 0-14,25.385,1975
Finland,FIN,Children 0-14,23.077,1976
Finland,FIN,Children 0-14,23.077,1977
Finland,FIN,Children 0-14,23.077,1978
Finland,FIN,Children 0-14,26.154,1979
Finland,FIN,Children 0-14,23.846,1980
Finland,FIN,Children 0-14,24.615,1981
Finland,FIN,Children 0-14,24.615,1982
Finland,FIN,Children 0-14,24.615,1983
Finland,FIN,Children 0-14,24.615,1984
Finland,FIN,Children 0-14,27.692,1985
Finland,FIN,Children 0-14,26.923,1986
Finland,FIN,Children 0-14,32.308,1987
Finland,FIN,Children 0-14,32.308,1988
Finland,FIN,Children 0-14,32.308,1989
Finland,FIN,Children 0-14,34.615,1990
Finland,FIN,Children 0-14,32.308,1991
Finland,FIN,Children 0-14,32.308,1992
Finland,FIN,Children 0-14,41.538,1993
Finland,FIN,Children 0-14,41.538,1994
Finland,FIN,Children 0-14,39.231,1995
Finland,FIN,Children 0-14,37.692,1996
Finland,FIN,Children 0-14,37.692,1997
Finland,FIN,Children 0-14,39.231,1998
Finland,FIN,Children 0-14,36.154,1999
Finland,FIN,Children 0-14,50.000,2000
Finland,FIN,Children 0-14,36.154,2001
Finland,FIN,Children 0-14,39.231,2002
Finland,FIN,Children 0-14,39.231,2003
Finland,FIN,Children 0-14,41.538,2004
Finland,FIN,Children 0-14,41.538,2005
Finland,FIN,Children 0-14,39.231,2006
Finland,FIN,Children 0-14,41.538,2007
Finland,FIN,Children 0-14,39.231,2008
Finland,FIN,Children 0-14,41.538,2009
Finland,FIN,Children 0-14,61.538,2010
Finland,FIN,Children 0-14,53.077,2011
Finland,FIN,Children 0-14,46.154,2012
Finland,FIN,Children 0-14,46.154,2013
Finland,FIN,Children 0-14,46.923,2014
Finland,FIN,Children 0-14,59.231,2015
Finland,FIN,Children 0-14,52.308,2016
Finland,FIN,Children 0-14,49.231,2017
Finland,FIN,Children 0-14,42.308,2018
Finland,FIN,Children 0-14,53.846,2019
Finland,FIN,Children 0-14,43.846,2020
Finland,FIN,Children 0-14,39.231,2021
Finland,FIN,Children 0-14,36.154,2022
Finland,FIN,Children 0-14,9.231,2023
Finland,FIN,Education,0.000,1960
Finland,FIN,Education,0.000,1961
Finland,FIN,Education,0.000,1962
Finland,FIN,Education,0.000,1963
Finland,FIN,Education,0.000,1964
Finland,FIN,Education,0.000,1965
Finland,FIN,Education,0.000,1966
Finland,FIN,Education,0.000,1967
Finland,FIN,Education,0.000,1968
Finland,FIN,Education,0.000,1969
Finland,FIN,Education,0.613,1970
Finland,FIN,Education,14.110,1971
Finland,FIN,Education,19.018,1972
Finland,FIN,Education,18.405,1973
Finland,FIN,Education,18.405,1974
Finland,FIN,Education,11.043,1975
Finland,FIN,Education,12.270,1976
Finland,FIN,Education,14.110,1977
Finland,FIN,Education,14.110,1978
Finland,FIN,Education,19.018,1979
Finland,FIN,Education,14.724,1980
Finland,FIN,Education,14.724,1981
Finland,FIN,Education,14.724,1982
Finland,FIN,Education,14.724,1983
Finland,FIN,Education,14.724,1984
Finland,FIN,Education,19.018,1985
Finland,FIN,Education,18.405,1986
Finland,FIN,Education,22.699,1987
Finland,FIN,Education,22.699,1988
Finland,FIN,Education,22.699,1989
Finland,FIN,Education,26.380,1990
Finland,FIN,Education,24.540,1991
Finland,FIN,Education,22.699,1992
Finland,FIN,Education,31.902,1993
Finland,FIN,Education,30.061,1994
Finland,FIN,Education,30.061,1995
Finland,FIN,Education,29.448,1996
Finland,FIN,Education,30.675,1997
Finland,FIN,Education,44.785,1998
Finland,FIN,Education,46.012,1999
Finland,FIN,Education,44.785,2000
Finland,FIN,Education,45.399,2001
Finland,FIN,Education,47.853,2002
Finland,FIN,Education,51.534,2003
Finland,FIN,Education,49.693,2004
Finland,FIN,Education,44.172,2005
Finland,FIN,Education,49.080,2006
Finland,FIN,Education,50.920,2007
Finland,FIN,Education,42.331,2008
Finland,FIN,Education,53.374,2009
Finland,FIN,Education,75.460,2010
Finland,FIN,Education,69.325,2011
Finland,FIN,Education,64.417,2012
Finland,FIN,Education,67.485,2013
Finland,FIN,Education,69.325,2014
Finland,FIN,Education,65.031,2015
Finland,FIN,Education,71.779,2016
Finland,FIN,Education,74.847,2017
Finland,FIN,Education,53.988,2018
Finland,FIN,Education,40.491,2019
Finland,FIN,Education,51.534,2020
Finland,FIN,Education,38.650,2021
Finland,FIN,Education,34.969,2022
Finland,FIN,Education,1.840,2023
Finland,FIN,Employment and Time Use,5.109,1960
Finland,FIN,Employment and Time Use,0.000,1961
Finland,FIN,Employment and Time Use,0.000,1962
Finland,FIN,Employment and Time Use,0.000,1963
Finland,FIN,Employment and Time Use,0.000,1964
Finland,FIN,Employment and Time Use,0.000,1965
Finland,FIN,Employment and Time Use,0.000,1966
Finland,FIN,Employment and Time Use,0.000,1967
Finland,FIN,Employment and Time Use,0.000,1968
Finland,FIN,Employment and Time Use,2.190,1969
Finland,FIN,Employment and Time Use,28.467,1970
Finland,FIN,Employment and Time Use,23.358,1971
Finland,FIN,Employment and Time Use,23.358,1972
Finland,FIN,Employment and Time Use,23.358,1973
Finland,FIN,Employment and Time Use,23.358,1974
Finland,FIN,Employment and Time Use,23.358,1975
Finland,FIN,Employment and Time Use,28.467,1976
Finland,FIN,Employment and Time Use,28.467,1977
Finland,FIN,Employment and Time Use,23.358,1978
Finland,FIN,Employment and Time Use,33.577,1979
Finland,FIN,Employment and Time Use,33.577,1980
Finland,FIN,Employment and Time Use,33.577,1981
Finland,FIN,Employment and Time Use,28.467,1982
Finland,FIN,Employment and Time Use,23.358,1983
Finland,FIN,Employment and Time Use,28.467,1984
Finland,FIN,Employment and Time Use,28.467,1985
Finland,FIN,Employment and Time Use,28.467,1986
Finland,FIN,Employment and Time Use,28.467,1987
Finland,FIN,Employment and Time Use,28.467,1988
Finland,FIN,Employment and Time Use,28.467,1989
Finland,FIN,Employment and Time Use,45.985,1990
Finland,FIN,Employment and Time Use,70.803,1991
Finland,FIN,Employment and Time Use,70.803,1992
Finland,FIN,Employment and Time Use,70.803,1993
Finland,FIN,Employment and Time Use,70.803,1994
Finland,FIN,Employment and Time Use,88.321,1995
Finland,FIN,Employment and Time Use,88.321,1996
Finland,FIN,Employment and Time Use,88.321,1997
Finland,FIN,Employment and Time Use,88.321,1998
Finland,FIN,Employment and Time Use,89.781,1999
Finland,FIN,Employment and Time Use,91.971,2000
Finland,FIN,Employment and Time Use,90.511,2001
Finland,FIN,Employment and Time Use,90.511,2002
Finland,FIN,Employment and Time Use,90.511,2003
Finland,FIN,Employment and Time Use,90.511,2004
Finland,FIN,Employment and Time Use,90.511,2005
Finland,FIN,Employment and Time Use,90.511,2006
Finland,FIN,Employment and Time Use,90.511,2007
Finland,FIN,Employment and Time Use,90.511,2008
Finland,FIN,Employment and Time Use,90.511,2009
Finland,FIN,Employment and Time Use,91.971,2010
Finland,FIN,Employment and Time Use,90.511,2011
Finland,FIN,Employment and Time Use,90.511,2012
Finland,FIN,Employment and Time Use,90.511,2013
Finland,FIN,Employment and Time Use,90.511,2014
Finland,FIN,Employment and Time Use,90.511,2015
Finland,FIN,Employment and Time Use,90.511,2016
Finland,FIN,Employment and Time Use,90.511,2017
Finland,FIN,Employment and Time Use,90.511,2018
Finland,FIN,Employment and Time Use,90.511,2019
Finland,FIN,Employment and Time Use,90.511,2020
Finland,FIN,Employment and Time Use,91.971,2021
Finland,FIN,Employment and Time Use,90.511,2022
Finland,FIN,Employment and Time Use,92.701,2023
Finland,FIN,Entrepreneurship,0.000,1960
Finland,FIN,Entrepreneurship,0.000,1961
Finland,FIN,Entrepreneurship,0.000,1962
Finland,FIN,Entrepreneurship,0.000,1963
Finland,FIN,Entrepreneurship,0.000,1964
Finland,FIN,Entrepreneurship,0.000,1965
Finland,FIN,Entrepreneurship,0.000,1966
Finland,FIN,Entrepreneurship,0.000,1967
Finland,FIN,Entrepreneurship,0.000,1968
Finland,FIN,Entrepreneurship,0.000,1969
Finland,FIN,Entrepreneurship,9.375,1970
Finland,FIN,Entrepreneurship,9.375,1971
Finland,FIN,Entrepreneurship,9.375,1972
Finland,FIN,Entrepreneurship,9.375,1973
Finland,FIN,Entrepreneurship,9.375,1974
Finland,FIN,Entrepreneurship,9.375,1975
