Country Name,Country Code,Topic,% of available indicators,Year
Fiji,FJI,Assets,0.000,1960
Fiji,FJI,Assets,0.000,1961
Fiji,FJI,Assets,0.000,1962
Fiji,FJI,Assets,0.000,1963
Fiji,FJI,Assets,0.000,1964
Fiji,FJI,Assets,0.000,1965
Fiji,FJI,Assets,0.000,1966
Fiji,FJI,Assets,0.000,1967
Fiji,FJI,Assets,0.000,1968
Fiji,FJI,Assets,0.000,1969
Fiji,FJI,Assets,2.208,1970
Fiji,FJI,Assets,2.208,1971
Fiji,FJI,Assets,2.208,1972
Fiji,FJI,Assets,2.208,1973
Fiji,FJI,Assets,2.208,1974
Fiji,FJI,Assets,2.208,1975
Fiji,FJI,Assets,2.208,1976
Fiji,FJI,Assets,2.208,1977
Fiji,FJI,Assets,2.208,1978
Fiji,FJI,Assets,2.208,1979
Fiji,FJI,Assets,2.208,1980
Fiji,FJI,Assets,2.208,1981
Fiji,FJI,Assets,2.208,1982
Fiji,FJI,Assets,2.208,1983
Fiji,FJI,Assets,2.208,1984
Fiji,FJI,Assets,2.208,1985
Fiji,FJI,Assets,2.208,1986
Fiji,FJI,Assets,2.208,1987
Fiji,FJI,Assets,2.208,1988
Fiji,FJI,Assets,2.208,1989
Fiji,FJI,Assets,2.208,1990
Fiji,FJI,Assets,2.208,1991
Fiji,FJI,Assets,2.208,1992
Fiji,FJI,Assets,2.208,1993
Fiji,FJI,Assets,2.208,1994
Fiji,FJI,Assets,2.208,1995
Fiji,FJI,Assets,2.208,1996
Fiji,FJI,Assets,2.208,1997
Fiji,FJI,Assets,2.208,1998
Fiji,FJI,Assets,2.208,1999
Fiji,FJI,Assets,2.208,2000
Fiji,FJI,Assets,2.208,2001
Fiji,FJI,Assets,2.208,2002
Fiji,FJI,Assets,2.208,2003
Fiji,FJI,Assets,2.208,2004
Fiji,FJI,Assets,2.208,2005
Fiji,FJI,Assets,2.208,2006
Fiji,FJI,Assets,2.208,2007
Fiji,FJI,Assets,2.208,2008
Fiji,FJI,Assets,2.208,2009
Fiji,FJI,Assets,2.208,2010
Fiji,FJI,Assets,2.208,2011
Fiji,FJI,Assets,2.208,2012
Fiji,FJI,Assets,2.208,2013
Fiji,FJI,Assets,2.208,2014
Fiji,FJI,Assets,2.208,2015
Fiji,FJI,Assets,2.208,2016
Fiji,FJI,Assets,2.208,2017
Fiji,FJI,Assets,2.208,2018
Fiji,FJI,Assets,2.208,2019
Fiji,FJI,Assets,2.208,2020
Fiji,FJI,Assets,2.208,2021
Fiji,FJI,Assets,2.208,2022
Fiji,FJI,Assets,2.208,2023
Fiji,FJI,Children 0-14,19.231,1960
Fiji,FJI,Children 0-14,19.231,1961
Fiji,FJI,Children 0-14,19.231,1962
Fiji,FJI,Children 0-14,19.231,1963
Fiji,FJI,Children 0-14,19.231,1964
Fiji,FJI,Children 0-14,19.231,1965
Fiji,FJI,Children 0-14,19.231,1966
Fiji,FJI,Children 0-14,19.231,1967
Fiji,FJI,Children 0-14,19.231,1968
Fiji,FJI,Children 0-14,19.231,1969
Fiji,FJI,Children 0-14,23.077,1970
Fiji,FJI,Children 0-14,23.077,1971
Fiji,FJI,Children 0-14,25.385,1972
Fiji,FJI,Children 0-14,25.385,1973
Fiji,FJI,Children 0-14,27.692,1974
Fiji,FJI,Children 0-14,25.385,1975
Fiji,FJI,Children 0-14,29.231,1976
Fiji,FJI,Children 0-14,27.692,1977
Fiji,FJI,Children 0-14,26.923,1978
Fiji,FJI,Children 0-14,29.231,1979
Fiji,FJI,Children 0-14,33.846,1980
Fiji,FJI,Children 0-14,32.308,1981
Fiji,FJI,Children 0-14,21.538,1982
Fiji,FJI,Children 0-14,33.846,1983
Fiji,FJI,Children 0-14,32.308,1984
Fiji,FJI,Children 0-14,32.308,1985
Fiji,FJI,Children 0-14,35.385,1986
Fiji,FJI,Children 0-14,25.385,1987
Fiji,FJI,Children 0-14,20.769,1988
Fiji,FJI,Children 0-14,20.769,1989
Fiji,FJI,Children 0-14,23.077,1990
Fiji,FJI,Children 0-14,26.923,1991
Fiji,FJI,Children 0-14,37.692,1992
Fiji,FJI,Children 0-14,23.846,1993
Fiji,FJI,Children 0-14,39.231,1994
Fiji,FJI,Children 0-14,39.231,1995
Fiji,FJI,Children 0-14,43.846,1996
Fiji,FJI,Children 0-14,39.231,1997
Fiji,FJI,Children 0-14,41.538,1998
Fiji,FJI,Children 0-14,41.538,1999
Fiji,FJI,Children 0-14,55.385,2000
Fiji,FJI,Children 0-14,41.538,2001
Fiji,FJI,Children 0-14,32.308,2002
Fiji,FJI,Children 0-14,36.154,2003
Fiji,FJI,Children 0-14,50.769,2004
Fiji,FJI,Children 0-14,20.769,2005
Fiji,FJI,Children 0-14,34.615,2006
Fiji,FJI,Children 0-14,33.846,2007
Fiji,FJI,Children 0-14,40.769,2008
Fiji,FJI,Children 0-14,40.000,2009
Fiji,FJI,Children 0-14,39.231,2010
Fiji,FJI,Children 0-14,42.308,2011
Fiji,FJI,Children 0-14,36.154,2012
Fiji,FJI,Children 0-14,40.000,2013
Fiji,FJI,Children 0-14,45.385,2014
Fiji,FJI,Children 0-14,57.692,2015
Fiji,FJI,Children 0-14,41.538,2016
Fiji,FJI,Children 0-14,34.615,2017
Fiji,FJI,Children 0-14,36.923,2018
Fiji,FJI,Children 0-14,46.154,2019
Fiji,FJI,Children 0-14,36.923,2020
Fiji,FJI,Children 0-14,49.231,2021
Fiji,FJI,Children 0-14,29.231,2022
Fiji,FJI,Children 0-14,17.692,2023
Fiji,FJI,Education,0.000,1960
Fiji,FJI,Education,0.000,1961
Fiji,FJI,Education,0.000,1962
Fiji,FJI,Education,0.000,1963
Fiji,FJI,Education,0.000,1964
Fiji,FJI,Education,0.000,1965
Fiji,FJI,Education,0.000,1966
Fiji,FJI,Education,0.000,1967
Fiji,FJI,Education,0.000,1968
Fiji,FJI,Education,0.000,1969
Fiji,FJI,Education,14.110,1970
Fiji,FJI,Education,8.589,1971
Fiji,FJI,Education,16.564,1972
Fiji,FJI,Education,16.564,1973
Fiji,FJI,Education,18.405,1974
Fiji,FJI,Education,17.178,1975
Fiji,FJI,Education,19.018,1976
Fiji,FJI,Education,14.110,1977
Fiji,FJI,Education,13.497,1978
Fiji,FJI,Education,12.270,1979
Fiji,FJI,Education,20.245,1980
Fiji,FJI,Education,18.405,1981
Fiji,FJI,Education,1.840,1982
Fiji,FJI,Education,19.632,1983
Fiji,FJI,Education,19.018,1984
Fiji,FJI,Education,22.699,1985
Fiji,FJI,Education,26.994,1986
Fiji,FJI,Education,10.429,1987
Fiji,FJI,Education,0.000,1988
Fiji,FJI,Education,1.227,1989
Fiji,FJI,Education,1.840,1990
Fiji,FJI,Education,13.497,1991
Fiji,FJI,Education,20.859,1992
Fiji,FJI,Education,0.000,1993
Fiji,FJI,Education,15.337,1994
Fiji,FJI,Education,15.337,1995
Fiji,FJI,Education,26.994,1996
Fiji,FJI,Education,15.337,1997
Fiji,FJI,Education,30.061,1998
Fiji,FJI,Education,34.356,1999
Fiji,FJI,Education,34.969,2000
Fiji,FJI,Education,34.969,2001
Fiji,FJI,Education,25.767,2002
Fiji,FJI,Education,34.356,2003
Fiji,FJI,Education,34.969,2004
Fiji,FJI,Education,4.908,2005
Fiji,FJI,Education,24.540,2006
Fiji,FJI,Education,31.288,2007
Fiji,FJI,Education,28.834,2008
Fiji,FJI,Education,28.221,2009
Fiji,FJI,Education,1.840,2010
Fiji,FJI,Education,43.558,2011
Fiji,FJI,Education,26.380,2012
Fiji,FJI,Education,19.018,2013
Fiji,FJI,Education,31.902,2014
Fiji,FJI,Education,29.448,2015
Fiji,FJI,Education,34.969,2016
Fiji,FJI,Education,25.767,2017
Fiji,FJI,Education,17.791,2018
Fiji,FJI,Education,15.951,2019
Fiji,FJI,Education,27.607,2020
Fiji,FJI,Education,25.767,2021
Fiji,FJI,Education,12.883,2022
Fiji,FJI,Education,12.883,2023
Fiji,FJI,Employment and Time Use,0.000,1960
Fiji,FJI,Employment and Time Use,0.000,1961
Fiji,FJI,Employment and Time Use,0.000,1962
Fiji,FJI,Employment and Time Use,0.000,1963
Fiji,FJI,Employment and Time Use,0.000,1964
Fiji,FJI,Employment and Time Use,0.000,1965
Fiji,FJI,Employment and Time Use,5.109,1966
Fiji,FJI,Employment and Time Use,0.000,1967
Fiji,FJI,Employment and Time Use,0.000,1968
Fiji,FJI,Employment and Time Use,0.000,1969
Fiji,FJI,Employment and Time Use,21.168,1970
Fiji,FJI,Employment and Time Use,21.168,1971
Fiji,FJI,Employment and Time Use,21.168,1972
