Country Name,Country Code,Topic,% of available indicators,Year
France,FRA,Assets,0.000,1960
France,FRA,Assets,0.000,1961
France,FRA,Assets,0.000,1962
France,FRA,Assets,0.000,1963
France,FRA,Assets,0.000,1964
France,FRA,Assets,0.000,1965
France,FRA,Assets,0.000,1966
France,FRA,Assets,0.000,1967
France,FRA,Assets,0.000,1968
France,FRA,Assets,0.000,1969
France,FRA,Assets,2.208,1970
France,FRA,Assets,2.208,1971
France,FRA,Assets,2.208,1972
France,FRA,Assets,2.208,1973
France,FRA,Assets,2.208,1974
France,FRA,Assets,2.208,1975
France,FRA,Assets,2.208,1976
France,FRA,Assets,2.208,1977
France,FRA,Assets,2.208,1978
France,FRA,Assets,2.208,1979
France,FRA,Assets,2.208,1980
France,FRA,Assets,2.208,1981
France,FRA,Assets,2.208,1982
France,FRA,Assets,2.208,1983
France,FRA,Assets,2.208,1984
France,FRA,Assets,2.208,1985
France,FRA,Assets,2.208,1986
France,FRA,Assets,2.208,1987
France,FRA,Assets,2.208,1988
France,FRA,Assets,2.208,1989
France,FRA,Assets,2.208,1990
France,FRA,Assets,2.208,1991
France,FRA,Assets,2.208,1992
France,FRA,Assets,2.208,1993
France,FRA,Assets,2.208,1994
France,FRA,Assets,2.208,1995
France,FRA,Assets,2.208,1996
France,FRA,Assets,2.208,1997
France,FRA,Assets,2.208,1998
France,FRA,Assets,2.208,1999
France,FRA,Assets,2.208,2000
France,FRA,Assets,2.208,2001
France,FRA,Assets,2.208,2002
France,FRA,Assets,2.208,2003
France,FRA,Assets,2.208,2004
France,FRA,Assets,2.208,2005
France,FRA,Assets,2.208,2006
France,FRA,Assets,2.208,2007
France,FRA,Assets,2.208,2008
France,FRA,Assets,2.208,2009
France,FRA,Assets,2.208,2010
France,FRA,Assets,10.726,2011
France,FRA,Assets,2.208,2012
France,FRA,Assets,2.208,2013
France,FRA,Assets,24.921,2014
France,FRA,Assets,2.208,2015
France,FRA,Assets,2.208,2016
France,FRA,Assets,26.814,2017
France,FRA,Assets,2.208,2018
France,FRA,Assets,2.208,2019
France,FRA,Assets,2.208,2020
France,FRA,Assets,51.735,2021
France,FRA,Assets,2.208,2022
France,FRA,Assets,2.208,2023
France,FRA,Children 0-14,19.231,1960
France,FRA,Children 0-14,19.231,1961
France,FRA,Children 0-14,19.231,1962
France,FRA,Children 0-14,19.231,1963
France,FRA,Children 0-14,19.231,1964
France,FRA,Children 0-14,19.231,1965
France,FRA,Children 0-14,19.231,1966
France,FRA,Children 0-14,19.231,1967
France,FRA,Children 0-14,19.231,1968
France,FRA,Children 0-14,19.231,1969
France,FRA,Children 0-14,19.231,1970
France,FRA,Children 0-14,37.692,1971
France,FRA,Children 0-14,36.154,1972
France,FRA,Children 0-14,28.462,1973
France,FRA,Children 0-14,28.462,1974
France,FRA,Children 0-14,26.923,1975
France,FRA,Children 0-14,30.000,1976
France,FRA,Children 0-14,33.846,1977
France,FRA,Children 0-14,27.692,1978
France,FRA,Children 0-14,35.385,1979
France,FRA,Children 0-14,36.154,1980
