Country Name,Country Code,Topic,% of available indicators,Year
Faroe Islands,FRO,Assets,0.000,1960
Faroe Islands,FRO,Assets,0.000,1961
Faroe Islands,FRO,Assets,0.000,1962
Faroe Islands,FRO,Assets,0.000,1963
Faroe Islands,FRO,Assets,0.000,1964
Faroe Islands,FRO,Assets,0.000,1965
Faroe Islands,FRO,Assets,0.000,1966
Faroe Islands,FRO,Assets,0.000,1967
Faroe Islands,FRO,Assets,0.000,1968
Faroe Islands,FRO,Assets,0.000,1969
Faroe Islands,FRO,Assets,0.000,1970
Faroe Islands,FRO,Assets,0.000,1971
Faroe Islands,FRO,Assets,0.000,1972
Faroe Islands,FRO,Assets,0.000,1973
Faroe Islands,FRO,Assets,0.000,1974
Faroe Islands,FRO,Assets,0.000,1975
Faroe Islands,FRO,Assets,0.000,1976
Faroe Islands,FRO,Assets,0.000,1977
Faroe Islands,FRO,Assets,0.000,1978
Faroe Islands,FRO,Assets,0.000,1979
Faroe Islands,FRO,Assets,0.000,1980
Faroe Islands,FRO,Assets,0.000,1981
Faroe Islands,FRO,Assets,0.000,1982
Faroe Islands,FRO,Assets,0.000,1983
Faroe Islands,FRO,Assets,0.000,1984
Faroe Islands,FRO,Assets,0.000,1985
Faroe Islands,FRO,Assets,0.000,1986
Faroe Islands,FRO,Assets,0.000,1987
Faroe Islands,FRO,Assets,0.000,1988
Faroe Islands,FRO,Assets,0.000,1989
Faroe Islands,FRO,Assets,0.000,1990
Faroe Islands,FRO,Assets,0.000,1991
Faroe Islands,FRO,Assets,0.000,1992
Faroe Islands,FRO,Assets,0.000,1993
Faroe Islands,FRO,Assets,0.000,1994
Faroe Islands,FRO,Assets,0.000,1995
Faroe Islands,FRO,Assets,0.000,1996
Faroe Islands,FRO,Assets,0.000,1997
Faroe Islands,FRO,Assets,0.000,1998
Faroe Islands,FRO,Assets,0.000,1999
Faroe Islands,FRO,Assets,0.000,2000
Faroe Islands,FRO,Assets,0.000,2001
Faroe Islands,FRO,Assets,0.000,2002
Faroe Islands,FRO,Assets,0.000,2003
Faroe Islands,FRO,Assets,0.000,2004
Faroe Islands,FRO,Assets,0.000,2005
Faroe Islands,FRO,Assets,0.000,2006
Faroe Islands,FRO,Assets,0.000,2007
Faroe Islands,FRO,Assets,0.000,2008
Faroe Islands,FRO,Assets,0.000,2009
Faroe Islands,FRO,Assets,0.000,2010
Faroe Islands,FRO,Assets,0.000,2011
Faroe Islands,FRO,Assets,0.000,2012
Faroe Islands,FRO,Assets,0.000,2013
Faroe Islands,FRO,Assets,0.000,2014
Faroe Islands,FRO,Assets,0.000,2015
Faroe Islands,FRO,Assets,0.000,2016
Faroe Islands,FRO,Assets,0.000,2017
Faroe Islands,FRO,Assets,0.000,2018
Faroe Islands,FRO,Assets,0.000,2019
Faroe Islands,FRO,Assets,0.000,2020
Faroe Islands,FRO,Assets,0.000,2021
Faroe Islands,FRO,Assets,0.000,2022
Faroe Islands,FRO,Assets,0.000,2023
Faroe Islands,FRO,Children 0-14,8.462,1960
Faroe Islands,FRO,Children 0-14,8.462,1961
Faroe Islands,FRO,Children 0-14,8.462,1962
Faroe Islands,FRO,Children 0-14,8.462,1963
Faroe Islands,FRO,Children 0-14,8.462,1964
Faroe Islands,FRO,Children 0-14,8.462,1965
Faroe Islands,FRO,Children 0-14,8.462,1966
Faroe Islands,FRO,Children 0-14,8.462,1967
Faroe Islands,FRO,Children 0-14,8.462,1968
Faroe Islands,FRO,Children 0-14,8.462,1969
Faroe Islands,FRO,Children 0-14,8.462,1970
Faroe Islands,FRO,Children 0-14,8.462,1971
Faroe Islands,FRO,Children 0-14,8.462,1972
Faroe Islands,FRO,Children 0-14,10.769,1973
Faroe Islands,FRO,Children 0-14,8.462,1974
Faroe Islands,FRO,Children 0-14,8.462,1975
Faroe Islands,FRO,Children 0-14,8.462,1976
Faroe Islands,FRO,Children 0-14,8.462,1977
Faroe Islands,FRO,Children 0-14,10.769,1978
Faroe Islands,FRO,Children 0-14,8.462,1979
Faroe Islands,FRO,Children 0-14,8.462,1980
Faroe Islands,FRO,Children 0-14,8.462,1981
Faroe Islands,FRO,Children 0-14,8.462,1982
Faroe Islands,FRO,Children 0-14,8.462,1983
Faroe Islands,FRO,Children 0-14,8.462,1984
Faroe Islands,FRO,Children 0-14,8.462,1985
Faroe Islands,FRO,Children 0-14,10.769,1986
Faroe Islands,FRO,Children 0-14,10.769,1987
Faroe Islands,FRO,Children 0-14,10.769,1988
Faroe Islands,FRO,Children 0-14,10.769,1989
Faroe Islands,FRO,Children 0-14,10.769,1990
Faroe Islands,FRO,Children 0-14,10.769,1991
Faroe Islands,FRO,Children 0-14,10.769,1992
Faroe Islands,FRO,Children 0-14,10.769,1993
Faroe Islands,FRO,Children 0-14,10.769,1994
Faroe Islands,FRO,Children 0-14,10.769,1995
Faroe Islands,FRO,Children 0-14,10.769,1996
Faroe Islands,FRO,Children 0-14,10.769,1997
Faroe Islands,FRO,Children 0-14,10.769,1998
Faroe Islands,FRO,Children 0-14,10.769,1999
Faroe Islands,FRO,Children 0-14,10.769,2000
Faroe Islands,FRO,Children 0-14,10.769,2001
Faroe Islands,FRO,Children 0-14,10.769,2002
Faroe Islands,FRO,Children 0-14,10.769,2003
Faroe Islands,FRO,Children 0-14,10.769,2004
Faroe Islands,FRO,Children 0-14,10.769,2005
Faroe Islands,FRO,Children 0-14,10.769,2006
Faroe Islands,FRO,Children 0-14,10.769,2007
