Country Name,Country Code,Topic,% of available indicators,Year
"Micronesia, Fed. Sts.",FSM,Assets,0.000,1960
"Micronesia, Fed. Sts.",FSM,Assets,0.000,1961
"Micronesia, Fed. Sts.",FSM,Assets,0.000,1962
"Micronesia, Fed. Sts.",FSM,Assets,0.000,1963
"Micronesia, Fed. Sts.",FSM,Assets,0.000,1964
"Micronesia, Fed. Sts.",FSM,Assets,0.000,1965
"Micronesia, Fed. Sts.",FSM,Assets,0.000,1966
"Micronesia, Fed. Sts.",FSM,Assets,0.000,1967
"Micronesia, Fed. Sts.",FSM,Assets,0.000,1968
"Micronesia, Fed. Sts.",FSM,Assets,0.000,1969
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1970
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1971
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1972
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1973
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1974
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1975
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1976
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1977
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1978
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1979
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1980
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1981
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1982
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1983
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1984
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1985
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1986
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1987
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1988
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1989
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1990
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1991
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1992
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1993
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1994
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1995
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1996
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1997
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1998
"Micronesia, Fed. Sts.",FSM,Assets,2.208,1999
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2000
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2001
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2002
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2003
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2004
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2005
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2006
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2007
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2008
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2009
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2010
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2011
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2012
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2013
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2014
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2015
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2016
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2017
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2018
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2019
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2020
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2021
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2022
"Micronesia, Fed. Sts.",FSM,Assets,2.208,2023
"Micronesia, Fed. Sts.",FSM,Children 0-14,17.692,1960
"Micronesia, Fed. Sts.",FSM,Children 0-14,17.692,1961
"Micronesia, Fed. Sts.",FSM,Children 0-14,17.692,1962
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1963
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1964
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1965
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1966
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1967
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1968
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1969
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1970
"Micronesia, Fed. Sts.",FSM,Children 0-14,25.385,1971
"Micronesia, Fed. Sts.",FSM,Children 0-14,23.077,1972
"Micronesia, Fed. Sts.",FSM,Children 0-14,23.846,1973
"Micronesia, Fed. Sts.",FSM,Children 0-14,23.846,1974
"Micronesia, Fed. Sts.",FSM,Children 0-14,25.385,1975
"Micronesia, Fed. Sts.",FSM,Children 0-14,25.385,1976
"Micronesia, Fed. Sts.",FSM,Children 0-14,23.077,1977
"Micronesia, Fed. Sts.",FSM,Children 0-14,23.077,1978
"Micronesia, Fed. Sts.",FSM,Children 0-14,23.077,1979
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1980
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1981
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1982
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1983
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1984
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1985
"Micronesia, Fed. Sts.",FSM,Children 0-14,19.231,1986
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1987
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1988
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1989
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1990
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1991
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1992
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1993
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1994
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1995
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1996
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1997
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,1998
"Micronesia, Fed. Sts.",FSM,Children 0-14,21.538,1999
"Micronesia, Fed. Sts.",FSM,Children 0-14,34.615,2000
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,2001
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,2002
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,2003
"Micronesia, Fed. Sts.",FSM,Children 0-14,24.615,2004
"Micronesia, Fed. Sts.",FSM,Children 0-14,24.615,2005
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,2006
"Micronesia, Fed. Sts.",FSM,Children 0-14,24.615,2007
"Micronesia, Fed. Sts.",FSM,Children 0-14,20.769,2008
