Country Name,Country Code,Topic,% of available indicators,Year
Gabon,GAB,Assets,0.000,1960
Gabon,GAB,Assets,0.000,1961
Gabon,GAB,Assets,0.000,1962
Gabon,GAB,Assets,0.000,1963
Gabon,GAB,Assets,0.000,1964
Gabon,GAB,Assets,0.000,1965
Gabon,GAB,Assets,0.000,1966
Gabon,GAB,Assets,0.000,1967
Gabon,GAB,Assets,0.000,1968
Gabon,GAB,Assets,0.000,1969
Gabon,GAB,Assets,2.208,1970
Gabon,GAB,Assets,2.208,1971
Gabon,GAB,Assets,2.208,1972
Gabon,GAB,Assets,2.208,1973
Gabon,GAB,Assets,2.208,1974
Gabon,GAB,Assets,2.208,1975
Gabon,GAB,Assets,2.208,1976
Gabon,GAB,Assets,2.208,1977
Gabon,GAB,Assets,2.208,1978
Gabon,GAB,Assets,2.208,1979
Gabon,GAB,Assets,2.208,1980
Gabon,GAB,Assets,2.208,1981
Gabon,GAB,Assets,2.208,1982
Gabon,GAB,Assets,2.208,1983
Gabon,GAB,Assets,2.208,1984
Gabon,GAB,Assets,2.208,1985
Gabon,GAB,Assets,2.208,1986
Gabon,GAB,Assets,2.208,1987
Gabon,GAB,Assets,2.208,1988
Gabon,GAB,Assets,2.208,1989
Gabon,GAB,Assets,2.208,1990
Gabon,GAB,Assets,2.208,1991
Gabon,GAB,Assets,2.208,1992
Gabon,GAB,Assets,2.208,1993
Gabon,GAB,Assets,2.208,1994
Gabon,GAB,Assets,2.208,1995
Gabon,GAB,Assets,2.208,1996
Gabon,GAB,Assets,2.208,1997
Gabon,GAB,Assets,2.208,1998
Gabon,GAB,Assets,2.208,1999
Gabon,GAB,Assets,2.208,2000
Gabon,GAB,Assets,2.208,2001
Gabon,GAB,Assets,2.208,2002
Gabon,GAB,Assets,2.208,2003
Gabon,GAB,Assets,2.208,2004
Gabon,GAB,Assets,2.208,2005
Gabon,GAB,Assets,2.208,2006
Gabon,GAB,Assets,2.208,2007
Gabon,GAB,Assets,2.208,2008
Gabon,GAB,Assets,2.208,2009
Gabon,GAB,Assets,2.208,2010
Gabon,GAB,Assets,11.672,2011
Gabon,GAB,Assets,17.350,2012
Gabon,GAB,Assets,2.208,2013
Gabon,GAB,Assets,31.546,2014
Gabon,GAB,Assets,2.208,2015
Gabon,GAB,Assets,2.208,2016
Gabon,GAB,Assets,34.069,2017
Gabon,GAB,Assets,2.208,2018
Gabon,GAB,Assets,2.208,2019
Gabon,GAB,Assets,2.208,2020
Gabon,GAB,Assets,93.375,2021
