Country Name,Country Code,Topic,% of available indicators,Year
United Kingdom,GBR,Assets,0.000,1960
United Kingdom,GBR,Assets,0.000,1961
United Kingdom,GBR,Assets,0.000,1962
United Kingdom,GBR,Assets,0.000,1963
United Kingdom,GBR,Assets,0.000,1964
United Kingdom,GBR,Assets,0.000,1965
United Kingdom,GBR,Assets,0.000,1966
United Kingdom,GBR,Assets,0.000,1967
United Kingdom,GBR,Assets,0.000,1968
United Kingdom,GBR,Assets,0.000,1969
United Kingdom,GBR,Assets,2.208,1970
United Kingdom,GBR,Assets,2.208,1971
United Kingdom,GBR,Assets,2.208,1972
United Kingdom,GBR,Assets,2.208,1973
United Kingdom,GBR,Assets,2.208,1974
United Kingdom,GBR,Assets,2.208,1975
United Kingdom,GBR,Assets,2.208,1976
United Kingdom,GBR,Assets,2.208,1977
United Kingdom,GBR,Assets,2.208,1978
United Kingdom,GBR,Assets,2.208,1979
United Kingdom,GBR,Assets,2.208,1980
United Kingdom,GBR,Assets,2.208,1981
United Kingdom,GBR,Assets,2.208,1982
United Kingdom,GBR,Assets,2.208,1983
United Kingdom,GBR,Assets,2.208,1984
United Kingdom,GBR,Assets,2.208,1985
United Kingdom,GBR,Assets,2.208,1986
United Kingdom,GBR,Assets,2.208,1987
United Kingdom,GBR,Assets,2.208,1988
United Kingdom,GBR,Assets,2.208,1989
United Kingdom,GBR,Assets,2.208,1990
United Kingdom,GBR,Assets,2.208,1991
United Kingdom,GBR,Assets,2.208,1992
United Kingdom,GBR,Assets,2.208,1993
United Kingdom,GBR,Assets,2.208,1994
United Kingdom,GBR,Assets,2.208,1995
United Kingdom,GBR,Assets,2.208,1996
United Kingdom,GBR,Assets,2.208,1997
United Kingdom,GBR,Assets,2.208,1998
United Kingdom,GBR,Assets,2.208,1999
United Kingdom,GBR,Assets,2.208,2000
United Kingdom,GBR,Assets,2.208,2001
United Kingdom,GBR,Assets,2.208,2002
United Kingdom,GBR,Assets,2.208,2003
United Kingdom,GBR,Assets,2.208,2004
United Kingdom,GBR,Assets,2.208,2005
United Kingdom,GBR,Assets,2.208,2006
United Kingdom,GBR,Assets,2.208,2007
United Kingdom,GBR,Assets,2.208,2008
United Kingdom,GBR,Assets,2.208,2009
United Kingdom,GBR,Assets,2.208,2010
United Kingdom,GBR,Assets,10.726,2011
United Kingdom,GBR,Assets,2.208,2012
United Kingdom,GBR,Assets,2.208,2013
United Kingdom,GBR,Assets,24.921,2014
United Kingdom,GBR,Assets,2.208,2015
