Country Name,Country Code,Topic,% of available indicators,Year
Georgia,GEO,Assets,0.000,1960
Georgia,GEO,Assets,0.000,1961
Georgia,GEO,Assets,0.000,1962
Georgia,GEO,Assets,0.000,1963
Georgia,GEO,Assets,0.000,1964
Georgia,GEO,Assets,0.000,1965
Georgia,GEO,Assets,0.000,1966
Georgia,GEO,Assets,0.000,1967
Georgia,GEO,Assets,0.000,1968
Georgia,GEO,Assets,0.000,1969
Georgia,GEO,Assets,2.208,1970
Georgia,GEO,Assets,2.208,1971
Georgia,GEO,Assets,2.208,1972
Georgia,GEO,Assets,2.208,1973
Georgia,GEO,Assets,2.208,1974
Georgia,GEO,Assets,2.208,1975
Georgia,GEO,Assets,2.208,1976
Georgia,GEO,Assets,2.208,1977
Georgia,GEO,Assets,2.208,1978
Georgia,GEO,Assets,2.208,1979
Georgia,GEO,Assets,2.208,1980
Georgia,GEO,Assets,2.208,1981
Georgia,GEO,Assets,2.208,1982
Georgia,GEO,Assets,2.208,1983
Georgia,GEO,Assets,2.208,1984
Georgia,GEO,Assets,2.208,1985
Georgia,GEO,Assets,2.208,1986
Georgia,GEO,Assets,2.208,1987
Georgia,GEO,Assets,2.208,1988
Georgia,GEO,Assets,2.208,1989
Georgia,GEO,Assets,2.208,1990
Georgia,GEO,Assets,2.208,1991
Georgia,GEO,Assets,2.208,1992
Georgia,GEO,Assets,2.208,1993
Georgia,GEO,Assets,2.208,1994
Georgia,GEO,Assets,2.208,1995
Georgia,GEO,Assets,2.208,1996
Georgia,GEO,Assets,2.208,1997
Georgia,GEO,Assets,2.208,1998
Georgia,GEO,Assets,2.208,1999
Georgia,GEO,Assets,2.208,2000
Georgia,GEO,Assets,2.208,2001
Georgia,GEO,Assets,2.208,2002
Georgia,GEO,Assets,2.208,2003
Georgia,GEO,Assets,2.208,2004
Georgia,GEO,Assets,2.208,2005
Georgia,GEO,Assets,2.208,2006
Georgia,GEO,Assets,2.208,2007
Georgia,GEO,Assets,2.208,2008
Georgia,GEO,Assets,2.208,2009
Georgia,GEO,Assets,2.208,2010
Georgia,GEO,Assets,11.672,2011
Georgia,GEO,Assets,2.208,2012
Georgia,GEO,Assets,2.208,2013
Georgia,GEO,Assets,30.599,2014
Georgia,GEO,Assets,2.208,2015
Georgia,GEO,Assets,2.208,2016
Georgia,GEO,Assets,34.069,2017
Georgia,GEO,Assets,2.208,2018
Georgia,GEO,Assets,2.208,2019
Georgia,GEO,Assets,2.208,2020
Georgia,GEO,Assets,63.091,2021
Georgia,GEO,Assets,2.208,2022
Georgia,GEO,Assets,2.208,2023
Georgia,GEO,Children 0-14,10.769,1960
Georgia,GEO,Children 0-14,10.769,1961
Georgia,GEO,Children 0-14,10.769,1962
Georgia,GEO,Children 0-14,10.769,1963
Georgia,GEO,Children 0-14,10.769,1964
Georgia,GEO,Children 0-14,10.769,1965
Georgia,GEO,Children 0-14,10.769,1966
Georgia,GEO,Children 0-14,10.769,1967
Georgia,GEO,Children 0-14,10.769,1968
Georgia,GEO,Children 0-14,10.769,1969
Georgia,GEO,Children 0-14,10.769,1970
Georgia,GEO,Children 0-14,10.769,1971
Georgia,GEO,Children 0-14,10.769,1972
Georgia,GEO,Children 0-14,10.769,1973
Georgia,GEO,Children 0-14,10.769,1974
Georgia,GEO,Children 0-14,15.385,1975
Georgia,GEO,Children 0-14,17.692,1976
Georgia,GEO,Children 0-14,17.692,1977
Georgia,GEO,Children 0-14,17.692,1978
Georgia,GEO,Children 0-14,17.692,1979
Georgia,GEO,Children 0-14,19.231,1980
Georgia,GEO,Children 0-14,23.846,1981
Georgia,GEO,Children 0-14,19.231,1982
Georgia,GEO,Children 0-14,19.231,1983
Georgia,GEO,Children 0-14,19.231,1984
Georgia,GEO,Children 0-14,19.231,1985
Georgia,GEO,Children 0-14,23.846,1986
Georgia,GEO,Children 0-14,19.231,1987
Georgia,GEO,Children 0-14,19.231,1988
Georgia,GEO,Children 0-14,19.231,1989
Georgia,GEO,Children 0-14,19.231,1990
Georgia,GEO,Children 0-14,23.846,1991
Georgia,GEO,Children 0-14,24.615,1992
Georgia,GEO,Children 0-14,25.385,1993
Georgia,GEO,Children 0-14,25.385,1994
Georgia,GEO,Children 0-14,35.385,1995
Georgia,GEO,Children 0-14,35.385,1996
