Country Name,Country Code,Topic,% of available indicators,Year
Ghana,GHA,Assets,0.000,1960
Ghana,GHA,Assets,0.000,1961
Ghana,GHA,Assets,0.000,1962
Ghana,GHA,Assets,0.000,1963
Ghana,GHA,Assets,0.000,1964
Ghana,GHA,Assets,0.000,1965
Ghana,GHA,Assets,0.000,1966
Ghana,GHA,Assets,0.000,1967
Ghana,GHA,Assets,0.000,1968
Ghana,GHA,Assets,0.000,1969
Ghana,GHA,Assets,2.208,1970
Ghana,GHA,Assets,2.208,1971
Ghana,GHA,Assets,2.208,1972
Ghana,GHA,Assets,2.208,1973
Ghana,GHA,Assets,2.208,1974
Ghana,GHA,Assets,2.208,1975
Ghana,GHA,Assets,2.208,1976
Ghana,GHA,Assets,2.208,1977
Ghana,GHA,Assets,2.208,1978
Ghana,GHA,Assets,2.208,1979
Ghana,GHA,Assets,2.208,1980
Ghana,GHA,Assets,2.208,1981
Ghana,GHA,Assets,2.208,1982
Ghana,GHA,Assets,2.208,1983
Ghana,GHA,Assets,2.208,1984
Ghana,GHA,Assets,2.208,1985
Ghana,GHA,Assets,2.208,1986
Ghana,GHA,Assets,2.208,1987
Ghana,GHA,Assets,2.208,1988
Ghana,GHA,Assets,2.208,1989
Ghana,GHA,Assets,2.208,1990
Ghana,GHA,Assets,2.208,1991
Ghana,GHA,Assets,2.208,1992
Ghana,GHA,Assets,2.208,1993
Ghana,GHA,Assets,2.208,1994
Ghana,GHA,Assets,2.208,1995
Ghana,GHA,Assets,2.208,1996
Ghana,GHA,Assets,2.208,1997
Ghana,GHA,Assets,2.208,1998
Ghana,GHA,Assets,2.208,1999
Ghana,GHA,Assets,2.208,2000
Ghana,GHA,Assets,2.208,2001
Ghana,GHA,Assets,2.208,2002
Ghana,GHA,Assets,2.208,2003
Ghana,GHA,Assets,2.208,2004
Ghana,GHA,Assets,2.208,2005
Ghana,GHA,Assets,2.208,2006
Ghana,GHA,Assets,2.208,2007
Ghana,GHA,Assets,2.208,2008
