Country Name,Country Code,Topic,% of available indicators,Year
Gibraltar,GIB,Assets,0.000,1960
Gibraltar,GIB,Assets,0.000,1961
Gibraltar,GIB,Assets,0.000,1962
Gibraltar,GIB,Assets,0.000,1963
Gibraltar,GIB,Assets,0.000,1964
Gibraltar,GIB,Assets,0.000,1965
Gibraltar,GIB,Assets,0.000,1966
Gibraltar,GIB,Assets,0.000,1967
Gibraltar,GIB,Assets,0.000,1968
Gibraltar,GIB,Assets,0.000,1969
Gibraltar,GIB,Assets,0.000,1970
Gibraltar,GIB,Assets,0.000,1971
Gibraltar,GIB,Assets,0.000,1972
Gibraltar,GIB,Assets,0.000,1973
Gibraltar,GIB,Assets,0.000,1974
Gibraltar,GIB,Assets,0.000,1975
Gibraltar,GIB,Assets,0.000,1976
Gibraltar,GIB,Assets,0.000,1977
Gibraltar,GIB,Assets,0.000,1978
Gibraltar,GIB,Assets,0.000,1979
Gibraltar,GIB,Assets,0.000,1980
Gibraltar,GIB,Assets,0.000,1981
Gibraltar,GIB,Assets,0.000,1982
Gibraltar,GIB,Assets,0.000,1983
Gibraltar,GIB,Assets,0.000,1984
Gibraltar,GIB,Assets,0.000,1985
Gibraltar,GIB,Assets,0.000,1986
Gibraltar,GIB,Assets,0.000,1987
Gibraltar,GIB,Assets,0.000,1988
Gibraltar,GIB,Assets,0.000,1989
Gibraltar,GIB,Assets,0.000,1990
Gibraltar,GIB,Assets,0.000,1991
Gibraltar,GIB,Assets,0.000,1992
Gibraltar,GIB,Assets,0.000,1993
Gibraltar,GIB,Assets,0.000,1994
Gibraltar,GIB,Assets,0.000,1995
Gibraltar,GIB,Assets,0.000,1996
Gibraltar,GIB,Assets,0.000,1997
Gibraltar,GIB,Assets,0.000,1998
Gibraltar,GIB,Assets,0.000,1999
Gibraltar,GIB,Assets,0.000,2000
Gibraltar,GIB,Assets,0.000,2001
Gibraltar,GIB,Assets,0.000,2002
Gibraltar,GIB,Assets,0.000,2003
Gibraltar,GIB,Assets,0.000,2004
Gibraltar,GIB,Assets,0.000,2005
Gibraltar,GIB,Assets,0.000,2006
Gibraltar,GIB,Assets,0.000,2007
Gibraltar,GIB,Assets,0.000,2008
Gibraltar,GIB,Assets,0.000,2009
Gibraltar,GIB,Assets,0.000,2010
Gibraltar,GIB,Assets,0.000,2011
