Country Name,Country Code,Topic,% of available indicators,Year
Guinea,GIN,Assets,0.000,1960
Guinea,GIN,Assets,0.000,1961
Guinea,GIN,Assets,0.000,1962
Guinea,GIN,Assets,0.000,1963
Guinea,GIN,Assets,0.000,1964
Guinea,GIN,Assets,0.000,1965
Guinea,GIN,Assets,0.000,1966
Guinea,GIN,Assets,0.000,1967
Guinea,GIN,Assets,0.000,1968
Guinea,GIN,Assets,0.000,1969
Guinea,GIN,Assets,2.208,1970
Guinea,GIN,Assets,2.208,1971
Guinea,GIN,Assets,2.208,1972
Guinea,GIN,Assets,2.208,1973
Guinea,GIN,Assets,2.208,1974
Guinea,GIN,Assets,2.208,1975
Guinea,GIN,Assets,2.208,1976
Guinea,GIN,Assets,2.208,1977
Guinea,GIN,Assets,2.208,1978
Guinea,GIN,Assets,2.208,1979
Guinea,GIN,Assets,2.208,1980
Guinea,GIN,Assets,2.208,1981
Guinea,GIN,Assets,2.208,1982
Guinea,GIN,Assets,2.208,1983
Guinea,GIN,Assets,2.208,1984
Guinea,GIN,Assets,2.208,1985
Guinea,GIN,Assets,2.208,1986
Guinea,GIN,Assets,2.208,1987
Guinea,GIN,Assets,2.208,1988
Guinea,GIN,Assets,2.208,1989
Guinea,GIN,Assets,2.208,1990
Guinea,GIN,Assets,2.208,1991
Guinea,GIN,Assets,2.208,1992
Guinea,GIN,Assets,2.208,1993
Guinea,GIN,Assets,2.208,1994
Guinea,GIN,Assets,2.208,1995
Guinea,GIN,Assets,2.208,1996
Guinea,GIN,Assets,2.208,1997
Guinea,GIN,Assets,2.208,1998
Guinea,GIN,Assets,2.208,1999
Guinea,GIN,Assets,2.208,2000
Guinea,GIN,Assets,2.208,2001
Guinea,GIN,Assets,2.208,2002
Guinea,GIN,Assets,2.208,2003
Guinea,GIN,Assets,2.208,2004
Guinea,GIN,Assets,2.208,2005
Guinea,GIN,Assets,2.208,2006
Guinea,GIN,Assets,2.208,2007
Guinea,GIN,Assets,2.208,2008
Guinea,GIN,Assets,2.208,2009
Guinea,GIN,Assets,2.208,2010
Guinea,GIN,Assets,11.672,2011
