Country Name,Country Code,Topic,% of available indicators,Year
"Gambia, The",GMB,Assets,0.000,1960
"Gambia, The",GMB,Assets,0.000,1961
"Gambia, The",GMB,Assets,0.000,1962
"Gambia, The",GMB,Assets,0.000,1963
"Gambia, The",GMB,Assets,0.000,1964
"Gambia, The",GMB,Assets,0.000,1965
"Gambia, The",GMB,Assets,0.000,1966
"Gambia, The",GMB,Assets,0.000,1967
"Gambia, The",GMB,Assets,0.000,1968
"Gambia, The",GMB,Assets,0.000,1969
"Gambia, The",GMB,Assets,2.208,1970
"Gambia, The",GMB,Assets,2.208,1971
"Gambia, The",GMB,Assets,2.208,1972
"Gambia, The",GMB,Assets,2.208,1973
"Gambia, The",GMB,Assets,2.208,1974
"Gambia, The",GMB,Assets,2.208,1975
"Gambia, The",GMB,Assets,2.208,1976
"Gambia, The",GMB,Assets,2.208,1977
"Gambia, The",GMB,Assets,2.208,1978
"Gambia, The",GMB,Assets,2.208,1979
"Gambia, The",GMB,Assets,2.208,1980
"Gambia, The",GMB,Assets,2.208,1981
"Gambia, The",GMB,Assets,2.208,1982
"Gambia, The",GMB,Assets,2.208,1983
"Gambia, The",GMB,Assets,2.208,1984
"Gambia, The",GMB,Assets,2.208,1985
"Gambia, The",GMB,Assets,2.208,1986
"Gambia, The",GMB,Assets,2.208,1987
"Gambia, The",GMB,Assets,2.208,1988
"Gambia, The",GMB,Assets,2.208,1989
"Gambia, The",GMB,Assets,2.208,1990
"Gambia, The",GMB,Assets,2.208,1991
"Gambia, The",GMB,Assets,2.208,1992
"Gambia, The",GMB,Assets,2.208,1993
"Gambia, The",GMB,Assets,2.208,1994
"Gambia, The",GMB,Assets,2.208,1995
"Gambia, The",GMB,Assets,2.208,1996
"Gambia, The",GMB,Assets,2.208,1997
"Gambia, The",GMB,Assets,2.208,1998
"Gambia, The",GMB,Assets,2.208,1999
"Gambia, The",GMB,Assets,2.208,2000
"Gambia, The",GMB,Assets,2.208,2001
"Gambia, The",GMB,Assets,2.208,2002
"Gambia, The",GMB,Assets,2.208,2003
"Gambia, The",GMB,Assets,2.208,2004
"Gambia, The",GMB,Assets,2.208,2005
"Gambia, The",GMB,Assets,2.208,2006
"Gambia, The",GMB,Assets,2.208,2007
"Gambia, The",GMB,Assets,2.208,2008
"Gambia, The",GMB,Assets,2.208,2009
"Gambia, The",GMB,Assets,2.208,2010
"Gambia, The",GMB,Assets,2.208,2011
"Gambia, The",GMB,Assets,2.208,2012
"Gambia, The",GMB,Assets,32.492,2013
"Gambia, The",GMB,Assets,2.208,2014
"Gambia, The",GMB,Assets,2.208,2015
"Gambia, The",GMB,Assets,2.208,2016
"Gambia, The",GMB,Assets,26.814,2017
"Gambia, The",GMB,Assets,2.208,2018
"Gambia, The",GMB,Assets,2.208,2019
"Gambia, The",GMB,Assets,32.492,2020
"Gambia, The",GMB,Assets,2.208,2021
"Gambia, The",GMB,Assets,62.461,2022
"Gambia, The",GMB,Assets,2.208,2023
"Gambia, The",GMB,Children 0-14,17.692,1960
"Gambia, The",GMB,Children 0-14,19.231,1961
"Gambia, The",GMB,Children 0-14,19.231,1962
"Gambia, The",GMB,Children 0-14,19.231,1963
"Gambia, The",GMB,Children 0-14,19.231,1964
"Gambia, The",GMB,Children 0-14,19.231,1965
"Gambia, The",GMB,Children 0-14,19.231,1966
"Gambia, The",GMB,Children 0-14,19.231,1967
"Gambia, The",GMB,Children 0-14,19.231,1968
"Gambia, The",GMB,Children 0-14,19.231,1969
"Gambia, The",GMB,Children 0-14,19.231,1970
"Gambia, The",GMB,Children 0-14,35.385,1971
"Gambia, The",GMB,Children 0-14,33.846,1972
"Gambia, The",GMB,Children 0-14,38.462,1973
"Gambia, The",GMB,Children 0-14,36.154,1974
"Gambia, The",GMB,Children 0-14,33.846,1975
"Gambia, The",GMB,Children 0-14,36.154,1976
