Country Name,Country Code,Topic,% of available indicators,Year
Guinea-Bissau,GNB,Assets,0.000,1960
Guinea-Bissau,GNB,Assets,0.000,1961
Guinea-Bissau,GNB,Assets,0.000,1962
Guinea-Bissau,GNB,Assets,0.000,1963
Guinea-Bissau,GNB,Assets,0.000,1964
Guinea-Bissau,GNB,Assets,0.000,1965
Guinea-Bissau,GNB,Assets,0.000,1966
Guinea-Bissau,GNB,Assets,0.000,1967
Guinea-Bissau,GNB,Assets,0.000,1968
Guinea-Bissau,GNB,Assets,0.000,1969
Guinea-Bissau,GNB,Assets,2.208,1970
Guinea-Bissau,GNB,Assets,2.208,1971
Guinea-Bissau,GNB,Assets,2.208,1972
Guinea-Bissau,GNB,Assets,2.208,1973
Guinea-Bissau,GNB,Assets,2.208,1974
Guinea-Bissau,GNB,Assets,2.208,1975
Guinea-Bissau,GNB,Assets,2.208,1976
Guinea-Bissau,GNB,Assets,2.208,1977
Guinea-Bissau,GNB,Assets,2.208,1978
Guinea-Bissau,GNB,Assets,2.208,1979
Guinea-Bissau,GNB,Assets,2.208,1980
Guinea-Bissau,GNB,Assets,2.208,1981
Guinea-Bissau,GNB,Assets,2.208,1982
Guinea-Bissau,GNB,Assets,2.208,1983
Guinea-Bissau,GNB,Assets,2.208,1984
Guinea-Bissau,GNB,Assets,2.208,1985
Guinea-Bissau,GNB,Assets,2.208,1986
Guinea-Bissau,GNB,Assets,2.208,1987
Guinea-Bissau,GNB,Assets,2.208,1988
Guinea-Bissau,GNB,Assets,2.208,1989
Guinea-Bissau,GNB,Assets,2.208,1990
Guinea-Bissau,GNB,Assets,2.208,1991
Guinea-Bissau,GNB,Assets,2.208,1992
Guinea-Bissau,GNB,Assets,2.208,1993
Guinea-Bissau,GNB,Assets,2.208,1994
Guinea-Bissau,GNB,Assets,2.208,1995
Guinea-Bissau,GNB,Assets,2.208,1996
Guinea-Bissau,GNB,Assets,2.208,1997
Guinea-Bissau,GNB,Assets,2.208,1998
Guinea-Bissau,GNB,Assets,2.208,1999
Guinea-Bissau,GNB,Assets,2.208,2000
Guinea-Bissau,GNB,Assets,2.208,2001
Guinea-Bissau,GNB,Assets,2.208,2002
Guinea-Bissau,GNB,Assets,2.208,2003
Guinea-Bissau,GNB,Assets,2.208,2004
Guinea-Bissau,GNB,Assets,2.208,2005
Guinea-Bissau,GNB,Assets,2.208,2006
Guinea-Bissau,GNB,Assets,2.208,2007
Guinea-Bissau,GNB,Assets,2.208,2008
Guinea-Bissau,GNB,Assets,2.208,2009
Guinea-Bissau,GNB,Assets,2.208,2010
Guinea-Bissau,GNB,Assets,2.208,2011
Guinea-Bissau,GNB,Assets,2.208,2012
Guinea-Bissau,GNB,Assets,2.208,2013
Guinea-Bissau,GNB,Assets,2.208,2014
Guinea-Bissau,GNB,Assets,2.208,2015
Guinea-Bissau,GNB,Assets,2.208,2016
Guinea-Bissau,GNB,Assets,2.208,2017
Guinea-Bissau,GNB,Assets,2.208,2018
Guinea-Bissau,GNB,Assets,2.208,2019
Guinea-Bissau,GNB,Assets,2.208,2020
Guinea-Bissau,GNB,Assets,2.208,2021
Guinea-Bissau,GNB,Assets,2.208,2022
Guinea-Bissau,GNB,Assets,2.208,2023
Guinea-Bissau,GNB,Children 0-14,10.769,1960
Guinea-Bissau,GNB,Children 0-14,10.769,1961
Guinea-Bissau,GNB,Children 0-14,10.769,1962
Guinea-Bissau,GNB,Children 0-14,10.769,1963
Guinea-Bissau,GNB,Children 0-14,10.769,1964
Guinea-Bissau,GNB,Children 0-14,10.769,1965
Guinea-Bissau,GNB,Children 0-14,10.769,1966
Guinea-Bissau,GNB,Children 0-14,10.769,1967
Guinea-Bissau,GNB,Children 0-14,10.769,1968
Guinea-Bissau,GNB,Children 0-14,10.769,1969
